dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.995175,216.249999,0.001471,0.147059,7.352941,367.647059,0.000364
0.020000,64.995643,216.249999,0.001938,0.023380,-6.183965,-676.845293,0.000329
0.020000,64.996695,216.250000,0.002990,0.052602,1.461126,382.254553,0.000249
0.020000,64.998565,216.250000,0.004860,0.093508,2.045313,29.209343,0.000108
0.020000,65.020193,216.249999,0.026489,1.081435,49.396320,2367.550355,6.283073
0.020000,65.077341,216.249983,0.083637,2.857394,88.797976,1970.082796,6.282756
0.020000,65.155125,216.249933,0.161421,3.889202,51.590407,-1860.378475,6.282324
0.020000,65.256719,216.249817,0.263014,5.079670,59.523357,396.647491,6.281759
0.020000,65.385295,216.249588,0.391591,6.428831,67.458059,396.735109,6.281045
0.020000,65.544027,216.249178,0.550323,7.936594,75.388185,396.506316,6.280164
0.020000,65.736084,216.248496,0.742382,9.602960,83.318281,396.504812,6.279099
0.020000,65.964640,216.247417,0.970940,11.427879,91.245936,396.382747,6.277832
0.020000,66.232859,216.245781,1.239164,13.411206,99.166357,396.021040,6.276345
0.020000,66.543908,216.243386,1.550222,15.552907,107.085037,395.933996,6.274623
0.020000,66.900950,216.239976,1.907281,17.852942,115.001764,395.836372,6.272647
0.020000,67.307144,216.235239,2.313502,20.311066,122.906225,395.223042,6.270402
0.020000,67.765643,216.228797,2.772046,22.927209,130.807142,395.045812,6.267870
0.020000,68.278008,216.220225,3.284484,25.621864,134.732736,196.279723,6.265045
0.020000,68.844210,216.209069,3.850796,28.315597,134.686661,-2.303764,6.261927
0.020000,69.464211,216.194829,4.470959,31.008188,134.629524,-2.856825,6.258518
0.020000,70.137965,216.176960,5.144950,33.699550,134.568121,-3.070177,6.254821
0.020000,70.865420,216.154869,5.872741,36.389516,134.498305,-3.490796,6.250836
0.020000,71.644929,216.127981,6.652713,38.998637,130.456062,-202.112129,6.246577
0.020000,72.473254,216.095770,7.481664,41.447557,122.445995,-400.503377,6.242061
0.020000,73.347151,216.057730,8.356389,43.736246,114.434424,-400.578508,6.237309
0.020000,74.263373,216.013385,9.273683,45.864690,106.422185,-400.611979,6.232341
0.020000,75.218664,215.962298,10.230340,47.832829,98.406975,-400.760510,6.227177
0.020000,76.209770,215.904073,11.223154,49.640731,90.395094,-400.594011,6.221837
0.020000,77.233432,215.838368,12.248923,51.288426,82.384768,-400.516325,6.216340
0.020000,78.286391,215.764896,13.304442,52.775946,74.375971,-400.439847,6.210707
0.020000,79.365388,215.683434,14.386510,54.103402,66.372826,-400.157261,6.204957
0.020000,80.467168,215.593824,15.491928,55.270919,58.375866,-399.848004,6.199110
0.020000,81.588479,215.495977,16.617500,56.278604,50.384211,-399.582717,6.193184
0.020000,82.726075,215.389879,17.760033,57.126635,42.401540,-399.133573,6.187199
0.020000,83.876717,215.275591,18.916337,57.815212,34.428890,-398.632505,6.181174
0.020000,85.037177,215.153248,20.083228,58.344517,26.465242,-398.182406,6.175127
0.020000,86.204235,215.023067,21.257524,58.714821,18.515173,-397.503426,6.169075
0.020000,87.374686,214.885340,22.436051,58.926350,10.576470,-396.935163,6.163038
0.020000,88.545340,214.740436,23.615639,58.979388,2.651879,-396.229537,6.157031
0.020000,89.714582,214.588594,24.794699,58.953021,-1.318332,-198.510534,6.151064
0.020000,90.882369,214.429874,25.973223,58.926169,-1.342614,-1.214119,6.145138
0.020000,92.048657,214.264336,27.151200,58.898849,-1.365980,-1.168303,6.139252
