dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.004534,189.750001,0.005128,0.512821,25.641026,1282.051282,0.000342
0.020000,65.002904,189.750000,0.006759,0.081525,-21.564762,-2360.289405,0.000219
0.020000,65.008855,189.750000,0.012710,0.297550,10.801249,1618.300557,6.283128
0.020000,65.084386,189.749977,0.088241,3.776576,173.951297,8157.502396,6.282636
0.020000,65.202407,189.749867,0.206262,5.901031,106.222749,-3386.427359,6.281867
0.020000,65.367642,189.749560,0.371497,8.261748,118.035839,590.654471,6.280791
0.020000,65.580096,189.748904,0.583952,10.622764,118.050810,0.748543,6.279409
0.020000,65.839777,189.747705,0.843636,12.984216,118.072601,1.089566,6.277721
0.020000,66.146694,189.745721,1.150559,15.346131,118.095749,1.157390,6.275728
0.020000,66.500855,189.742673,1.504733,17.708711,118.128997,1.662430,6.273430
0.020000,66.902270,189.738235,1.906173,20.071983,118.163572,1.728733,6.270830
0.020000,67.350949,189.732040,2.354895,22.436110,118.206375,2.140154,6.267927
0.020000,67.846904,189.723677,2.850920,24.801245,118.256763,2.519373,6.264725
0.020000,68.390143,189.712696,3.394270,27.167500,118.312718,2.797768,6.261223
0.020000,68.980675,189.698602,3.984971,29.535039,118.376946,3.211423,6.257425
0.020000,69.618509,189.680861,4.623051,31.904030,118.449593,3.632346,6.253333
0.020000,70.303651,189.658897,5.308545,34.274674,118.532174,4.129027,6.248948
0.020000,71.036104,189.632096,6.041488,36.647152,118.623896,4.586086,6.244274
0.020000,71.815868,189.599801,6.821921,39.021664,118.725593,5.084857,6.239314
0.020000,72.642942,189.561319,7.649890,41.398433,118.838486,5.644684,6.234071
0.020000,73.517319,189.515918,8.525445,43.777747,118.965667,6.359028,6.228550
0.020000,74.438988,189.462831,9.448641,46.159794,119.102354,6.834365,6.222753
0.020000,75.407930,189.401251,10.419538,48.544879,119.254268,7.595670,6.216687
0.020000,76.424125,189.330341,11.438204,50.933284,119.420255,8.299363,6.210355
0.020000,77.487542,189.249227,12.504710,53.325300,119.600801,9.027286,6.203763
0.020000,78.598144,189.157004,13.619135,55.721250,119.797480,9.833978,6.196918
0.020000,79.755888,189.052737,14.781564,58.121450,120.009986,10.625297,6.189825
0.020000,80.960718,188.935463,15.992089,60.526235,120.239278,11.464576,6.182492
0.020000,82.212573,188.804189,17.250808,62.935949,120.485672,12.319708,6.174926
0.020000,83.511380,188.657900,18.557827,65.350951,120.750131,13.222934,6.167135
0.020000,84.857054,188.495556,19.913259,67.771598,121.032337,14.110317,6.159127
0.020000,86.249503,188.316098,21.317224,70.198251,121.332642,15.015266,6.150912
0.020000,87.688619,188.118448,22.769849,72.631287,121.651810,15.958404,6.142499
0.020000,89.174285,187.901511,24.271270,75.071053,121.988301,16.824514,6.133898
0.020000,90.706371,187.664181,25.821629,77.517927,122.343699,17.769909,6.125120
0.020000,92.284733,187.405341,27.421074,79.972256,122.716444,18.637255,6.116177
0.020000,93.909215,187.123865,29.069762,82.434389,123.106661,19.510862,6.107080
0.020000,95.579649,186.818627,30.767855,84.904659,123.513506,20.342244,6.097841
0.020000,97.295853,186.488496,32.515523,87.383391,123.936609,21.155163,6.088474
0.020000,99.052936,186.133317,34.308145,89.631100,112.385447,-577.558097,6.079015
0.020000,100.841321,185.754142,36.136284,91.406977,88.793829,-1179.580936,6.069529
0.020000,102.651457,185.352403,37.990465,92.709046,65.103433,-1184.519797,6.060072
0.020000,104.473827,184.929909,39.861169,93.535182,41.306843,-1189.829468,6.050701
0.020000,106.298952,184.488848,41.738831,93.883098,17.395795,-1195.552421,6.041469
0.020000,108.122069,184.030576,43.618664,93.991631,5.426623,-598.458594,6.032400
0.020000,109.943109,183.555387,45.500681,94.100888,5.462867,1.812205,6.023496
0.020000,111.762008,183.063580,47.384897,94.210767,5.493931,1.553207,6.014758
0.020000,113.578707,182.555455,49.271318,94.321071,5.515235,1.065203,6.006187
0.020000,115.393153,182.031314,51.159953,94.431726,5.532748,0.875636,5.997782
0.020000,117.205300,181.491461,53.050804,94.542546,5.541002,0.412689,5.989545
0.020000,119.015106,180.936200,54.943873,94.653455,5.545425,0.221170,5.981475
0.020000,120.822534,180.365836,56.839159,94.764331,5.543813,-0.080607,5.973573
0.020000,122.241996,179.893306,58.335206,74.802359,-998.098609,-50182.121104,5.939258
0.020000,123.564340,179.385690,59.751635,70.821407,-199.047612,39952.549857,5.895224
0.020000,124.926704,178.796785,61.235833,74.209930,169.426165,18423.688855,5.856302
0.020000,126.328680,178.129462,62.788527,77.634671,171.237044,90.543930,5.822702
0.020000,127.765431,177.390397,64.404221,80.784727,157.502794,-686.712509,5.794548
0.020000,129.229236,176.589776,66.072669,83.422417,131.884514,-1280.913991,5.771840
0.020000,130.711944,175.739833,67.781712,85.452139,101.486076,-1519.921899,5.754437
0.020000,132.205126,174.854200,69.517782,86.803481,67.567104,-1695.948607,5.742088
