dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.022952,216.249980,0.001508,0.150830,7.541478,377.073906,6.281453
0.020000,65.022366,216.249981,0.002094,0.029295,-6.076747,-680.911234,6.281497
0.020000,65.021048,216.249983,0.003412,0.065907,1.830617,395.368153,6.281597
0.020000,65.018705,216.249987,0.005755,0.117148,2.562030,36.570653,6.281774
0.020000,65.015045,216.249991,0.009415,0.182991,3.292163,36.506659,6.282050
0.020000,65.009777,216.249996,0.014683,0.263395,4.020198,36.401743,6.282447
0.020000,65.002611,216.250000,0.021849,0.358297,4.745107,36.245479,6.282988
0.020000,65.062853,216.250016,0.082091,3.012109,132.690607,6397.274983,0.000509
0.020000,65.173198,216.250121,0.192436,5.517259,125.257518,-371.654464,0.001401
0.020000,65.309447,216.250387,0.328685,6.812436,64.758819,-3024.934947,0.002502
0.020000,65.474328,216.250909,0.493567,8.244103,71.583367,341.227393,0.003832
0.020000,65.670586,216.251817,0.689827,9.813009,78.445307,343.097025,0.005412
0.020000,65.900967,216.253277,0.920213,11.519289,85.313999,343.434605,0.007262
0.020000,66.168220,216.255504,1.187475,13.363102,92.190614,343.830739,0.009403
0.020000,66.475095,216.258765,1.494368,15.344637,99.076795,344.309057,0.011853
0.020000,66.824365,216.263391,1.843668,17.465030,106.019637,347.142085,0.014633
0.020000,67.218793,216.269780,2.238147,19.723949,112.945921,346.314215,0.017758
0.020000,67.659794,216.278381,2.679233,22.054273,116.516228,178.515332,0.021237
0.020000,68.147422,216.289672,3.166992,24.387952,116.683931,8.385157,0.025064
0.020000,68.681733,216.304183,3.701500,26.725387,116.871778,9.392364,0.029232
0.020000,69.262792,216.322484,4.282847,29.067350,117.098130,11.317618,0.033736
0.020000,69.890660,216.345195,4.911125,31.413928,117.328905,11.538720,0.038569
0.020000,70.565402,216.372976,5.586439,33.765668,117.587004,12.904950,0.043721
0.020000,71.287089,216.406528,6.308905,36.123329,117.883036,14.801609,0.049186
