dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,300.000000,230.000000,0.001493,0.149324,7.466216,373.310806,1.570386
0.020000,300.000000,230.000000,0.007466,0.447973,14.932432,373.310806,1.570420
0.020000,300.000000,230.000000,0.020905,0.895946,22.398648,373.310806,1.570498
0.020000,300.000000,230.000000,0.044797,1.493243,29.864864,373.310806,1.570635
0.020000,300.000000,230.009420,0.082128,2.239865,37.331081,373.310806,1.570851
0.020000,299.999988,230.063176,0.135885,3.135811,44.797297,373.310806,1.571161
0.020000,299.999946,230.136345,0.209054,4.181081,52.263513,373.310806,1.571585
0.020000,299.999844,230.231913,0.304622,5.375676,59.729729,373.310806,1.572141
0.020000,299.999639,230.352865,0.425574,6.719595,67.195945,373.310806,1.572848
0.020000,299.999267,230.502189,0.574899,8.212838,74.662161,373.310806,1.573725
0.020000,299.998642,230.682871,0.755581,9.855405,82.128377,373.310806,1.574794
0.020000,299.997644,230.897896,0.970608,11.647297,89.594593,373.310806,1.576078
0.020000,299.996120,231.150249,1.222966,13.588513,97.060810,373.310806,1.577599
0.020000,299.993868,231.442916,1.515642,15.679054,104.527026,373.310806,1.579384
0.020000,299.990635,231.778881,1.851622,17.918919,111.993242,373.310806,1.581460
0.020000,299.986102,232.161123,2.233892,20.308108,119.459458,373.310806,1.583858
0.020000,299.979873,232.592626,2.665439,22.846621,126.925674,373.310806,1.586611
0.020000,299.971492,233.074871,3.147757,25.385135,126.925674,0.000000,1.589746
0.020000,299.960452,233.607843,3.680845,27.923648,126.925674,-0.000000,1.593284
0.020000,299.946171,234.191525,4.264703,30.462162,126.925674,-0.000000,1.597248
0.020000,299.927991,234.825894,4.899331,33.000675,126.925674,0.000000,1.601663
0.020000,299.905169,235.510913,5.584730,35.539189,126.925674,0.000000,1.606558
0.020000,299.876870,236.246536,6.320899,38.077702,126.925674,0.000000,1.611964
0.020000,299.842155,237.032708,7.107838,40.616216,126.925674,0.000000,1.617916
0.020000,299.799977,237.869354,7.945547,43.154729,126.925674,-0.000000,1.624453
0.020000,299.749168,238.756376,8.834027,45.693243,126.925674,0.000000,1.631616
0.020000,299.688427,239.693659,9.773277,48.231756,126.925674,0.000000,1.639452
0.020000,299.616310,240.681046,10.763297,50.770270,126.925674,-0.000000,1.648010
0.020000,299.531213,241.718348,11.804088,53.308783,126.925674,0.000000,1.657347
0.020000,299.431361,242.805327,12.895648,55.847297,126.925674,-0.000000,1.667521
0.020000,299.314949,243.940204,14.036486,58.236486,119.459458,-373.310806,1.678583
0.020000,299.180218,245.119655,15.223615,60.476351,111.993242,-373.310806,1.690570
0.020000,299.025346,246.340293,16.454047,62.566891,104.527026,-373.310806,1.703520
0.020000,298.848465,247.598663,17.724797,64.508107,97.060810,-373.310806,1.717468
0.020000,298.647676,248.891229,19.032878,66.299999,89.594593,-373.310806,1.732451
0.020000,298.421065,250.214375,20.375304,67.942567,82.128377,-373.310806,1.748500
0.020000,298.166726,251.564392,21.749088,69.435810,74.662161,-373.310806,1.765644
0.020000,297.882789,252.937478,23.151243,70.779729,67.195945,-373.310806,1.783906
0.020000,297.567445,254.329730,24.578783,71.974323,59.729729,-373.310806,1.803304
0.020000,297.218984,255.737147,26.028723,73.019594,52.263513,-373.310806,1.823846
0.020000,296.835830,257.155633,27.498074,73.915540,44.797297,-373.310806,1.845530
0.020000,296.416583,258.580999,28.983851,74.662161,37.331081,-373.310806,1.868342
0.020000,295.960062,260.008980,30.483067,75.259458,29.864864,-373.310806,1.892256
0.020000,295.465350,261.435248,31.992736,75.707431,22.398648,-373.310806,1.917229
0.020000,294.931843,262.855438,33.509871,76.006080,14.932432,-373.310806,1.943203
0.020000,294.359561,264.264543,35.030800,76.086796,4.035790,-544.832133,1.970089
0.020000,293.749611,265.656256,36.550357,75.868863,-10.896643,-746.621612,1.997751
0.020000,293.103457,267.025063,38.064061,75.501606,-18.362859,-373.310806,2.026046
0.020000,292.422492,268.366984,39.568928,74.985024,-25.829075,-373.310806,2.054840
0.020000,291.708587,269.678226,41.061969,74.319119,-33.295291,-373.310806,2.083986
0.020000,290.964095,270.955228,42.540199,73.503888,-40.761507,-373.310806,2.113330
0.020000,290.191836,272.194713,44.000631,72.539334,-48.227723,-373.310806,2.142708
0.020000,289.395074,273.393716,45.440279,71.425455,-55.693939,-373.310806,2.171955
0.020000,288.577480,274.549616,46.856156,70.162252,-63.160155,-373.310806,2.200907
0.020000,287.743088,275.660162,48.245276,68.749725,-70.626372,-373.310806,2.229404
0.020000,286.896240,276.723473,49.604652,67.187873,-78.092588,-373.310806,2.257297
0.020000,286.041531,277.738045,50.931298,65.476697,-85.558804,-373.310806,2.284447
0.020000,285.183753,278.702730,52.222227,63.616196,-93.025020,-373.310806,2.310727
0.020000,284.327831,279.616724,53.474452,61.606372,-100.491236,-373.310806,2.336028
0.020000,283.478779,280.479526,54.684988,59.447223,-107.957452,-373.310806,2.360254
0.020000,282.641634,281.290921,55.850848,57.138749,-115.423668,-373.310806,2.383326
0.020000,281.821436,282.050914,56.969045,54.680952,-122.889884,-373.310806,2.405179
0.020000,281.022652,282.760158,58.037279,52.142438,-126.925674,-201.789479,2.425773
0.020000,280.248496,283.420372,59.054742,49.603925,-126.925674,-0.000000,2.445110
0.020000,279.501360,284.033764,60.021436,47.065411,-126.925674,0.000000,2.463212
0.020000,278.783395,284.602471,60.937359,44.526898,-126.925674,0.000000,2.480108
0.020000,278.096563,285.128521,61.802512,41.988384,-126.925674,0.000000,2.495828
0.020000,277.442607,285.613853,62.616894,39.449871,-126.925674,-0.000000,2.510407
0.020000,276.823096,286.060287,63.380507,36.911357,-126.925674,0.000000,2.523880
0.020000,276.239433,286.469524,64.093349,34.372844,-126.925674,0.000000,2.536279
0.020000,275.692860,286.843150,64.755420,31.834330,-126.925674,-0.000000,2.547641
0.020000,275.184487,287.182624,65.366722,29.295817,-126.925674,0.000000,2.557996
0.020000,274.715290,287.489288,65.927253,26.757303,-126.925674,0.000000,2.567377
0.020000,274.286120,287.764367,66.437014,24.218790,-126.925674,-0.000000,2.575812
0.020000,273.897732,288.008959,66.896005,21.680276,-126.925674,0.000000,2.583328
0.020000,273.550186,288.224412,67.304911,19.210371,-123.495247,171.521327,2.589962
0.020000,273.242190,288.412706,67.665913,16.889791,-116.029031,373.310806,2.595769
0.020000,272.971620,288.576109,67.981996,14.718534,-108.562815,373.310806,2.600815
0.020000,272.736276,288.716734,68.256147,12.696602,-101.096599,373.310806,2.605163
0.020000,272.533885,288.836565,68.491353,10.823995,-93.630383,373.310806,2.608872
0.020000,272.362095,288.937487,68.690600,9.100711,-86.164167,373.310806,2.611998
0.020000,272.218489,289.021299,68.856875,7.526752,-78.697951,373.310806,2.614596
0.020000,272.100619,289.089719,68.993164,6.102118,-71.231735,373.310806,2.616718
0.020000,272.005994,289.144405,69.102453,4.826807,-63.765519,373.310806,2.618415
0.020000,271.932096,289.186964,69.187729,3.700821,-56.299302,373.310806,2.619737
0.020000,271.876384,289.218963,69.251979,2.724160,-48.833086,373.310806,2.620730
0.020000,271.836292,289.241945,69.298189,1.896822,-41.366870,373.310806,2.621444
0.020000,271.809255,289.257422,69.329345,1.218809,-33.900654,373.310806,2.621925
0.020000,271.792681,289.266901,69.348434,0.690120,-26.434438,373.310806,2.622219
0.020000,271.783989,289.271869,69.358443,0.310756,-18.968222,373.310806,2.622374
0.020000,271.780589,289.273812,69.362358,0.080716,-11.502006,373.310806,2.622434
0.020000,271.779888,289.274213,69.363165,0.000000,-4.035790,373.310806,2.622447
0.020000,271.779888,289.274213,69.363165,0.000000,0.000000,201.789479,2.622447
