dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,313.249999,229.994837,0.005067,0.506750,25.337487,1266.874332,1.570407
0.020000,313.250000,229.996382,0.006613,0.077290,-21.473010,-2340.524816,1.570523
0.020000,313.250000,229.999865,0.010096,0.174134,4.842242,1315.762574,1.570786
0.020000,313.249980,230.085389,0.095620,4.276198,205.103199,10013.047871,1.571255
0.020000,313.249868,230.221821,0.232052,6.821581,127.269153,-3891.702301,1.571990
0.020000,313.249541,230.412914,0.423145,9.554696,136.655716,469.328130,1.573026
0.020000,313.248828,230.658760,0.668992,12.292320,136.881210,11.274688,1.574370
0.020000,313.247504,230.959472,0.969707,15.035768,137.172405,14.559783,1.576031
0.020000,313.245289,231.315195,1.325437,17.786487,137.535944,18.176940,1.578019
0.020000,313.241843,231.726097,1.736353,20.545802,137.965775,21.491561,1.580348
0.020000,313.236765,232.192375,2.202659,23.315282,138.473981,25.410274,1.583032
0.020000,313.229584,232.714255,2.724588,26.096471,139.059451,29.273510,1.586090
0.020000,313.219754,233.291983,3.302400,28.890612,139.707044,32.379639,1.589541
0.020000,313.206649,233.925846,3.936399,31.699932,140.466024,37.949010,1.593408
0.020000,313.189556,234.616150,4.626914,34.525765,141.291654,41.281525,1.597716
0.020000,313.167661,235.363236,5.374321,37.370334,142.228429,46.838710,1.602493
0.020000,313.140046,236.167467,6.179026,40.235234,143.245010,50.829052,1.607770
0.020000,313.105673,237.029241,7.041485,43.122964,144.386483,57.073648,1.613581
0.020000,313.063372,237.948982,7.962198,46.035660,145.634820,62.416855,1.619964
0.020000,313.011826,238.927137,8.941710,48.975602,146.997081,68.113078,1.626961
0.020000,312.949558,239.964186,9.980627,51.945841,148.511944,75.743140,1.634616
0.020000,312.874909,241.060620,11.079600,54.948643,150.140121,81.408848,1.642979
0.020000,312.786021,242.216953,12.239344,57.987206,151.928118,89.399829,1.652105
0.020000,312.680812,243.433711,13.460643,61.064927,153.886089,97.898580,1.662051
0.020000,312.556951,244.711414,14.744334,64.184582,155.982734,104.832241,1.672882
0.020000,312.411835,246.050578,16.091338,67.350185,158.280138,114.870207,1.684667
0.020000,312.242552,247.451694,17.502643,70.565278,160.754667,123.726435,1.697480
0.020000,312.045854,248.915204,18.979313,73.833479,163.410025,132.767903,1.711403
0.020000,311.818120,250.441476,20.522482,77.158425,166.247338,141.865664,1.726519
0.020000,311.555323,252.030776,22.133362,80.544031,169.280295,151.647845,1.742922
0.020000,311.252991,253.683212,23.813228,83.993308,172.463854,159.177951,1.760707
0.020000,310.906170,255.398692,25.563415,87.509332,175.801202,166.867383,1.779975
0.020000,310.509402,257.176844,27.385296,91.094044,179.235586,171.719191,1.800830
0.020000,310.056691,259.016937,29.280260,94.748201,182.707867,173.614063,1.823377
0.020000,309.541501,260.917775,31.249678,98.470894,186.134618,171.337578,1.847719
0.020000,308.958584,262.871731,33.288731,101.952643,174.087458,-602.358007,1.873875
0.020000,308.304913,264.864658,35.386121,104.869515,145.843614,-1412.192235,1.901757
0.020000,307.578612,266.881754,37.529993,107.193592,116.203818,-1481.989796,1.931236
0.020000,306.779268,268.907643,39.707877,108.894197,85.030260,-1558.677891,1.962135
0.020000,305.910533,270.921429,41.901055,109.658940,38.237142,-2339.655879,1.994148
0.020000,304.978801,272.902249,44.090068,109.450603,-10.416841,-2432.699149,2.026911
0.020000,303.990710,274.834715,46.260493,108.521287,-46.465805,-1802.448237,2.060101
0.020000,302.955125,276.704072,48.397531,106.851898,-83.469418,-1850.180642,2.093366
0.020000,301.883048,278.496547,50.486147,104.430787,-121.055567,-1879.307454,2.126335
0.020000,300.784223,280.204428,52.516978,101.541577,-144.460525,-1170.247869,2.158726
0.020000,299.665660,281.826386,54.487240,98.513091,-151.424254,-348.186463,2.190369
0.020000,298.534049,283.362404,56.395090,95.392501,-156.029531,-230.263856,2.221127
0.020000,297.395966,284.813145,58.238968,92.193872,-159.931466,-195.096737,2.250880
0.020000,296.257756,286.179892,60.017597,88.931450,-163.121058,-159.479625,2.279532
0.020000,295.125433,287.464468,61.729989,85.619634,-165.590806,-123.487385,2.307010
0.020000,294.004624,288.669137,63.375419,82.271493,-167.407082,-90.813780,2.333258
0.020000,292.900517,289.796516,64.953404,78.899233,-168.612965,-60.294147,2.358240
0.020000,291.817837,290.849482,66.463680,75.513810,-169.271157,-32.909599,2.381935
0.020000,290.760846,291.831087,67.906170,72.124487,-169.466170,-9.750670,2.404340
0.020000,289.733348,292.744477,69.280955,68.739264,-169.261154,10.250807,2.425458
0.020000,288.738716,293.592825,70.588237,65.364114,-168.757479,25.183765,2.445306
0.020000,287.779924,294.379275,71.828312,62.003737,-168.018876,36.930152,2.463906
0.020000,286.859574,295.106898,73.001547,58.661756,-167.099050,45.991257,2.481286
0.020000,285.979921,295.778664,74.108371,55.341200,-166.027761,53.564490,2.497478
0.020000,285.142931,296.397402,75.149231,52.042964,-164.911824,55.796836,2.512516
0.020000,284.350297,296.965792,76.124595,48.768227,-163.736826,58.749899,2.526435
0.020000,283.603472,297.486348,77.034940,45.517219,-162.550424,59.320100,2.539271
0.020000,282.903702,297.961413,77.880731,42.289589,-161.381485,58.446953,2.551060
0.020000,282.252052,298.393152,78.662426,39.084745,-160.242230,56.962734,2.561836
0.020000,281.649445,298.783541,79.380436,35.900497,-159.212392,51.491887,2.571630
0.020000,281.096639,299.134399,80.035185,32.737445,-158.152597,52.989748,2.580474
0.020000,280.594289,299.447357,80.627045,29.592977,-157.223369,46.461446,2.588396
0.020000,280.142951,299.723875,81.156354,26.465477,-156.375030,42.416904,2.595422
0.020000,279.743081,299.965252,81.623429,23.353759,-155.585912,39.455916,2.601576
0.020000,279.395068,300.172616,82.028538,20.255439,-154.915985,33.496350,2.606877
0.020000,279.099211,300.346951,82.371938,17.170004,-154.271727,32.212903,2.611345
