dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.000000,203.000000,0.001508,0.150830,7.541478,377.073906,6.281104
0.020000,65.000000,203.000000,0.007541,0.452489,15.082956,377.073906,6.281179
0.020000,65.000000,203.000000,0.021116,0.904977,22.624434,377.073906,6.281348
0.020000,65.000000,203.000000,0.045249,1.508296,30.165913,377.073906,6.281648
0.020000,65.000000,203.000000,0.082956,2.262443,37.707391,377.073906,6.282117
0.020000,65.000000,203.000000,0.137255,3.167421,45.248869,377.073906,6.282794
0.020000,65.042496,203.000011,0.211161,4.223228,52.790347,377.073906,0.000530
0.020000,65.139021,203.000121,0.307692,5.429864,60.331825,377.073906,0.001734
0.020000,65.261206,203.000426,0.429864,6.787330,67.873303,377.073906,0.003263
0.020000,65.412034,203.001060,0.580694,8.295626,75.414781,377.073906,0.005154
0.020000,65.594534,203.002210,0.763198,9.954751,82.956259,377.073906,0.007449
0.020000,65.811706,203.004125,0.980392,11.764706,90.497738,377.073906,0.010190
0.020000,66.066601,203.007134,1.235294,13.725490,98.039216,377.073906,0.013420
0.020000,66.362176,203.011657,1.530920,15.837104,105.580694,377.073906,0.017186
0.020000,66.701482,203.018226,1.870287,18.099548,113.122172,377.073906,0.021532
0.020000,67.087508,203.027499,2.256410,20.512821,120.663650,377.073906,0.026510
0.020000,67.523200,203.040285,2.692308,23.076923,128.205128,377.073906,0.032169
0.020000,68.010070,203.057504,3.179487,25.641026,128.205128,-0.000000,0.038544
0.020000,68.548071,203.080163,3.717949,28.205128,128.205128,0.000000,0.045652
0.020000,69.137061,203.109386,4.307692,30.769231,128.205128,0.000000,0.053510
0.020000,69.777016,203.146428,4.948718,33.333333,128.205128,0.000000,0.062139
0.020000,70.467793,203.192668,5.641026,35.897436,128.205128,-0.000000,0.071557
0.020000,71.209181,203.249616,6.384615,38.461538,128.205128,0.000000,0.081787
0.020000,72.001021,203.318925,7.179487,41.025641,128.205128,0.000000,0.092850
0.020000,72.843055,203.402388,8.025641,43.589744,128.205128,0.000000,0.104770
0.020000,73.734926,203.501934,8.923077,46.153846,128.205128,-0.000000,0.117567
0.020000,74.676313,203.619653,9.871795,48.717949,128.205128,0.000000,0.131265
0.020000,75.666733,203.757770,10.871795,51.282051,128.205128,-0.000000,0.145884
0.020000,76.705619,203.918660,11.923077,53.846154,128.205128,0.000000,0.161443
0.020000,77.792330,204.104848,13.025641,56.410256,128.205128,-0.000000,0.177957
0.020000,78.926116,204.318998,14.179487,58.974359,128.205128,0.000000,0.195439
0.020000,80.106078,204.563907,15.384615,61.538462,128.205128,-0.000000,0.213896
0.020000,81.331173,204.842494,16.641026,64.102564,128.205128,0.000000,0.233329
