dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.998653,216.250000,0.001529,0.152941,7.647059,382.352941,0.000102
0.020000,25.998837,216.250000,0.001714,0.009228,-7.185670,-741.636434,0.000088
0.020000,25.999252,216.250000,0.002129,0.020770,0.577111,388.139062,0.000056
0.020000,25.999991,216.250000,0.002868,0.036950,0.809005,11.594687,0.000001
0.020000,26.039101,216.249998,0.041978,1.955473,95.926135,4755.856484,6.283099
0.020000,26.095827,216.249990,0.098704,2.836314,44.042064,-2594.203520,6.282973
0.020000,26.173043,216.249967,0.175920,3.860811,51.224857,359.139632,6.282801
0.020000,26.273907,216.249917,0.276783,5.043155,59.117195,394.616913,6.282576
0.020000,26.401577,216.249821,0.404453,6.383502,67.017340,395.007211,6.282290
0.020000,26.559217,216.249652,0.562094,7.882033,74.926533,395.459672,6.281936
0.020000,26.749997,216.249372,0.752874,9.538985,82.847638,396.055236,6.281504
0.020000,26.977089,216.248932,0.979967,11.354644,90.782943,396.765247,6.280986
0.020000,27.243675,216.248264,1.246554,13.329349,98.735239,397.614795,6.280374
0.020000,27.552944,216.247284,1.555824,15.463512,106.708170,398.646571,6.279656
0.020000,27.908093,216.245883,1.910976,17.757597,114.704253,399.804165,6.278824
0.020000,28.312332,216.243926,2.315219,20.212162,122.728216,401.198146,6.277864
0.020000,28.768880,216.241246,2.771775,22.827818,130.782801,402.729220,6.276765
0.020000,29.279392,216.237651,3.282300,25.526235,134.920863,206.903143,6.275518
0.020000,29.843951,216.232928,3.846879,28.228926,135.134534,10.683539,6.274116
0.020000,30.462648,216.226834,4.465606,30.936343,135.370861,11.816318,6.272552
0.020000,31.135582,216.219097,5.138584,33.648945,135.630096,12.961790,6.270818
0.020000,31.862861,216.209408,5.865928,36.367188,135.912142,14.102301,6.268905
0.020000,32.644600,216.197426,6.647759,39.091535,136.217383,15.262034,6.266804
0.020000,33.480921,216.182767,7.484208,41.822436,136.545026,16.382166,6.264506
0.020000,34.371951,216.165010,8.375415,44.560359,136.896167,17.557011,6.262000
0.020000,35.316235,216.143722,9.319939,47.226213,133.292700,-180.173323,6.259279
0.020000,36.310725,216.118487,10.314749,49.740511,125.714914,-378.889322,6.256341
0.020000,37.352364,216.088880,11.356809,52.102996,118.124240,-379.533691,6.253185
0.020000,38.438086,216.054471,12.443076,54.313329,110.516622,-380.380870,6.249808
0.020000,39.564811,216.014830,13.570498,56.371103,102.888699,-381.396176,6.246211
0.020000,40.729447,215.969533,14.736014,58.275826,95.236157,-382.627097,6.242394
0.020000,41.928886,215.918165,15.936553,60.026950,87.556200,-383.997874,6.238358
0.020000,43.160006,215.860328,17.169030,61.623853,79.845148,-385.552565,6.234104
0.020000,44.419663,215.795644,18.430348,63.065860,72.100368,-387.239038,6.229636
0.020000,45.704699,215.723764,19.717392,64.352240,64.319016,-389.067592,6.224958
0.020000,47.011935,215.644371,21.027037,65.482220,56.498974,-391.002094,6.220075
0.020000,48.338172,215.557190,22.356136,66.454975,48.637729,-393.062245,6.214993
0.020000,49.680193,215.461992,23.701529,67.269648,40.733670,-395.202942,6.209720
0.020000,51.034760,215.358598,25.060036,67.925357,32.785434,-397.411792,6.204265
0.020000,52.398616,215.246892,26.428460,68.421191,24.791708,-399.686291,6.198639
0.020000,53.768489,215.126821,27.803585,68.756227,16.751787,-401.996087,6.192854
0.020000,55.141085,214.998404,29.182175,68.929533,8.665300,-404.324337,6.186922
0.020000,56.514716,214.861571,30.562604,69.021432,4.594968,-203.516588,6.180852
0.020000,57.889297,214.716114,31.944860,69.112788,4.567788,-1.358994,6.174644
0.020000,59.264741,214.561831,33.328931,69.203536,4.537436,-1.517609,6.168299
0.020000,60.640957,214.398517,34.714803,69.293605,4.503450,-1.699291,6.161818
0.020000,62.017847,214.225972,36.102461,69.382920,4.465754,-1.884820,6.155202
0.020000,63.395306,214.043998,37.491889,69.471398,4.423861,-2.094653,6.148452
0.020000,64.773229,213.852399,38.883068,69.558968,4.378528,-2.266630,6.141571
0.020000,66.151500,213.650982,40.275979,69.645545,4.328826,-2.485111,6.134558
0.020000,67.530002,213.439556,41.670600,69.731042,4.274838,-2.699399,6.127417
0.020000,68.908609,213.217936,43.066908,69.815371,4.216455,-2.919160,6.120148
0.020000,70.287193,212.985938,44.464876,69.898434,4.153174,-3.164048,6.112754
0.020000,71.665619,212.743386,45.864479,69.980154,4.085995,-3.358930,6.105237
0.020000,73.043746,212.490104,47.265688,70.060432,4.013895,-3.605036,6.097598
0.020000,74.385787,212.232893,48.632155,68.323339,-86.854664,-4543.427922,6.090908
0.020000,75.880516,211.924673,50.158331,76.308823,399.274208,24306.443610,6.069594
0.020000,77.414830,211.575178,51.731947,78.680818,118.599745,-14033.723153,6.048942
0.020000,78.932642,211.196874,53.296193,78.212292,-23.426284,-7101.301481,6.028997
0.020000,80.433204,210.791515,54.850543,77.717482,-24.740488,-65.710200,6.009799
0.020000,81.915942,210.360889,56.394548,77.200240,-25.862101,-56.080640,5.991382
0.020000,83.380441,209.906798,57.927830,76.664120,-26.805992,-47.194547,5.973774
0.020000,84.826441,209.431043,59.450085,76.112740,-27.569011,-38.150964,5.956999
0.020000,86.253824,208.935404,60.961072,75.549339,-28.170048,-30.051828,5.941074
0.020000,87.662600,208.421632,62.460609,74.976853,-28.624298,-22.712478,5.926014
0.020000,89.052893,207.891439,63.948567,74.397901,-28.947588,-16.164502,5.911827
0.020000,90.424928,207.346490,65.424863,73.814794,-29.155392,-10.390212,5.898521
0.020000,91.779016,206.788395,66.889452,73.229487,-29.265338,-5.497286,5.886098
0.020000,93.115540,206.218712,68.342324,72.643591,-29.294788,-1.472515,5.874560
0.020000,94.434947,205.638942,69.783493,72.058441,-29.257499,1.864420,5.863905
0.020000,95.737730,205.050527,71.212995,71.475102,-29.166973,4.526314,5.854131
0.020000,97.024422,204.454855,72.630881,70.894315,-29.039311,6.383125,5.845234
0.020000,98.295583,203.853260,74.037213,70.316559,-28.887848,7.573144,5.837209
0.020000,99.551795,203.247024,75.432057,69.742215,-28.717166,8.534100,5.830050
0.020000,100.793652,202.637382,76.815485,69.171380,-28.541757,8.770425,5.823754
0.020000,102.021752,202.025523,78.187564,68.603957,-28.371161,8.529826,5.818314
0.020000,103.236695,201.412596,79.548360,68.039799,-28.207896,8.163244,5.813725
0.020000,104.439075,200.799711,80.897932,67.478597,-28.060101,7.389727,5.809984
0.020000,105.629474,200.187945,82.236329,66.919894,-27.935121,6.249030,5.807086
