dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.758225,203.000000,0.001521,0.152130,7.606491,380.324544,6.282782
0.020000,25.758225,203.000000,0.007606,0.456389,15.212982,380.324544,6.282792
0.020000,25.758225,203.000000,0.021298,0.912779,22.819473,380.324544,6.282816
0.020000,25.758225,203.000000,0.045639,1.521298,30.425963,380.324544,6.282857
0.020000,25.758225,203.000000,0.083671,2.281947,38.032454,380.324544,6.282922
0.020000,25.758225,203.000000,0.138438,3.194726,45.638945,380.324544,6.283016
0.020000,25.758225,203.000000,0.212982,4.259635,53.245436,380.324544,6.283143
0.020000,25.831106,203.000005,0.310345,5.476673,60.851927,380.324544,0.000124
0.020000,25.954331,203.000033,0.433570,6.845842,68.458418,380.324544,0.000335
0.020000,26.106461,203.000104,0.585700,8.367140,76.064909,380.324544,0.000594
0.020000,26.290538,203.000242,0.769777,10.040568,83.671400,380.324544,0.000908
0.020000,26.509604,203.000481,0.988844,11.866126,91.277890,380.324544,0.001280
0.020000,26.766704,203.000867,1.245943,13.843813,98.884381,380.324544,0.001716
0.020000,27.064878,203.001454,1.544118,15.973631,106.490872,380.324544,0.002221
0.020000,27.407168,203.002313,1.886410,18.255578,114.097363,380.324544,0.002799
0.020000,27.796619,203.003530,2.275862,20.689655,121.703854,380.324544,0.003454
0.020000,28.236271,203.005211,2.715517,23.275862,129.310345,380.324544,0.004192
0.020000,28.727645,203.007473,3.206897,25.862069,129.310345,0.000000,0.005013
0.020000,29.270740,203.010441,3.750000,28.448276,129.310345,0.000000,0.005917
0.020000,29.865556,203.014254,4.344828,31.034483,129.310345,0.000000,0.006902
0.020000,30.512089,203.019060,4.991379,33.620690,129.310345,-0.000000,0.007967
0.020000,31.210339,203.025023,5.689655,36.206897,129.310345,0.000000,0.009110
0.020000,31.960304,203.032314,6.439655,38.793103,129.310345,-0.000000,0.010331
0.020000,32.761980,203.041117,7.241379,41.379310,129.310345,0.000000,0.011628
0.020000,33.615363,203.051625,8.094828,43.965517,129.310345,-0.000000,0.012998
0.020000,34.520450,203.064044,9.000000,46.551724,129.310345,-0.000000,0.014440
0.020000,35.477236,203.078585,9.956897,49.137931,129.310345,0.000000,0.015952
0.020000,36.485716,203.095471,10.965517,51.724138,129.310345,-0.000000,0.017531
0.020000,37.545882,203.114933,12.025862,54.310345,129.310345,0.000000,0.019176
0.020000,38.656206,203.137176,13.136410,56.744422,121.703854,-380.324544,0.020883
0.020000,39.813640,203.162371,14.294118,59.026369,114.097363,-380.324544,0.022643
0.020000,41.015132,203.190669,15.495943,61.156187,106.490872,-380.324544,0.024450
0.020000,42.257632,203.222204,16.738844,63.133874,98.884381,-380.324544,0.026297
0.020000,43.538090,203.257091,18.019777,64.959432,91.277890,-380.324544,0.028178
0.020000,44.853454,203.295424,19.335700,66.632860,83.671400,-380.324544,0.030086
0.020000,46.200674,203.337271,20.683570,68.154158,76.064909,-380.324544,0.032014
0.020000,47.576700,203.382680,22.060345,69.523327,68.458418,-380.324544,0.033957
0.020000,48.978481,203.431672,23.462982,70.740365,60.851927,-380.324544,0.035909
0.020000,50.402967,203.484244,24.888438,71.805274,53.245436,-380.324544,0.037864
0.020000,51.847110,203.540366,26.333671,72.718053,45.638945,-380.324544,0.039816
0.020000,53.307861,203.599985,27.795639,73.478702,38.032454,-380.324544,0.041760
0.020000,54.782173,203.663018,29.271298,74.087221,30.425963,-380.324544,0.043692
0.020000,56.267000,203.729362,30.757606,74.543611,22.819473,-380.324544,0.045605
0.020000,57.759296,203.798884,32.251521,74.847870,15.212982,-380.324544,0.047497
0.020000,59.256017,203.871429,33.750000,75.000000,7.606491,-380.324544,0.049361
0.020000,60.754121,203.946820,35.250000,75.000000,0.000000,-380.324544,0.051196
0.020000,62.252086,204.024933,36.750000,75.000000,0.000000,0.000000,0.052997
0.020000,63.749908,204.105721,38.250000,75.000000,0.000000,0.000000,0.054767
0.020000,65.247587,204.189135,39.750000,75.000000,0.000000,0.000000,0.056503
0.020000,66.745120,204.275125,41.250000,75.000000,0.000000,0.000000,0.058207
0.020000,68.242506,204.363642,42.750000,75.000000,0.000000,0.000000,0.059879
0.020000,69.739743,204.454638,44.250000,75.000000,0.000000,0.000000,0.061518
0.020000,71.236831,204.548062,45.750000,75.000000,0.000000,0.000000,0.063124
0.020000,72.733768,204.643868,47.250000,75.000000,0.000000,0.000000,0.064698
0.020000,74.230554,204.742004,48.750000,75.000000,0.000000,0.000000,0.066239
0.020000,75.727189,204.842422,50.250000,75.000000,0.000000,0.000000,0.067747
0.020000,77.223672,204.945073,51.750000,75.000000,0.000000,0.000000,0.069223
0.020000,78.720004,205.049907,53.250000,75.000000,0.000000,0.000000,0.070665
0.020000,80.216185,205.156876,54.750000,75.000000,0.000000,0.000000,0.072076
0.020000,81.712215,205.265931,56.250000,75.000000,0.000000,0.000000,0.073453
0.020000,83.208096,205.377022,57.750000,75.000000,0.000000,0.000000,0.074798
0.020000,84.703827,205.490099,59.250000,75.000000,0.000000,0.000000,0.076110
0.020000,86.199411,205.605115,60.750000,75.000000,0.000000,0.000000,0.077390
0.020000,87.694849,205.722020,62.250000,75.000000,0.000000,0.000000,0.078636
0.020000,89.190141,205.840764,63.750000,75.000000,0.000000,0.000000,0.079850
0.020000,90.685290,205.961299,65.250000,75.000000,0.000000,0.000000,0.081031
0.020000,92.180298,206.083576,66.750000,75.000000,0.000000,0.000000,0.082180
0.020000,93.675166,206.207545,68.250000,75.000000,0.000000,0.000000,0.083296
0.020000,95.169898,206.333158,69.750000,75.000000,0.000000,0.000000,0.084379
0.020000,96.664494,206.460365,71.250000,75.000000,0.000000,0.000000,0.085429
0.020000,98.158958,206.589117,72.750000,75.000000,0.000000,0.000000,0.086447
0.020000,99.653292,206.719366,74.250000,75.000000,0.000000,0.000000,0.087432
0.020000,101.147500,206.851062,75.750000,75.000000,0.000000,0.000000,0.088384
0.020000,102.641583,206.984156,77.250000,75.000000,0.000000,0.000000,0.089303
0.020000,104.135546,207.118599,78.750000,75.000000,0.000000,0.000000,0.090190
0.020000,105.629391,207.254343,80.250000,75.000000,0.000000,0.000000,0.091044
0.020000,107.123122,207.391338,81.750000,75.000000,0.000000,0.000000,0.091866
0.020000,108.616742,207.529536,83.250000,75.000000,0.000000,0.000000,0.092654
0.020000,110.110255,207.668887,84.750000,75.000000,0.000000,0.000000,0.093410
0.020000,111.603665,207.809343,86.250000,75.000000,0.000000,0.000000,0.094134
0.020000,113.096975,207.950855,87.750000,75.000000,0.000000,0.000000,0.094824
0.020000,114.590189,208.093374,89.250000,75.000000,0.000000,0.000000,0.095482
0.020000,116.083311,208.236851,90.750000,75.000000,0.000000,0.000000,0.096108
0.020000,117.576346,208.381237,92.250000,75.000000,0.000000,0.000000,0.096700
0.020000,119.069297,208.526484,93.750000,75.000000,0.000000,0.000000,0.097260
0.020000,120.562169,208.672542,95.250000,75.000000,0.000000,0.000000,0.097788
0.020000,122.054966,208.819364,96.750000,75.000000,0.000000,0.000000,0.098283
0.020000,123.547693,208.966899,98.250000,75.000000,0.000000,0.000000,0.098745
0.020000,125.040354,209.115100,99.750000,75.000000,0.000000,0.000000,0.099174
0.020000,126.532954,209.263918,101.250000,75.000000,0.000000,0.000000,0.099571
0.020000,128.025496,209.413303,102.750000,75.000000,0.000000,0.000000,0.099935
0.020000,129.517987,209.563208,104.250000,75.000000,0.000000,0.000000,0.100267
0.020000,131.010430,209.713583,105.750000,75.000000,0.000000,0.000000,0.100566
0.020000,132.502831,209.864380,107.250000,75.000000,0.000000,0.000000,0.100832
0.020000,133.995194,210.015551,108.750000,75.000000,0.000000,0.000000,0.101066
0.020000,135.487525,210.167045,110.250000,75.000000,0.000000,0.000000,0.101267
0.020000,136.979827,210.318816,111.750000,75.000000,0.000000,0.000000,0.101435
0.020000,138.472106,210.470813,113.250000,75.000000,0.000000,0.000000,0.101571
0.020000,139.964367,210.622989,114.750000,75.000000,0.000000,0.000000,0.101674
0.020000,141.456614,210.775295,116.250000,75.000000,0.000000,0.000000,0.101745
0.020000,142.948854,210.927682,117.750000,75.000000,0.000000,0.000000,0.101783
0.020000,144.441090,211.080102,119.250000,75.000000,0.000000,0.000000,0.101789
0.020000,145.933327,211.232505,120.750000,75.000000,0.000000,0.000000,0.101762
0.020000,147.425572,211.384843,122.250000,75.000000,0.000000,0.000000,0.101702
0.020000,148.917827,211.537068,123.750000,75.000000,0.000000,0.000000,0.101609
0.020000,150.410100,211.689131,125.250000,75.000000,0.000000,0.000000,0.101484
0.020000,151.902394,211.840983,126.750000,75.000000,0.000000,0.000000,0.101327
0.020000,153.394714,211.992576,128.250000,75.000000,0.000000,0.000000,0.101137
0.020000,154.887065,212.143860,129.750000,75.000000,0.000000,0.000000,0.100914
0.020000,156.379453,212.294788,131.250000,75.000000,0.000000,0.000000,0.100659
0.020000,157.871882,212.445310,132.750000,75.000000,0.000000,0.000000,0.100371
0.020000,159.364356,212.595378,134.250000,75.000000,0.000000,0.000000,0.100050
0.020000,160.856881,212.744943,135.750000,75.000000,0.000000,0.000000,0.099697
0.020000,162.349461,212.893956,137.250000,75.000000,0.000000,0.000000,0.099311
0.020000,163.842101,213.042369,138.750000,75.000000,0.000000,0.000000,0.098892
0.020000,165.334805,213.190133,140.250000,75.000000,0.000000,0.000000,0.098441
0.020000,166.827578,213.337200,141.750000,75.000000,0.000000,0.000000,0.097957
0.020000,168.320424,213.483519,143.250000,75.000000,0.000000,0.000000,0.097441
0.020000,169.813348,213.629044,144.750000,75.000000,0.000000,0.000000,0.096892
0.020000,171.306355,213.773724,146.250000,75.000000,0.000000,0.000000,0.096310
0.020000,172.799447,213.917511,147.750000,75.000000,0.000000,0.000000,0.095696
0.020000,174.292630,214.060356,149.250000,75.000000,0.000000,0.000000,0.095049
0.020000,175.785907,214.202211,150.750000,75.000000,0.000000,0.000000,0.094369
0.020000,177.279283,214.343027,152.250000,75.000000,0.000000,0.000000,0.093656
0.020000,178.772761,214.482754,153.750000,75.000000,0.000000,0.000000,0.092911
0.020000,180.266345,214.621344,155.250000,75.000000,0.000000,0.000000,0.092134
0.020000,181.760038,214.758747,156.750000,75.000000,0.000000,0.000000,0.091323
0.020000,183.253845,214.894916,158.250000,75.000000,0.000000,0.000000,0.090480
0.020000,184.747768,215.029801,159.750000,75.000000,0.000000,0.000000,0.089604
0.020000,186.241810,215.163353,161.250000,75.000000,0.000000,0.000000,0.088696
0.020000,187.735976,215.295523,162.750000,75.000000,0.000000,0.000000,0.087754
0.020000,189.230268,215.426262,164.250000,75.000000,0.000000,0.000000,0.086781
0.020000,190.724688,215.555522,165.750000,75.000000,0.000000,0.000000,0.085774
0.020000,192.219240,215.683252,167.250000,75.000000,0.000000,0.000000,0.084734
0.020000,193.713925,215.809405,168.750000,75.000000,0.000000,0.000000,0.083662
0.020000,195.208747,215.933930,170.250000,75.000000,0.000000,0.000000,0.082558
0.020000,196.703708,216.056780,171.750000,75.000000,0.000000,0.000000,0.081420
0.020000,198.198810,216.177904,173.250000,75.000000,0.000000,0.000000,0.080250
0.020000,199.694054,216.297254,174.750000,75.000000,0.000000,0.000000,0.079047
0.020000,201.189442,216.414781,176.250000,75.000000,0.000000,0.000000,0.077811
0.020000,202.684977,216.530436,177.750000,75.000000,0.000000,0.000000,0.076543
0.020000,204.180659,216.644169,179.250000,75.000000,0.000000,0.000000,0.075242
0.020000,205.676489,216.755931,180.750000,75.000000,0.000000,0.000000,0.073908
0.020000,207.172469,216.865674,182.250000,75.000000,0.000000,0.000000,0.072541
0.020000,208.668600,216.973348,183.750000,75.000000,0.000000,0.000000,0.071142
0.020000,210.164881,217.078903,185.250000,75.000000,0.000000,0.000000,0.069710
0.020000,211.661314,217.182292,186.750000,75.000000,0.000000,0.000000,0.068245
0.020000,213.157898,217.283464,188.250000,75.000000,0.000000,0.000000,0.066748
0.020000,214.654633,217.382370,189.750000,75.000000,0.000000,0.000000,0.065218
0.020000,216.151520,217.478962,191.250000,75.000000,0.000000,0.000000,0.063655
0.020000,217.648557,217.573191,192.750000,75.000000,0.000000,0.000000,0.062060
0.020000,219.145744,217.665006,194.250000,75.000000,0.000000,0.000000,0.060432
0.020000,220.643080,217.754360,195.750000,75.000000,0.000000,0.000000,0.058771
0.020000,222.140564,217.841203,197.250000,75.000000,0.000000,0.000000,0.057078
0.020000,223.638194,217.925485,198.750000,75.000000,0.000000,0.000000,0.055352
0.020000,225.135969,218.007159,200.250000,75.000000,0.000000,0.000000,0.053594
0.020000,226.633886,218.086174,201.750000,75.000000,0.000000,0.000000,0.051803
0.020000,228.131943,218.162483,203.250000,75.000000,0.000000,0.000000,0.049980
0.020000,229.628888,218.235975,204.748748,74.874787,-6.260651,-313.032537,0.048126
0.020000,231.121946,218.306482,206.243470,74.597444,-13.867142,-380.324544,0.046244
0.020000,232.608074,218.373841,207.731124,74.167972,-21.473632,-380.324544,0.044340
0.020000,234.084227,218.437918,209.208668,73.586369,-29.080123,-380.324544,0.042416
0.020000,235.547359,218.498600,210.673058,72.852637,-36.686614,-380.324544,0.040479
0.020000,236.994423,218.555802,212.121252,71.966775,-44.293105,-380.324544,0.038534
0.020000,238.422371,218.609463,213.550207,70.928783,-51.899596,-380.324544,0.036584
0.020000,239.828153,218.659547,214.956882,69.738661,-59.506087,-380.324544,0.034636
0.020000,241.208720,218.706047,216.338233,68.396409,-67.112578,-380.324544,0.032696
0.020000,242.561023,218.748977,217.691217,66.902028,-74.719069,-380.324544,0.030770
0.020000,243.882011,218.788378,219.012792,65.255517,-82.325559,-380.324544,0.028862
0.020000,245.168633,218.824314,220.299916,63.456876,-89.932050,-380.324544,0.026981
0.020000,246.417838,218.856874,221.549546,61.506105,-97.538541,-380.324544,0.025132
0.020000,247.626576,218.886165,222.758639,59.403204,-105.145032,-380.324544,0.023322
0.020000,248.791796,218.912319,223.924153,57.148174,-112.751523,-380.324544,0.021557
0.020000,249.910448,218.935481,225.043045,54.741014,-120.358014,-380.324544,0.019845
0.020000,250.979483,218.955817,226.112272,52.181724,-127.964505,-380.324544,0.018193
0.020000,251.997100,218.973525,227.130045,49.595517,-129.310345,-67.292007,0.016605
0.020000,252.963027,218.988832,228.096093,47.009310,-129.310345,0.000000,0.015084
0.020000,253.877257,219.001960,229.010417,44.423103,-129.310345,-0.000000,0.013633
0.020000,254.739785,219.013125,229.873017,41.836896,-129.310345,0.000000,0.012252
0.020000,255.550606,219.022531,230.683893,39.250689,-129.310345,-0.000000,0.010946
0.020000,256.309717,219.030373,231.443045,36.664482,-129.310345,0.000000,0.009714
0.020000,257.017115,219.036837,232.150472,34.078275,-129.310345,-0.000000,0.008559
0.020000,257.672797,219.042096,232.806176,31.492068,-129.310345,0.000000,0.007482
0.020000,258.276762,219.046314,233.410155,28.905862,-129.310345,0.000000,0.006485
0.020000,258.829007,219.049642,233.962410,26.319655,-129.310345,0.000000,0.005568
0.020000,259.329531,219.052221,234.462941,23.733448,-129.310345,-0.000000,0.004734
0.020000,259.778334,219.054177,234.911748,21.147241,-129.310345,0.000000,0.003983
0.020000,260.176666,219.055631,235.310083,18.686247,-123.049694,313.032537,0.003315
0.020000,260.527301,219.056690,235.660719,16.377383,-115.443203,380.324544,0.002724
0.020000,260.833280,219.057444,235.966700,14.220649,-107.836712,380.324544,0.002207
0.020000,261.097646,219.057969,236.231066,12.216044,-100.230221,380.324544,0.001760
0.020000,261.323442,219.058323,236.456863,10.363570,-92.623731,380.324544,0.001377
0.020000,261.513710,219.058554,236.647131,8.663225,-85.017240,380.324544,0.001054
0.020000,261.671493,219.058699,236.804913,7.115010,-77.410749,380.324544,0.000785
0.020000,261.799831,219.058786,236.933252,5.718925,-69.804258,380.324544,0.000567
0.020000,261.901771,219.058835,237.035191,4.474969,-62.197767,380.324544,0.000393
0.020000,261.980352,219.058860,237.113772,3.383144,-54.591276,380.324544,0.000259
0.020000,262.038617,219.058873,237.172038,2.443448,-46.984785,380.324544,0.000159
0.020000,262.079611,219.058878,237.213032,1.655882,-39.378294,380.324544,0.000089
0.020000,262.106375,219.058880,237.239795,1.020446,-31.771804,380.324544,0.000044
0.020000,262.121951,219.058880,237.255371,0.537140,-24.165313,380.324544,0.000017
0.020000,262.129382,219.058880,237.262802,0.205963,-16.558822,380.324544,0.000004
0.020000,262.131711,219.058880,237.265131,0.026917,-8.952331,380.324544,0.000000
0.020000,262.131980,219.058880,237.265400,0.000000,-1.345840,380.324544,6.283185
0.020000,262.131980,219.058880,237.265400,0.000000,0.000000,67.292007,6.283185
