dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.001347,189.750000,0.001529,0.152941,7.647059,382.352941,0.000102
0.020000,26.001163,189.750000,0.001714,0.009228,-7.185670,-741.636434,0.000088
0.020000,26.000748,189.750000,0.002129,0.020770,0.577111,388.139062,0.000056
0.020000,26.000009,189.750000,0.002868,0.036950,0.809005,11.594687,0.000001
0.020000,26.036806,189.749998,0.039666,1.839872,90.146082,4466.853833,6.283099
0.020000,26.090197,189.749990,0.093057,2.669566,41.484694,-2433.069383,6.282973
0.020000,26.162863,189.749969,0.165723,3.633311,48.187255,335.128069,6.282801
0.020000,26.257765,189.749922,0.260625,4.745079,55.588422,370.058342,6.282576
0.020000,26.377860,189.749831,0.380720,6.004735,62.982771,369.717435,6.282290
0.020000,26.526101,189.749672,0.528961,7.412084,70.367457,369.234296,6.281936
0.020000,26.705439,189.749410,0.708299,8.966897,77.740652,368.659745,6.281504
0.020000,26.918816,189.748996,0.921677,10.668886,85.099479,367.941370,6.280986
0.020000,27.169170,189.748369,1.172031,12.517707,92.441023,367.077192,6.280374
0.020000,27.459427,189.747449,1.462290,14.512960,99.762654,366.081551,6.279656
0.020000,27.792508,189.746135,1.795374,16.654163,107.060165,364.875551,6.278824
0.020000,28.171319,189.744301,2.174189,18.940781,114.330902,363.536842,6.277864
0.020000,28.598756,189.741792,2.601633,21.372178,121.569821,361.945940,6.276765
0.020000,29.076219,189.738430,3.079108,23.873762,125.079198,175.468859,6.275518
0.020000,29.603622,189.734018,3.606529,26.371072,124.865501,-10.684867,6.274116
0.020000,30.180867,189.728333,4.183802,28.863651,124.628979,-11.826099,6.272552
0.020000,30.807846,189.721124,4.810823,31.351046,124.369750,-12.961430,6.270818
0.020000,31.484442,189.712111,5.487479,33.832798,124.087608,-14.107111,6.268905
0.020000,32.210526,189.700981,6.213648,36.308455,123.782807,-15.240053,6.266804
0.020000,32.985958,189.687390,6.989199,38.777545,123.454529,-16.413896,6.264506
0.020000,33.810587,189.670956,7.813992,41.239620,123.103740,-17.539463,6.262000
0.020000,34.682781,189.651294,8.686408,43.620815,119.059753,-202.199304,6.259279
0.020000,35.599440,189.628034,9.603362,45.847689,111.343718,-385.801793,6.256341
0.020000,36.557463,189.600805,10.561772,47.920494,103.640222,-385.174761,6.253185
0.020000,37.553754,189.569231,11.558563,49.839561,95.953369,-384.342671,6.249808
0.020000,38.585222,189.532942,12.590669,51.605311,88.287478,-383.294550,6.246211
0.020000,39.648782,189.491577,13.655034,53.218222,80.645575,-382.095128,6.242394
0.020000,40.741358,189.444787,14.748611,54.678855,73.031642,-380.696668,6.238358
0.020000,41.859881,189.392240,15.868367,55.987823,65.448403,-379.161976,6.234104
0.020000,43.001293,189.333629,17.011283,57.145804,57.899064,-377.466912,6.229636
0.020000,44.162549,189.268674,18.174354,58.153527,50.386153,-375.645566,6.224958
0.020000,45.340613,189.197128,19.354589,59.011774,42.912328,-373.691253,6.220075
0.020000,46.532468,189.118782,20.549016,59.721361,35.479341,-371.649359,6.214993
0.020000,47.735109,189.033472,21.754679,60.283144,28.089174,-369.508359,6.209720
0.020000,48.945549,188.941081,22.968640,60.698012,20.743410,-367.288187,6.204265
0.020000,50.160817,188.841547,24.187977,60.966873,13.443025,-365.019249,6.198639
0.020000,51.377963,188.734864,25.409790,61.090650,6.188852,-362.708641,6.192854
0.020000,52.594059,188.621091,26.631196,61.070276,-1.018690,-360.377120,6.186922
0.020000,53.807620,188.500204,27.850763,60.978369,-4.595369,-178.833946,6.180852
0.020000,55.018599,188.372062,29.068503,60.887001,-4.568411,1.347928,6.174644
0.020000,56.226946,188.236523,30.284428,60.796243,-4.537860,1.527542,6.168299
0.020000,57.432610,188.093451,31.498551,60.706167,-4.503824,1.701799,6.161818
0.020000,58.635539,187.942708,32.710888,60.616845,-4.466078,1.887311,6.155202
0.020000,59.835678,187.784161,33.921455,60.528350,-4.424763,2.065748,6.148452
0.020000,61.032975,187.617680,35.130270,60.440771,-4.378949,2.290702,6.141571
0.020000,62.227372,187.443135,36.337354,60.354187,-4.329192,2.487842,6.134558
0.020000,63.418814,187.260401,37.542728,60.268684,-4.275178,2.700680,6.127417
0.020000,64.607243,187.069355,38.746415,60.184348,-4.216782,2.919828,6.120148
0.020000,65.792601,186.869877,39.948440,60.101263,-4.154234,3.127371,6.112754
0.020000,66.974829,186.661850,41.148831,60.019533,-4.086499,3.386769,6.105237
0.020000,68.153867,186.445160,42.347616,59.939247,-4.014308,3.609550,6.097598
0.020000,69.321788,186.221244,43.536808,59.459607,-23.982035,-998.386378,6.090908
0.020000,70.263296,186.026858,44.498174,48.068283,-569.566189,-27279.207684,6.069594
0.020000,71.263996,185.798886,45.524512,51.316920,162.431853,36599.902082,6.048942
0.020000,72.268954,185.548380,46.560222,51.785480,23.428009,-6950.192153,6.028997
0.020000,73.278373,185.275669,47.605830,52.280437,24.747827,65.990897,6.009799
0.020000,74.292423,184.981134,48.661789,52.797943,25.875343,56.375762,5.991382
0.020000,75.311247,184.665203,49.728473,53.334177,26.811674,46.816575,5.973774
0.020000,76.334966,184.328356,50.806187,53.885702,27.576237,38.228161,5.956999
0.020000,77.363689,183.971119,51.895172,54.449264,28.178099,30.093081,5.941074
0.020000,78.397514,183.594063,52.995610,55.021903,28.631979,22.694023,5.926014
0.020000,79.436535,183.197803,54.107630,55.600987,28.954199,16.110989,5.911827
0.020000,80.480853,182.782993,55.231314,56.184234,29.162353,10.407709,5.898521
0.020000,81.530574,182.350321,56.366708,56.769684,29.272477,5.506164,5.886098
0.020000,82.585818,181.900510,57.513822,57.355683,29.299976,1.374943,5.874560
0.020000,83.646722,181.434310,58.672640,57.940918,29.261714,-1.913076,5.863905
0.020000,84.713444,180.952495,59.843128,58.524380,29.173098,-4.430799,5.854131
0.020000,85.786165,180.455863,61.025233,59.105286,29.045309,-6.389429,5.845234
0.020000,86.865091,179.945230,62.218895,59.683073,28.889339,-7.798536,5.837209
0.020000,87.950457,179.421429,63.424045,60.257498,28.721291,-8.402402,5.830050
0.020000,89.042525,178.885308,64.640614,60.828431,28.546639,-8.732590,5.823754
0.020000,90.141587,178.337727,65.868531,61.395881,28.372507,-8.706590,5.818314
0.020000,91.247965,177.779561,67.107733,61.960082,28.210060,-8.122360,5.813725
0.020000,92.362009,177.211695,68.358160,62.521352,28.063460,-7.329979,5.809984
0.020000,93.484102,176.635027,69.619761,63.080059,27.935350,-6.405520,5.807086
0.020000,94.614653,176.050468,70.892496,63.636736,27.833863,-5.074352,5.805028
0.020000,95.754099,175.458943,72.176334,64.191918,27.759087,-3.738806,5.803808
0.020000,96.902906,174.861389,73.471258,64.746184,27.713319,-2.288410,5.803425
0.020000,98.061564,174.258764,74.777261,65.300169,27.699242,-0.703809,5.803878
0.020000,99.230586,173.652042,76.094351,65.854482,27.715660,0.820902,5.805168
0.020000,100.410510,173.042221,77.422546,66.409755,27.763622,2.398062,5.807296
0.020000,101.601890,172.430321,78.761877,66.966546,27.839551,3.796454,5.810264
0.020000,102.805298,171.817391,80.112385,67.525432,27.944305,5.237731,5.814076
0.020000,104.021318,171.204510,81.474123,68.086888,28.072819,6.425677,5.818736
0.020000,105.250546,170.592792,82.847149,68.651288,28.220015,7.359782,5.824247
0.020000,106.493581,169.983389,84.231529,69.218989,28.385037,8.251108,5.830616
0.020000,107.751021,169.377493,85.627332,69.790144,28.557760,8.636184,5.837847
0.020000,109.023460,168.776344,87.034627,70.364765,28.731035,8.663710,5.845945
0.020000,110.311476,168.181227,88.453482,70.942761,28.899797,8.438101,5.854915
0.020000,111.615630,167.593481,89.883959,71.523828,29.053343,7.677298,5.864763
0.020000,112.936450,167.014498,91.326106,72.107347,29.175983,6.132019,5.875492
0.020000,114.273838,166.445973,92.779318,72.660603,27.662783,-75.660020,5.887098
0.020000,115.626006,165.890284,94.241217,73.094976,21.718655,-297.206365,5.899562
0.020000,116.989970,165.350167,95.708229,73.350598,12.781068,-446.879348,5.912844
0.020000,118.362494,164.828245,97.176638,73.420422,3.491202,-464.493331,5.926895
0.020000,119.740082,164.326993,98.642585,73.297386,-6.151772,-482.148668,5.941654
0.020000,121.118969,163.848688,100.102074,72.974414,-16.148632,-499.842993,5.957051
0.020000,122.495123,163.395373,101.550967,72.444684,-26.486479,-516.892363,5.973003
0.020000,123.864248,162.968815,102.985003,71.701762,-37.146086,-532.980369,5.989421
0.020000,125.221807,162.570465,104.399798,70.739792,-48.098518,-547.621595,6.006204
0.020000,126.563036,162.201428,105.790871,69.553654,-59.306871,-560.417642,6.023245
0.020000,127.882985,161.862439,107.153655,68.139160,-70.724743,-570.893620,6.040431
0.020000,129.176547,161.553845,108.483517,66.493124,-82.301802,-578.852934,6.057641
0.020000,130.438507,161.275594,109.775789,64.613598,-93.976299,-583.724868,6.074755
0.020000,131.663576,161.027248,111.025777,62.499380,-105.710856,-586.727833,6.091650
0.020000,132.846445,160.807988,112.228796,60.150959,-117.421090,-585.511683,6.108202
0.020000,133.981825,160.616646,113.380185,57.569481,-129.073891,-582.640063,6.124290
0.020000,135.064481,160.451737,114.475329,54.757188,-140.614641,-577.037485,6.139798
0.020000,136.089961,160.311418,115.510364,51.751757,-150.271552,-482.845547,6.154622
0.020000,137.055828,160.193446,116.483410,48.652283,-154.973696,-235.107204,6.168691
0.020000,137.960987,160.095428,117.393860,45.522510,-156.488641,-75.747288,6.181961
0.020000,138.804515,160.015038,118.241210,42.367511,-157.749955,-63.065671,6.194392
0.020000,139.585644,159.950042,119.025039,39.191414,-158.804864,-52.745448,6.205954
0.020000,140.303742,159.898321,119.744997,35.997915,-159.674925,-43.503049,6.216621
0.020000,140.958316,159.857888,120.400819,32.791092,-160.341191,-33.313309,6.226371
0.020000,141.548972,159.826905,120.992286,29.573380,-160.885580,-27.219473,6.235189
