dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.221022,216.765028,0.001471,0.147059,7.352941,367.647059,0.000091
0.020000,25.221139,216.765028,0.001587,0.005823,-7.061780,-720.736040,0.000082
0.020000,25.221400,216.765028,0.001849,0.013084,0.363053,371.241619,0.000063
0.020000,25.221864,216.765028,0.002313,0.023199,0.505759,7.135325,0.000028
0.020000,25.240734,216.765027,0.021182,0.943481,46.014076,2275.415850,6.283158
0.020000,25.294708,216.765024,0.075156,2.698694,87.760661,2087.329253,6.283081
0.020000,25.368159,216.765012,0.148608,3.672579,48.694241,-1953.321006,6.282975
0.020000,25.464074,216.764986,0.244522,4.795728,56.157424,373.159163,6.282840
0.020000,25.585430,216.764934,0.365878,6.067785,63.602879,372.272715,6.282671
0.020000,25.735196,216.764841,0.515644,7.488313,71.026381,371.175118,6.282467
0.020000,25.916331,216.764689,0.696779,9.056743,78.421499,369.755884,6.282226
0.020000,26.131779,216.764452,0.912227,10.772407,85.783237,368.086901,6.281948
0.020000,26.384468,216.764099,1.164917,12.634489,93.104102,366.043246,6.281634
0.020000,26.677308,216.763594,1.457758,14.642027,100.376855,363.637643,6.281286
0.020000,27.013186,216.762892,1.793636,16.793903,107.593804,360.847493,6.280909
0.020000,27.394961,216.761945,2.175412,19.088824,114.746066,357.613057,6.280508
0.020000,27.825465,216.760702,2.605919,21.525321,121.824850,353.939202,6.280093
0.020000,28.306011,216.759113,3.086466,24.027388,125.103355,163.925272,6.279674
0.020000,28.836394,216.757141,3.616854,26.519364,124.598788,-25.228378,6.279268
0.020000,29.416393,216.754756,4.196857,29.000189,124.041243,-27.877240,6.278890
0.020000,30.045763,216.751944,4.826234,31.468806,123.430862,-30.519043,6.278560
0.020000,30.724238,216.748711,5.504717,33.924160,122.767689,-33.158639,6.278297
0.020000,31.450059,216.745093,6.230547,36.291503,118.367155,-220.026684,6.278123
0.020000,32.219987,216.741164,7.000485,38.496886,110.269173,-404.899124,6.278061
0.020000,33.030790,216.737029,7.811298,40.540665,102.188919,-404.012683,6.278133
0.020000,33.879247,216.732827,8.659765,42.423368,94.135152,-402.688384,6.278360
0.020000,34.762151,216.728731,9.542679,44.145693,86.116253,-400.944932,6.278761
0.020000,35.676313,216.724945,10.456849,45.708488,78.139745,-398.825419,6.279357
0.020000,36.618562,216.721702,11.399104,47.112738,70.212537,-396.360391,6.280163
0.020000,37.585751,216.719262,12.366295,48.359570,62.341599,-393.546895,6.281197
0.020000,38.574754,216.717907,13.355299,49.450210,54.531979,-390.480983,6.282470
0.020000,39.582474,216.717936,14.363019,50.386005,46.789749,-387.111489,0.000811
0.020000,40.605841,216.719661,15.386387,51.168408,39.120161,-383.479404,0.002599
0.020000,41.641813,216.723397,16.422366,51.798931,31.526159,-379.700140,0.004656
0.020000,42.687379,216.729462,17.467950,52.279193,24.013090,-375.653428,0.006987
0.020000,43.739560,216.738163,18.520167,52.610874,16.584030,-371.452991,0.009595
0.020000,44.795411,216.749792,19.576082,52.795710,9.241800,-367.111530,0.012478
0.020000,45.852016,216.764621,20.632791,52.835481,1.988543,-362.662833,0.015634
0.020000,46.906498,216.782889,21.687432,52.732030,-5.172510,-358.052627,0.019057
0.020000,47.957416,216.804833,22.738579,52.557348,-8.734127,-178.080858,0.022744
0.020000,49.004743,216.830704,23.786225,52.382293,-8.752731,-0.930223,0.026696
0.020000,50.048448,216.860751,24.830362,52.206886,-8.770364,-0.881616,0.030912
0.020000,51.088500,216.895219,25.870985,52.031132,-8.787700,-0.866807,0.035393
0.020000,52.124863,216.934353,26.908087,51.855095,-8.801825,-0.706279,0.040140
0.020000,53.157500,216.978393,27.941662,51.678782,-8.815687,-0.693073,0.045153
0.020000,54.186370,217.027578,28.971708,51.502274,-8.825386,-0.484956,0.050432
0.020000,55.211432,217.082144,29.998220,51.325624,-8.832517,-0.356557,0.055978
0.020000,56.232638,217.142323,31.021199,51.148907,-8.835846,-0.166456,0.061791
0.020000,57.249943,217.208344,32.040643,50.972228,-8.833945,0.095045,0.067871
0.020000,58.263295,217.280433,33.056556,50.795668,-8.827966,0.298979,0.074217
0.020000,59.272644,217.358813,34.068944,50.619363,-8.815298,0.633407,0.080829
0.020000,60.277934,217.443704,35.077812,50.443433,-8.796459,0.941944,0.087707
0.020000,61.279112,217.535320,36.083173,50.268028,-8.770284,1.308722,0.094849
0.020000,62.276119,217.633872,37.085039,50.093307,-8.736030,1.712706,0.102255
0.020000,63.268897,217.739568,38.083428,49.919448,-8.692974,2.152789,0.109924
0.020000,64.257387,217.852611,39.078361,49.746640,-8.640390,2.629228,0.117853
0.020000,65.241529,217.973199,40.069863,49.575087,-8.577648,3.137093,0.126042
0.020000,66.221261,218.101526,41.057963,49.405024,-8.503145,3.725160,0.134487
0.020000,67.196522,218.237781,42.042696,49.236660,-8.418172,4.248644,0.143186
0.020000,68.167251,218.382148,43.024102,49.070282,-8.318930,4.962114,0.152136
0.020000,69.133388,218.534805,44.002225,48.906129,-8.207628,5.565076,0.161334
0.020000,70.094871,218.695925,44.977114,48.744482,-8.082380,6.262387,0.170776
0.020000,71.051642,218.865677,45.948827,48.585657,-7.941219,7.058072,0.180458
0.020000,72.003641,219.044223,46.917425,48.429894,-7.788165,7.652700,0.190375
0.020000,72.950814,219.231718,47.882977,48.277601,-7.614639,8.676310,0.200521
0.020000,73.893103,219.428314,48.845556,48.128961,-7.431998,9.132010,0.210892
0.020000,74.830458,219.634155,49.805246,47.984464,-7.224880,10.355905,0.221482
0.020000,75.762824,219.849378,50.762131,47.844248,-7.010764,10.705811,0.232282
0.020000,76.690157,220.074117,51.716307,47.708835,-6.770646,12.005896,0.243287
0.020000,77.612408,220.308496,52.667875,47.578384,-6.522590,12.402800,0.254489
0.020000,78.529536,220.552636,53.616942,47.453330,-6.252685,13.495260,0.265880
0.020000,79.441500,220.806649,54.563621,47.333983,-5.967346,14.266959,0.277451
0.020000,80.348263,221.070642,55.508031,47.220508,-5.673732,14.680689,0.289193
0.020000,81.249792,221.344714,56.450300,47.113408,-5.355016,15.935809,0.301097
0.020000,82.146055,221.628959,57.390557,47.012863,-5.027254,16.388077,0.313153
0.020000,83.037026,221.923464,58.328940,46.919130,-4.686632,17.031135,0.325350
0.020000,83.778566,222.181600,59.114124,39.259237,-382.994686,-18915.402739,0.346164
0.020000,84.522779,222.459751,59.908618,39.724710,23.273656,20313.417099,0.369220
0.020000,85.258908,222.754450,60.701546,39.646383,-3.916362,-1359.500891,0.392394
0.020000,85.987150,223.065794,61.493551,39.600234,-2.307429,80.446673,0.415638
0.020000,86.707716,223.393883,62.285294,39.587176,-0.652917,82.725584,0.438901
0.020000,87.420829,223.738817,63.077449,39.607757,1.029057,84.098687,0.462133
0.020000,88.126718,224.100694,63.870692,39.662139,2.719105,84.502396,0.485283
0.020000,88.825611,224.479612,64.665695,39.750153,4.400720,84.080764,0.508301
0.020000,89.517731,224.875656,65.463116,39.871060,6.045317,82.229841,0.531135
0.020000,90.203291,225.288902,66.263595,40.023910,7.642502,79.859272,0.553739
0.020000,90.882489,225.719412,67.067739,40.207242,9.166596,76.204712,0.576067
0.020000,91.555509,226.167223,67.876127,40.419373,10.606558,71.998099,0.598074
0.020000,92.222512,226.632353,68.689294,40.658336,11.948176,67.080906,0.619721
0.020000,92.883645,227.114791,69.507733,40.921948,13.180579,61.620147,0.640969
0.020000,93.539030,227.614497,70.331890,41.207869,14.296073,55.774702,0.661787
0.020000,94.188775,228.131396,71.162163,41.513664,15.289718,49.682235,0.682142
0.020000,94.832969,228.665384,71.998900,41.836848,16.159238,43.476007,0.702010
0.020000,95.471685,229.216321,72.842399,42.174945,16.904839,37.280018,0.721368
0.020000,96.104987,229.784033,73.692910,42.525524,17.528944,31.205264,0.740196
0.020000,96.732928,230.368313,74.550634,42.886242,18.035887,25.347171,0.758480
0.020000,97.355552,230.968923,75.415732,43.254873,18.431571,19.784191,0.776208
0.020000,97.972903,231.585596,76.288319,43.629336,18.723120,14.577423,0.793370
0.020000,98.585022,232.218037,77.168473,44.007706,18.918542,9.771100,0.809962
0.020000,99.191951,232.865928,78.056237,44.388235,19.026417,5.393756,0.825979
0.020000,99.793739,233.528929,78.951624,44.769347,19.055614,1.459868,0.841421
0.020000,100.390436,234.206681,79.854617,45.149624,19.013859,-2.087757,0.856288
0.020000,100.982103,234.898811,80.765174,45.527856,18.911612,-5.112330,0.870585
0.020000,101.568808,235.604935,81.683234,45.903011,18.757706,-7.695293,0.884316
0.020000,102.150630,236.324659,82.608717,46.274134,18.556152,-10.077701,0.897487
0.020000,102.727657,237.057581,83.541528,46.640541,18.320343,-11.790466,0.910104
0.020000,103.299990,237.803299,84.481560,47.001605,18.053225,-13.355886,0.922177
0.020000,103.867741,238.561407,85.428696,47.356827,17.761094,-14.606545,0.933713
0.020000,104.431031,239.331500,86.382813,47.705852,17.451266,-15.491430,0.944723
0.020000,104.992799,240.117134,87.348631,48.290904,29.252598,590.066584,0.954532
0.020000,105.424106,240.742299,88.108142,37.975551,-515.767649,-27251.012331,0.978009
0.020000,105.867576,241.416852,88.915414,40.363596,119.402264,31758.495634,1.000100
0.020000,106.306745,242.117007,89.741904,41.324501,48.045233,-3567.851552,1.020742
0.020000,106.742128,242.842810,90.588278,42.318696,49.709721,83.224420,1.039882
0.020000,107.174267,243.594158,91.455035,43.337824,50.956408,62.334350,1.057485
0.020000,107.603744,244.370813,92.342528,44.374666,51.842112,44.285189,1.073522
0.020000,108.031199,245.172429,93.250992,45.423195,52.426462,29.217501,1.087977
0.020000,108.457345,245.998566,94.180563,46.478568,52.768635,17.108658,1.100839
0.020000,108.882975,246.848713,95.131305,47.537065,52.924869,7.811680,1.112104
0.020000,109.308969,247.722301,96.103225,48.595999,52.946709,1.092030,1.121770
0.020000,109.736305,248.618725,97.096297,49.653597,52.879895,-3.340699,1.129840
0.020000,110.166057,249.537349,98.110474,50.708872,52.763742,-5.807682,1.136317
0.020000,110.599396,250.477518,99.145704,51.761490,52.630889,-6.642615,1.141205
0.020000,111.037598,251.438562,100.201937,52.811636,52.507293,-6.179811,1.144508
0.020000,111.482037,252.419801,101.279134,53.859883,52.412339,-4.747682,1.146229
0.020000,111.934188,253.420537,102.377276,54.907063,52.359009,-2.666511,1.146369
0.020000,112.395627,254.440057,103.496358,55.954143,52.354022,-0.249331,1.144929
0.020000,112.868027,255.477619,104.636400,57.002102,52.397925,2.195135,1.141907
0.020000,113.353156,256.532443,105.797436,58.051804,52.485096,4.358521,1.137300
0.020000,113.852871,257.603701,106.979514,59.103877,52.603671,5.928786,1.131106
0.020000,114.369115,258.690491,108.182686,60.158585,52.735413,6.587077,1.123319
0.020000,114.903907,259.791828,109.407000,61.215696,52.855542,6.006446,1.113936
0.020000,115.459329,260.906612,110.652487,62.274348,52.932612,3.853497,1.102956
0.020000,116.037510,262.033613,111.919145,63.332918,52.928493,-0.205949,1.090377
0.020000,116.640607,263.171438,113.206923,64.388890,52.798572,-6.496015,1.076204
0.020000,117.270776,264.318512,114.515697,65.438736,52.492297,-15.313752,1.060447
0.020000,117.930142,265.473049,115.845254,66.477820,51.954193,-26.905220,1.043121
0.020000,118.620761,266.633033,117.195260,67.500330,51.125501,-41.434602,1.024251
0.020000,119.344568,267.796202,118.565246,68.499261,49.946555,-58.947287,1.003873
0.020000,120.103335,268.960035,119.954575,69.466444,48.359148,-79.370365,0.982034
0.020000,120.667623,269.799498,120.966068,50.574653,-944.589522,-49647.433509,0.986479
0.020000,121.127519,270.510011,121.812432,42.318225,-412.821399,26588.406158,1.005621
0.020000,121.593419,271.258672,122.694224,44.089569,88.567216,25069.430771,1.022089
0.020000,122.066118,272.044506,123.611273,45.852472,88.145150,-21.103318,1.035896
0.020000,122.546642,272.866392,124.563323,47.602494,87.501077,-32.203666,1.047061
0.020000,123.036278,273.723108,125.550088,49.338280,86.789293,-35.589205,1.055607
0.020000,123.536580,274.613380,126.571306,51.060895,86.130736,-32.927824,1.061553
0.020000,124.049380,275.535898,127.626770,52.773192,85.614857,-25.793937,1.064914
0.020000,124.576441,276.488700,128.715634,54.443204,83.500596,-105.713079,1.065700
0.020000,125.119016,277.468387,129.835534,55.994976,77.588599,-295.599855,1.063925
0.020000,125.678065,278.470600,130.983125,57.379556,69.229026,-417.978629,1.059619
0.020000,126.254514,279.490650,132.154789,58.583184,60.181377,-452.382431,1.052833
0.020000,126.849161,280.523527,133.346611,59.591098,50.395705,-489.283601,1.043641
0.020000,127.462557,281.563906,134.554354,60.387172,39.803706,-529.599995,1.032139
0.020000,128.094893,282.606159,135.773427,60.953660,28.324390,-573.965772,1.018454
0.020000,128.745866,283.644378,136.998851,61.271208,15.877432,-622.347914,1.002737
0.020000,129.414557,284.672419,138.225235,61.319197,2.399409,-673.901128,0.985176
0.020000,130.099314,285.683970,139.446762,61.076315,-12.144058,-727.173355,0.965985
0.020000,130.797654,286.672637,140.657192,60.521514,-27.740084,-779.801330,0.945415
0.020000,131.506199,287.632065,141.849894,59.635092,-44.321092,-829.050395,0.923744
0.020000,132.220645,288.556072,143.017893,58.399977,-61.755739,-871.732322,0.901277
0.020000,132.935788,289.438793,144.153950,56.802846,-79.856534,-905.039766,0.878337
0.020000,133.645590,290.274820,145.250654,54.835189,-98.382882,-926.317409,0.855263
0.020000,134.343298,291.059324,146.300531,52.493872,-117.065859,-934.148839,0.832396
0.020000,135.021598,291.788141,147.296155,49.781175,-135.634847,-928.449376,0.810075
0.020000,135.673523,292.458554,148.231280,46.756279,-151.244759,-780.495646,0.788604
0.020000,136.293534,293.069995,149.102070,43.539473,-160.840326,-479.778340,0.768214
0.020000,136.877104,293.623178,149.906162,40.204619,-166.742680,-295.117686,0.749086
0.020000,137.420075,294.119200,150.641591,36.771454,-171.658269,-245.779463,0.731365
0.020000,137.918707,294.559438,151.306756,33.258213,-175.662034,-200.188231,0.715175
0.020000,138.370515,294.946123,151.901445,29.734476,-176.186851,-26.240853,0.700584
0.020000,138.775192,295.282911,152.427933,26.324378,-170.504918,284.096648,0.687586
0.020000,139.133848,295.574047,152.889879,23.097313,-161.353260,457.582894,0.676126
0.020000,139.448096,295.823591,153.291157,20.063918,-151.669717,484.177161,0.666135
0.020000,139.719969,296.035393,153.635794,17.231850,-141.603411,503.315301,0.657530
0.020000,139.951855,296.213096,153.927941,14.607334,-131.225829,518.879110,0.650220
0.020000,140.146424,296.360140,154.171824,12.194166,-120.658376,528.372621,0.644108
0.020000,140.306580,296.479782,154.371734,9.995504,-109.933092,536.264225,0.639092
0.020000,140.435412,296.575120,154.532006,8.013595,-99.095454,541.881903,0.635067
0.020000,140.536149,296.649110,154.656996,6.249478,-88.205847,544.480324,0.631927
0.020000,140.612135,296.704599,154.751086,4.704508,-77.248507,547.867001,0.629561
0.020000,140.666796,296.744346,154.818670,3.379211,-66.264847,549.183001,0.627861
0.020000,140.703613,296.771037,154.864145,2.273726,-55.274234,549.530676,0.626718
0.020000,140.726113,296.787317,154.891916,1.388584,-44.257137,550.854847,0.626019
0.020000,140.737851,296.795801,154.906399,0.724141,-33.222113,551.751164,0.625654
0.020000,140.742392,296.799081,154.912001,0.280083,-22.202928,550.959252,0.625514
0.020000,140.743309,296.799743,154.913133,0.056590,-11.174653,551.413775,0.625485
0.020000,140.743309,296.799743,154.913133,0.000000,-2.829491,417.258107,0.625485
