dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.000991,189.750000,0.001521,0.152130,7.606491,380.324544,0.000075
0.020000,26.000893,189.750000,0.001620,0.004927,-7.360165,-748.332787,0.000067
0.020000,26.000671,189.750000,0.001841,0.011067,0.307016,383.359057,0.000051
0.020000,26.000279,189.750000,0.002233,0.019613,0.427330,6.015706,0.000021
0.020000,26.020319,189.750000,0.022273,1.001971,49.117853,2434.526145,6.283160
0.020000,26.074214,189.749997,0.076168,2.694767,84.639814,1776.098035,6.283095
0.020000,26.147584,189.749987,0.149538,3.668510,48.687167,-1797.632355,6.283006
0.020000,26.243437,189.749964,0.245391,4.792629,56.205925,375.937923,6.282892
0.020000,26.364786,189.749920,0.366740,6.067458,63.741467,376.777080,6.282750
0.020000,26.514655,189.749842,0.516609,7.493446,71.299426,377.897936,6.282580
0.020000,26.696078,189.749714,0.698032,9.071146,78.884987,379.278060,6.282379
0.020000,26.912102,189.749515,0.914056,10.801226,86.503979,380.949608,6.282150
0.020000,27.165792,189.749219,1.167746,12.684496,94.163497,382.975880,6.281893
0.020000,27.460230,189.748796,1.462184,14.721905,101.870451,385.347706,6.281611
0.020000,27.798520,189.748212,1.800476,16.914567,109.633131,388.134006,6.281309
0.020000,28.183795,189.747427,2.185751,19.263756,117.459417,391.314324,6.280993
0.020000,28.619212,189.746402,2.621170,21.770937,125.359046,394.981427,6.280674
0.020000,29.106456,189.745100,3.108415,24.362287,129.567530,210.424188,6.280362
0.020000,29.645727,189.743497,3.647688,26.963648,130.068047,25.025869,6.280073
0.020000,30.237245,189.741578,4.239210,29.576072,130.621178,27.656555,6.279823
0.020000,30.881253,189.739347,4.883222,32.200604,131.226637,30.272925,6.279631
0.020000,31.578015,189.736825,5.579988,34.838303,131.884904,32.913349,6.279517
0.020000,32.327814,189.734062,6.329792,37.490220,132.595849,35.547282,6.279503
0.020000,33.130957,189.731139,7.132941,40.157414,133.359744,38.194726,6.279610
0.020000,33.987771,189.728175,7.989760,42.840952,134.176902,40.857911,6.279865
0.020000,34.898605,189.725333,8.900598,45.541904,135.047561,43.532929,6.280292
0.020000,35.863828,189.722829,9.865825,48.261350,135.972323,46.238128,6.280921
0.020000,36.883834,189.720941,10.885832,51.000386,136.951774,48.972523,6.281780
0.020000,37.959036,189.720013,11.961035,53.760115,137.986481,51.735359,6.282902
0.020000,39.088320,189.720468,13.090319,56.464198,135.204143,-139.116907,0.001130
0.020000,40.269021,189.722802,14.271022,59.035148,128.547508,-332.831721,0.002866
0.020000,41.498454,189.727578,15.500464,61.472121,121.848651,-334.942863,0.004950
0.020000,42.773912,189.735427,16.775946,63.774096,115.098735,-337.495811,0.007409
0.020000,44.092658,189.747048,18.094744,65.939872,108.288805,-340.496490,0.010267
0.020000,45.451925,189.763194,19.454106,67.968118,101.412309,-343.824813,0.013545
0.020000,46.848906,189.784675,20.851252,69.857315,94.459815,-347.624694,0.017264
0.020000,48.280755,189.812345,22.283368,71.605810,87.424758,-351.752860,0.021441
0.020000,49.744578,189.847093,23.747605,73.211812,80.300119,-356.231909,0.026090
0.020000,51.237434,189.889837,25.241072,74.673357,73.077267,-361.142615,0.031223
0.020000,52.756323,189.941502,26.760839,75.988386,65.751404,-366.293147,0.036849
0.020000,54.298190,190.003018,28.303933,77.154666,58.314038,-371.868327,0.042972
0.020000,55.859915,190.075295,29.867330,78.169842,50.758774,-377.763176,0.049593
0.020000,57.438315,190.159215,31.447959,79.031460,43.080912,-383.893091,0.056712
0.020000,59.030137,190.255608,33.042697,79.736919,35.272967,-390.397252,0.064322
0.020000,60.632061,190.365241,34.648368,80.283546,27.331331,-397.081826,0.072412
0.020000,62.240695,190.488793,36.261740,80.668569,19.251161,-404.008506,0.080969
0.020000,63.854216,190.626990,37.881168,80.971430,15.143065,-205.404769,0.089983
0.020000,65.472396,190.780662,39.506629,81.273054,15.081172,-3.094670,0.099452
0.020000,67.094976,190.950642,41.138088,81.572954,14.995022,-4.307492,0.109374
0.020000,68.721662,191.137758,42.775500,81.870590,14.881764,-5.662884,0.119745
0.020000,70.352123,191.342832,44.418807,82.165357,14.738374,-7.169531,0.130561
0.020000,71.985992,191.566679,46.067939,82.456596,14.561921,-8.822638,0.141817
0.020000,73.622863,191.810100,47.722811,82.743587,14.349562,-10.617965,0.153507
0.020000,75.262288,192.073883,49.383322,83.025559,14.098596,-12.548283,0.165621
0.020000,76.903780,192.358794,51.049356,83.301689,13.806535,-14.603050,0.178153
0.020000,78.546806,192.665576,52.720777,83.571083,13.469677,-16.842907,0.191091
0.020000,80.190794,192.994944,54.397435,83.832871,13.089389,-19.014392,0.204425
0.020000,81.835129,193.347580,56.079157,84.086116,12.662282,-21.355371,0.218141
0.020000,83.479156,193.724127,57.765755,84.329864,12.187379,-23.745138,0.232225
0.020000,85.122176,194.125187,59.457016,84.563059,11.659758,-26.381060,0.246661
0.020000,86.763458,194.551314,61.152713,84.784879,11.090979,-28.438953,0.261431
0.020000,88.402233,195.003011,62.852599,84.994309,10.471515,-30.973184,0.276518
0.020000,90.037699,195.480722,64.556407,85.190369,9.803016,-33.424948,0.291901
0.020000,91.669031,195.984836,66.263853,85.372315,9.097279,-35.286865,0.307559
0.020000,93.347392,196.535653,68.030289,88.321789,147.473689,6918.820500,0.329986
0.020000,95.151215,197.185623,69.947641,95.867630,377.292059,11490.918532,0.361490
0.020000,96.912659,197.881999,71.841743,94.705093,-58.126835,-21770.944702,0.391239
0.020000,98.629997,198.618808,73.710470,93.436320,-63.438640,-265.590261,0.419072
0.020000,100.302386,199.390074,75.552136,92.083313,-67.650351,-210.585577,0.444862
0.020000,101.929764,200.189957,77.365468,90.666582,-70.836571,-159.310960,0.468513
0.020000,103.512741,201.012847,79.149555,89.204353,-73.111450,-113.743983,0.489956
0.020000,105.052474,201.853433,80.903796,87.712057,-74.614806,-75.167801,0.509146
0.020000,106.550540,202.706732,82.627838,86.202109,-75.497406,-44.129981,0.526056
0.020000,108.008822,203.568104,84.321517,84.683957,-75.907597,-20.509572,0.540675
0.020000,109.429408,204.433238,85.984803,83.164298,-75.982908,-3.765505,0.552999
0.020000,110.814498,205.298133,87.617751,81.647389,-75.845475,6.871603,0.563033
0.020000,112.166333,206.159072,89.220459,80.135418,-75.598568,12.345370,0.570785
0.020000,113.487136,207.012584,90.793037,78.628905,-75.325627,13.647052,0.576263
0.020000,114.779059,207.855419,92.335579,77.127107,-75.089925,11.785100,0.579474
0.020000,116.044153,208.684513,93.848147,75.628389,-74.935900,7.701261,0.580422
0.020000,117.284338,209.496967,95.330759,74.130603,-74.889255,2.332255,0.579110
0.020000,118.501381,210.290023,96.783388,72.631457,-74.957330,-3.403743,0.575535
0.020000,119.696885,211.061058,98.205966,71.128858,-75.129961,-8.631573,0.569692
0.020000,120.872288,211.807569,99.598391,69.621290,-75.378394,-12.421655,0.561573
0.020000,122.103668,212.575957,101.049845,72.572696,147.570297,11147.434549,0.560753
0.020000,123.639162,213.567078,102.877429,91.379170,940.323723,39637.671292,0.585480
0.020000,125.138536,214.587112,104.690876,90.672353,-35.340851,-48783.228661,0.609140
0.020000,126.600109,215.631572,106.487287,89.820566,-42.589350,-362.424997,0.631628
0.020000,128.021297,216.694843,108.262202,88.745746,-53.741030,-557.583981,0.652839
0.020000,129.400136,217.771286,110.011466,87.463196,-64.127459,-519.321429,0.672688
0.020000,130.735218,218.855322,111.731227,85.988059,-73.756891,-481.471612,0.691113
0.020000,132.025613,219.941520,113.417924,84.334852,-82.660353,-445.173107,0.708076
0.020000,133.270789,221.024649,115.068267,82.517122,-90.886467,-411.305688,0.723559
0.020000,134.470522,222.099722,116.679211,80.547236,-98.494332,-380.393260,0.737560
0.020000,135.624820,223.162029,118.247937,78.436268,-105.548368,-352.701779,0.750098
0.020000,136.733846,224.207147,119.771817,76.193993,-112.113758,-328.269523,0.761202
0.020000,137.797850,225.230954,121.248395,73.828934,-118.252967,-306.960462,0.770918
0.020000,138.817113,226.229624,122.675364,71.348451,-124.024118,-288.557559,0.779302
0.020000,139.791898,227.199628,124.050541,68.758862,-129.479490,-272.768585,0.786417
0.020000,140.722410,228.137717,125.371852,66.065550,-134.665590,-259.304988,0.792338
0.020000,141.608763,229.040917,126.637314,63.273081,-139.623457,-247.893348,0.797143
0.020000,142.450961,229.906513,127.845020,60.385285,-144.389761,-238.315222,0.800919
0.020000,143.248876,230.732031,128.993126,57.405332,-148.997659,-230.394892,0.803757
0.020000,144.002239,231.515228,130.079843,54.335842,-153.474502,-223.842155,0.805751
0.020000,144.711704,232.255175,131.104959,51.255770,-154.003594,-26.454599,0.806999
