dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.000000,205.000000,0.001521,0.152130,7.606491,380.324544,0.000000
0.020000,30.000000,205.000000,0.007606,0.456389,15.212982,380.324544,0.000000
0.020000,30.000000,205.000000,0.021298,0.912779,22.819473,380.324544,0.000000
0.020000,30.000000,205.000000,0.045639,1.521298,30.425963,380.324544,0.000000
0.020000,30.003671,205.000000,0.083671,2.281947,38.032454,380.324544,0.000000
0.020000,30.058438,205.000000,0.138438,3.194726,45.638945,380.324544,0.000000
0.020000,30.132982,205.000000,0.212982,4.259635,53.245436,380.324544,0.000000
0.020000,30.230345,205.000000,0.310345,5.476673,60.851927,380.324544,0.000000
0.020000,30.353570,205.000000,0.433570,6.845842,68.458418,380.324544,0.000000
0.020000,30.505700,205.000000,0.585700,8.367140,76.064909,380.324544,0.000000
0.020000,30.689777,205.000000,0.769777,10.040568,83.671400,380.324544,0.000000
0.020000,30.908844,205.000000,0.988844,11.866126,91.277890,380.324544,0.000000
0.020000,31.165943,205.000000,1.245943,13.843813,98.884381,380.324544,0.000000
0.020000,31.464118,205.000000,1.544118,15.973631,106.490872,380.324544,0.000000
0.020000,31.806410,205.000000,1.886410,18.255578,114.097363,380.324544,0.000000
0.020000,32.195862,205.000000,2.275862,20.689655,121.703854,380.324544,0.000000
0.020000,32.635517,205.000000,2.715517,23.275862,129.310345,380.324544,0.000000
0.020000,33.126897,205.000000,3.206897,25.862069,129.310345,0.000000,0.000000
0.020000,33.670000,205.000000,3.750000,28.448276,129.310345,0.000000,0.000000
0.020000,34.264828,205.000000,4.344828,31.034483,129.310345,0.000000,0.000000
0.020000,34.911379,205.000000,4.991379,33.620690,129.310345,-0.000000,0.000000
0.020000,35.609655,205.000000,5.689655,36.206897,129.310345,0.000000,0.000000
0.020000,36.359655,205.000000,6.439655,38.793103,129.310345,-0.000000,0.000000
0.020000,37.161379,205.000000,7.241379,41.379310,129.310345,0.000000,0.000000
0.020000,38.014828,205.000000,8.094828,43.965517,129.310345,-0.000000,0.000000
0.020000,38.920000,205.000000,9.000000,46.551724,129.310345,-0.000000,0.000000
0.020000,39.876897,205.000000,9.956897,49.137931,129.310345,0.000000,0.000000
0.020000,40.885517,205.000000,10.965517,51.724138,129.310345,-0.000000,0.000000
0.020000,41.945862,205.000000,12.025862,54.310345,129.310345,0.000000,0.000000
0.020000,43.056410,205.000000,13.136410,56.744422,121.703854,-380.324544,0.000000
0.020000,44.214118,205.000000,14.294118,59.026369,114.097363,-380.324544,0.000000
0.020000,45.415943,205.000000,15.495943,61.156187,106.490872,-380.324544,0.000000
0.020000,46.658844,205.000000,16.738844,63.133874,98.884381,-380.324544,0.000000
0.020000,47.939777,205.000000,18.019777,64.959432,91.277890,-380.324544,0.000000
0.020000,49.255700,205.000000,19.335700,66.632860,83.671400,-380.324544,0.000000
0.020000,50.603570,205.000000,20.683570,68.154158,76.064909,-380.324544,0.000000
0.020000,51.980345,205.000000,22.060345,69.523327,68.458418,-380.324544,0.000000
0.020000,53.382982,205.000000,23.462982,70.740365,60.851927,-380.324544,0.000000
0.020000,54.808438,205.000000,24.888438,71.805274,53.245436,-380.324544,0.000000
0.020000,56.253671,205.000000,26.333671,72.718053,45.638945,-380.324544,0.000000
0.020000,57.715639,205.000000,27.795639,73.478702,38.032454,-380.324544,0.000000
0.020000,59.191298,205.000000,29.271298,74.087221,30.425963,-380.324544,0.000000
0.020000,60.677606,205.000000,30.757606,74.543611,22.819473,-380.324544,0.000000
0.020000,62.171521,205.000000,32.251521,74.847870,15.212982,-380.324544,0.000000
0.020000,63.670000,205.000000,33.750000,75.000000,7.606491,-380.324544,0.000000
0.020000,65.170000,205.000000,35.250000,75.000000,0.000000,-380.324544,0.000000
0.020000,66.670000,205.000000,36.750000,75.000000,0.000000,0.000000,0.000000
0.020000,68.170000,205.000000,38.250000,75.000000,0.000000,0.000000,0.000000
0.020000,69.670000,205.000000,39.750000,75.000000,0.000000,0.000000,0.000000
0.020000,71.170000,205.000000,41.250000,75.000000,0.000000,0.000000,0.000000
0.020000,72.670000,205.000000,42.750000,75.000000,0.000000,0.000000,0.000000
0.020000,74.170000,205.000000,44.250000,75.000000,0.000000,0.000000,0.000000
0.020000,75.670000,205.000000,45.750000,75.000000,0.000000,0.000000,0.000000
0.020000,77.169067,205.000000,47.249067,74.906694,-4.665314,-233.265720,0.000000
0.020000,78.664746,205.000000,48.744746,74.661258,-12.271805,-380.324544,0.000000
0.020000,80.153996,205.000000,50.233996,74.263692,-19.878296,-380.324544,0.000000
0.020000,81.633773,205.000000,51.713773,73.713996,-27.484787,-380.324544,0.000000
0.020000,83.101034,205.000000,53.181034,73.012170,-35.091278,-380.324544,0.000000
0.020000,84.552738,205.000000,54.632738,72.158215,-42.697769,-380.324544,0.000000
0.020000,85.985842,205.000000,56.065842,71.152130,-50.304260,-380.324544,0.000000
0.020000,87.397302,205.000000,57.477302,69.993915,-57.910751,-380.324544,0.000000
0.020000,88.784077,205.000000,58.864077,68.683570,-65.517241,-380.324544,0.000000
0.020000,90.143124,205.000000,60.223124,67.221095,-73.123732,-380.324544,0.000000
0.020000,91.471400,205.000000,61.551400,65.606491,-80.730223,-380.324544,0.000000
0.020000,92.765862,205.000000,62.845862,63.839757,-88.336714,-380.324544,0.000000
0.020000,94.023469,205.000000,64.103469,61.920892,-95.943205,-380.324544,0.000000
0.020000,95.241176,205.000000,65.321176,59.849899,-103.549696,-380.324544,0.000000
0.020000,96.415943,205.000000,66.495943,57.626775,-111.156187,-380.324544,0.000000
0.020000,97.544726,205.000000,67.624726,55.251521,-118.762677,-380.324544,0.000000
0.020000,98.624483,205.000000,68.704483,52.724138,-126.369168,-380.324544,0.000000
0.020000,99.653103,205.000000,69.733103,50.137931,-129.310345,-147.058824,0.000000
0.020000,100.630000,205.000000,70.710000,47.551724,-129.310345,0.000000,0.000000
0.020000,101.555172,205.000000,71.635172,44.965517,-129.310345,-0.000000,0.000000
0.020000,102.428621,205.000000,72.508621,42.379310,-129.310345,0.000000,0.000000
0.020000,103.250345,205.000000,73.330345,39.793103,-129.310345,0.000000,0.000000
0.020000,104.020345,205.000000,74.100345,37.206897,-129.310345,0.000000,0.000000
0.020000,104.738621,205.000000,74.818621,34.620690,-129.310345,-0.000000,0.000000
0.020000,105.405172,205.000000,75.485172,32.034483,-129.310345,0.000000,0.000000
0.020000,106.020000,205.000000,76.100000,29.448276,-129.310345,0.000000,0.000000
0.020000,106.583103,205.000000,76.663103,26.862069,-129.310345,-0.000000,0.000000
0.020000,107.094483,205.000000,77.174483,24.275862,-129.310345,0.000000,0.000000
0.020000,107.554138,205.000000,77.634138,21.689655,-129.310345,-0.000000,0.000000
