dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.090217,310.349794,0.007894,0.789447,39.472358,1973.617917,6.275840
0.020000,7.093877,310.349767,0.011555,0.183037,-30.320527,-3489.644264,6.275547
0.020000,7.101193,310.349709,0.018872,0.365816,9.138976,1972.975148,6.274962
0.020000,7.139273,310.349371,0.056953,1.904056,76.911983,3388.650342,6.274085
0.020000,7.280170,310.348006,0.197856,7.045165,257.055455,9007.173615,6.272918
0.020000,7.456252,310.346070,0.373949,8.804650,87.974236,-8454.060949,6.271461
0.020000,7.667491,310.343409,0.585204,10.562771,87.906060,-3.408789,6.269718
0.020000,7.913856,310.339841,0.831595,12.319547,87.838832,-3.361410,6.267691
0.020000,8.195305,310.335155,1.113083,14.074399,87.742581,-4.812554,6.265382
0.020000,8.511792,310.329109,1.429629,15.827263,87.643188,-4.969665,6.262794
0.020000,8.863264,310.321438,1.781184,17.577759,87.524782,-5.920272,6.259932
0.020000,9.249659,310.311845,2.167698,19.325709,87.397515,-6.363384,6.256799
0.020000,9.670907,310.300011,2.589113,21.070737,87.251418,-7.304829,6.253401
0.020000,10.126929,310.285588,3.045362,22.812485,87.087405,-8.200632,6.249742
0.020000,10.617640,310.268209,3.536381,24.550913,86.921408,-8.299890,6.245828
0.020000,11.142938,310.247479,4.062087,26.285340,86.721345,-10.003114,6.241664
0.020000,11.702716,310.222986,4.622401,28.015695,86.517733,-10.180629,6.237259
0.020000,12.296855,310.194297,5.217233,29.741582,86.294342,-11.169560,6.232618
0.020000,12.925224,310.160959,5.846486,31.462634,86.052592,-12.087465,6.227750
0.020000,13.587681,310.122505,6.510057,33.178583,85.797454,-12.756891,6.222663
0.020000,14.284069,310.078451,7.207837,34.889004,85.521042,-13.820642,6.217365
0.020000,15.014221,310.028303,7.939710,36.593628,85.231224,-14.490883,6.211866
0.020000,15.777957,309.971552,8.705551,38.292052,84.921221,-15.500146,6.206175
0.020000,16.575081,309.907685,9.505230,39.983939,84.594309,-16.345606,6.200304
0.020000,17.405387,309.836179,10.338609,41.668961,84.251096,-17.160667,6.194263
0.020000,18.268653,309.756509,11.205544,43.346742,83.889094,-18.100100,6.188064
0.020000,19.164646,309.668146,12.105884,45.016988,83.512301,-18.839624,6.181719
0.020000,20.093119,309.570565,13.039470,46.679317,83.116416,-19.794278,6.175240
0.020000,21.053811,309.463241,14.006138,48.333422,82.705259,-20.557819,6.168641
0.020000,22.046452,309.345656,15.005719,49.979044,82.281123,-21.206787,6.161935
0.020000,23.070755,309.217300,16.038033,51.615713,81.833426,-22.384881,6.155137
0.020000,24.126430,309.077675,17.102901,53.243383,81.383505,-22.496025,6.148260
0.020000,25.213168,308.926295,18.200133,54.861571,80.909373,-23.706606,6.141321
0.020000,26.330657,308.762691,19.329534,56.470060,80.424454,-24.245949,6.134334
0.020000,27.478574,308.586411,20.490907,58.068682,79.931136,-24.665910,6.127316
0.020000,28.656594,308.397027,21.684053,59.657282,79.429985,-25.057575,6.120282
0.020000,29.864375,308.194133,22.908758,61.235257,78.898762,-26.561118,6.113250
0.020000,31.101585,307.977348,24.164817,62.802926,78.383439,-25.766143,6.106236
0.020000,32.367880,307.746323,25.452014,64.359855,77.846432,-26.850340,6.099256
0.020000,33.662919,307.500737,26.770133,65.905947,77.304591,-27.092076,6.092330
0.020000,34.986357,307.240303,28.118953,67.441003,76.752813,-27.588886,6.085473
0.020000,36.337855,306.964768,29.498251,68.964915,76.195619,-27.859727,6.078704
0.020000,37.717075,306.673920,30.907805,70.477682,75.638354,-27.863246,6.072042
0.020000,39.123687,306.367582,32.347388,71.979174,75.074604,-28.187491,6.065503
0.020000,40.557365,306.045622,33.816773,73.469242,74.503406,-28.559901,6.059106
0.020000,42.017794,305.707949,35.315731,74.947912,73.933501,-28.495228,6.052869
0.020000,43.504666,305.354518,36.844032,76.415018,73.355261,-28.912026,6.046812
0.020000,45.017686,304.985332,38.401442,77.870533,72.775766,-28.974744,6.040952
0.020000,46.556571,304.600440,39.987730,79.314382,72.192472,-29.164701,6.035308
0.020000,48.121054,304.199943,41.602662,80.746596,71.610703,-29.088471,6.029898
0.020000,49.710883,303.783996,43.246002,82.166998,71.020055,-29.532380,6.024742
0.020000,51.325820,303.352806,44.917513,83.575540,70.427131,-29.646219,6.019859
0.020000,52.965644,302.906636,46.616950,84.971879,69.816932,-30.509925,6.015268
0.020000,54.630158,302.445808,48.344078,86.356377,69.224914,-29.600918,6.010988
0.020000,56.319178,301.970702,50.098647,87.728479,68.605081,-30.991627,6.007039
0.020000,58.032540,301.481762,51.880409,89.088064,67.979255,-31.291309,6.003441
