dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.998403,297.850132,0.007894,0.789447,39.472358,1973.617917,6.275840
0.020000,6.998403,297.850132,0.039472,2.368341,78.944717,1973.617917,6.275547
0.020000,6.998403,297.850132,0.102628,3.947236,78.944717,0.000000,6.274962
0.020000,7.025522,297.849888,0.197362,5.526130,78.944717,-0.000000,6.274085
0.020000,7.151827,297.848665,0.323673,7.105024,78.944717,0.000000,6.272918
0.020000,7.309707,297.846929,0.481563,8.683919,78.944717,0.000000,6.271461
0.020000,7.499159,297.844542,0.671030,10.262813,78.944717,-0.000000,6.269718
0.020000,7.720181,297.841342,0.892075,11.841707,78.944717,0.000000,6.267691
0.020000,7.972770,297.837136,1.144698,13.420602,78.944717,0.000000,6.265382
0.020000,8.256919,297.831708,1.428899,14.999496,78.944717,-0.000000,6.262794
0.020000,8.572622,297.824817,1.744678,16.578390,78.944717,0.000000,6.259932
0.020000,8.919871,297.816196,2.092035,18.157285,78.944717,0.000000,6.256799
0.020000,9.298656,297.805555,2.470970,19.736179,78.944717,-0.000000,6.253401
0.020000,9.708962,297.792578,2.881482,21.315073,78.944717,0.000000,6.249742
0.020000,10.150776,297.776930,3.323573,22.893968,78.944717,0.000000,6.245828
0.020000,10.624075,297.758252,3.797241,24.472862,78.944717,-0.000000,6.241664
0.020000,11.128838,297.736167,4.302487,26.051756,78.944717,0.000000,6.237259
0.020000,11.665037,297.710275,4.839311,27.630651,78.944717,-0.000000,6.232618
0.020000,12.232639,297.680161,5.407713,29.209545,78.944717,0.000000,6.227750
0.020000,12.831610,297.645392,6.007693,30.788439,78.944717,-0.000000,6.222663
0.020000,13.461907,297.605519,6.639251,32.367334,78.944717,0.000000,6.217365
0.020000,14.123483,297.560080,7.302386,33.946228,78.944717,-0.000000,6.211866
0.020000,14.816285,297.508600,7.997100,35.525122,78.944717,0.000000,6.206175
0.020000,15.540255,297.450593,8.723391,37.104017,78.944717,0.000000,6.200304
0.020000,16.295328,297.385566,9.481260,38.682911,78.944717,0.000000,6.194263
0.020000,17.081433,297.313016,10.270708,40.261805,78.944717,-0.000000,6.188064
0.020000,17.898493,297.232437,11.091733,41.840700,78.944717,0.000000,6.181719
0.020000,18.746424,297.143320,11.944336,43.419594,78.944717,0.000000,6.175240
0.020000,19.625136,297.045154,12.828516,44.998488,78.944717,0.000000,6.168641
0.020000,20.534535,296.937428,13.744275,46.577383,78.944717,-0.000000,6.161935
0.020000,21.474518,296.819638,14.691612,48.156277,78.944717,0.000000,6.155137
0.020000,22.444979,296.691283,15.670526,49.735171,78.944717,-0.000000,6.148260
0.020000,23.445806,296.551869,16.681019,51.314066,78.944717,0.000000,6.141321
0.020000,24.476882,296.400914,17.723089,52.892960,78.944717,-0.000000,6.134334
0.020000,25.538087,296.237949,18.796737,54.471854,78.944717,0.000000,6.127316
0.020000,26.629301,296.062519,19.901963,56.050749,78.944717,-0.000000,6.120282
0.020000,27.750392,295.874186,21.038767,57.629643,78.944717,0.000000,6.113250
0.020000,28.901237,295.672534,22.207149,59.208537,78.944717,0.000000,6.106236
0.020000,30.081709,295.457165,23.407108,60.787432,78.944717,-0.000000,6.099256
0.020000,31.291680,295.227709,24.638646,62.366326,78.944717,0.000000,6.092330
0.020000,32.531024,294.983821,25.901762,63.945220,78.944717,0.000000,6.085473
0.020000,33.799618,294.725187,27.196455,65.524115,78.944717,0.000000,6.078704
0.020000,35.097345,294.451522,28.522726,67.103009,78.944717,-0.000000,6.072042
0.020000,36.424093,294.162576,29.880575,68.681903,78.944717,-0.000000,6.065503
0.020000,37.779753,293.858134,31.270002,70.260798,78.944717,0.000000,6.059106
0.020000,39.164230,293.538020,32.691007,71.839692,78.944717,0.000000,6.052869
0.020000,40.577435,293.202098,34.143590,73.418586,78.944717,0.000000,6.046812
0.020000,42.019290,292.850274,35.627751,74.997481,78.944717,0.000000,6.040952
0.020000,43.489731,292.482499,37.143489,76.576375,78.944717,-0.000000,6.035308
0.020000,44.988709,292.098769,38.690806,78.155269,78.944717,0.000000,6.029898
0.020000,46.516189,291.699133,40.269700,79.734164,78.944717,-0.000000,6.024742
0.020000,48.072153,291.283686,41.880172,81.313058,78.944717,-0.000000,6.019859
0.020000,49.656599,290.852582,43.522222,82.891952,78.944717,0.000000,6.015268
0.020000,51.269552,290.406027,45.195850,84.470847,78.944717,0.000000,6.010988
0.020000,52.911052,289.944286,46.901056,86.049741,78.944717,-0.000000,6.007039
0.020000,54.581162,289.467687,48.637840,87.628635,78.944717,0.000000,6.003441
0.020000,56.279971,288.976621,50.406202,89.207530,78.944717,0.000000,6.000213
0.020000,58.007593,288.471544,52.206141,90.786424,78.944717,-0.000000,5.997378
0.020000,59.764167,287.952985,54.037659,92.365318,78.944717,0.000000,5.994956
0.020000,61.549859,287.421544,55.900754,93.944213,78.944717,-0.000000,5.992968
0.020000,63.364862,286.877899,57.795427,95.523107,78.944717,-0.000000,5.991437
0.020000,65.209400,286.322811,59.721678,97.102001,78.944717,0.000000,5.990387
0.020000,67.083725,285.757124,61.679507,98.680896,78.944717,0.000000,5.989841
0.020000,68.988118,285.181772,63.668914,100.259790,78.944717,-0.000000,5.989823
0.020000,70.922890,284.597788,65.689899,101.838684,78.944717,0.000000,5.990360
0.020000,72.888381,284.006302,67.742461,103.417579,78.944717,0.000000,5.991478
0.020000,74.884963,283.408554,69.826602,104.996473,78.944717,0.000000,5.993206
0.020000,76.913033,282.805897,71.942320,106.575367,78.944717,0.000000,5.995573
0.020000,78.973017,282.199804,74.089617,108.154262,78.944717,-0.000000,5.998610
0.020000,81.065363,281.591880,76.268491,109.733156,78.944717,0.000000,6.002349
0.020000,83.190548,280.983864,78.478943,111.312050,78.944717,0.000000,6.006824
0.020000,85.349062,280.377642,80.720973,112.890945,78.944717,-0.000000,6.012070
0.020000,87.541415,279.775257,82.994581,114.469839,78.944717,0.000000,6.018126
0.020000,89.768125,279.178917,85.299766,116.048733,78.944717,0.000000,6.025030
0.020000,92.019702,278.593565,87.626192,116.593870,27.256831,-2584.394279,6.032786
0.020000,94.271231,278.027767,89.947732,115.560112,-51.687886,-3947.235833,6.041325
0.020000,96.502307,277.488147,92.243146,113.981218,-78.944717,-1362.841554,6.050562
0.020000,98.707679,276.977025,94.506981,112.402324,-78.944717,-0.000000,6.060455
0.020000,100.887319,276.495262,96.739238,110.823429,-78.944717,-0.000000,6.070980
0.020000,103.041142,276.043611,98.939918,109.244535,-78.944717,0.000000,6.082112
0.020000,105.169003,275.622720,101.109020,107.665641,-78.944717,-0.000000,6.093824
0.020000,107.270710,275.233129,103.246544,106.086746,-78.944717,0.000000,6.106090
