dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.906590,285.350469,0.007894,0.789447,39.472358,1973.617917,6.275840
0.020000,6.902929,285.350496,0.011555,0.183037,-30.320527,-3489.644264,6.275547
0.020000,6.895613,285.350554,0.018872,0.365816,9.138976,1972.975148,6.274962
0.020000,6.911770,285.350406,0.035029,0.807878,22.103086,648.205520,6.274085
0.020000,7.023484,285.349324,0.146748,5.585946,238.903386,10840.015003,6.272918
0.020000,7.163162,285.347788,0.286435,6.984332,69.919331,-8449.202778,6.271461
0.020000,7.330826,285.345676,0.454112,8.383878,69.977288,2.897835,6.269718
0.020000,7.526507,285.342842,0.649813,9.785064,70.059321,4.101673,6.267691
0.020000,7.750234,285.339117,0.873572,11.187907,70.142114,4.139635,6.265382
0.020000,8.002045,285.334307,1.125428,12.592842,70.246747,5.231674,6.262794
0.020000,8.281980,285.328197,1.405430,14.000066,70.361197,5.722494,6.259932
0.020000,8.590084,285.320548,1.713629,15.409949,70.494164,6.648346,6.256799
0.020000,8.926405,285.311099,2.050083,16.822716,70.638365,7.210062,6.253401
0.020000,9.290995,285.299568,2.414855,18.238620,70.795180,7.840744,6.249742
0.020000,9.683913,285.285652,2.808019,19.658180,70.978029,9.142446,6.245828
0.020000,10.105213,285.269026,3.229647,21.081419,71.161912,9.194148,6.241664
0.020000,10.554960,285.249347,3.679825,22.508856,71.371881,10.498429,6.237259
0.020000,11.033218,285.226253,4.158640,23.940767,71.595545,11.183219,6.232618
0.020000,11.540054,285.199363,4.666189,25.377458,71.834568,11.951155,6.227750
0.020000,12.075539,285.168278,5.202576,26.819327,72.093425,12.942853,6.222663
0.020000,12.639745,285.132586,5.767909,28.266650,72.366132,13.635357,6.217365
0.020000,13.232744,285.091857,6.362305,29.719836,72.659328,14.659800,6.211866
0.020000,13.854614,285.045647,6.985889,31.179190,72.967686,15.417886,6.206175
0.020000,14.505429,284.993501,7.638790,32.645068,73.293887,16.310026,6.200304
0.020000,15.185269,284.934952,8.321147,34.117834,73.638324,17.221889,6.194263
0.020000,15.894213,284.869523,9.033103,35.597808,73.998707,18.019119,6.188064
0.020000,16.632339,284.796729,9.774811,37.085366,74.377896,18.959442,6.181719
0.020000,17.399729,284.716075,10.546427,38.580802,74.771779,19.694150,6.175240
0.020000,18.196461,284.627067,11.348116,40.084457,75.182754,20.548791,6.168641
0.020000,19.022619,284.529201,12.180050,41.596694,75.611841,21.454348,6.161935
0.020000,19.878280,284.421976,13.042403,43.117677,76.049163,21.866071,6.155137
0.020000,20.763529,284.304890,13.935361,44.647903,76.511302,23.106943,6.148260
0.020000,21.678444,284.177442,14.859111,46.187474,76.978560,23.362923,6.141321
0.020000,22.623107,284.039138,15.813845,47.736687,77.460664,24.105192,6.134334
0.020000,23.597600,283.889487,16.799762,49.295849,77.958106,24.872090,6.127316
0.020000,24.602008,283.728011,17.817066,50.865245,78.469783,25.583870,6.120282
0.020000,25.636408,283.554240,18.865961,52.444745,78.974967,25.259209,6.113250
0.020000,26.700890,283.367719,19.946661,54.034968,79.511178,26.810544,6.106236
0.020000,27.795538,283.168006,21.059378,55.635860,80.044621,26.672142,6.099256
0.020000,28.920442,282.954680,22.204330,57.247621,80.588004,27.169126,6.092330
0.020000,30.075691,282.727339,23.381737,58.870326,81.135291,27.364360,6.085473
0.020000,31.261382,282.485605,24.591819,60.504104,81.688862,27.678560,6.078704
0.020000,32.477616,282.229124,25.834802,62.149145,82.252066,28.160186,6.072042
0.020000,33.724498,281.957569,27.110912,63.805507,82.818103,28.301878,6.065503
0.020000,35.002141,281.670646,28.420376,65.473208,83.385061,28.347907,6.059106
0.020000,36.310666,281.368091,29.763424,67.152407,83.959939,28.743903,6.052869
0.020000,37.650204,281.049678,31.140286,68.843080,84.533654,28.685727,6.046812
0.020000,39.020895,280.715216,32.551192,70.545326,85.112307,28.932648,6.040952
0.020000,40.422892,280.364558,33.996376,72.259201,85.693737,29.071510,6.035308
0.020000,41.856364,279.997595,35.476074,73.984867,86.283284,29.477331,6.029898
0.020000,43.321495,279.614269,36.990520,75.722313,86.872294,29.450523,6.024742
0.020000,44.818486,279.214567,38.539953,77.471672,87.467988,29.784695,6.019859
0.020000,46.347554,278.798528,40.124610,79.232833,88.058015,29.501347,6.015268
0.020000,47.908946,278.366246,41.744738,81.006381,88.677425,30.970476,6.010988
0.020000,49.502926,277.917870,43.400580,82.792097,89.285821,30.419811,6.007039
0.020000,51.129784,277.453613,45.092384,84.590223,89.906288,31.023367,6.003441
0.020000,52.789839,276.973747,46.820405,86.401044,90.541053,31.738231,6.000213
0.020000,54.483443,276.478614,48.584902,88.224857,91.190649,32.479833,5.997378
0.020000,56.210977,275.968627,50.386140,90.061907,91.852477,33.091372,5.994956
0.020000,57.972854,275.444272,52.224390,91.912478,92.528574,33.804844,5.992968
0.020000,59.769529,274.906117,54.099930,93.777026,93.227372,34.939937,5.991437
0.020000,61.601494,274.354812,56.013051,95.656016,93.949514,36.107087,5.990387
0.020000,63.469278,273.791098,57.964049,97.549910,94.694710,37.259814,5.989841
0.020000,65.373459,273.215810,59.953235,99.459297,95.469316,38.730271,5.989823
0.020000,67.314656,272.629887,61.980931,101.384794,96.274858,40.277110,5.990360
0.020000,69.293534,272.034374,64.047473,103.327093,97.114961,42.005126,5.991478
0.020000,71.310808,271.430432,66.153212,105.286974,97.994046,43.954275,5.993206
0.020000,73.367239,270.819348,68.298517,107.265242,98.913421,45.968735,5.995573
0.020000,75.463640,270.202543,70.483773,109.262795,99.877648,48.211355,5.998610
0.020000,77.600867,269.581582,72.709381,111.280436,100.882058,50.220512,6.002349
0.020000,79.779833,268.958182,74.975771,113.319471,101.951726,53.483390,6.006824
0.020000,82.001490,268.334231,77.283383,115.380609,103.056885,55.257956,6.012070
0.020000,84.266835,267.711795,79.632683,117.465018,104.220475,58.179480,6.018126
0.020000,86.576905,267.093135,82.024161,119.573874,105.442796,61.116081,6.025030
0.020000,88.922314,266.483396,84.447532,121.168554,79.734020,-1285.438818,6.032786
0.020000,91.277365,265.891591,86.875802,121.413490,12.246782,-3374.361900,6.041325
0.020000,93.620674,265.324834,89.286676,120.543696,-43.489682,-2786.823174,6.050562
0.020000,95.946518,264.785799,91.674166,119.374496,-58.460013,-748.516587,6.060455
0.020000,98.254618,264.275651,94.037972,118.190293,-59.210141,-37.506405,6.070980
0.020000,100.544623,263.795452,96.377782,116.990508,-59.989257,-38.955794,6.082112
0.020000,102.816104,263.346163,98.693271,115.774450,-60.802917,-40.682980,6.093824
0.020000,105.068566,262.928635,100.984103,114.541631,-61.640960,-41.902146,6.106090
0.020000,107.301433,262.543613,103.249923,113.290964,-62.533310,-44.617491,6.118881
0.020000,109.514067,262.191728,105.490363,112.022014,-63.447546,-45.711835,6.132168
0.020000,111.705754,261.873495,107.705033,110.733499,-64.425727,-48.909031,6.145920
0.020000,113.875719,261.589309,109.893528,109.424740,-65.437924,-50.609853,6.160104
0.020000,116.023130,261.339440,112.055427,108.094963,-66.488873,-52.547442,6.174686
0.020000,118.147097,261.124036,114.190288,106.743076,-67.594342,-55.273462,6.189633
0.020000,120.246686,260.943112,116.297659,105.368528,-68.727398,-56.652816,6.204906
0.020000,122.320926,260.796555,118.377069,103.970517,-69.900547,-58.657403,6.220468
0.020000,124.368812,260.684119,120.428040,102.548514,-71.100173,-59.981315,6.236282
0.020000,126.389322,260.605429,122.450081,101.102092,-72.321101,-61.046397,6.252307
0.020000,128.381420,260.559977,124.442698,99.630811,-73.564029,-62.146432,6.268505
0.020000,130.344075,260.547130,126.405395,98.134850,-74.798082,-61.702609,0.001650
0.020000,132.276255,260.566130,128.337668,96.613681,-76.058428,-63.017302,0.018073
0.020000,134.176961,260.616103,130.239031,95.068143,-77.276897,-60.923456,0.034549
0.020000,136.045212,260.696059,132.108992,93.498047,-78.504785,-61.394424,0.051039
0.020000,137.880074,260.804905,133.947080,91.904415,-79.681637,-58.842609,0.067506
0.020000,139.680659,260.941454,135.752836,90.287760,-80.832736,-57.554905,0.083912
0.020000,141.446134,261.104429,137.525816,88.649033,-81.936352,-55.180832,0.100222
0.020000,143.175721,261.292477,139.265596,86.988983,-83.002517,-53.308240,0.116403
0.020000,144.868719,261.504180,140.971779,85.309150,-83.991652,-49.456768,0.132422
0.020000,146.524493,261.738064,142.643990,83.610574,-84.928758,-46.855286,0.148249
0.020000,148.142484,261.992613,144.281882,81.894576,-85.799896,-43.556902,0.163856
0.020000,149.722197,262.266272,145.885123,80.162065,-86.625588,-41.284594,0.179219
0.020000,151.263235,262.557471,147.453433,78.415499,-87.328292,-35.135219,0.194312
0.020000,152.765245,262.864618,148.986525,76.654610,-88.044436,-35.807181,0.209115
0.020000,154.228004,263.186134,150.484203,74.883879,-88.536567,-24.606540,0.223610
0.020000,155.651279,263.520425,151.946209,73.100305,-89.178706,-32.106976,0.237778
0.020000,157.034981,263.865930,153.372394,71.309258,-89.552325,-18.680924,0.251607
0.020000,158.379055,264.221102,154.762604,69.510472,-89.939330,-19.350282,0.265082
0.020000,159.683469,264.584413,156.116668,67.703242,-90.361478,-21.107390,0.278195
0.020000,160.948341,264.954395,157.434540,65.893601,-90.482066,-6.029377,0.290935
0.020000,162.173718,265.329583,158.716069,64.076444,-90.857847,-18.789085,0.303296
0.020000,163.359798,265.708586,159.961231,62.258102,-90.917110,-2.963139,0.315274
0.020000,164.506768,266.090044,161.169970,60.436941,-91.058013,-7.045127,0.326863
0.020000,165.614832,266.472639,162.342227,58.612822,-91.205972,-7.397984,0.338061
0.020000,166.684303,266.855130,163.478038,56.790591,-91.111528,4.722202,0.348868
0.020000,167.715430,267.236294,164.577360,54.966072,-91.225975,-5.722331,0.359283
0.020000,168.708528,267.614981,165.640209,53.142447,-91.181246,2.236454,0.369306
0.020000,169.663922,267.990085,166.666601,51.319598,-91.142423,1.941137,0.378939
0.020000,170.581945,268.360557,167.656559,49.497893,-91.085292,2.856543,0.388184
0.020000,171.462988,268.725414,168.610161,47.680126,-90.888343,9.847459,0.397045
0.020000,172.307353,269.083688,169.527392,45.861527,-90.929921,-2.078890,0.405524
0.020000,173.115421,269.434495,170.408323,44.046550,-90.748850,9.053572,0.413625
0.020000,173.887563,269.776993,171.253017,42.234716,-90.591713,7.856842,0.421353
0.020000,174.624107,270.110370,172.061495,40.423911,-90.540249,2.573201,0.428710
0.020000,175.325423,270.433886,172.833834,38.616937,-90.348708,9.577020,0.435703
0.020000,175.991862,270.746836,173.570094,36.812992,-90.197254,7.572717,0.442335
0.020000,176.623767,271.048562,174.270338,35.012218,-90.038677,7.928835,0.448611
0.020000,177.221446,271.338436,174.934602,33.213198,-89.950997,4.384016,0.454535
0.020000,177.785215,271.615880,175.562942,31.416996,-89.810104,7.044628,0.460113
0.020000,178.315400,271.880366,176.155436,29.624697,-89.614938,9.758295,0.465349
0.020000,178.812294,272.131397,176.712140,27.835219,-89.473940,7.049938,0.470246
0.020000,179.276152,272.368500,177.233084,26.047184,-89.401752,3.609398,0.474810
0.020000,179.707238,272.591248,177.718318,24.261707,-89.273839,6.395617,0.479044
0.020000,180.105819,272.799260,178.167913,22.479745,-89.098101,8.786926,0.482953
0.020000,180.472124,272.992178,178.581914,20.700045,-88.984999,5.655103,0.486539
0.020000,180.806351,273.169667,178.960345,18.921543,-88.925086,2.995656,0.489807
0.020000,181.108686,273.331428,179.303234,17.144465,-88.853917,3.558435,0.492758
0.020000,181.379343,273.477214,179.610658,15.371173,-88.664586,9.466533,0.495398
0.020000,181.618478,273.606788,179.882641,13.599143,-88.601511,3.153741,0.497727
0.020000,181.826208,273.719932,180.119185,11.827220,-88.596120,0.269595,0.499748
0.020000,182.002654,273.816463,180.320310,10.056271,-88.547452,2.433356,0.501464
0.020000,182.147934,273.896240,180.486054,8.287168,-88.455163,4.614468,0.502875
0.020000,182.262170,273.959157,180.616469,6.520787,-88.319046,6.805852,0.503984
0.020000,182.345377,274.005089,180.711512,4.752117,-88.433526,-5.724013,0.504792
0.020000,182.397657,274.033993,180.771250,2.986926,-88.259549,8.698875,0.505299
0.020000,182.421404,274.047134,180.798391,1.357033,-81.494658,338.244546,0.505529
0.020000,182.426743,274.050089,180.804493,0.305100,-52.596627,1444.901561,0.505581
0.020000,182.426743,274.050089,180.804493,0.000000,-15.255001,1867.081310,0.505581
