dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,37.991642,315.499998,0.008547,0.854701,42.735043,2136.752137,0.000478
0.020000,37.993440,315.499999,0.010345,0.089901,-38.239979,-4048.751063,0.000375
0.020000,37.997481,315.500000,0.014386,0.202028,5.606324,2192.315127,0.000144
0.020000,38.084374,315.499990,0.101279,4.344656,207.131400,10076.253807,6.282945
0.020000,38.273235,315.499894,0.290140,9.443050,254.919694,2389.414680,6.282410
0.020000,38.516000,315.499622,0.532906,12.138295,134.762263,-6007.871519,6.281724
0.020000,38.812628,315.499065,0.829533,14.831379,134.654219,-5.402229,6.280891
0.020000,39.163066,315.498090,1.179973,17.521972,134.529659,-6.227975,6.279914
0.020000,39.567253,315.496541,1.584163,20.209541,134.378451,-7.560406,6.278795
0.020000,40.025119,315.494243,2.042035,22.893568,134.201318,-8.856651,6.277539
0.020000,40.536583,315.491000,2.553509,25.573707,134.006942,-9.718821,6.276151
0.020000,41.101554,315.486597,3.118497,28.249413,133.785316,-11.081283,6.274635
0.020000,41.719932,315.480802,3.736903,30.920271,133.542912,-12.120199,6.272998
0.020000,42.391607,315.473368,4.408618,33.585768,133.274854,-13.402921,6.271244
0.020000,43.116456,315.464035,5.133528,36.245489,132.986029,-14.441233,6.269381
0.020000,43.894350,315.452529,5.911507,38.898946,132.672844,-15.659241,6.267416
0.020000,44.725148,315.438568,6.742422,41.545777,132.341536,-16.565434,6.265356
0.020000,45.608699,315.421862,7.626130,44.185413,131.981832,-17.985151,6.263210
0.020000,46.544840,315.402114,8.562480,46.817471,131.602896,-18.946812,6.260987
0.020000,47.533400,315.379028,9.551310,49.441513,131.202118,-20.038902,6.258694
0.020000,48.574199,315.352303,10.592452,52.057068,130.777709,-21.220450,6.256343
0.020000,49.667043,315.321643,11.685726,54.663702,130.331714,-22.299751,6.253944
0.020000,50.811733,315.286757,12.830947,57.261057,129.867737,-23.198866,6.251506
0.020000,52.008055,315.247362,14.027918,59.848559,129.375108,-24.631463,6.249042
0.020000,53.255792,315.203186,15.276436,62.425930,128.868559,-25.327418,6.246563
0.020000,54.554713,315.153969,16.576289,64.992644,128.335688,-26.643570,6.244080
0.020000,55.904581,315.099471,17.927257,67.548400,127.787789,-27.394949,6.241607
0.020000,57.305150,315.039472,19.329111,70.092680,127.214044,-28.687232,6.239157
0.020000,58.756166,314.973774,20.781614,72.625138,126.622871,-29.558669,6.236743
0.020000,60.257368,314.902209,22.284520,75.145324,126.009310,-30.678020,6.234379
0.020000,61.808487,314.824638,23.837578,77.652884,125.377976,-31.566712,6.232080
0.020000,63.409249,314.740956,25.440526,80.147388,124.725202,-32.638713,6.229860
0.020000,65.059373,314.651098,27.093094,82.628430,124.052098,-33.655200,6.227735
0.020000,66.758572,314.555039,28.795007,85.095627,123.359855,-34.612128,6.225721
0.020000,68.506556,314.452799,30.545978,87.548544,122.645844,-35.700577,6.223834
0.020000,70.303028,314.344449,32.345714,89.986821,121.913863,-36.599059,6.222091
0.020000,72.147687,314.230113,34.193913,92.409973,121.157632,-37.811551,6.220509
0.020000,74.040231,314.109971,36.090266,94.817647,120.383680,-38.697603,6.219105
0.020000,75.980350,313.984264,38.034454,97.209363,119.585814,-39.893296,6.217899
0.020000,77.959139,313.853871,40.017535,99.154061,97.234876,-1117.546862,6.216912
0.020000,79.959196,313.720335,42.022045,100.225480,53.570983,-2183.194655,6.216166
0.020000,81.963272,313.585284,44.030666,100.431074,10.279657,-2164.566293,6.215674
0.020000,83.962811,313.449806,46.034789,100.206169,-11.245244,-1076.245090,6.215438
0.020000,85.957849,313.314419,48.034416,99.981328,-11.242019,0.161267,6.215459
0.020000,87.948421,313.179634,50.029546,99.756480,-11.242424,-0.020256,6.215738
0.020000,89.934559,313.045961,52.020177,99.531557,-11.246162,-0.186901,6.216273
0.020000,91.916294,312.913906,54.006306,99.306483,-11.253663,-0.375026,6.217066
0.020000,93.893653,312.783973,55.987930,99.081185,-11.264901,-0.561893,6.218116
0.020000,95.866662,312.656661,57.965042,98.855596,-11.279473,-0.728610,6.219424
0.020000,97.835341,312.532468,59.937635,98.629649,-11.297328,-0.892779,6.220990
0.020000,99.799710,312.411891,61.905701,98.403283,-11.318297,-1.048448,6.222814
0.020000,101.759781,312.295422,63.869229,98.176440,-11.342175,-1.193897,6.224898
0.020000,103.715566,312.183553,65.828211,97.949080,-11.367991,-1.290768,6.227242
0.020000,105.667070,312.076771,67.782634,97.721140,-11.396981,-1.449530,6.229847
0.020000,107.614293,311.975565,69.732485,97.492569,-11.428554,-1.578649,6.232712
0.020000,109.557231,311.880418,71.677752,97.263342,-11.461344,-1.639500,6.235840
0.020000,111.495876,311.791813,73.618421,97.033433,-11.495471,-1.706341,6.239230
0.020000,113.430213,311.710230,75.554477,96.802823,-11.530501,-1.751485,6.242884
0.020000,115.360222,311.636149,77.485907,96.571504,-11.565957,-1.772807,6.246802
0.020000,117.285877,311.570046,79.412697,96.339478,-11.601319,-1.768119,6.250986
0.020000,119.207147,311.512394,81.334832,96.106757,-11.636023,-1.735173,6.255435
0.020000,121.123996,311.463666,83.252300,95.873390,-11.668342,-1.615957,6.260151
0.020000,123.036379,311.424330,85.165087,95.639372,-11.700920,-1.628890,6.265134
0.020000,124.944247,311.394854,87.073183,95.404773,-11.729961,-1.452086,6.270386
0.020000,126.847543,311.375701,88.976576,95.169663,-11.755479,-1.275891,6.275906
0.020000,128.746208,311.367332,90.875258,94.934127,-11.776808,-1.066446,6.281696
0.020000,130.640171,311.370204,92.769224,94.698265,-11.793101,-0.814635,0.004569
0.020000,132.529358,311.384769,94.658468,94.462196,-11.803464,-0.518179,0.010898
0.020000,134.413690,311.411479,96.542989,94.226056,-11.806962,-0.174894,0.017497
0.020000,136.293080,311.450777,98.422789,93.990004,-11.802617,0.217279,0.024365
0.020000,138.167434,311.503104,100.297873,93.754216,-11.789412,0.660226,0.031503
0.020000,140.036654,311.568894,102.168251,93.518890,-11.766300,1.155621,0.038910
0.020000,141.900636,311.648578,104.033936,93.284246,-11.732202,1.704874,0.046584
0.020000,143.759271,311.742577,105.894946,93.050525,-11.686021,2.309081,0.054526
0.020000,145.612444,311.851310,107.751306,92.817992,-11.626641,2.968969,0.062734
0.020000,147.460035,311.975184,109.603045,92.586933,-11.552993,3.682405,0.071206
0.020000,149.301919,312.114603,111.450198,92.357650,-11.464154,4.441944,0.079940
0.020000,151.137968,312.269958,113.292807,92.130480,-11.358487,5.283351,0.088933
0.020000,152.968048,312.441635,115.130923,91.905774,-11.235282,6.160258,0.098183
0.020000,154.792025,312.630010,116.964601,91.683905,-11.093449,7.091677,0.107687
0.020000,156.609758,312.835448,118.793906,91.465265,-10.932006,8.072111,0.117440
0.020000,158.421105,313.058303,120.618912,91.250264,-10.750042,9.098204,0.127440
0.020000,160.225923,313.298921,122.439698,91.039330,-10.546725,10.165856,0.137680
0.020000,162.024065,313.557633,124.256356,90.832903,-10.321321,11.270226,0.148156
0.020000,163.812390,313.834279,126.065953,90.479826,-17.653882,-366.628081,0.158844
0.020000,165.580193,314.127259,127.857869,89.595811,-44.200710,-1327.341392,0.169672
0.020000,167.312324,314.433662,129.616892,87.951134,-82.233850,-1901.656982,0.180531
0.020000,168.996849,314.750493,131.330953,85.703053,-112.404094,-1508.512217,0.191326
0.020000,170.629544,315.075766,132.995734,83.239067,-123.199293,-539.759924,0.202006
0.020000,172.210826,315.408285,134.611599,80.793262,-122.290225,45.453366,0.212551
0.020000,173.741117,315.746848,136.178896,78.364812,-121.422490,43.386780,0.222942
0.020000,175.220839,316.090255,137.697943,75.952377,-120.621750,40.036965,0.233159
0.020000,176.650417,316.437312,139.169045,73.555112,-119.863258,37.924627,0.243185
0.020000,178.030282,316.786836,140.592489,71.172203,-119.145479,35.888957,0.253004
0.020000,179.360855,317.137657,141.968535,68.802252,-118.497539,32.396976,0.262602
0.020000,180.642559,317.488623,143.297422,66.444373,-117.893930,30.180434,0.271964
0.020000,181.875823,317.838603,144.579384,64.098113,-117.313016,29.045729,0.281077
0.020000,183.061053,318.186486,145.814614,61.761495,-116.830879,24.106824,0.289930
0.020000,184.198663,318.531193,147.003302,59.434416,-116.353955,23.846220,0.298511
0.020000,185.289057,318.871669,148.145617,57.115735,-115.934052,20.995165,0.306813
0.020000,186.332631,319.206893,149.241711,54.804710,-115.551249,19.140138,0.314825
0.020000,187.329773,319.535875,150.291721,52.500501,-115.210460,17.039426,0.322541
0.020000,188.280858,319.857659,151.295767,50.202278,-114.911170,14.964518,0.329952
0.020000,189.186252,320.171325,152.253955,47.909401,-114.643820,13.367500,0.337054
0.020000,190.046306,320.475988,153.166376,45.621062,-114.416963,11.342845,0.343840
0.020000,190.861358,320.770804,154.033109,43.336630,-114.221594,9.768461,0.350307
0.020000,191.631750,321.054970,154.854239,41.056504,-114.006311,10.764166,0.356449
0.020000,192.357785,321.327718,155.629815,38.778784,-113.886011,6.014963,0.362264
0.020000,193.039762,321.588321,156.359887,36.503643,-113.757055,6.447832,0.367749
0.020000,193.677980,321.836100,157.044516,34.231451,-113.609594,7.373043,0.372900
0.020000,194.272690,322.070405,157.683719,31.960112,-113.566951,2.132159,0.377717
0.020000,194.824157,322.290640,158.277536,29.690857,-113.462736,5.210713,0.382196
0.020000,195.332610,322.496243,158.825986,27.422508,-113.417427,2.265466,0.386338
0.020000,195.798281,322.686701,159.329099,25.155671,-113.341869,3.777909,0.390139
0.020000,196.221366,322.861537,159.786886,22.889345,-113.316301,1.278376,0.393601
0.020000,196.602055,323.020323,160.199364,20.623869,-113.273805,2.124828,0.396722
0.020000,196.940509,323.162666,160.566532,18.358406,-113.273154,0.032539,0.399500
0.020000,197.236886,323.288224,160.888407,16.093784,-113.231107,2.102331,0.401937
0.020000,197.491316,323.396691,161.164993,13.829293,-113.224521,0.329305,0.404031
0.020000,197.703914,323.487808,161.396295,11.565080,-113.210640,0.694060,0.405783
0.020000,197.874777,323.561358,161.582316,9.301037,-113.202162,0.423883,0.407192
0.020000,198.003972,323.617161,161.723047,7.036549,-113.224397,-1.111722,0.408258
0.020000,198.091562,323.655087,161.818495,4.772433,-113.205834,0.928160,0.408981
0.020000,198.140311,323.676228,161.871631,2.656784,-105.782444,371.169471,0.409384
0.020000,198.159867,323.684715,161.892949,1.065883,-79.545025,1311.870965,0.409545
0.020000,198.164077,323.686542,161.897539,0.229505,-41.818905,1886.306012,0.409580
0.020000,198.164077,323.686542,161.897539,0.000000,-11.475258,1517.182355,0.409580
