dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,38.000000,298.000000,0.008547,0.854701,42.735043,2136.752137,0.000478
0.020000,38.000000,298.000000,0.042735,2.564103,85.470085,2136.752137,0.000375
0.020000,38.000000,298.000000,0.119658,5.128205,128.205128,2136.752137,0.000144
0.020000,38.080174,297.999990,0.247863,7.692308,128.205128,0.000000,6.282945
0.020000,38.259661,297.999899,0.427350,10.256410,128.205128,0.000000,6.282410
0.020000,38.490431,297.999641,0.658120,12.820513,128.205128,0.000000,6.281724
0.020000,38.772481,297.999111,0.940171,15.384615,128.205128,-0.000000,6.280891
0.020000,39.105813,297.998184,1.273504,17.948718,128.205128,0.000000,6.279914
0.020000,39.490426,297.996710,1.658120,20.512821,128.205128,0.000000,6.278795
0.020000,39.926318,297.994522,2.094017,23.076923,128.205128,-0.000000,6.277539
0.020000,40.413487,297.991433,2.581197,25.641026,128.205128,0.000000,6.276151
0.020000,40.951933,297.987236,3.119658,28.205128,128.205128,-0.000000,6.274635
0.020000,41.541651,297.981710,3.709402,30.769231,128.205128,0.000000,6.272998
0.020000,42.182637,297.974616,4.350427,33.333333,128.205128,-0.000000,6.271244
0.020000,42.874887,297.965702,5.042735,35.897436,128.205128,0.000000,6.269381
0.020000,43.618395,297.954705,5.786325,38.461538,128.205128,-0.000000,6.267416
0.020000,44.413155,297.941350,6.581197,41.025641,128.205128,0.000000,6.265356
0.020000,45.259157,297.925353,7.427350,43.589744,128.205128,-0.000000,6.263210
0.020000,46.156393,297.906426,8.324786,46.153846,128.205128,0.000000,6.260987
0.020000,47.104852,297.884276,9.273504,48.717949,128.205128,0.000000,6.258694
0.020000,48.104523,297.858607,10.273504,51.282051,128.205128,0.000000,6.256343
0.020000,49.155391,297.829124,11.324786,53.846154,128.205128,-0.000000,6.253944
0.020000,50.257443,297.795538,12.427350,56.410256,128.205128,0.000000,6.251506
0.020000,51.410664,297.757562,13.581197,58.974359,128.205128,0.000000,6.249042
0.020000,52.615037,297.714920,14.786325,61.538462,128.205128,-0.000000,6.246563
0.020000,53.870546,297.667348,16.042735,64.102564,128.205128,0.000000,6.244080
0.020000,55.177173,297.614595,17.350427,66.666667,128.205128,-0.000000,6.241607
0.020000,56.534902,297.556431,18.709402,69.230769,128.205128,0.000000,6.239157
0.020000,57.943715,297.492643,20.119658,71.794872,128.205128,-0.000000,6.236743
0.020000,59.403595,297.423048,21.581197,74.358974,128.205128,0.000000,6.234379
0.020000,60.914527,297.347486,23.094017,76.923077,128.205128,-0.000000,6.232080
0.020000,62.476497,297.265832,24.658120,79.487179,128.205128,0.000000,6.229860
0.020000,64.089491,297.177995,26.273504,82.051282,128.205128,0.000000,6.227735
0.020000,65.753501,297.083924,27.940171,84.615385,128.205128,-0.000000,6.225721
0.020000,67.468518,296.983612,29.658120,87.179487,128.205128,0.000000,6.223834
0.020000,69.234540,296.877099,31.427350,89.743590,128.205128,0.000000,6.222091
0.020000,71.051565,296.764475,33.247863,92.307692,128.205128,-0.000000,6.220509
0.020000,72.919600,296.645888,35.119658,94.871795,128.205128,0.000000,6.219105
0.020000,74.838653,296.521546,37.042735,97.435897,128.205128,-0.000000,6.217899
0.020000,76.800210,296.392288,39.008547,99.145299,85.470085,-2136.752137,6.216912
0.020000,78.787239,296.259622,41.000000,100.000000,42.735043,-2136.752137,6.216166
0.020000,80.782714,296.125150,43.000000,100.000000,0.000000,-2136.752137,6.215674
0.020000,82.778139,295.989951,45.000000,100.000000,0.000000,0.000000,6.215438
0.020000,84.773550,295.854538,47.000000,100.000000,0.000000,0.000000,6.215459
0.020000,86.768980,295.719425,49.000000,100.000000,0.000000,0.000000,6.215738
0.020000,88.764466,295.585123,51.000000,100.000000,0.000000,0.000000,6.216273
0.020000,90.760041,295.452146,53.000000,100.000000,0.000000,0.000000,6.217066
0.020000,92.755737,295.321008,55.000000,100.000000,0.000000,0.000000,6.218116
0.020000,94.751586,295.192222,57.000000,100.000000,0.000000,0.000000,6.219424
0.020000,96.747618,295.066305,59.000000,100.000000,0.000000,0.000000,6.220990
0.020000,98.743861,294.943772,61.000000,100.000000,0.000000,0.000000,6.222814
0.020000,100.740339,294.825141,63.000000,100.000000,0.000000,0.000000,6.224898
0.020000,102.737075,294.710930,65.000000,100.000000,0.000000,0.000000,6.227242
0.020000,104.734087,294.601659,67.000000,100.000000,0.000000,0.000000,6.229847
