dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,38.008358,280.500002,0.008547,0.854701,42.735043,2136.752137,0.000478
0.020000,38.006560,280.500001,0.010345,0.089901,-38.239979,-4048.751063,0.000375
0.020000,38.002519,280.500000,0.014386,0.202028,5.606324,2192.315127,0.000144
0.020000,38.075975,280.499991,0.087841,3.672775,173.537371,8396.552342,6.282945
0.020000,38.246088,280.499904,0.257954,8.505668,241.644642,3405.363578,6.282410
0.020000,38.464862,280.499660,0.476728,10.938671,121.650142,-5999.725026,6.281724
0.020000,38.732335,280.499157,0.744202,13.373706,121.751743,5.080062,6.280891
0.020000,39.048561,280.498277,1.060429,15.811358,121.882615,6.543584,6.279914
0.020000,39.413599,280.496878,1.425470,18.252030,122.033579,7.548219,6.278795
0.020000,39.827516,280.494801,1.839392,20.696134,122.205219,8.581981,6.277539
0.020000,40.290392,280.491866,2.302277,23.144240,122.405304,10.004252,6.276151
0.020000,40.802311,280.487876,2.814212,25.596734,122.624697,10.969637,6.274635
0.020000,41.363369,280.482618,3.375294,28.054117,122.869130,12.221684,6.272998
0.020000,41.973667,280.475864,3.985630,30.516797,123.134041,13.245536,6.271244
0.020000,42.633318,280.467370,4.645336,32.985271,123.423690,14.482468,6.269381
0.020000,43.342440,280.456881,5.354535,35.459963,123.734613,15.546139,6.267416
0.020000,44.101161,280.444131,6.113363,37.941409,124.072265,16.882585,6.265356
0.020000,44.909615,280.428844,6.921962,40.429949,124.427015,17.737509,6.263210
0.020000,45.767946,280.410738,7.780484,42.926088,124.806925,18.995476,6.260987
0.020000,46.676304,280.389524,8.689089,45.430274,125.209298,20.118684,6.258694
0.020000,47.634846,280.364910,9.647948,47.942916,125.632138,21.142014,6.256343
0.020000,48.643738,280.336606,10.657237,50.464455,126.076942,22.240165,6.253944
0.020000,49.703154,280.304318,11.717144,52.995388,126.546654,23.485613,6.251506
0.020000,50.813273,280.267761,12.827865,55.536008,127.030997,24.217167,6.249042
0.020000,51.974283,280.226654,13.989602,58.086872,127.543195,25.609900,6.246563
0.020000,53.186379,280.180727,15.202568,60.648299,128.071341,26.407293,6.244080
0.020000,54.449766,280.129720,16.466984,63.220810,128.625556,27.710747,6.241607
0.020000,55.764654,280.073390,17.783079,65.804718,129.195383,28.491333,6.239157
0.020000,57.131264,280.011513,19.151088,68.400485,129.788358,29.648767,6.236743
0.020000,58.549822,279.943887,20.571258,71.008476,130.399563,30.560245,6.234379
0.020000,60.020567,279.870334,22.043841,73.629139,131.033146,31.679136,6.232080
0.020000,61.543744,279.790707,23.569098,76.262850,131.685539,32.619666,6.229860
0.020000,63.119609,279.704892,25.147298,78.910005,132.357777,33.611875,6.227735
0.020000,64.748429,279.612810,26.778718,81.571028,133.051114,34.666887,6.225721
0.020000,66.430480,279.514426,28.463644,84.246293,133.763292,35.608877,6.223834
0.020000,68.166051,279.409748,30.202369,86.936261,134.498374,36.754111,6.222091
0.020000,69.955443,279.298837,31.995195,89.641279,135.250895,37.626055,6.220509
0.020000,71.798969,279.181805,33.842432,92.361838,136.027938,38.852136,6.219105
0.020000,73.696955,279.058828,35.744398,95.098327,136.824484,39.827278,6.217899
0.020000,75.641281,278.930705,37.692941,97.427135,116.440375,-1019.205434,6.216912
0.020000,77.615283,278.798908,39.671337,98.919816,74.634055,-2090.315974,6.216166
0.020000,79.602155,278.665015,41.662716,99.568933,32.455850,-2108.910280,6.215674
0.020000,81.593466,278.530095,43.658593,99.793841,11.245388,-1060.523090,6.215438
0.020000,83.589250,278.394657,45.658966,100.018680,11.241955,-0.171653,6.215459
0.020000,85.589540,278.259215,47.663837,100.243523,11.242153,0.009886,6.215738
0.020000,87.594373,278.124284,49.673206,100.468448,11.246277,0.206205,6.216273
0.020000,89.603788,277.990385,51.687076,100.693525,11.253827,0.377494,6.217066
0.020000,91.617821,277.858043,53.705453,100.918819,11.264687,0.543042,6.218116
0.020000,93.636510,277.727784,55.728341,101.144400,11.279064,0.718825,6.219424
0.020000,95.659895,277.600142,57.755747,101.370335,11.296739,0.883739,6.220990
0.020000,97.688012,277.475653,59.787681,101.596686,11.317546,1.040363,6.222814
0.020000,99.720896,277.354859,61.824151,101.823511,11.341285,1.186938,6.224898
0.020000,101.758583,277.238307,63.865169,102.050881,11.368482,1.359868,6.227242
0.020000,103.801105,277.126547,65.910745,102.278827,11.397293,1.440551,6.229847
0.020000,105.848489,277.020137,67.960893,102.507380,11.427681,1.519392,6.232712
0.020000,107.900761,276.919638,70.015625,102.736587,11.460354,1.633648,6.235840
0.020000,109.957943,276.825618,72.074954,102.966475,11.494387,1.701647,6.239230
0.020000,112.020052,276.738650,74.138895,103.197062,11.529345,1.747928,6.242884
0.020000,114.087097,276.659312,76.207463,103.428357,11.564752,1.770328,6.246802
0.020000,116.159084,276.588188,78.280670,103.660359,11.600085,1.766629,6.250986
0.020000,118.236010,276.525870,80.358531,103.893054,11.634776,1.734557,6.255435
0.020000,120.317866,276.472950,82.441060,104.126443,11.669425,1.732447,6.260151
0.020000,122.404634,276.430032,84.528269,104.360439,11.699789,1.518206,6.265134
