dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,254.113663,314.246218,0.001471,0.147059,7.352941,367.647059,5.774465
0.020000,254.112547,314.246841,0.002748,0.063880,-4.158934,-575.593755,5.774561
0.020000,254.110036,314.248240,0.005623,0.143746,3.993307,407.612049,5.774778
0.020000,254.105570,314.250728,0.010735,0.255603,5.592860,79.977664,5.775164
0.020000,254.124217,314.240355,0.032073,1.066901,40.564863,1748.600139,5.775767
0.020000,254.160430,314.220242,0.073497,2.071194,50.214668,482.490247,5.776637
0.020000,254.209730,314.192927,0.129859,2.818077,37.344126,-643.527089,5.777821
0.020000,254.274145,314.157352,0.203444,3.679281,43.060217,285.804524,5.779371
0.020000,254.355701,314.112498,0.296521,4.653820,48.726961,283.337218,5.781336
0.020000,254.456435,314.057383,0.411346,5.741287,54.373348,282.319330,5.783769
0.020000,254.578398,313.991080,0.550167,6.941016,59.986447,280.654949,5.786721
0.020000,254.723644,313.912728,0.715198,8.251578,65.528113,277.083336,5.790248
0.020000,254.894246,313.821542,0.908641,9.672152,71.028679,275.028301,5.794406
0.020000,255.092292,313.716831,1.132665,11.201174,76.451100,271.121015,5.799252
0.020000,255.319889,313.598012,1.389411,12.837297,81.806151,267.752562,5.804847
0.020000,255.579158,313.464632,1.680977,14.578300,87.050170,262.200977,5.811255
0.020000,255.872251,313.316379,2.009431,16.422718,92.220901,258.536536,5.818541
0.020000,256.200317,313.153616,2.375654,18.311148,94.421493,110.029573,5.826751
0.020000,256.563514,312.977335,2.779371,20.185831,93.734144,-34.367412,5.835904
0.020000,256.962007,312.788645,3.220279,22.045424,92.979620,-37.726230,5.846024
0.020000,257.395972,312.588768,3.698062,23.889144,92.186047,-39.678646,5.857135
0.020000,257.865596,312.379047,4.212386,25.716211,91.353338,-41.635466,5.869261
0.020000,258.370048,312.161371,4.761799,27.470650,87.721964,-181.568703,5.882402
0.020000,258.907466,311.938111,5.343747,29.097378,81.336373,-319.279538,5.896527
0.020000,259.475979,311.711608,5.955720,30.598667,75.064452,-313.596053,5.911605
0.020000,260.073704,311.484161,6.595257,31.976833,68.908282,-307.808484,5.927600
0.020000,260.698745,311.258005,7.259954,33.234852,62.900975,-300.365351,5.944470
0.020000,261.349193,311.035293,7.947474,34.375989,57.056846,-292.206466,5.962170
0.020000,262.023131,310.818077,8.655552,35.403936,51.397365,-282.974049,5.980650
0.020000,262.718630,310.608292,9.382001,36.322450,45.925707,-273.582871,5.999851
0.020000,263.433752,310.407739,10.124714,37.135619,40.658406,-263.365090,6.019712
0.020000,264.166551,310.218076,10.881659,37.847256,35.581872,-253.826655,6.040164
0.020000,264.915072,310.040799,11.650886,38.461369,30.705644,-243.811425,6.061131
0.020000,265.677349,309.877238,12.430513,38.981333,25.998217,-235.371327,6.082535
0.020000,266.451405,309.728547,13.218721,39.410422,21.454420,-227.189861,6.104289
0.020000,267.235250,309.595695,14.013745,39.751171,17.037477,-220.847168,6.126306
0.020000,268.026873,309.479463,14.813856,40.005539,12.718408,-215.953433,6.148494
0.020000,268.824242,309.380440,15.617350,40.174705,8.458275,-213.006636,6.170760
0.020000,269.625296,309.299019,16.422531,40.259089,4.219219,-211.952831,6.193009
0.020000,270.429021,309.235327,17.228775,40.312197,2.655387,-78.191616,6.215178
0.020000,271.235456,309.189338,18.036521,40.387285,3.754392,54.950269,6.237233
0.020000,272.044634,309.161023,18.846195,40.483676,4.819584,53.259590,6.259144
0.020000,272.856573,309.150343,19.658204,40.600464,5.839372,50.989404,6.280878
0.020000,273.670967,309.157246,20.472627,40.721133,6.033453,9.704061,0.019212
0.020000,274.486392,309.181603,21.288416,40.789458,3.416266,-130.859371,0.040456
0.020000,275.300605,309.223106,22.103685,40.763473,-1.299242,-235.775397,0.061342
0.020000,276.111314,309.281253,22.916477,40.639586,-6.194369,-244.756347,0.081797
0.020000,276.916186,309.355355,23.724753,40.413826,-11.287978,-254.680437,0.101753
0.020000,277.712849,309.444541,24.526393,40.081981,-16.592250,-265.213621,0.121149
0.020000,278.498897,309.547764,25.319189,39.639806,-22.108787,-275.826852,0.139927
0.020000,279.271895,309.663814,26.100850,39.083036,-27.838495,-286.485372,0.158041
0.020000,280.029389,309.791330,26.869002,38.407608,-33.771390,-296.644766,0.175446
0.020000,280.768911,309.928812,27.621194,37.609620,-39.899425,-306.401719,0.192105
0.020000,281.487985,310.074633,28.354905,36.685527,-46.204649,-315.261206,0.207988
0.020000,282.184135,310.227060,29.067547,35.632116,-52.670531,-323.294097,0.223067
0.020000,282.854889,310.384269,29.756478,34.446558,-59.277914,-330.369188,0.237320
0.020000,283.497787,310.544358,30.419009,33.126523,-66.001739,-336.191251,0.250728
0.020000,284.110382,310.705370,31.052410,31.670061,-72.823090,-341.067545,0.263274
0.020000,284.690239,310.865307,31.653920,30.075510,-79.727531,-345.222030,0.274946
0.020000,285.234951,311.022151,32.220763,28.342121,-86.669491,-347.097993,0.285730
0.020000,285.742441,311.173975,32.750476,26.485682,-92.821926,-307.621755,0.295623
0.020000,286.211790,311.319236,33.241790,24.565694,-95.999385,-158.872974,0.304640
0.020000,286.642908,311.456734,33.694304,22.625686,-97.000439,-50.052659,0.312812
0.020000,287.035722,311.585383,34.107648,20.667217,-97.923418,-46.148954,0.320166
0.020000,287.390178,311.704207,34.481490,18.692098,-98.755958,-41.626998,0.326728
0.020000,287.706557,311.812445,34.815872,16.719079,-98.650960,5.249857,0.332527
0.020000,287.986282,311.909845,35.112070,14.809902,-95.458835,159.606295,0.337607
0.020000,288.231597,311.996573,35.372264,13.009684,-90.010889,272.397296,0.342028
0.020000,288.444749,312.072918,35.598676,11.320594,-84.454508,277.819050,0.345842
0.020000,288.627995,312.139284,35.793569,9.744693,-78.795083,282.971242,0.349101
0.020000,288.783592,312.196166,35.959238,8.283452,-73.062033,286.652485,0.351855
0.020000,288.913802,312.244140,36.098005,6.938311,-67.257026,290.250351,0.354149
0.020000,289.020886,312.283847,36.212213,5.710425,-61.394312,293.135707,0.356029
0.020000,289.107106,312.315985,36.304228,4.600765,-55.483028,295.564185,0.357538
0.020000,289.174727,312.341293,36.376430,3.610088,-49.533828,297.460000,0.358719
0.020000,289.226012,312.360548,36.431210,2.739014,-43.553701,299.006348,0.359613
0.020000,289.263225,312.374552,36.470971,1.988016,-37.549914,300.189386,0.360261
0.020000,289.288629,312.384128,36.498120,1.357471,-31.527231,301.134113,0.360703
0.020000,289.304489,312.390113,36.515072,0.847565,-25.495300,301.596559,0.360979
0.020000,289.313069,312.393353,36.524243,0.458571,-19.449731,302.278469,0.361128
0.020000,289.316632,312.394699,36.528052,0.190453,-13.405880,302.192536,0.361190
