dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,247.660117,302.674086,0.001471,0.147059,7.352941,367.647059,5.774465
0.020000,247.660117,302.674086,0.007353,0.441176,14.705882,367.647059,5.774561
0.020000,247.660117,302.674086,0.020588,0.882353,22.058824,367.647059,5.774778
0.020000,247.660117,302.674086,0.044118,1.470588,29.411765,367.647059,5.775164
0.020000,247.685748,302.659828,0.080882,2.205882,36.764706,367.647059,5.775767
0.020000,247.732030,302.634122,0.133824,3.088235,44.117647,367.647059,5.776637
0.020000,247.795058,302.599201,0.205882,4.117647,51.470588,367.647059,5.777821
0.020000,247.877448,302.553699,0.300000,5.294118,58.823529,367.647059,5.779371
0.020000,247.981821,302.496295,0.419118,6.617647,66.176471,367.647059,5.781336
0.020000,248.110831,302.425710,0.566176,8.088235,73.529412,367.647059,5.783769
0.020000,248.267167,302.340721,0.744118,9.705882,80.882353,367.647059,5.786721
0.020000,248.453543,302.240182,0.955882,11.470588,88.235294,367.647059,5.790248
0.020000,248.672728,302.123029,1.204412,13.382353,95.588235,367.647059,5.794406
0.020000,248.927538,301.988306,1.492647,15.441176,102.941176,367.647059,5.799252
0.020000,249.220855,301.835177,1.823529,17.647059,110.294118,367.647059,5.804847
0.020000,249.555622,301.662958,2.200000,20.000000,117.647059,367.647059,5.811255
0.020000,249.934868,301.471128,2.625000,22.500000,125.000000,367.647059,5.818541
0.020000,250.360375,301.260022,3.100000,25.000000,125.000000,0.000000,5.826751
0.020000,250.832682,301.030785,3.625000,27.500000,125.000000,-0.000000,5.835904
0.020000,251.352365,300.784711,4.200000,30.000000,125.000000,0.000000,5.846024
0.020000,251.920044,300.523251,4.825000,32.500000,125.000000,-0.000000,5.857135
0.020000,252.536375,300.248016,5.500000,35.000000,125.000000,0.000000,5.869261
0.020000,253.200692,299.961361,6.223529,37.352941,117.647059,-367.647059,5.882402
0.020000,253.910952,299.666300,6.992647,39.558824,110.294118,-367.647059,5.896527
0.020000,254.665063,299.365856,7.804412,41.617647,102.941176,-367.647059,5.911605
0.020000,255.460859,299.063043,8.655882,43.529412,95.588235,-367.647059,5.927600
0.020000,256.296093,298.760839,9.544118,45.294118,88.235294,-367.647059,5.944470
0.020000,257.168424,298.462160,10.466176,46.911765,80.882353,-367.647059,5.962170
0.020000,258.075407,298.169837,11.419118,48.382353,73.529412,-367.647059,5.980650
0.020000,259.014485,297.886586,12.400000,49.705882,66.176471,-367.647059,5.999851
0.020000,259.982987,297.614979,13.405882,50.882353,58.823529,-367.647059,6.019712
0.020000,260.978120,297.357422,14.433824,51.911765,51.470588,-367.647059,6.040164
0.020000,261.996976,297.116124,15.480882,52.794118,44.117647,-367.647059,6.061131
0.020000,263.036530,296.893072,16.544118,53.529412,36.764706,-367.647059,6.082535
0.020000,264.093653,296.690008,17.620588,54.117647,29.411765,-367.647059,6.104289
0.020000,265.165115,296.508410,18.707353,54.558824,22.058824,-367.647059,6.126306
0.020000,266.247604,296.349471,19.801471,54.852941,14.705882,-367.647059,6.148494
0.020000,267.337737,296.214088,20.900000,55.000000,7.352941,-367.647059,6.170760
0.020000,268.432075,296.102856,22.000000,55.000000,0.000000,-367.647059,6.193009
0.020000,269.528615,296.015956,23.100000,55.000000,0.000000,0.000000,6.215178
0.020000,270.626808,295.953325,24.200000,55.000000,0.000000,0.000000,6.237233
0.020000,271.726112,295.914852,25.300000,55.000000,0.000000,0.000000,6.259144
0.020000,272.825995,295.900378,26.400000,55.000000,0.000000,0.000000,6.280878
0.020000,273.925517,295.909692,27.499582,54.958210,-2.089482,-104.474080,0.019212
0.020000,275.022283,295.942445,28.596858,54.769362,-9.442423,-367.647059,0.040456
0.020000,276.112875,295.998027,29.688886,54.433455,-16.795364,-367.647059,0.061342
0.020000,277.193919,296.075555,30.772725,53.950489,-24.148305,-367.647059,0.081797
0.020000,278.262094,296.173890,31.845435,53.320464,-31.501246,-367.647059,0.101753
0.020000,279.314145,296.291657,32.904073,52.543380,-38.854187,-367.647059,0.121149
0.020000,280.346890,296.427267,33.945700,51.619237,-46.207129,-367.647059,0.139927
0.020000,281.357227,296.578942,34.967372,50.548036,-53.560070,-367.647059,0.158041
0.020000,282.342136,296.744733,35.966150,49.329776,-60.913011,-367.647059,0.175446
0.020000,283.298679,296.922553,36.939093,47.964457,-68.265952,-367.647059,0.192105
0.020000,284.224001,297.110192,37.883258,46.452079,-75.618893,-367.647059,0.207988
0.020000,285.115325,297.305349,38.795705,44.792642,-82.971835,-367.647059,0.223067
0.020000,285.969947,297.505647,39.673493,42.986147,-90.324776,-367.647059,0.237320
0.020000,286.785233,297.708658,40.513681,41.032592,-97.677717,-367.647059,0.250728
0.020000,287.558608,297.911925,41.313326,38.931979,-105.030658,-367.647059,0.263274
0.020000,288.287546,298.112979,42.069489,36.684307,-112.383599,-367.647059,0.274946
0.020000,288.969573,298.309358,42.779228,34.289576,-119.736540,-367.647059,0.285730
0.020000,289.602639,298.498748,43.440019,31.789576,-125.000000,-263.172979,0.295623
0.020000,290.186122,298.679331,44.050811,29.289576,-125.000000,0.000000,0.304640
0.020000,290.720399,298.849729,44.611603,26.789576,-125.000000,-0.000000,0.312812
0.020000,291.205819,299.008707,45.122394,24.289576,-125.000000,0.000000,0.320166
0.020000,291.642714,299.155165,45.583186,21.789576,-125.000000,0.000000,0.326728
0.020000,292.031783,299.288272,45.994395,19.331366,-122.910518,104.474080,0.332527
0.020000,292.375083,299.407809,46.357911,17.020214,-115.557577,367.647059,0.337607
0.020000,292.675618,299.514058,46.676674,14.856122,-108.204636,367.647059,0.342028
0.020000,292.936349,299.607445,46.953626,12.839088,-100.851695,367.647059,0.345842
0.020000,293.160203,299.688517,47.191708,10.969113,-93.498754,367.647059,0.349101
0.020000,293.350067,299.757926,47.393861,9.246196,-86.145813,367.647059,0.351855
0.020000,293.508801,299.816409,47.563027,7.670339,-78.792871,367.647059,0.354149
0.020000,293.639241,299.864777,47.702146,6.241540,-71.439930,367.647059,0.356029
0.020000,293.744200,299.903899,47.814159,4.959801,-64.086989,367.647059,0.357538
0.020000,293.826476,299.934692,47.902008,3.825120,-56.734048,367.647059,0.358719
0.020000,293.888850,299.958111,47.968634,2.837498,-49.381107,367.647059,0.359613
0.020000,293.934097,299.975139,48.016979,1.996934,-42.028165,367.647059,0.360261
0.020000,293.964979,299.986780,48.049982,1.303430,-34.675224,367.647059,0.360703
0.020000,293.984256,299.994054,48.070586,0.756984,-27.322283,367.647059,0.360979
0.020000,293.994684,299.997992,48.081732,0.357597,-19.969342,367.647059,0.361128
0.020000,293.999015,299.999628,48.086361,0.105269,-12.616401,367.647059,0.361190
0.020000,294.000000,300.000000,48.087414,0.000000,-5.263460,367.647059,0.361204
