dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,289.329980,312.399735,0.001471,0.147059,7.352941,367.647059,3.501785
0.020000,289.329248,312.399459,0.002253,0.039116,-5.397129,-637.503529,3.501844
0.020000,289.327602,312.398838,0.004013,0.087984,2.443385,392.025732,3.501977
0.020000,289.324676,312.397736,0.007139,0.156322,3.416881,48.674802,3.502213
0.020000,289.320110,312.396013,0.012019,0.244011,4.384457,48.378800,3.502581
0.020000,289.284139,312.382418,0.050474,1.922738,83.936355,3977.594870,3.503111
0.020000,289.207832,312.353532,0.132065,4.079527,107.839478,1195.156151,3.503830
0.020000,289.108232,312.315734,0.238596,5.326586,62.352955,-2274.326155,3.504767
0.020000,288.982278,312.267782,0.373369,6.738655,70.603440,412.524256,3.505949
0.020000,288.826938,312.208409,0.539669,8.314970,78.815745,410.615275,3.507401
0.020000,288.639212,312.136313,0.740764,10.054741,86.988553,408.640411,3.509148
0.020000,288.416137,312.050152,0.979900,11.956806,95.103262,405.735433,3.511214
0.020000,288.154797,311.948539,1.260299,14.019957,103.157503,402.712053,3.513619
0.020000,287.852330,311.830035,1.585151,16.242630,111.133698,398.809717,3.516383
0.020000,287.505937,311.693141,1.957614,18.623138,119.025355,394.582896,3.519521
0.020000,287.112891,311.536292,2.380801,21.159345,126.810386,389.251515,3.523047
0.020000,286.670543,311.357856,2.857782,23.849041,134.484761,383.718762,3.526970
0.020000,286.177861,311.156753,3.389927,26.607237,137.909821,171.252999,3.531283
0.020000,285.635404,310.932480,3.976918,29.349545,137.115389,-39.721617,3.535961
0.020000,285.043779,310.684514,4.618406,32.074411,136.243294,-43.604714,3.540979
0.020000,284.403648,310.412315,5.314006,34.780029,135.280924,-48.118533,3.546308
0.020000,283.715715,310.115336,6.063305,37.464922,134.244663,-51.813030,3.551915
0.020000,282.982212,309.793689,6.864231,40.046303,129.069054,-258.780452,3.557757
0.020000,282.206855,309.448191,7.713081,42.442530,119.811306,-462.887400,3.563774
0.020000,281.393317,309.079735,8.606168,44.654337,110.590373,-461.046671,3.569912
0.020000,280.545218,308.689301,9.539823,46.682727,101.419506,-458.543347,3.576115
0.020000,279.666110,308.277956,10.510408,48.529253,92.326288,-454.660890,3.582330
0.020000,278.759477,307.846862,11.514313,50.195242,83.299440,-451.342385,3.588507
0.020000,277.828719,307.397274,12.547967,51.682725,74.374148,-446.264584,3.594599
0.020000,276.877148,306.930538,13.607839,52.993609,65.544198,-441.497530,3.600560
0.020000,275.907986,306.448087,14.690444,54.130243,56.831725,-435.623668,3.606351
0.020000,274.924363,305.951437,15.792341,55.094838,48.229759,-430.098285,3.611932
0.020000,273.929312,305.442178,16.910138,55.889862,39.751177,-423.929095,3.617271
0.020000,272.925773,304.921968,18.040496,56.517876,31.400730,-417.522340,3.622337
0.020000,271.916594,304.392523,19.180125,56.981467,23.179512,-411.060892,3.627104
0.020000,270.904536,303.855608,20.325786,57.283037,15.078517,-405.049741,3.631549
0.020000,269.892271,303.313025,21.474297,57.425537,7.124993,-397.676232,3.635654
0.020000,268.882398,302.766607,22.622520,57.411169,-0.718389,-392.169115,3.639405
0.020000,267.877437,302.218201,23.767377,57.242835,-8.416690,-384.915035,3.642790
0.020000,266.878512,301.668932,24.907353,56.998838,-12.199841,-189.157551,3.645807
0.020000,265.885393,301.119185,26.042478,56.756227,-12.130563,3.463887,3.648458
0.020000,264.897853,300.569336,27.172774,56.514795,-12.071594,2.948460,3.650745
0.020000,263.915668,300.019758,28.298262,56.274401,-12.019720,2.593696,3.652668
0.020000,262.938618,299.470814,29.418960,56.034933,-11.973401,2.315983,3.654231
0.020000,261.966488,298.922866,30.534884,55.796162,-11.938545,1.742781,3.655432
0.020000,260.999065,298.376267,31.646044,55.558004,-11.907893,1.532613,3.656275
0.020000,260.036144,297.831369,32.752448,55.320214,-11.889500,0.919650,3.656758
0.020000,259.077523,297.288520,33.854102,55.082680,-11.876687,0.640640,3.656883
0.020000,258.123005,296.748062,34.951006,54.845199,-11.874056,0.131535,3.656649
0.020000,257.172400,296.210339,36.043158,54.607600,-11.879985,-0.296448,3.656057
0.020000,256.225523,295.675688,37.130552,54.369725,-11.893718,-0.686633,3.655105
0.020000,255.282196,295.144448,38.213180,54.131383,-11.917132,-1.170687,3.653794
0.020000,254.342246,294.616954,39.291028,53.892421,-11.948054,-1.546104,3.652122
0.020000,253.405505,294.093541,40.364082,53.652680,-11.987079,-1.951275,3.650089
0.020000,252.471815,293.574543,41.432321,53.411965,-12.035719,-2.431968,3.647692
0.020000,251.541022,293.060293,42.495725,53.170209,-12.087807,-2.604398,3.644930
0.020000,250.612981,292.551125,43.554268,52.927128,-12.154077,-3.313510,3.641801
0.020000,249.687550,292.047371,44.607924,52.682790,-12.216882,-3.140246,3.638303
0.020000,248.764599,291.549364,45.656661,52.436843,-12.297346,-4.023214,3.634434
0.020000,247.844002,291.057437,46.700448,52.189361,-12.374120,-3.838715,3.630192
0.020000,246.925640,290.571923,47.739251,51.940161,-12.459969,-4.292440,3.625573
0.020000,246.009405,290.093154,48.773034,51.689131,-12.551549,-4.578991,3.620576
0.020000,245.095191,289.621463,49.801761,51.436392,-12.636916,-4.268354,3.615197
0.020000,244.182903,289.157183,50.825394,51.181637,-12.737743,-5.041344,3.609434
0.020000,243.272454,288.700645,51.843895,50.925058,-12.828963,-4.561012,3.603283
0.020000,242.363761,288.252182,52.857228,50.666619,-12.921952,-4.649445,3.596742
0.020000,241.456753,287.812123,53.865353,50.406253,-13.018287,-4.816740,3.589808
0.020000,240.551361,287.380797,54.868237,50.144202,-13.102570,-4.214159,3.582479
0.020000,239.647526,286.958532,55.865846,49.880457,-13.187248,-4.233903,3.574751
0.020000,238.745198,286.545654,56.858149,49.615130,-13.266355,-3.955356,3.566624
0.020000,237.844330,286.142482,57.845119,49.348517,-13.330659,-3.215180,3.558093
0.020000,236.944882,285.749338,58.826735,49.080784,-13.386650,-2.799553,3.549159
0.020000,236.046823,285.366534,59.802977,48.812136,-13.432400,-2.287527,3.539819
0.020000,235.150123,284.994381,60.773836,48.542957,-13.458952,-1.327562,3.530073
0.020000,234.254760,284.633183,61.739310,48.273687,-13.463462,-0.225540,3.519920
0.020000,233.360716,284.283238,62.699402,48.004578,-13.455474,0.399416,3.509361
0.020000,232.467978,283.944836,63.654126,47.736197,-13.419060,1.820715,3.498397
0.020000,231.576533,283.618261,64.603507,47.469080,-13.355836,3.161206,3.487030
0.020000,230.686373,283.303786,65.547584,47.203815,-13.263268,4.628367,3.475263
0.020000,229.797490,283.001677,66.486403,46.940990,-13.141226,6.102111,3.463099
0.020000,228.909878,282.712187,67.420030,46.681343,-12.982370,7.942826,3.450543
0.020000,228.023530,282.435561,68.348543,46.425618,-12.786252,9.805889,3.437601
0.020000,227.138437,282.172031,69.272034,46.174575,-12.552133,11.705934,3.424280
0.020000,226.254590,281.921816,70.190616,45.929097,-12.273910,13.911160,3.410589
0.020000,225.371975,281.685125,71.104417,45.690057,-11.951967,16.097126,3.396537
0.020000,224.490574,281.462152,72.013584,45.458346,-11.585584,18.319153,3.382135
0.020000,223.610368,281.253078,72.918280,45.234817,-11.176441,20.457159,3.367396
0.020000,222.731326,281.058072,73.818692,45.020588,-10.711438,23.250169,3.352333
0.020000,221.853416,280.877289,74.715023,44.816542,-10.202286,25.457595,3.336962
0.020000,220.976601,280.710871,75.607491,44.623397,-9.657253,27.251647,3.321300
