dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,200.408116,283.539513,0.001508,0.150817,7.540843,377.042132,3.641171
0.020000,200.407083,283.538950,0.002685,0.058830,-4.599352,-607.009753,3.641083
0.020000,200.401397,283.535848,0.009162,0.323870,13.252025,892.568896,3.640883
0.020000,200.376090,283.522052,0.037985,1.441154,55.864161,2130.606790,3.640529
0.020000,200.336559,283.500525,0.082998,2.250623,40.473468,-769.534652,3.639977
0.020000,200.279658,283.469588,0.147765,3.238371,49.387411,445.697151,3.639187
0.020000,200.202254,283.427597,0.235825,4.402990,58.230960,442.177446,3.638118
0.020000,200.101235,283.372956,0.350675,5.742511,66.976033,437.253622,3.636735
0.020000,199.973514,283.304128,0.495761,7.254317,75.590283,430.712520,3.635005
0.020000,199.816039,283.219655,0.674462,8.935037,84.036034,422.287532,3.632900
0.020000,199.625806,283.118173,0.890071,10.780448,92.270549,411.725777,3.630401
0.020000,199.399868,282.998429,1.145779,12.785380,100.246584,398.801763,3.627493
0.020000,199.136920,282.860114,1.442886,14.855374,103.499696,162.655567,3.624192
0.020000,198.837287,282.703831,1.780828,16.897080,102.085324,-70.718594,3.620541
0.020000,198.501361,282.530240,2.158955,18.906361,100.464045,-81.063960,3.616589
0.020000,198.129605,282.340050,2.576536,20.879061,98.635008,-91.451847,3.612391
0.020000,197.722563,282.134008,3.032757,22.811020,96.597910,-101.854893,3.608009
0.020000,197.282390,281.913643,3.525010,24.612659,90.081988,-325.796092,3.603525
0.020000,196.812815,281.681189,4.048971,26.198068,79.270415,-540.578671,3.599039
0.020000,196.317573,281.438763,4.600365,27.569685,68.580865,-534.477497,3.594645
0.020000,195.800388,281.188351,5.174984,28.730936,58.062529,-525.916773,3.590433
0.020000,195.264957,280.931797,5.768706,29.686129,47.759663,-515.143331,3.586486
0.020000,194.714932,280.670801,6.377513,30.440352,37.711169,-502.424659,3.582881
0.020000,194.153905,280.406921,6.997501,30.999364,27.950603,-488.028309,3.579684
0.020000,193.585389,280.141575,7.624890,31.369484,18.506010,-472.229644,3.576953
0.020000,193.012808,279.876056,8.256040,31.557489,9.400240,-455.288531,3.574735
0.020000,192.439474,279.611543,8.887450,31.570508,0.650920,-437.466006,3.573066
0.020000,191.868584,279.349113,9.515769,31.415926,-7.729070,-418.999494,3.571972
0.020000,191.304467,279.090344,10.136406,31.031858,-19.203395,-573.716244,3.571468
0.020000,190.751247,278.836714,10.744995,30.429438,-30.121043,-545.882391,3.571550
0.020000,190.211609,278.589071,11.338743,29.687399,-37.101920,-349.043868,3.572202
0.020000,189.688085,278.348237,11.915005,28.813105,-43.714703,-330.639137,3.573396
0.020000,189.183058,278.115026,12.471278,27.813656,-49.972431,-312.886379,3.575093
0.020000,188.698760,277.890255,13.005194,26.695804,-55.892621,-296.009545,3.577244
0.020000,188.237281,277.674753,13.514511,25.465857,-61.497375,-280.237676,3.579791
0.020000,187.800573,277.469374,13.997103,24.129582,-66.813733,-265.817879,3.582667
0.020000,187.390463,277.274996,14.450945,22.692107,-71.873720,-252.999395,3.585796
0.020000,187.008668,277.092531,14.874101,21.157816,-76.714591,-242.043540,3.589098
0.020000,186.656808,276.922922,15.264706,19.530240,-81.378759,-233.208380,3.592485
0.020000,186.336431,276.767150,15.620945,17.811965,-85.913787,-226.751392,3.595867
0.020000,186.047945,276.625689,15.942248,16.065114,-87.342549,-71.438140,3.599163
0.020000,185.790599,276.498467,16.229324,14.353801,-85.565615,88.846713,3.602310
0.020000,185.563614,276.385392,16.482914,12.679531,-83.713498,92.605874,3.605253
0.020000,185.366290,276.286397,16.703678,11.038195,-82.066808,82.334484,3.607942
0.020000,185.198008,276.201436,16.892192,9.425685,-80.625535,72.063663,3.610333
0.020000,185.057183,276.129942,17.050125,7.896658,-76.451308,208.711351,3.612404
0.020000,184.941200,276.070781,17.180326,6.510033,-69.331258,356.002477,3.614159
0.020000,184.847459,276.022775,17.285644,5.265909,-62.206228,356.251522,3.615611
0.020000,184.773455,275.984754,17.368843,4.159949,-55.297991,345.411853,3.616777
0.020000,184.716761,275.955552,17.432616,3.188678,-48.563554,336.721818,3.617684
0.020000,184.675006,275.934003,17.479604,2.349383,-41.964719,329.941756,3.618359
0.020000,184.645867,275.918944,17.512404,1.640019,-35.468220,324.824966,3.618833
0.020000,184.627053,275.909212,17.533587,1.059112,-29.045362,321.142916,3.619141
0.020000,184.616295,275.903643,17.545700,0.605663,-22.672417,318.647235,3.619318
0.020000,184.611339,275.901077,17.551281,0.279059,-16.330236,317.109041,3.619399
0.020000,184.609936,275.900351,17.552860,0.078970,-10.004456,316.288994,3.619422
0.020000,184.609843,275.900302,17.552966,0.005264,-3.685284,315.958624,3.619424
0.020000,184.609843,275.900302,17.552966,0.000000,-0.263198,171.104299,3.619424
