dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.999512,309.500000,0.004398,0.439815,21.990741,1099.537037,0.000042
0.020000,32.999584,309.500000,0.004470,0.003582,-21.811651,-2190.119599,0.000036
0.020000,32.999747,309.500000,0.004633,0.008168,0.229319,1102.048495,0.000022
0.020000,33.010603,309.500000,0.015489,0.542778,26.730510,1325.059558,6.283181
0.020000,33.121041,309.499997,0.125927,5.521909,248.956529,11111.300936,6.283139
0.020000,33.280114,309.499985,0.284999,7.953626,121.585848,-6368.534011,6.283075
0.020000,33.496706,309.499951,0.501592,10.829621,143.799777,1110.696433,6.282981
0.020000,33.779738,309.499874,0.784624,14.151605,166.099184,1114.970366,6.282846
0.020000,34.138170,309.499719,1.143056,17.921586,188.499068,1119.994197,6.282656
0.020000,34.576586,309.499431,1.581472,21.920829,199.962106,573.151871,6.282395
0.020000,35.095189,309.498933,2.100075,25.930161,200.466645,25.226950,6.282046
0.020000,35.694216,309.498116,2.699103,29.951360,201.059909,29.663224,6.281587
0.020000,36.373944,309.496832,3.378831,33.986441,201.754079,34.708506,6.280995
0.020000,37.134684,309.494885,4.139575,38.037167,202.536282,39.110157,6.280242
0.020000,37.976794,309.492017,4.981689,42.105718,203.427529,44.562342,6.279297
0.020000,38.900665,309.487895,5.905569,46.194002,204.414248,49.335915,6.278126
0.020000,39.906735,309.482097,6.911656,50.304328,205.516268,55.101041,6.276691
0.020000,40.995481,309.474096,8.000432,54.438805,206.723872,60.380174,6.274950
0.020000,42.167432,309.463239,9.172433,58.600043,208.061898,66.901282,6.272855
0.020000,43.423158,309.448726,10.428242,62.790483,209.522014,73.005846,6.270357
0.020000,44.763286,309.429586,11.768507,67.013236,211.137610,80.779792,6.267400
0.020000,46.188491,309.404648,13.193930,71.271163,212.896341,87.936555,6.263921
0.020000,47.699508,309.372510,14.705290,75.567956,214.839656,97.165755,6.259853
0.020000,49.297130,309.331506,16.303437,79.907390,216.971717,106.603014,6.255123
0.020000,50.977635,309.279813,17.984737,84.065005,207.880739,-454.548901,6.249663
