dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.000000,298.000000,0.004398,0.439815,21.990741,1099.537037,0.000042
0.020000,33.000000,298.000000,0.021991,1.319444,43.981481,1099.537037,0.000036
0.020000,33.000000,298.000000,0.061574,2.638889,65.972222,1099.537037,0.000022
0.020000,33.010558,298.000000,0.131944,4.398148,87.962963,1099.537037,6.283181
0.020000,33.120511,297.999997,0.241898,6.597222,109.953704,1099.537037,6.283139
0.020000,33.278845,297.999985,0.400231,9.236111,131.944444,1099.537037,6.283075
0.020000,33.494354,297.999951,0.615741,12.314815,153.935185,1099.537037,6.282981
0.020000,33.775836,297.999875,0.897222,15.833333,175.925926,1099.537037,6.282846
0.020000,34.132086,297.999721,1.253472,19.791667,197.916667,1099.537037,6.282656
0.020000,34.567502,297.999435,1.688889,23.750000,197.916667,-0.000000,6.282395
0.020000,35.082086,297.998940,2.203472,27.708333,197.916667,0.000000,6.282046
0.020000,35.675835,297.998131,2.797222,31.666667,197.916667,-0.000000,6.281587
0.020000,36.348751,297.996860,3.470139,35.625000,197.916667,0.000000,6.280995
0.020000,37.100832,297.994935,4.222222,39.583333,197.916667,0.000000,6.280242
0.020000,37.932078,297.992104,5.053472,43.541667,197.916667,-0.000000,6.279297
0.020000,38.842485,297.988042,5.963889,47.500000,197.916667,0.000000,6.278126
0.020000,39.832053,297.982339,6.953472,51.458333,197.916667,-0.000000,6.276691
0.020000,40.900773,297.974486,8.022222,55.416667,197.916667,0.000000,6.274950
0.020000,42.048641,297.963853,9.170139,59.375000,197.916667,-0.000000,6.272855
0.020000,43.275642,297.949672,10.397222,63.333333,197.916667,0.000000,6.270357
0.020000,44.581759,297.931019,11.703472,67.291667,197.916667,0.000000,6.267400
0.020000,45.966963,297.906781,13.088889,71.250000,197.916667,-0.000000,6.263921
0.020000,47.431216,297.875640,14.553472,75.208333,197.916667,0.000000,6.259853
0.020000,48.974456,297.836034,16.097222,79.166667,197.916667,0.000000,6.255123
0.020000,50.592205,297.786274,17.715741,82.685185,175.925926,-1099.537037,6.249663
0.020000,52.275567,297.724645,19.400231,85.763889,153.935185,-1099.537037,6.243423
0.020000,54.015603,297.649351,21.141898,88.402778,131.944444,-1099.537037,6.236352
0.020000,55.803338,297.558552,22.931944,90.601852,109.953704,-1099.537037,6.228409
0.020000,57.629767,297.450412,24.761574,92.361111,87.962963,-1099.537037,6.219556
0.020000,59.485819,297.323152,26.621991,93.680556,65.972222,-1099.537037,6.209764
0.020000,61.362387,297.175112,28.504398,94.560185,43.981481,-1099.537037,6.199010
0.020000,63.250309,297.004812,30.400000,95.000000,21.990741,-1099.537037,6.187285
0.020000,65.140393,296.811033,32.300000,95.000000,0.000000,-1099.537037,6.174590
0.020000,67.027748,296.592352,34.200000,95.000000,0.000000,0.000000,6.160909
0.020000,68.911813,296.346907,36.100000,95.000000,0.000000,0.000000,6.146196
0.020000,70.791913,296.072763,38.000000,95.000000,0.000000,0.000000,6.130405
0.020000,72.667275,295.767916,39.900000,95.000000,0.000000,0.000000,6.113486
0.020000,74.537012,295.430296,41.800000,95.000000,0.000000,0.000000,6.095392
0.020000,76.400103,295.057769,43.700000,95.000000,0.000000,0.000000,6.076073
0.020000,78.255386,294.648148,45.600000,95.000000,0.000000,0.000000,6.055481
0.020000,80.101545,294.199201,47.500000,95.000000,0.000000,0.000000,6.033570
0.020000,81.937089,293.708674,49.400000,95.000000,0.000000,0.000000,6.010299
0.020000,83.760345,293.174305,51.300000,95.000000,0.000000,0.000000,5.985634
0.020000,85.569450,292.593852,53.200000,95.000000,0.000000,0.000000,5.959548
0.020000,87.362347,291.965123,55.100000,95.000000,0.000000,0.000000,5.932026
0.020000,89.136767,291.286020,57.000000,95.000000,0.000000,0.000000,5.903065
0.020000,90.890250,290.554572,58.900000,95.000000,0.000000,0.000000,5.872682
0.020000,92.620150,289.768992,60.800000,95.000000,0.000000,0.000000,5.840913
0.020000,94.323654,288.927719,62.700000,95.000000,0.000000,0.000000,5.807815
0.020000,95.997814,288.029482,64.600000,95.000000,0.000000,0.000000,5.773470
0.020000,97.639583,287.073339,66.500000,95.000000,0.000000,0.000000,5.737988
0.020000,99.245875,286.058735,68.400000,95.000000,0.000000,0.000000,5.701502
0.020000,100.813616,284.985531,70.300000,95.000000,0.000000,0.000000,5.664173
0.020000,102.339815,283.854038,72.200000,95.000000,0.000000,0.000000,5.626181
0.020000,103.821635,282.665024,74.100000,95.000000,0.000000,0.000000,5.587724
0.020000,105.256463,281.419711,76.000000,95.000000,0.000000,0.000000,5.549013
0.020000,106.641976,280.119747,77.900000,95.000000,0.000000,0.000000,5.510264
0.020000,107.976182,278.767184,79.800000,95.000000,0.000000,0.000000,5.471692
0.020000,109.257488,277.364391,81.700000,95.000000,0.000000,0.000000,5.433502
0.020000,110.484695,275.914033,83.600000,95.000000,0.000000,0.000000,5.395885
0.020000,111.657024,274.418973,85.500000,95.000000,0.000000,0.000000,5.359015
0.020000,112.774122,272.882193,87.400000,95.000000,0.000000,0.000000,5.323038
0.020000,113.836010,271.306754,89.300000,95.000000,0.000000,0.000000,5.288080
0.020000,114.843077,269.695709,91.200000,95.000000,0.000000,0.000000,5.254236
0.020000,115.796026,268.052064,93.100000,95.000000,0.000000,0.000000,5.221580
0.020000,116.695831,266.378731,95.000000,95.000000,0.000000,0.000000,5.190159
0.020000,117.543700,264.678479,96.900000,95.000000,0.000000,0.000000,5.160001
0.020000,118.341010,262.953947,98.800000,95.000000,0.000000,0.000000,5.131116
0.020000,119.089296,261.207558,100.700000,95.000000,0.000000,0.000000,5.103494
0.020000,119.790162,259.441622,102.600000,95.000000,0.000000,0.000000,5.077118
0.020000,120.445307,257.658199,104.500000,95.000000,0.000000,0.000000,5.051957
0.020000,121.056446,255.859205,106.400000,95.000000,0.000000,0.000000,5.027974
0.020000,121.625297,254.046417,108.300000,95.000000,0.000000,0.000000,5.005125
0.020000,122.153588,252.221384,110.200000,95.000000,0.000000,0.000000,4.983365
0.020000,122.643008,250.385525,112.100000,95.000000,0.000000,0.000000,4.962643
0.020000,123.095200,248.540163,114.000000,95.000000,0.000000,0.000000,4.942910
0.020000,123.511778,246.686396,115.900000,95.000000,0.000000,0.000000,4.924116
0.020000,123.865632,244.971630,117.800000,95.000000,0.000000,0.000000,4.908631
0.020000,124.225266,243.105991,119.700000,95.000000,0.000000,0.000000,4.897035
0.020000,124.563387,241.236327,121.600000,95.000000,0.000000,0.000000,4.885592
0.020000,124.880242,239.362943,123.500000,95.000000,0.000000,0.000000,4.874312
0.020000,125.176104,237.486130,125.400000,95.000000,0.000000,0.000000,4.863203
0.020000,125.451267,235.606171,127.300000,95.000000,0.000000,0.000000,4.852274
0.020000,125.706044,233.723340,129.200000,95.000000,0.000000,0.000000,4.841533
0.020000,125.940765,231.837904,131.100000,95.000000,0.000000,0.000000,4.830987
0.020000,126.155780,229.950118,133.000000,95.000000,0.000000,0.000000,4.820643
0.020000,126.351453,228.060229,134.900000,95.000000,0.000000,0.000000,4.810509
0.020000,126.528166,226.168473,136.800000,95.000000,0.000000,0.000000,4.800589
0.020000,126.686314,224.275074,138.700000,95.000000,0.000000,0.000000,4.790891
0.020000,126.826305,222.380245,140.600000,95.000000,0.000000,0.000000,4.781418
0.020000,126.948560,220.484190,142.500000,95.000000,0.000000,0.000000,4.772177
0.020000,127.053511,218.587097,144.400000,95.000000,0.000000,0.000000,4.763171
0.020000,127.141600,216.689146,146.300000,95.000000,0.000000,0.000000,4.754405
0.020000,127.213278,214.790505,148.200000,95.000000,0.000000,0.000000,4.745882
0.020000,127.269004,212.891327,150.100000,95.000000,0.000000,0.000000,4.737605
0.020000,127.309247,210.991759,152.000000,95.000000,0.000000,0.000000,4.729578
0.020000,127.334477,209.091931,153.900000,95.000000,0.000000,0.000000,4.721802
0.020000,127.345176,207.191966,155.800000,95.000000,0.000000,0.000000,4.714280
0.020000,127.341826,205.291973,157.700000,95.000000,0.000000,0.000000,4.707014
0.020000,127.324915,203.392053,159.600000,95.000000,0.000000,0.000000,4.700006
0.020000,127.294934,201.492293,161.500000,95.000000,0.000000,0.000000,4.693256
0.020000,127.252378,199.592773,163.400000,95.000000,0.000000,0.000000,4.686766
0.020000,127.197743,197.693562,165.300000,95.000000,0.000000,0.000000,4.680537
0.020000,127.131527,195.794719,167.200000,95.000000,0.000000,0.000000,4.674569
0.020000,127.054229,193.896294,169.100000,95.000000,0.000000,0.000000,4.668864
0.020000,126.966350,191.998330,171.000000,95.000000,0.000000,0.000000,4.663420
0.020000,126.868390,190.100859,172.900000,95.000000,0.000000,0.000000,4.658240
0.020000,126.760849,188.203907,174.800000,95.000000,0.000000,0.000000,4.653321
0.020000,126.644230,186.307491,176.700000,95.000000,0.000000,0.000000,4.648666
0.020000,126.519032,184.411622,178.600000,95.000000,0.000000,0.000000,4.644273
0.020000,126.385754,182.516304,180.500000,95.000000,0.000000,0.000000,4.640142
0.020000,126.244897,180.621534,182.400000,95.000000,0.000000,0.000000,4.636273
0.020000,126.096958,178.727303,184.300000,95.000000,0.000000,0.000000,4.632665
0.020000,125.942434,176.833598,186.200000,95.000000,0.000000,0.000000,4.629319
0.020000,125.781822,174.940399,188.100000,95.000000,0.000000,0.000000,4.626234
0.020000,125.615616,173.047683,190.000000,95.000000,0.000000,0.000000,4.623410
0.020000,125.444312,171.155422,191.900000,95.000000,0.000000,0.000000,4.620846
0.020000,125.268402,169.263583,193.800000,95.000000,0.000000,0.000000,4.618541
0.020000,125.088378,167.372131,195.700000,95.000000,0.000000,0.000000,4.616496
0.020000,124.904731,165.481028,197.600000,95.000000,0.000000,0.000000,4.614710
0.020000,124.717953,163.590231,199.500000,95.000000,0.000000,0.000000,4.613183
0.020000,124.528531,161.699696,201.400000,95.000000,0.000000,0.000000,4.611915
0.020000,124.336956,159.809379,203.300000,95.000000,0.000000,0.000000,4.610905
0.020000,124.143715,157.919232,205.200000,95.000000,0.000000,0.000000,4.610152
0.020000,123.949296,156.029205,207.100000,95.000000,0.000000,0.000000,4.609658
0.020000,123.754187,154.139249,209.000000,95.000000,0.000000,0.000000,4.609422
0.020000,123.558875,152.249315,210.900000,95.000000,0.000000,0.000000,4.609443
0.020000,123.363847,150.359350,212.800000,95.000000,0.000000,0.000000,4.609723
0.020000,123.169591,148.469307,214.700000,95.000000,0.000000,0.000000,4.610260
0.020000,122.976594,146.579134,216.600000,95.000000,0.000000,0.000000,4.611055
0.020000,122.785343,144.688784,218.500000,95.000000,0.000000,0.000000,4.612108
0.020000,122.596329,142.798210,220.400000,95.000000,0.000000,0.000000,4.613420
0.020000,122.410039,140.907364,222.300000,95.000000,0.000000,0.000000,4.614990
0.020000,122.226962,139.016205,224.200000,95.000000,0.000000,0.000000,4.616819
0.020000,122.047590,137.124692,226.100000,95.000000,0.000000,0.000000,4.618908
0.020000,121.872414,135.232785,228.000000,95.000000,0.000000,0.000000,4.621255
0.020000,121.701926,133.340450,229.900000,95.000000,0.000000,0.000000,4.623863
0.020000,121.536620,131.447655,231.800000,95.000000,0.000000,0.000000,4.626731
0.020000,121.377142,129.556231,233.698136,94.813639,-9.318071,-465.903532,4.629856
0.020000,121.224466,127.672397,235.588147,94.187462,-31.308811,-1099.537037,4.633227
0.020000,121.079661,125.804915,237.461237,93.121471,-53.299552,-1099.537037,4.636823
0.020000,120.943654,123.962558,239.308608,91.615665,-75.290293,-1099.537037,4.640618
0.020000,120.817205,122.154117,241.121465,89.670045,-97.281034,-1099.537037,4.644584
0.020000,120.700899,120.388398,242.891012,87.284609,-119.271774,-1099.537037,4.648685
0.020000,120.595132,118.674220,244.608451,84.459359,-141.262515,-1099.537037,4.652883
0.020000,120.500105,117.020413,246.264988,81.194294,-163.253256,-1099.537037,4.657135
0.020000,120.415821,115.435817,247.851825,77.489414,-185.243997,-1099.537037,4.661395
0.020000,120.342009,113.927418,249.362030,73.531081,-197.916667,-633.633505,4.665620
