dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.000488,286.500000,0.004398,0.439815,21.990741,1099.537037,0.000042
0.020000,33.000416,286.500000,0.004470,0.003582,-21.811651,-2190.119599,0.000036
0.020000,33.000253,286.500000,0.004633,0.008168,0.229319,1102.048495,0.000022
0.020000,33.010512,286.500000,0.014893,0.512990,25.241075,1250.587837,6.283181
0.020000,33.119981,286.499997,0.124362,5.473451,248.023068,11139.099647,6.283139
0.020000,33.277576,286.499985,0.281957,7.879746,120.314738,-6385.416514,6.283075
0.020000,33.492002,286.499951,0.496383,10.721283,142.076844,1088.105304,6.282981
0.020000,33.771934,286.499876,0.776314,13.996584,163.765084,1084.412004,6.282846
0.020000,34.126002,286.499722,1.130383,17.703419,185.341756,1078.833606,6.282656
0.020000,34.558418,286.499438,1.562799,21.620811,195.869560,526.390189,6.282395
0.020000,35.068982,286.498948,2.073363,25.528198,195.369371,-25.009462,6.282046
0.020000,35.657454,286.498145,2.661835,29.423623,194.771262,-29.905449,6.281587
0.020000,36.323559,286.496888,3.327941,33.305310,194.084326,-34.346810,6.280995
0.020000,37.066979,286.494985,4.071364,37.171148,193.291919,-39.620354,6.280242
0.020000,37.887361,286.492191,4.891751,41.019332,192.409185,-44.136661,6.279297
0.020000,38.784305,286.488189,5.788704,44.847645,191.415647,-49.676908,6.278126
0.020000,39.757370,286.482582,6.761785,48.654070,190.321261,-54.719314,6.276691
0.020000,40.806065,286.474876,7.810509,52.436163,189.104641,-60.831011,6.274950
0.020000,41.929850,286.464466,8.934342,56.191658,187.774746,-66.494748,6.272855
0.020000,43.128125,286.450619,10.132697,59.917755,186.304836,-73.495469,6.270357
0.020000,44.400232,286.432451,11.404933,63.611832,184.703865,-80.048582,6.267400
0.020000,45.745436,286.408915,12.750343,67.270473,182.932045,-88.590995,6.263921
0.020000,47.162923,286.378770,14.168150,70.890372,180.994941,-96.855189,6.259853
0.020000,48.651782,286.340562,15.657500,74.467490,178.855923,-106.950909,6.255123
0.020000,50.206776,286.292735,17.213229,77.786433,165.947149,-645.438688,6.249663
0.020000,51.818415,286.233735,18.825948,80.635938,142.475265,-1173.594229,6.243423
0.020000,53.477219,286.161960,20.486304,83.017802,119.093194,-1169.103512,6.236352
0.020000,55.173729,286.075800,22.185000,84.934816,95.850671,-1162.126181,6.228409
0.020000,56.898528,285.973684,23.912820,86.390997,72.809076,-1152.079739,6.219556
0.020000,58.642229,285.854135,25.660614,87.389716,49.935920,-1143.657790,6.209764
0.020000,60.395516,285.715829,27.419347,87.936651,27.346759,-1129.458078,6.199010
0.020000,62.149146,285.557654,29.180097,88.037479,5.041436,-1115.266122,6.187285
0.020000,63.894002,285.378775,30.934098,87.700061,-16.870944,-1095.619027,6.174590
0.020000,65.625070,285.178217,32.676746,87.132374,-28.384304,-575.667998,6.160909
0.020000,67.341359,284.954643,34.407535,86.539464,-29.645520,-63.060784,6.146196
0.020000,69.041763,284.706718,36.125918,85.919156,-31.015398,-68.493884,6.130405
0.020000,70.725092,284.433106,37.831339,85.271029,-32.406355,-69.547879,6.113486
0.020000,72.390063,284.132482,39.523232,84.594680,-33.817457,-70.555104,6.095392
0.020000,74.035303,283.803538,41.201034,83.890081,-35.229962,-70.625211,6.076073
0.020000,75.659352,283.444996,42.864190,83.157832,-36.612445,-69.124151,6.055481
0.020000,77.260685,283.055615,44.512184,82.399682,-37.907488,-64.752171,6.033570
0.020000,78.837706,282.634207,46.144538,81.617723,-39.097972,-59.524212,6.010299
0.020000,80.388781,282.179645,47.760849,80.815515,-40.110375,-50.620113,5.985634
0.020000,81.912257,281.690873,49.360811,79.998096,-40.870943,-38.028406,5.959548
0.020000,83.406498,281.166917,50.944252,79.172055,-41.302080,-21.556891,5.932026
0.020000,84.869899,280.606889,52.511151,78.344964,-41.354523,-2.622107,5.903065
0.020000,86.300940,280.009989,54.061689,77.526889,-40.903778,22.537231,5.872682
0.020000,87.698216,279.375505,55.596273,76.729225,-39.883155,51.031159,5.840913
0.020000,89.060471,278.702804,57.115572,75.964919,-38.215346,83.390450,5.807815
0.020000,90.386633,277.991322,58.620534,75.248135,-35.839196,118.807504,5.773470
0.020000,91.675834,277.240553,60.112410,74.593762,-32.718607,156.029458,5.737988
0.020000,92.927421,276.450034,61.592744,74.016742,-28.851049,193.377867,5.701502
0.020000,94.140959,275.619333,63.063370,73.531257,-24.274237,228.840611,5.664173
0.020000,95.316214,274.748049,64.526367,73.149869,-19.069401,260.241809,5.626181
0.020000,96.453126,273.835807,65.984020,72.882672,-13.359837,285.478186,5.587724
0.020000,97.551774,272.882278,67.438752,72.736591,-7.304031,302.790289,5.549013
0.020000,98.612338,271.887196,68.893051,72.714919,-1.083625,311.020312,5.510264
0.020000,99.635046,270.850401,70.349373,72.816134,5.060763,307.219395,5.471692
0.020000,100.620165,269.771852,71.810101,73.036384,11.012516,297.587681,5.433502
0.020000,101.567945,268.651693,73.277427,73.366299,16.495741,274.161222,5.395885
0.020000,102.478629,267.490260,74.753324,73.794853,21.427672,246.596566,5.359015
0.020000,103.352450,266.288097,76.239513,74.309438,25.729261,215.079432,5.323038
0.020000,104.189620,265.045990,77.737407,74.894692,29.262715,176.672723,5.288080
0.020000,104.990364,263.764937,79.248130,75.536172,32.074004,140.564449,5.254236
0.020000,105.754923,262.446151,80.772514,76.219208,34.151800,103.889811,5.221580
0.020000,106.483572,261.091031,82.311111,76.929849,35.532043,69.012103,5.190159
0.020000,107.176644,259.701115,83.864242,77.656559,36.335467,40.171243,5.160001
0.020000,107.834524,258.278077,85.431993,78.387535,36.548808,10.667028,5.131116
0.020000,108.457681,256.823637,87.014308,79.115727,36.409629,-6.958925,5.103494
0.020000,109.046628,255.339613,88.610925,79.830869,35.757092,-32.626885,5.077118
0.020000,109.601974,253.827778,90.221532,80.530346,34.973867,-39.161225,5.051957
0.020000,110.124374,252.289921,91.845694,81.208117,33.888513,-54.267694,5.027974
0.020000,110.614532,250.727825,93.482887,81.859628,32.575559,-65.647696,5.005125
0.020000,111.073220,249.143161,95.132601,82.485712,31.304199,-63.568019,4.983365
0.020000,111.501237,247.537553,96.794279,83.083918,29.910312,-69.694338,4.962643
0.020000,111.899403,245.912588,98.467315,83.651769,28.392550,-75.888095,4.942910
0.020000,112.268579,244.269688,100.151182,84.193369,27.080001,-65.627486,4.924116
0.020000,112.586360,242.729302,101.724006,78.641172,-277.609867,-15234.493376,4.908631
0.020000,112.920752,240.994605,103.490639,88.331674,484.525116,38106.749117,4.897035
0.020000,113.235453,239.254431,105.259040,88.420044,4.418470,-24005.332274,4.885592
0.020000,113.530673,237.508952,107.029309,88.513458,4.670710,12.612020,4.874312
0.020000,113.806640,235.758331,108.801548,88.611960,4.925122,12.720568,4.863203
0.020000,114.063600,234.002730,110.575855,88.715320,5.167972,12.142517,4.852274
0.020000,114.301811,232.242308,112.352320,88.823281,5.398085,11.505632,4.841533
0.020000,114.521547,230.477221,114.131032,88.935586,5.615237,10.857602,4.830987
0.020000,114.723099,228.707623,115.912072,89.051972,5.819291,10.202699,4.820643
0.020000,114.906767,226.933662,117.695515,89.172176,6.010194,9.545179,4.810509
0.020000,115.072868,225.155484,119.481434,89.295935,6.187979,8.889206,4.800589
0.020000,115.221731,223.373230,121.269894,89.422990,6.352754,8.238789,4.790891
0.020000,115.353693,221.587037,123.060955,89.553085,6.504709,7.597719,4.781418
0.020000,115.469108,219.797034,124.854675,89.685967,6.644099,6.969530,4.772177
0.020000,115.568336,218.003349,126.651102,89.821392,6.771248,6.357456,4.763171
0.020000,115.651749,216.206101,128.450285,89.959122,6.886536,5.764404,4.754405
0.020000,115.719727,214.405405,130.252263,90.098930,6.990395,5.192937,4.745882
0.020000,115.772660,212.601370,132.057075,90.240596,7.083301,4.645266,4.737605
0.020000,115.810945,210.794097,133.864754,90.383912,7.165765,4.123243,4.729578
0.020000,115.834987,208.983683,135.675327,90.528678,7.238333,3.628371,4.721802
0.020000,115.845197,207.170218,137.488821,90.674710,7.301569,3.161811,4.714280
0.020000,115.841992,205.353784,139.305258,90.821831,7.356057,2.724402,4.707014
0.020000,115.825797,203.534458,141.124656,90.969879,7.402391,2.316675,4.700006
