dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0,13.25,13.25,0.512821,25.641026,1282.051282,0
0.02,0,13.25,13.25,1.538462,51.282051,1282.051282,0
0.02,0,13.25,13.25,3.076923,76.923077,1282.051282,0
0.02,0.082051,13.25,13.25,5.128205,102.564103,1282.051282,0
0.02,0.261538,13.25,13.25,7.692308,128.205128,1282.051282,0
0.02,0.492308,13.25,13.25,10.25641,128.205128,0,0
0.02,0.774359,13.25,13.25,14.102564,128.205128,0,0
0.02,1.107692,13.25,1.112821,16.666667,128.205128,0,0
0.02,1.492308,13.25,1.497436,19.230769,128.205128,0,0
0.02,1.928205,13.25,1.933333,21.794872,128.205128,0,0
0.02,2.415385,13.25,2.420513,24.358974,128.205128,0,0
0.02,2.953846,13.25,2.958974,26.923077,128.205128,0,0
0.02,3.54359,13.25,3.548718,29.487179,128.205128,0,0
0.02,4.184615,13.25,4.189744,32.051282,128.205128,0,0
0.02,4.876923,13.25,4.882051,34.615385,128.205128,0,0
0.02,5.620513,13.25,5.625641,37.179487,128.205128,0,0
0.02,6.415385,13.25,6.420513,39.74359,128.205128,0,0
0.02,7.261538,13.25,7.266667,42.307692,128.205128,0,0
0.02,8.158974,13.25,8.164103,44.871795,128.205128,0,0
0.02,9.107692,13.25,9.112821,47.435897,128.205128,0,0
0.02,10.107692,13.25,10.112821,50,128.205128,0,0
0.02,11.158974,13.25,11.164103,52.564103,128.205128,0,0
0.02,12.261538,13.25,12.266667,55.128205,128.205128,0,0
0.02,13.415385,13.25,13.420513,57.692308,128.205128,0,0
0.02,14.620513,13.25,14.625641,60.25641,128.205128,0,0
0.02,15.876923,13.25,15.882051,62.820513,128.205128,0,0
0.02,17.184615,13.25,17.189744,65.384615,128.205128,0,0
0.02,18.54359,13.25,18.548718,67.948718,128.205128,0,0
0.02,19.953846,13.25,19.958974,70.512821,128.205128,0,0
0.02,21.415385,13.25,21.420513,73.076923,128.205128,0,0
0.02,22.928205,13.25,22.933333,75.641026,128.205128,0,0
0.02,24.492308,13.25,24.497436,78.205128,128.205128,0,0
0.02,26.107692,13.25,26.112821,80.769231,128.205128,0,0
0.02,27.774359,13.25,27.779487,83.333333,128.205128,0,0
0.02,29.492308,13.25,29.497436,85.897436,128.205128,0,0
0.02,31.261538,13.25,31.266667,88.461538,128.205128,0,0
0.02,33.082051,13.25,33.087179,91.025641,128.205128,0,0
0.02,34.953846,13.25,34.958974,93.589744,128.205128,0,0
0.02,36.871795,13.25,36.876923,95.897436,115.384615,-641.025641,0
0.02,38.825641,13.25,38.830769,97.692308,89.74359,-1282.051282,0
0.02,40.805128,13.25,40.810256,98.974359,64.102564,-1282.051282,0
0.02,42.8,13.25,42.805128,99.74359,38.461538,-1282.051282,0
0.02,44.8,13.25,44.805128,100,12.820513,-1282.051282,0
0.02,46.8,13.25,46.805128,100,0,-641.025641,0
0.02,48.8,13.25,48.805128,100,0,0,0
0.02,50.8,13.25,50.805128,100,0,0,0
0.02,52.8,13.25,52.805128,100,0,0,0
0.02,54.8,13.25,54.805128,100,0,0,0
0.02,56.8,13.25,56.805128,100,0,0,0
0.02,58.8,13.25,58.805128,100,0,0,0
0.02,60.8,13.25,60.805128,100,0,0,0
0.02,62.8,13.25,62.805128,100,0,0,0
0.02,64.8,13.25,64.805128,100,0,0,0
0.02,66.8,13.25,66.805128,100,0,0,0
0.02,68.8,13.25,68.805128,100,0,0,0
0.02,70.8,13.25,70.805128,100,0,0,0
0.02,72.8,13.25,72.805128,100,0,0,0
0.02,74.8,13.25,74.805128,100,0,0,0
0.02,76.8,13.25,76.805128,100,0,0,0
0.02,78.8,13.25,78.805128,100,0,0,0
0.02,80.8,13.25,80.805128,100,0,0,0
0.02,82.8,13.25,82.805128,100,0,0,0
0.02,84.8,13.25,84.805128,100,0,0,0
0.02,86.8,13.25,86.805128,100,0,0,0
0.02,88.8,13.25,88.805128,100,0,0,0
0.02,90.8,13.25,90.805128,100,0,0,0
0.02,92.8,13.25,92.805128,100,0,0,0
0.02,94.8,13.25,94.805128,100,0,0,0
0.02,96.8,13.25,96.805128,100,0,0,0
0.02,98.8,13.25,98.805128,100,0,0,0
0.02,100.8,13.25,100.805128,100,0,0,0
0.02,102.8,13.25,102.805128,100,0,0,0
0.02,104.8,13.25,104.805128,100,0,0,0
0.02,106.8,13.25,106.805128,100,0,0,0
0.02,108.8,13.25,108.805128,100,0,0,0
0.02,110.8,13.25,110.805128,100,0,0,0
0.02,112.8,13.25,112.805128,100,0,0,0
0.02,114.8,13.25,114.805128,100,0,0,0
0.02,116.8,13.25,116.805128,100,0,0,0
0.02,118.8,13.25,118.805128,100,0,0,0
0.02,120.8,13.25,120.805128,100,0,0,0
0.02,122.8,13.25,122.805128,100,0,0,0
0.02,124.8,13.25,124.805128,100,0,0,0
0.02,126.8,13.25,126.805128,100,0,0,0
0.02,128.8,13.25,128.805128,100,0,0,0
0.02,130.8,13.25,130.805128,100,0,0,0
0.02,132.8,13.25,132.805128,100,0,0,0
0.02,134.8,13.25,134.805128,100,0,0,0
0.02,136.8,13.25,136.805128,100,0,0,0
0.02,138.8,13.25,138.805128,100,0,0,0
0.02,140.8,13.25,140.805128,100,0,0,0
0.02,142.8,13.25,142.805128,100,0,0,0
0.02,144.8,13.25,144.805128,100,0,0,0
0.02,146.8,13.25,146.805128,100,0,0,0
0.02,148.8,13.25,148.805128,100,0,0,0
0.02,150.8,13.25,150.805128,100,0,0,0
0.02,152.8,13.25,152.805128,100,0,0,0
0.02,154.8,13.25,154.805128,100,0,0,0
0.02,156.8,13.25,156.805128,100,0,0,0
0.02,158.795385,13.25,158.800513,99.769231,-11.538462,-576.923077,0
0.02,160.77641,13.25,160.781538,99.051282,-35.897436,-1217.948718,0
0.02,162.732821,13.25,162.737949,97.820513,-61.538462,-1282.051282,0
0.02,164.654359,13.25,164.659487,96.076923,-87.179487,-1282.051282,0
0.02,166.530769,13.25,166.535897,93.820513,-112.820513,-1282.051282,0
0.02,168.35641,13.25,168.361538,91.282051,-126.923077,-705.128205,0
0.02,170.130769,13.25,170.135897,88.717949,-128.205128,-64.102564,0
0.02,171.853846,13.25,171.858974,86.153846,-128.205128,0,0
0.02,173.525641,13.25,173.530769,83.589744,-128.205128,0,0
0.02,175.146154,13.25,175.151282,81.025641,-128.205128,0,0
0.02,176.715385,13.25,176.720513,78.461538,-128.205128,0,0
0.02,178.233333,13.25,178.238462,75.897436,-128.205128,0,0
0.02,179.7,13.25,179.705128,73.333333,-128.205128,0,0
0.02,181.115385,13.25,181.120513,70.769231,-128.205128,0,0
0.02,182.479487,13.25,182.484615,68.205128,-128.205128,0,0
0.02,183.792308,13.25,183.797436,65.641026,-128.205128,0,0
0.02,185.053846,13.25,185.058974,63.076923,-128.205128,0,0
0.02,186.264103,13.25,186.269231,60.512821,-128.205128,0,0
0.02,187.423077,13.25,187.428205,57.948718,-128.205128,0,0
0.02,188.530769,13.25,188.535897,55.384615,-128.205128,0,0
0.02,189.587179,13.25,189.592308,52.820513,-128.205128,0,0
0.02,190.592308,13.25,190.597436,50.25641,-128.205128,0,0
0.02,191.546154,13.25,191.551282,47.692308,-128.205128,0,0
0.02,192.448718,13.25,192.453846,45.128205,-128.205128,0,0
0.02,193.3,13.25,193.305128,42.564103,-128.205128,0,0
0.02,194.1,13.25,194.105128,40,-128.205128,0,0
0.02,194.848718,13.25,194.853846,37.435897,-128.205128,0,0
0.02,195.546154,13.25,195.551282,34.871795,-128.205128,0,0
0.02,196.192308,13.25,196.197436,32.307692,-128.205128,0,0
0.02,196.787179,13.25,196.792308,29.74359,-128.205128,0,0
0.02,197.330769,13.25,197.335897,27.179487,-128.205128,0,0
0.02,197.823077,13.25,197.828205,24.615385,-128.205128,0,0
0.02,198.264103,13.25,198.269231,22.051282,-128.205128,0,0
0.02,198.653846,13.25,198.658974,19.487179,-128.205128,0,0
0.02,198.992308,13.25,198.997436,16.923077,-128.205128,0,0
0.02,199.279487,13.25,199.284615,14.358974,-128.205128,0,0
0.02,199.515385,13.25,199.520513,11.794872,-128.205128,0,0
0.02,199.7,13.25,199.705128,9.230769,-128.205128,0,0
0.02,199.833333,13.25,199.838462,6.666667,-128.205128,0,0
0.02,199.92,13.25,199.925128,4.333333,-116.666667,576.923077,0
