dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-13.250000,0.001529,0.152941,7.647059,382.352941,0.000000
0.020000,0.000000,-13.250000,0.001529,0.000000,-7.647059,-764.705882,0.000000
0.020000,0.000000,-13.250000,0.001529,0.000000,0.000000,382.352941,0.000000
0.020000,0.000000,-13.250000,0.001529,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-13.250000,0.001529,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-13.250000,0.001529,0.000000,0.000000,0.000000,0.000000
0.020000,0.064118,-13.250000,0.065647,3.205882,160.294118,8014.705882,0.000000
0.020000,0.162000,-13.250000,0.163529,4.894118,84.411765,-3794.117647,0.000000
0.020000,0.285882,-13.250000,0.287412,6.194118,65.000000,-970.588235,0.000000
0.020000,0.438824,-13.250000,0.440353,7.647059,72.647059,382.352941,0.000000
0.020000,0.623882,-13.250000,0.625412,9.252941,80.294118,382.352941,0.000000
0.020000,0.844118,-13.250000,0.845647,11.011765,87.941176,382.352941,0.000000
0.020000,1.102588,-13.250000,1.104118,12.923529,95.588235,382.352941,0.000000
0.020000,1.402353,-13.250000,1.403882,14.988235,103.235294,382.352941,0.000000
0.020000,1.746471,-13.250000,1.748000,17.205882,110.882353,382.352941,0.000000
0.020000,2.138000,-13.250000,2.139529,19.576471,118.529412,382.352941,0.000000
0.020000,2.580000,-13.250000,2.581529,22.100000,126.176471,382.352941,0.000000
0.020000,3.074000,-13.250000,3.075529,24.700000,130.000000,191.176471,0.000000
0.020000,3.620000,-13.250000,3.621529,27.300000,130.000000,0.000000,0.000000
0.020000,4.218000,-13.250000,4.219529,29.900000,130.000000,-0.000000,0.000000
0.020000,4.868000,-13.250000,4.869529,32.500000,130.000000,-0.000000,0.000000
0.020000,5.570000,-13.250000,5.571529,35.100000,130.000000,0.000000,0.000000
0.020000,6.324000,-13.250000,6.325529,37.700000,130.000000,-0.000000,0.000000
0.020000,7.130000,-13.250000,7.131529,40.300000,130.000000,0.000000,0.000000
0.020000,7.988000,-13.250000,7.989529,42.900000,130.000000,-0.000000,0.000000
0.020000,8.896471,-13.250000,8.898000,45.423529,126.176471,-191.176471,0.000000
0.020000,9.852353,-13.250000,9.853882,47.794118,118.529412,-382.352941,0.000000
0.020000,10.852588,-13.250000,10.854118,50.011765,110.882353,-382.352941,0.000000
0.020000,11.894118,-13.250000,11.895647,52.076471,103.235294,-382.352941,0.000000
0.020000,12.973882,-13.250000,12.975412,53.988235,95.588235,-382.352941,0.000000
0.020000,14.088824,-13.250000,14.090353,55.747059,87.941176,-382.352941,0.000000
0.020000,15.235882,-13.250000,15.237412,57.352941,80.294118,-382.352941,0.000000
0.020000,16.412000,-13.250000,16.413529,58.805882,72.647059,-382.352941,0.000000
0.020000,17.614118,-13.250000,17.615647,60.105882,65.000000,-382.352941,0.000000
0.020000,18.839176,-13.250000,18.840706,61.252941,57.352941,-382.352941,0.000000
0.020000,20.084118,-13.250000,20.085647,62.247059,49.705882,-382.352941,0.000000
0.020000,21.345882,-13.250000,21.347412,63.088235,42.058824,-382.352941,0.000000
0.020000,22.621412,-13.250000,22.622941,63.776471,34.411765,-382.352941,0.000000
0.020000,23.907647,-13.250000,23.909176,64.311765,26.764706,-382.352941,0.000000
0.020000,25.201529,-13.250000,25.203059,64.694118,19.117647,-382.352941,0.000000
0.020000,26.500000,-13.250000,26.501529,64.923529,11.470588,-382.352941,0.000000
0.020000,27.800000,-13.250000,27.801529,65.000000,3.823529,-382.352941,0.000000
0.020000,29.100000,-13.250000,29.101529,65.000000,0.000000,-191.176471,0.000000
0.020000,30.400000,-13.250000,30.401529,65.000000,-0.000000,-0.000000,0.000000
0.020000,31.700000,-13.250000,31.701529,65.000000,0.000000,0.000000,0.000000
0.020000,33.000000,-13.250000,33.001529,65.000000,0.000000,0.000000,0.000000
0.020000,34.300000,-13.250000,34.301529,65.000000,-0.000000,-0.000000,0.000000
0.020000,35.600000,-13.250000,35.601529,65.000000,0.000000,0.000000,0.000000
0.020000,36.900000,-13.250000,36.901529,65.000000,0.000000,-0.000000,0.000000
0.020000,38.200000,-13.250000,38.201529,65.000000,0.000000,0.000000,0.000000
0.020000,39.500000,-13.250000,39.501529,65.000000,-0.000000,-0.000000,0.000000
0.020000,40.800000,-13.250000,40.801529,65.000000,-0.000000,0.000000,0.000000
0.020000,42.100000,-13.250000,42.101529,65.000000,0.000000,0.000000,0.000000
0.020000,43.400000,-13.250000,43.401529,65.000000,-0.000000,-0.000000,0.000000
0.020000,44.700000,-13.250000,44.701529,65.000000,0.000000,0.000000,0.000000
0.020000,46.000000,-13.250000,46.001529,65.000000,0.000000,-0.000000,0.000000
0.020000,47.300000,-13.250000,47.301529,65.000000,0.000000,0.000000,0.000000
0.020000,48.600000,-13.250000,48.601529,65.000000,0.000000,0.000000,0.000000
0.020000,49.900000,-13.250000,49.901529,65.000000,-0.000000,-0.000000,0.000000
0.020000,51.200000,-13.250000,51.201529,65.000000,0.000000,0.000000,0.000000
0.020000,52.500000,-13.250000,52.501529,65.000000,-0.000000,-0.000000,0.000000
0.020000,53.800000,-13.250000,53.801529,65.000000,0.000000,0.000000,0.000000
0.020000,55.100000,-13.250000,55.101529,65.000000,0.000000,-0.000000,0.000000
0.020000,56.400000,-13.250000,56.401529,65.000000,0.000000,0.000000,0.000000
0.020000,57.700000,-13.250000,57.701529,65.000000,0.000000,0.000000,0.000000
0.020000,59.000000,-13.250000,59.001529,65.000000,0.000000,0.000000,0.000000
0.020000,60.300000,-13.250000,60.301529,65.000000,0.000000,0.000000,0.000000
0.020000,61.600000,-13.250000,61.601529,65.000000,-0.000000,-0.000000,0.000000
0.020000,62.900000,-13.250000,62.901529,65.000000,0.000000,0.000000,0.000000
0.020000,64.200000,-13.250000,64.201529,65.000000,0.000000,0.000000,0.000000
0.020000,65.500000,-13.250000,65.501529,65.000000,-0.000000,-0.000000,0.000000
0.020000,66.800000,-13.250000,66.801529,65.000000,0.000000,0.000000,0.000000
0.020000,68.100000,-13.250000,68.101529,65.000000,0.000000,0.000000,0.000000
0.020000,69.400000,-13.250000,69.401529,65.000000,0.000000,0.000000,0.000000
0.020000,70.700000,-13.250000,70.701529,65.000000,-0.000000,-0.000000,0.000000
0.020000,72.000000,-13.250000,72.001529,65.000000,0.000000,0.000000,0.000000
0.020000,73.300000,-13.250000,73.301529,65.000000,0.000000,0.000000,0.000000
0.020000,74.600000,-13.250000,74.601529,65.000000,-0.000000,-0.000000,0.000000
0.020000,75.900000,-13.250000,75.901529,65.000000,0.000000,0.000000,0.000000
0.020000,77.200000,-13.250000,77.201529,65.000000,-0.000000,-0.000000,0.000000
0.020000,78.500000,-13.250000,78.501529,65.000000,0.000000,0.000000,0.000000
0.020000,79.800000,-13.250000,79.801529,65.000000,0.000000,0.000000,0.000000
0.020000,81.100000,-13.250000,81.101529,65.000000,-0.000000,-0.000000,0.000000
0.020000,82.400000,-13.250000,82.401529,65.000000,0.000000,0.000000,0.000000
0.020000,83.700000,-13.250000,83.701529,65.000000,-0.000000,-0.000000,0.000000
0.020000,85.000000,-13.250000,85.001529,65.000000,-0.000000,0.000000,0.000000
0.020000,86.300000,-13.250000,86.301529,65.000000,0.000000,0.000000,0.000000
0.020000,87.600000,-13.250000,87.601529,65.000000,-0.000000,-0.000000,0.000000
0.020000,88.900000,-13.250000,88.901529,65.000000,0.000000,0.000000,0.000000
0.020000,90.200000,-13.250000,90.201529,65.000000,-0.000000,-0.000000,0.000000
0.020000,91.500000,-13.250000,91.501529,65.000000,0.000000,0.000000,0.000000
