dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.005423,-17.499999,0.008547,0.854701,42.735043,2136.752137,0.000310
0.020000,0.004360,-17.499999,0.009610,0.053134,-40.078336,-4140.668921,0.000249
0.020000,0.001975,-17.500000,0.011995,0.119263,3.306453,2169.239417,0.000113
0.020000,0.062326,-17.500004,0.072346,3.017541,144.913875,7080.371110,6.283072
0.020000,0.236310,-17.500051,0.246330,8.699210,284.083460,6958.479277,6.282758
0.020000,0.460068,-17.500191,0.470088,11.187914,124.435207,-7982.412662,6.282357
0.020000,0.733650,-17.500484,0.743670,13.679109,124.559759,6.227580,6.281873
0.020000,1.057113,-17.501000,1.067133,16.173152,124.702143,7.119208,6.281309
0.020000,1.430526,-17.501821,1.440547,18.670699,124.877354,8.760537,6.280669
0.020000,1.853968,-17.503038,1.863991,21.172160,125.073064,9.785511,6.279957
0.020000,2.327532,-17.504751,2.337558,23.678384,125.311155,11.904566,6.279179
0.020000,2.851316,-17.507070,2.861347,26.189431,125.552355,12.060009,6.278341
0.020000,3.425428,-17.510109,3.435467,28.706017,125.829299,13.847197,6.277448
0.020000,4.049991,-17.513987,4.060042,31.228744,126.136389,15.354469,6.276508
0.020000,4.725134,-17.518828,4.735202,33.758005,126.463019,16.331498,6.275528
0.020000,5.450995,-17.524756,5.461088,36.294305,126.815015,17.599810,6.274517
0.020000,6.227726,-17.531895,6.237852,38.838160,127.192725,18.885501,6.273482
0.020000,7.055482,-17.540365,7.065651,41.389950,127.589528,19.840165,6.272433
0.020000,7.934432,-17.550284,7.944657,43.950331,128.019036,21.475409,6.271380
0.020000,8.864754,-17.561760,8.875050,46.519628,128.464837,22.290026,6.270333
0.020000,9.846635,-17.574892,9.857019,49.098442,128.940711,23.793724,6.269302
0.020000,10.880270,-17.589768,10.890760,51.687081,129.431953,24.562079,6.268300
0.020000,11.965865,-17.606460,11.976484,54.286204,129.956137,26.209184,6.267338
0.020000,13.103638,-17.625019,13.114408,56.896183,130.498946,27.140474,6.266428
0.020000,14.293811,-17.645479,14.304757,59.517464,131.064083,28.256841,6.265583
0.020000,15.536622,-17.667845,15.547770,62.150621,131.657830,29.687331,6.264818
0.020000,16.832316,-17.692097,16.843690,64.796039,132.270908,30.653908,6.264145
0.020000,18.181150,-17.718178,18.192776,67.454287,132.912409,32.075077,6.263580
0.020000,19.583391,-17.746001,19.595293,70.125860,133.578639,33.311488,6.263138
0.020000,21.039318,-17.775433,21.051518,72.811246,134.269290,34.532536,6.262834
0.020000,22.549223,-17.806299,22.561738,75.511001,134.987788,35.924937,6.262686
0.020000,24.113408,-17.838374,24.126252,78.225694,135.734629,37.342040,6.262709
0.020000,25.732190,-17.871378,25.745370,80.955900,136.510306,38.783847,6.262922
0.020000,27.405897,-17.904973,27.419415,83.702225,137.316246,40.297010,6.263344
0.020000,29.134873,-17.938752,29.148721,86.465306,138.154034,41.889362,6.263993
0.020000,30.919477,-17.972242,30.933638,89.245886,139.028993,43.747950,6.264889
0.020000,32.760079,-18.004886,32.774530,92.044587,139.935062,45.303485,6.266054
0.020000,34.657068,-18.036049,34.671776,94.862264,140.883877,47.440717,6.267508
0.020000,36.610847,-18.064999,36.625768,97.699650,141.869268,49.269589,6.269275
0.020000,38.613119,-18.090806,38.628207,100.121942,121.114605,-1037.733178,6.271368
0.020000,40.646769,-18.112431,40.661973,101.688259,78.315864,-2139.937026,6.273786
0.020000,42.694509,-18.128933,42.709778,102.390296,35.101826,-2160.701932,6.276517
0.020000,44.747652,-18.139556,44.762949,102.658516,13.411000,-1084.541296,6.279556
0.020000,46.806227,-18.143634,46.821528,102.928987,13.523547,5.627338,6.282903
0.020000,48.870264,-18.140492,48.885568,103.201963,13.648819,6.263639,0.003377
0.020000,50.939786,-18.129443,50.955119,103.477555,13.779593,6.538697,0.007352
