dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.005423,315.499999,0.008547,0.854701,42.735043,2136.752137,6.282875
0.020000,0.004360,315.499999,0.009610,0.053130,-40.078568,-4140.680517,6.282936
0.020000,0.001975,315.500000,0.011995,0.119253,3.306163,2169.236544,6.283072
0.020000,0.062326,315.500004,0.072346,3.017558,144.915264,7080.455021,0.000113
0.020000,0.236311,315.500051,0.246330,8.699234,284.083803,6958.426978,0.000428
0.020000,0.460070,315.500191,0.470089,11.187945,124.435547,-7982.412819,0.000828
0.020000,0.733653,315.500484,0.743672,13.679147,124.560094,6.227334,0.001312
0.020000,1.057116,315.501000,1.067136,16.173196,124.702473,7.118951,0.001876
0.020000,1.430530,315.501821,1.440551,18.670750,124.877677,8.760202,0.002516
0.020000,1.853973,315.503037,1.863996,21.172217,125.073380,9.785156,0.003228
0.020000,2.327539,315.504751,2.337565,23.678447,125.311462,11.904089,0.004006
0.020000,2.851323,315.507069,2.861355,26.189500,125.552653,12.059595,0.004844
0.020000,3.425437,315.510108,3.435476,28.706092,125.829587,13.846687,0.005737
0.020000,4.050002,315.513986,4.060053,31.228825,126.136665,15.353905,0.006677
0.020000,4.725146,315.518827,4.735215,33.758091,126.463283,16.330910,0.007656
0.020000,5.451010,315.524754,5.461103,36.294396,126.815267,17.599190,0.008668
0.020000,6.227742,315.531892,6.237868,38.838255,127.192964,18.884839,0.009703
0.020000,7.055500,315.540361,7.065669,41.390050,127.589754,19.839489,0.010751
0.020000,7.934453,315.550279,7.944677,43.950435,128.019247,21.474671,0.011804
0.020000,8.864777,315.561754,8.875072,46.519736,128.465033,22.289296,0.012851
0.020000,9.846660,315.574885,9.857043,49.098554,128.940892,23.792930,0.013882
0.020000,10.880297,315.589760,10.890787,51.687196,129.432118,24.561297,0.014884
0.020000,11.965895,315.606449,11.976514,54.286322,129.956285,26.208348,0.015846
0.020000,13.103670,315.625007,13.114440,56.896303,130.499077,27.139638,0.016756
0.020000,14.293846,315.645465,14.304791,59.517587,131.064197,28.255979,0.017600
0.020000,15.536659,315.667829,15.547806,62.150746,131.657926,29.686452,0.018365
0.020000,16.832356,315.692077,16.843730,64.796165,132.270987,30.653040,0.019038
0.020000,18.181192,315.718156,18.192818,67.454415,132.912470,32.074158,0.019603
0.020000,19.583436,315.745975,19.595338,70.125988,133.578681,33.310538,0.020045
0.020000,21.039366,315.775403,21.051565,72.811375,134.269313,34.531631,0.020348
0.020000,22.549273,315.806265,22.561788,75.511131,134.987793,35.923991,0.020497
0.020000,24.113461,315.838335,24.126304,78.225823,135.734614,37.341046,0.020473
0.020000,25.732245,315.871335,25.745425,80.956028,136.510272,38.782888,0.020260
0.020000,27.405955,315.904924,27.419472,83.702352,137.316192,40.295987,0.019838
0.020000,29.134934,315.938698,29.148780,86.465431,138.153958,41.888320,0.019189
0.020000,30.919540,315.972181,30.933701,89.246009,139.028897,43.746970,0.018292
0.020000,32.760145,316.004819,32.774595,92.044708,139.934944,45.302329,0.017128
0.020000,34.657137,316.035974,34.671842,94.862383,140.883736,47.439580,0.015673
0.020000,36.610918,316.064917,36.625838,97.699765,141.869103,49.268379,0.013907
0.020000,38.613192,316.090716,38.628279,100.122053,121.114396,-1037.735369,0.011814
0.020000,40.646845,316.112332,40.662046,101.688365,78.315587,-2139.940423,0.009396
0.020000,42.694586,316.128826,42.709854,102.390394,35.101495,-2160.704612,0.006664
0.020000,44.747731,316.139440,44.763026,102.658607,13.410645,-1084.542481,0.003625
0.020000,46.806308,316.143509,46.821608,102.929071,13.523191,5.627265,0.000278
0.020000,48.870347,316.140357,48.885648,103.202040,13.648451,6.263018,6.279803
0.020000,50.939870,316.129298,50.955201,103.477625,13.779240,6.539460,6.275829
0.020000,53.014896,316.109633,53.030321,103.755991,13.918312,6.953567,6.271536
0.020000,55.095441,316.080648,55.111067,104.037340,14.067451,7.456985,6.266922
0.020000,57.181513,316.041620,57.197504,104.321828,14.224372,7.846039,6.261983
0.020000,59.273112,315.991809,59.289696,104.609595,14.388339,8.198329,6.256715
0.020000,61.370230,315.930462,61.387711,104.900765,14.558515,8.508817,6.251114
0.020000,63.472849,315.856811,63.491620,105.195444,14.733955,8.772001,6.245176
0.020000,65.580940,315.770074,65.601494,105.493716,14.913593,8.981901,6.238897
0.020000,67.694459,315.669452,67.717407,105.795640,15.096234,9.132046,6.232273
0.020000,69.813348,315.554132,69.839432,106.101251,15.280543,9.215470,6.225300
0.020000,71.937533,315.423285,71.967643,106.410552,15.465038,9.224717,6.217973
0.020000,74.066920,315.276068,74.102114,106.723514,15.648075,9.151851,6.210289
0.020000,76.201396,315.111622,76.242915,107.040070,15.827845,8.988489,6.202243
0.020000,78.340827,314.929073,78.390119,107.360210,16.006953,8.955437,6.193831
0.020000,80.485050,314.727533,80.543793,107.683696,16.174312,8.367951,6.185049
0.020000,82.633876,314.506103,82.703998,108.010250,16.327731,7.670927,6.175894
0.020000,84.787087,314.263869,84.870792,108.339700,16.472464,7.236661,6.166363
0.020000,86.944434,313.999909,87.044227,108.671741,16.602065,6.480036,6.156452
0.020000,89.105631,313.713290,89.224347,109.006013,16.713600,5.576755,6.146158
0.020000,91.270362,313.403072,91.411193,109.342267,16.812681,4.954044,6.135481
0.020000,93.438263,313.068312,93.604788,109.679752,16.874274,3.079657,6.124418
0.020000,95.608930,312.708064,95.805145,110.017887,16.906742,1.623408,6.112968
0.020000,97.781915,312.321381,98.012268,110.356139,16.912598,0.292773,6.101132
0.020000,99.956730,311.907324,100.226147,110.693962,16.891140,-1.072902,6.088909
0.020000,102.132828,311.464959,102.446753,111.030304,16.817141,-3.699938,6.076302
0.020000,104.309616,310.993366,104.674040,111.364314,16.700484,-5.832853,6.063314
0.020000,106.486449,310.491643,106.907944,111.695197,16.544141,-7.817119,6.049947
0.020000,108.662629,309.958908,109.148382,112.021930,16.336646,-10.374752,6.036206
0.020000,110.837400,309.394308,111.395247,112.343261,16.066561,-13.504255,6.022099
0.020000,113.009956,308.797024,113.648411,112.658200,15.746930,-15.981547,6.007631
0.020000,115.179434,308.166273,115.907721,112.965483,15.364166,-19.138189,5.992812
0.020000,117.344918,307.501322,118.172999,113.263875,14.919601,-22.228295,5.977652
0.020000,119.505442,306.801486,120.444041,113.552144,14.413464,-25.306815,5.962163
0.020000,121.659986,306.066141,122.720616,113.828725,13.829049,-29.220741,5.946357
0.020000,123.807490,305.294725,125.002469,114.092667,13.197080,-31.598467,5.930249
0.020000,125.946849,304.486747,127.289320,114.342545,12.493898,-35.159108,5.913857
0.020000,128.076918,303.641793,129.580857,114.576834,11.714471,-38.971363,5.897196
0.020000,130.196521,302.759530,131.876746,114.794434,10.879963,-41.725390,5.880286
0.020000,132.304462,301.839710,134.176634,114.994414,9.999000,-44.048140,5.863148
0.020000,134.399524,300.882176,136.480143,115.175478,9.053227,-47.288655,5.845803
0.020000,136.480478,299.886864,138.786876,115.336613,8.056741,-49.824305,5.828274
0.020000,138.546087,298.853806,141.096410,115.476730,7.005830,-52.545550,5.810584
0.020000,140.595128,297.783131,143.408317,115.595327,5.929876,-53.797710,5.792759
0.020000,142.626393,296.675063,145.722156,115.691984,4.832869,-54.850310,5.774824
0.020000,144.638696,295.529921,148.037478,115.766093,3.705432,-56.371857,5.756803
0.020000,146.630884,294.348118,150.353827,115.817418,2.566264,-56.958406,5.738725
