dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,70.000000,223.250000,0.001508,0.150830,7.541478,377.073906,0.000000
0.020000,70.000000,223.250000,0.001508,0.000000,-7.541478,-754.147813,0.000000
0.020000,70.000000,223.250000,0.001508,0.000000,0.000000,377.073906,0.000000
0.020000,70.000000,223.250000,0.001508,0.000000,0.000000,0.000000,0.000000
0.020000,70.022956,223.250000,0.024465,1.147813,57.390649,2869.532428,0.000000
0.020000,70.077255,223.250000,0.078763,2.714932,78.355958,1048.265460,0.000000
0.020000,70.151161,223.250000,0.152670,3.695324,49.019608,-1466.817496,0.000000
0.020000,70.247692,223.250000,0.249201,4.826546,56.561086,377.073906,0.000000
0.020000,70.369864,223.250000,0.371373,6.108597,64.102564,377.073906,0.000000
0.020000,70.520694,223.250000,0.522202,7.541478,71.644042,377.073906,0.000000
0.020000,70.703198,223.250000,0.704706,9.125189,79.185520,377.073906,0.000000
0.020000,70.920392,223.250000,0.921900,10.859729,86.726998,377.073906,0.000000
0.020000,71.175294,223.250000,1.176802,12.745098,94.268477,377.073906,0.000000
0.020000,71.470920,223.250000,1.472428,14.781297,101.809955,377.073906,0.000000
0.020000,71.810287,223.250000,1.811795,16.968326,109.351433,377.073906,0.000000
0.020000,72.196410,223.250000,2.197919,19.306184,116.892911,377.073906,0.000000
0.020000,72.632308,223.250000,2.633816,21.794872,124.434389,377.073906,0.000000
0.020000,73.119487,223.250000,3.120995,24.358974,128.205128,188.536953,0.000000
0.020000,73.657949,223.250000,3.659457,26.923077,128.205128,-0.000000,0.000000
0.020000,74.247692,223.250000,4.249201,29.487179,128.205128,0.000000,0.000000
0.020000,74.888718,223.250000,4.890226,32.051282,128.205128,-0.000000,0.000000
0.020000,75.581026,223.250000,5.582534,34.615385,128.205128,0.000000,0.000000
0.020000,76.324615,223.250000,6.326124,37.179487,128.205128,0.000000,0.000000
0.020000,77.119487,223.250000,7.120995,39.743590,128.205128,-0.000000,0.000000
0.020000,77.965641,223.250000,7.967149,42.307692,128.205128,0.000000,0.000000
0.020000,78.863077,223.250000,8.864585,44.871795,128.205128,0.000000,0.000000
0.020000,79.811795,223.250000,9.813303,47.435897,128.205128,-0.000000,0.000000
0.020000,80.811795,223.250000,10.813303,50.000000,128.205128,0.000000,0.000000
0.020000,81.863077,223.250000,11.864585,52.564103,128.205128,0.000000,0.000000
0.020000,82.965641,223.250000,12.967149,55.128205,128.205128,-0.000000,0.000000
0.020000,84.119487,223.250000,14.120995,57.692308,128.205128,0.000000,0.000000
0.020000,85.324615,223.250000,15.326124,60.256410,128.205128,0.000000,0.000000
0.020000,86.581026,223.250000,16.582534,62.820513,128.205128,0.000000,0.000000
0.020000,87.888718,223.250000,17.890226,65.384615,128.205128,-0.000000,0.000000
0.020000,89.247692,223.250000,19.249201,67.948718,128.205128,0.000000,0.000000
0.020000,90.657949,223.250000,20.659457,70.512821,128.205128,-0.000000,0.000000
0.020000,92.119487,223.250000,22.120995,73.076923,128.205128,0.000000,0.000000
0.020000,93.632308,223.250000,23.633816,75.641026,128.205128,0.000000,0.000000
0.020000,95.196410,223.250000,25.197919,78.205128,128.205128,-0.000000,0.000000
0.020000,96.810287,223.250000,26.811795,80.693816,124.434389,-188.536953,0.000000
0.020000,98.470920,223.250000,28.472428,83.031674,116.892911,-377.073906,0.000000
0.020000,100.175294,223.250000,30.176802,85.218703,109.351433,-377.073906,0.000000
0.020000,101.920392,223.250000,31.921900,87.254902,101.809955,-377.073906,0.000000
0.020000,103.703198,223.250000,33.704706,89.140271,94.268477,-377.073906,0.000000
0.020000,105.520694,223.250000,35.522202,90.874811,86.726998,-377.073906,0.000000
0.020000,107.369864,223.250000,37.371373,92.458522,79.185520,-377.073906,0.000000
0.020000,109.247692,223.250000,39.249201,93.891403,71.644042,-377.073906,0.000000
0.020000,111.151161,223.250000,41.152670,95.173454,64.102564,-377.073906,0.000000
0.020000,113.077255,223.250000,43.078763,96.304676,56.561086,-377.073906,0.000000
0.020000,115.022956,223.250000,45.024465,97.285068,49.019608,-377.073906,0.000000
0.020000,116.985249,223.250000,46.986757,98.114630,41.478130,-377.073906,0.000000
0.020000,118.961116,223.250000,48.962624,98.793363,33.936652,-377.073906,0.000000
0.020000,120.947541,223.250000,50.949050,99.321267,26.395173,-377.073906,0.000000
0.020000,122.941508,223.250000,52.943017,99.698341,18.853695,-377.073906,0.000000
0.020000,124.940000,223.250000,54.941508,99.924585,11.312217,-377.073906,0.000000
0.020000,126.940000,223.250000,56.941508,100.000000,3.770739,-377.073906,0.000000
0.020000,128.940000,223.250000,58.941508,100.000000,0.000000,-188.536953,0.000000
0.020000,130.700274,223.254070,60.701787,88.013943,-599.302866,-29965.143315,0.011656
0.020000,132.330435,223.295658,62.332479,81.534579,-323.968173,13766.734683,0.039524
0.020000,133.948162,223.382741,63.952547,81.003423,-26.557789,14870.519206,0.068194
0.020000,135.552771,223.515954,65.562677,80.506490,-24.846652,85.556805,0.097614
0.020000,137.143659,223.695848,67.163704,80.051326,-22.758235,104.420883,0.127720
0.020000,138.720341,223.922895,68.756649,79.647285,-20.202024,127.810545,0.158437
0.020000,140.282440,224.197485,70.342698,79.302460,-17.241274,148.037512,0.189673
0.020000,141.829692,224.519938,71.923194,79.024790,-13.883507,167.888323,0.221329
0.020000,143.361941,224.890497,73.499614,78.820979,-10.190555,184.647591,0.253292
0.020000,144.879122,225.309335,75.073546,78.696626,-6.217642,198.645685,0.285443
0.020000,146.381245,225.776548,76.646653,78.655311,-2.065721,207.596008,0.317656
0.020000,147.867526,226.291845,78.219726,78.653682,-0.081463,99.212914,0.349784
0.020000,149.336139,226.854291,79.792358,78.631577,-1.105243,-51.189004,0.381655
0.020000,150.785112,227.462499,81.363803,78.572286,-2.964544,-92.965057,0.413098
0.020000,152.212561,228.114697,82.933189,78.469270,-5.150805,-109.313026,0.443951
0.020000,153.616667,228.808733,84.499459,78.313490,-7.788986,-131.909062,0.474066
0.020000,154.995674,229.542081,86.061335,78.093835,-10.982789,-159.690122,0.503312
0.020000,156.347877,230.311855,87.617293,77.797894,-14.797029,-190.712034,0.531577
