dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.762767,216.249999,0.005128,0.512821,25.641026,1282.051282,6.282843
0.020000,25.762383,216.249999,0.005512,0.019203,-24.680884,-2516.095458,6.282871
0.020000,25.761519,216.250000,0.006376,0.043195,1.199610,1294.024667,6.282937
0.020000,25.759984,216.250000,0.007911,0.076752,1.677866,23.912792,6.283053
0.020000,25.791701,216.250001,0.039627,1.585813,75.453040,3688.758697,0.000048
0.020000,25.967837,216.250032,0.215764,8.806805,361.049573,14279.826674,0.000301
0.020000,26.194304,216.250137,0.442231,11.323386,125.829062,-11761.025576,0.000626
0.020000,26.471108,216.250365,0.719035,13.840204,125.840889,0.591393,0.001022
0.020000,26.798256,216.250775,1.046183,16.357385,125.859067,0.908888,0.001489
0.020000,27.175753,216.251439,1.423681,18.874891,125.875297,0.811510,0.002026
0.020000,27.603609,216.252435,1.851538,21.392872,125.899034,1.186827,0.002633
0.020000,28.081833,216.253856,2.329765,23.911315,125.922172,1.156892,0.003308
0.020000,28.610436,216.255801,2.858371,26.430315,125.949977,1.390270,0.004052
0.020000,29.189429,216.258382,3.437369,28.949922,125.980392,1.520733,0.004863
0.020000,29.818825,216.261719,4.066774,31.470232,126.015459,1.753346,0.005740
0.020000,30.498636,216.265942,4.746599,33.991232,126.050018,1.727963,0.006682
0.020000,31.228878,216.271189,5.476859,36.513026,126.089684,1.983307,0.007688
0.020000,32.009565,216.277609,6.257572,39.035666,126.132019,2.116720,0.008757
0.020000,32.840713,216.285357,7.088757,41.559208,126.177084,2.253294,0.009886
0.020000,33.722339,216.294599,7.970432,44.083747,126.226956,2.493589,0.011076
0.020000,34.654461,216.305506,8.902617,46.609284,126.276843,2.494320,0.012324
0.020000,35.637097,216.318258,9.885335,49.135909,126.331271,2.721409,0.013628
0.020000,36.670264,216.333042,10.918609,51.663679,126.388504,2.861681,0.014987
0.020000,37.753984,216.350052,12.002463,54.192680,126.450057,3.077629,0.016399
0.020000,38.888276,216.369486,13.136921,56.722921,126.512036,3.098932,0.017862
0.020000,40.073162,216.391551,14.322012,59.254529,126.580392,3.417797,0.019375
0.020000,41.308661,216.416457,15.557762,61.787499,126.648517,3.406265,0.020934
0.020000,42.594795,216.444419,16.844200,64.321941,126.722070,3.677678,0.022538
