dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.758225,203.000000,0.005128,0.512821,25.641026,1282.051282,6.282843
0.020000,25.758225,203.000000,0.025641,1.538462,51.282051,1282.051282,6.282871
0.020000,25.758225,203.000000,0.071795,3.076923,76.923077,1282.051282,6.282937
0.020000,25.758225,203.000000,0.153846,5.128205,102.564103,1282.051282,6.283053
0.020000,25.792338,203.000001,0.282051,7.692308,128.205128,1282.051282,0.000048
0.020000,25.971825,203.000032,0.461538,10.256410,128.205128,-0.000000,0.000301
0.020000,26.202594,203.000139,0.692308,12.820513,128.205128,0.000000,0.000626
0.020000,26.484645,203.000371,0.974359,15.384615,128.205128,-0.000000,0.001022
0.020000,26.817979,203.000790,1.307692,17.948718,128.205128,0.000000,0.001489
0.020000,27.202593,203.001466,1.692308,20.512821,128.205128,-0.000000,0.002026
0.020000,27.638490,203.002481,2.128205,23.076923,128.205128,0.000000,0.002633
0.020000,28.125667,203.003928,2.615385,25.641026,128.205128,0.000000,0.003308
0.020000,28.664125,203.005910,3.153846,28.205128,128.205128,-0.000000,0.004052
0.020000,29.253862,203.008539,3.743590,30.769231,128.205128,0.000000,0.004863
0.020000,29.894879,203.011938,4.384615,33.333333,128.205128,0.000000,0.005740
0.020000,30.587174,203.016238,5.076923,35.897436,128.205128,-0.000000,0.006682
0.020000,31.330744,203.021581,5.820513,38.461538,128.205128,0.000000,0.007688
0.020000,32.125589,203.028117,6.615385,41.025641,128.205128,-0.000000,0.008757
0.020000,32.971706,203.036005,7.461538,43.589744,128.205128,0.000000,0.009886
0.020000,33.869092,203.045412,8.358974,46.153846,128.205128,0.000000,0.011076
0.020000,34.817745,203.056512,9.307692,48.717949,128.205128,-0.000000,0.012324
0.020000,35.817661,203.069488,10.307692,51.282051,128.205128,0.000000,0.013628
0.020000,36.868835,203.084530,11.358974,53.846154,128.205128,-0.000000,0.014987
0.020000,37.971264,203.101833,12.461538,56.410256,128.205128,-0.000000,0.016399
0.020000,39.124940,203.121600,13.615385,58.974359,128.205128,0.000000,0.017862
0.020000,40.329859,203.144038,14.820513,61.538462,128.205128,-0.000000,0.019375
0.020000,41.586014,203.169360,16.076923,64.102564,128.205128,0.000000,0.020934
0.020000,42.893397,203.197784,17.384615,66.666667,128.205128,0.000000,0.022538
0.020000,44.252001,203.229531,18.743590,69.230769,128.205128,-0.000000,0.024184
0.020000,45.661815,203.264825,20.153846,71.794872,128.205128,0.000000,0.025871
0.020000,47.122831,203.303895,21.615385,74.358974,128.205128,0.000000,0.027595
0.020000,48.635038,203.346970,23.128205,76.923077,128.205128,0.000000,0.029355
0.020000,50.198425,203.394281,24.692308,79.487179,128.205128,-0.000000,0.031146
0.020000,51.812979,203.446061,26.307692,82.051282,128.205128,0.000000,0.032968
0.020000,53.478688,203.502540,27.974359,84.615385,128.205128,0.000000,0.034816
0.020000,55.195539,203.563952,29.692308,87.179487,128.205128,-0.000000,0.036688
0.020000,56.963516,203.630525,31.461538,89.743590,128.205128,0.000000,0.038581
0.020000,58.782606,203.702488,33.282051,92.307692,128.205128,-0.000000,0.040491
0.020000,60.652792,203.780064,35.153846,94.871795,128.205128,0.000000,0.042416
0.020000,62.568936,203.863249,37.071795,96.923077,102.564103,-1282.051282,0.044347
0.020000,64.520776,203.951752,39.025641,98.461538,76.923077,-1282.051282,0.046271
0.020000,66.498056,204.045203,41.005128,99.487179,51.282051,-1282.051282,0.048176
0.020000,68.490522,204.143145,43.000000,100.000000,25.641026,-1282.051282,0.050050
0.020000,70.487924,204.245042,45.000000,100.000000,0.000000,-1282.051282,0.051884
0.020000,72.485138,204.350556,47.000000,100.000000,0.000000,0.000000,0.053671
0.020000,74.482163,204.459594,49.000000,100.000000,0.000000,0.000000,0.055413
0.020000,76.478998,204.572064,51.000000,100.000000,0.000000,0.000000,0.057109
0.020000,78.475642,204.687876,53.000000,100.000000,0.000000,0.000000,0.058760
0.020000,80.472095,204.806936,55.000000,100.000000,0.000000,0.000000,0.060364
0.020000,82.468357,204.929154,57.000000,100.000000,0.000000,0.000000,0.061923
0.020000,84.464429,205.054438,59.000000,100.000000,0.000000,0.000000,0.063435
0.020000,86.460312,205.182695,61.000000,100.000000,0.000000,0.000000,0.064902
0.020000,88.456008,205.313835,63.000000,100.000000,0.000000,0.000000,0.066323
0.020000,90.451518,205.447764,65.000000,100.000000,0.000000,0.000000,0.067699
0.020000,92.446846,205.584392,67.000000,100.000000,0.000000,0.000000,0.069028
0.020000,94.441993,205.723627,69.000000,100.000000,0.000000,0.000000,0.070312
0.020000,96.436964,205.865376,71.000000,100.000000,0.000000,0.000000,0.071549
0.020000,98.431760,206.009548,73.000000,100.000000,0.000000,0.000000,0.072741
0.020000,100.426387,206.156053,75.000000,100.000000,0.000000,0.000000,0.073887
0.020000,102.420848,206.304796,77.000000,100.000000,0.000000,0.000000,0.074987
0.020000,104.415148,206.455688,79.000000,100.000000,0.000000,0.000000,0.076041
0.020000,106.409291,206.608637,81.000000,100.000000,0.000000,0.000000,0.077049
0.020000,108.403282,206.763551,83.000000,100.000000,0.000000,0.000000,0.078012
0.020000,110.397127,206.920338,85.000000,100.000000,0.000000,0.000000,0.078929
0.020000,112.390831,207.078907,87.000000,100.000000,0.000000,0.000000,0.079799
0.020000,114.384400,207.239166,89.000000,100.000000,0.000000,0.000000,0.080624
0.020000,116.377840,207.401025,91.000000,100.000000,0.000000,0.000000,0.081404
0.020000,118.371156,207.564391,93.000000,100.000000,0.000000,0.000000,0.082137
0.020000,120.364356,207.729173,95.000000,100.000000,0.000000,0.000000,0.082825
0.020000,122.357447,207.895280,97.000000,100.000000,0.000000,0.000000,0.083466
0.020000,124.350434,208.062620,99.000000,100.000000,0.000000,0.000000,0.084062
0.020000,126.343324,208.231102,101.000000,100.000000,0.000000,0.000000,0.084612
0.020000,128.336126,208.400636,103.000000,100.000000,0.000000,0.000000,0.085117
0.020000,130.328846,208.571129,105.000000,100.000000,0.000000,0.000000,0.085575
0.020000,132.321491,208.742490,107.000000,100.000000,0.000000,0.000000,0.085988
0.020000,134.314069,208.914628,109.000000,100.000000,0.000000,0.000000,0.086355
0.020000,136.306588,209.087452,111.000000,100.000000,0.000000,0.000000,0.086677
0.020000,138.299056,209.260871,113.000000,100.000000,0.000000,0.000000,0.086952
0.020000,140.291479,209.434793,115.000000,100.000000,0.000000,0.000000,0.087182
0.020000,142.283866,209.609127,117.000000,100.000000,0.000000,0.000000,0.087366
0.020000,144.276226,209.783783,119.000000,100.000000,0.000000,0.000000,0.087505
0.020000,146.268565,209.958669,121.000000,100.000000,0.000000,0.000000,0.087597
0.020000,148.260892,210.133694,123.000000,100.000000,0.000000,0.000000,0.087644
0.020000,150.253214,210.308766,125.000000,100.000000,0.000000,0.000000,0.087645
0.020000,152.245541,210.483795,127.000000,100.000000,0.000000,0.000000,0.087601
0.020000,154.237879,210.658690,129.000000,100.000000,0.000000,0.000000,0.087510
0.020000,156.230237,210.833359,131.000000,100.000000,0.000000,0.000000,0.087374
0.020000,158.222623,211.007711,133.000000,100.000000,0.000000,0.000000,0.087192
0.020000,160.215045,211.181655,135.000000,100.000000,0.000000,0.000000,0.086965
0.020000,162.207510,211.355100,137.000000,100.000000,0.000000,0.000000,0.086691
0.020000,164.200026,211.527955,139.000000,100.000000,0.000000,0.000000,0.086372
0.020000,166.192601,211.700129,141.000000,100.000000,0.000000,0.000000,0.086007
0.020000,168.185243,211.871529,143.000000,100.000000,0.000000,0.000000,0.085596
0.020000,170.177959,212.042066,145.000000,100.000000,0.000000,0.000000,0.085140
0.020000,172.170757,212.211648,147.000000,100.000000,0.000000,0.000000,0.084638
0.020000,174.163643,212.380183,149.000000,100.000000,0.000000,0.000000,0.084090
0.020000,176.156625,212.547580,151.000000,100.000000,0.000000,0.000000,0.083496
0.020000,178.149710,212.713749,153.000000,100.000000,0.000000,0.000000,0.082856
0.020000,180.142905,212.878597,155.000000,100.000000,0.000000,0.000000,0.082171
0.020000,182.136216,213.042033,157.000000,100.000000,0.000000,0.000000,0.081440
0.020000,184.129649,213.203966,159.000000,100.000000,0.000000,0.000000,0.080663
0.020000,186.123212,213.364305,161.000000,100.000000,0.000000,0.000000,0.079840
0.020000,188.116909,213.522957,163.000000,100.000000,0.000000,0.000000,0.078972
0.020000,190.110747,213.679832,165.000000,100.000000,0.000000,0.000000,0.078057
0.020000,192.104731,213.834838,167.000000,100.000000,0.000000,0.000000,0.077097
0.020000,194.098867,213.987884,169.000000,100.000000,0.000000,0.000000,0.076091
0.020000,196.093159,214.138877,171.000000,100.000000,0.000000,0.000000,0.075039
0.020000,198.087612,214.287726,173.000000,100.000000,0.000000,0.000000,0.073941
0.020000,200.082231,214.434341,175.000000,100.000000,0.000000,0.000000,0.072797
0.020000,202.077019,214.578628,177.000000,100.000000,0.000000,0.000000,0.071608
0.020000,204.071981,214.720496,179.000000,100.000000,0.000000,0.000000,0.070372
0.020000,206.067120,214.859854,181.000000,100.000000,0.000000,0.000000,0.069091
0.020000,208.062439,214.996609,183.000000,100.000000,0.000000,0.000000,0.067764
0.020000,210.057940,215.130671,185.000000,100.000000,0.000000,0.000000,0.066391
0.020000,212.053627,215.261947,187.000000,100.000000,0.000000,0.000000,0.064972
0.020000,214.049501,215.390345,189.000000,100.000000,0.000000,0.000000,0.063507
0.020000,216.045564,215.515774,191.000000,100.000000,0.000000,0.000000,0.061997
0.020000,218.041817,215.638142,193.000000,100.000000,0.000000,0.000000,0.060440
0.020000,220.038260,215.757357,195.000000,100.000000,0.000000,0.000000,0.058838
0.020000,222.034895,215.873327,197.000000,100.000000,0.000000,0.000000,0.057190
0.020000,224.031721,215.985961,199.000000,100.000000,0.000000,0.000000,0.055496
0.020000,226.028737,216.095166,201.000000,100.000000,0.000000,0.000000,0.053756
0.020000,228.025942,216.200851,203.000000,100.000000,0.000000,0.000000,0.051971
0.020000,230.022947,216.302905,204.999611,99.961135,-1.943229,-97.161425,0.050140
0.020000,232.014239,216.400972,206.993317,99.409450,-27.584254,-1282.051282,0.048269
0.020000,233.989569,216.494519,208.970861,98.344945,-53.225280,-1282.051282,0.046368
0.020000,235.938683,216.583094,210.921987,96.767619,-78.866305,-1282.051282,0.044449
0.020000,237.851323,216.666327,212.836438,94.677472,-104.507331,-1282.051282,0.042524
0.020000,239.717618,216.743950,214.704346,92.113369,-128.205128,-1184.889857,0.040605
0.020000,241.532816,216.815972,216.520972,89.549267,-128.205128,-0.000000,0.038701
0.020000,243.296901,216.882617,218.286317,86.985164,-128.205128,0.000000,0.036815
0.020000,245.009860,216.944113,220.000379,84.421062,-128.205128,0.000000,0.034949
0.020000,246.671677,217.000689,221.663159,81.856959,-128.205128,0.000000,0.033108
0.020000,248.282339,217.052575,223.274657,79.292857,-128.205128,-0.000000,0.031293
0.020000,249.841834,217.100003,224.834874,76.728754,-128.205128,0.000000,0.029508
0.020000,251.350150,217.143205,226.343808,74.164652,-128.205128,0.000000,0.027756
0.020000,252.807274,217.182410,227.801460,71.600549,-128.205128,0.000000,0.026039
0.020000,254.213197,217.217847,229.207830,69.036446,-128.205128,-0.000000,0.024359
0.020000,255.567909,217.249744,230.562917,66.472344,-128.205128,0.000000,0.022719
0.020000,256.871402,217.278324,231.866723,63.908241,-128.205128,0.000000,0.021122
0.020000,258.123666,217.303808,233.119247,61.344139,-128.205128,-0.000000,0.019570
0.020000,259.324695,217.326412,234.320489,58.780036,-128.205128,0.000000,0.018065
0.020000,260.474482,217.346349,235.470449,56.215934,-128.205128,-0.000000,0.016609
0.020000,261.573020,217.363825,236.569126,53.651831,-128.205128,-0.000000,0.015203
0.020000,262.620305,217.379042,237.616522,51.087728,-128.205128,0.000000,0.013851
0.020000,263.616332,217.392194,238.612635,48.523626,-128.205128,0.000000,0.012554
0.020000,264.561096,217.403470,239.557467,45.959523,-128.205128,-0.000000,0.011313
0.020000,265.454594,217.413051,240.451016,43.395421,-128.205128,0.000000,0.010131
0.020000,266.296823,217.421111,241.293284,40.831318,-128.205128,-0.000000,0.009008
0.020000,267.087780,217.427817,242.084269,38.267216,-128.205128,0.000000,0.007946
0.020000,267.827462,217.433326,242.823972,35.703113,-128.205128,-0.000000,0.006947
0.020000,268.515869,217.437786,243.512394,33.139010,-128.205128,-0.000000,0.006012
0.020000,269.152999,217.441340,244.149533,30.574908,-128.205128,0.000000,0.005142
0.020000,269.738849,217.444117,244.735390,28.010805,-128.205128,-0.000000,0.004337
0.020000,270.273420,217.446238,245.269965,25.446703,-128.205128,0.000000,0.003600
0.020000,270.756710,217.447817,245.753258,22.882600,-128.205128,-0.000000,0.002931
0.020000,271.188720,217.448953,246.185269,20.318498,-128.205128,0.000000,0.002331
0.020000,271.569448,217.449739,246.565998,17.754395,-128.205128,-0.000000,0.001800
0.020000,271.898894,217.450256,246.895445,15.190293,-128.205128,0.000000,0.001339
0.020000,272.177059,217.450575,247.173610,12.626190,-128.205128,-0.000000,0.000949
0.020000,272.403942,217.450754,247.400492,10.062087,-128.205128,0.000000,0.000631
0.020000,272.579542,217.450843,247.576093,7.497985,-128.205128,-0.000000,0.000384
0.020000,272.704249,217.450880,247.700800,4.972747,-126.261900,97.161425,0.000208
0.020000,272.783580,217.450892,247.780131,2.960329,-100.620874,1282.051282,0.000096
0.020000,272.827791,217.450895,247.824342,1.460732,-74.979848,1282.051282,0.000034
0.020000,272.847138,217.450895,247.843689,0.473956,-49.338823,1282.051282,0.000007
0.020000,272.851878,217.450895,247.848428,0.000000,-23.697797,1282.051282,6.283185
0.020000,272.851878,217.450895,247.848428,0.000000,0.000000,1184.889857,6.283185
