dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.753616,189.750001,0.001521,0.152130,7.606491,380.324544,6.282837
0.020000,25.753729,189.750001,0.001635,0.005697,-7.321637,-746.406413,6.282846
0.020000,25.753986,189.750001,0.001892,0.012817,0.356017,383.882714,6.282865
0.020000,25.754441,189.750001,0.002347,0.022783,0.498284,7.113350,6.282900
0.020000,25.755153,189.750000,0.003059,0.035590,0.640336,7.102630,6.282953
0.020000,25.756178,189.750000,0.004084,0.051231,0.782038,7.085074,6.283031
0.020000,25.757572,189.750000,0.005478,0.069695,0.923217,7.058972,6.283136
0.020000,25.821798,189.750003,0.069703,3.211294,157.079978,7807.838022,0.000088
0.020000,25.947323,189.750025,0.195229,6.276290,153.249778,-191.509970,0.000262
0.020000,26.102291,189.750082,0.350196,7.748359,73.603424,-3982.317720,0.000476
0.020000,26.289796,189.750195,0.537702,9.375264,81.345252,387.091407,0.000735
0.020000,26.512936,189.750394,0.760842,11.157026,89.088125,387.143658,0.001042
0.020000,26.774808,189.750714,1.022714,13.093576,96.827489,386.968184,0.001402
0.020000,27.078504,189.751203,1.326411,15.184860,104.564201,386.835602,0.001819
0.020000,27.427119,189.751920,1.675027,17.430783,112.296144,386.597140,0.002296
0.020000,27.823744,189.752938,2.071652,19.831294,120.025544,386.470030,0.002838
0.020000,28.271468,189.754345,2.519379,22.386336,127.752105,386.328046,0.003447
0.020000,28.771832,189.756240,3.019746,25.018360,131.601224,192.455917,0.004125
0.020000,29.324823,189.758727,3.572743,27.649814,131.572667,-1.427848,0.004872
0.020000,29.930427,189.761924,4.178356,30.280652,131.541935,-1.536572,0.005686
0.020000,30.588630,189.765957,4.836571,32.910770,131.505888,-1.802392,0.006566
0.020000,31.299416,189.770960,5.547375,35.540185,131.470747,-1.757034,0.007512
0.020000,32.062768,189.777080,6.310751,38.168797,131.430587,-2.007988,0.008521
0.020000,32.878666,189.784470,7.126682,40.796559,131.388111,-2.123815,0.009593
0.020000,33.747088,189.793294,7.995149,43.423371,131.340607,-2.375202,0.010727
0.020000,34.668013,189.803724,8.916133,46.049202,131.291552,-2.452717,0.011920
0.020000,35.641416,189.815937,9.889613,48.673989,131.239363,-2.609449,0.013172
0.020000,36.667272,189.830122,10.915567,51.297686,131.184818,-2.727279,0.014480
0.020000,37.745552,189.846473,11.993971,53.920205,131.125949,-2.943461,0.015843
0.020000,38.874680,189.865163,13.123253,56.464124,127.195955,-196.499698,0.017257
0.020000,40.051533,189.886334,14.300297,58.852195,119.403542,-389.620628,0.018716
0.020000,41.272989,189.910115,15.521984,61.084353,111.607919,-389.781172,0.020215
0.020000,42.535925,189.936619,16.785199,63.160724,103.818565,-389.467669,0.021748
0.020000,43.837222,189.965943,18.086826,65.081367,96.032116,-389.322446,0.023310
0.020000,45.173761,189.998165,19.423753,66.846356,88.249487,-389.131463,0.024895
0.020000,46.542425,190.033346,20.792870,68.455818,80.473061,-388.821318,0.026499
0.020000,47.940099,190.071524,22.191065,69.909767,72.697472,-388.779441,0.028115
0.020000,49.363672,190.112720,23.615233,71.208405,64.931874,-388.279884,0.029740
0.020000,50.810031,190.156929,25.062268,72.351765,57.168017,-388.192863,0.031369
0.020000,52.276072,190.204130,26.529068,73.339998,49.411649,-387.818392,0.032997
0.020000,53.758688,190.254276,28.012533,74.173225,41.661364,-387.514234,0.034619
0.020000,55.254780,190.307301,29.509564,74.851571,33.917275,-387.204482,0.036232
