dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.004834608,312.9999992,0,0.07605,10.9975,376.625,6.282863
0.02,0.006355608,312.9999987,0.001521,0.296,18.53,369,6.282863
0.02,0.012275607,312.9999969,0.007441,0.6666,25.91,369.0000001,6.282874
0.02,0.025607607,312.9999931,0.020773,1.1848,33.29,373.0000001,6.282898
0.02,0.049303606,312.9999873,0.044469,1.8506,40.75,370.2990385,6.282941
0.02,0.086315605,312.9999808,0.081481,2.6656,48.15598077,370.1519239,6.283009
0.02,0.139627605,312.9999766,0.134793,3.628719616,55.55901925,370.424039,6.283106
0.02,0.212201997,312.9999805,0.207367392,4.739900001,62.96750003,374.750001,0.000052
0.02,0.306999995,313.0000019,0.302165392,5.999250001,70.46250005,369.0000017,0.000223
0.02,0.426984983,313.0000549,0.422150392,7.408500002,77.84250009,376.625002,0.000439
0.02,0.575154946,313.0001596,0.570320392,8.965350004,85.37500013,370.8750031,0.000703
0.02,0.754461852,313.0003434,0.749627392,10.67285001,92.79250019,376.7500036,0.001021
0.02,0.967918643,313.0006423,0.963084393,12.52870001,100.3275003,376.3750044,0.001395
0.02,1.218492221,313.0011022,1.213658393,14.53525002,107.8550003,378.5000049,0.00183
0.02,1.50919643,313.0017809,1.504363393,16.69235002,115.4250004,376.6250061,0.002328
0.02,1.843042028,313.0027484,1.838210394,19.00085003,122.9575006,197.7500039,0.002891
0.02,2.223056664,313.004089,2.218227394,21.46000004,126.9125006,11.00000204,0.00352
0.02,2.652252833,313.0059026,2.647427395,23.99825006,127.1325007,11.50000084,0.004217
0.02,3.132211866,313.0082962,3.127392396,26.54090007,127.3625007,10.99999961,0.004978
0.02,3.663020919,313.0113783,3.658210398,29.08815008,127.5825007,17.12499577,0.005797
0.02,4.244770949,313.0152632,4.239973399,31.6398001,127.9250006,14.87499502,0.006668
0.02,4.8775487,313.0200692,4.872769401,34.19830011,128.2225005,16.87499284,0.007585
0.02,5.561489709,313.0259164,5.556735403,36.76275012,128.5600004,15.12499283,0.008539
