dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,298.000000,0.001521,0.152130,7.606491,380.324544,6.282863
0.020000,0.000000,298.000000,0.007606,0.456389,15.212982,380.324544,6.282874
0.020000,0.000000,298.000000,0.021298,0.912779,22.819473,380.324544,6.282898
0.020000,0.000000,298.000000,0.045639,1.521298,30.425963,380.324544,6.282941
0.020000,0.000000,298.000000,0.083671,2.281947,38.032454,380.324544,6.283009
0.020000,0.000000,298.000000,0.138438,3.194726,45.638945,380.324544,6.283106
0.020000,0.029428,298.000001,0.212982,4.259635,53.245436,380.324544,0.000052
0.020000,0.126790,298.000014,0.310345,5.476673,60.851927,380.324544,0.000223
0.020000,0.250015,298.000055,0.433570,6.845842,68.458418,380.324544,0.000439
0.020000,0.402146,298.000142,0.585700,8.367140,76.064909,380.324544,0.000703
0.020000,0.586223,298.000300,0.769777,10.040568,83.671400,380.324544,0.001021
0.020000,0.805289,298.000565,0.988844,11.866126,91.277890,380.324544,0.001395
0.020000,1.062388,298.000980,1.245943,13.843813,98.884381,380.324544,0.001830
0.020000,1.360562,298.001600,1.544118,15.973631,106.490872,380.324544,0.002328
0.020000,1.702853,298.002493,1.886410,18.255578,114.097363,380.324544,0.002891
0.020000,2.092303,298.003742,2.275862,20.689655,121.703854,380.324544,0.003520
0.020000,2.531955,298.005443,2.715517,23.275862,129.310345,380.324544,0.004217
0.020000,3.023329,298.007703,3.206897,25.862069,129.310345,0.000000,0.004978
0.020000,3.566425,298.010630,3.750000,28.448276,129.310345,0.000000,0.005797
0.020000,4.161241,298.014339,4.344828,31.034483,129.310345,0.000000,0.006668
0.020000,4.807777,298.018948,4.991379,33.620690,129.310345,-0.000000,0.007585
0.020000,5.506031,298.024580,5.689655,36.206897,129.310345,0.000000,0.008539
0.020000,6.256000,298.031355,6.439655,38.793103,129.310345,-0.000000,0.009522
0.020000,7.057683,298.039394,7.241379,41.379310,129.310345,0.000000,0.010525
0.020000,7.911080,298.048814,8.094828,43.965517,129.310345,-0.000000,0.011540
0.020000,8.816187,298.059724,9.000000,46.551724,129.310345,-0.000000,0.012556
0.020000,9.773001,298.072226,9.956897,49.137931,129.310345,0.000000,0.013564
0.020000,10.781522,298.086411,10.965517,51.724138,129.310345,-0.000000,0.014551
0.020000,11.841747,298.102353,12.025862,54.310345,129.310345,0.000000,0.015506
0.020000,12.952153,298.120086,13.136410,56.744422,121.703854,-380.324544,0.016417
0.020000,14.109697,298.139594,14.294118,59.026369,114.097363,-380.324544,0.017268
0.020000,15.311335,298.160824,15.495943,61.156187,106.490872,-380.324544,0.018047
0.020000,16.554026,298.183696,16.738844,63.133874,98.884381,-380.324544,0.018739
0.020000,17.834726,298.208091,18.019777,64.959432,91.277890,-380.324544,0.019333
0.020000,19.150397,298.233863,19.335700,66.632860,83.671400,-380.324544,0.019817
0.020000,20.497998,298.260832,20.683570,68.154158,76.064909,-380.324544,0.020181
0.020000,21.874489,298.288791,22.060345,69.523327,68.458418,-380.324544,0.020414
0.020000,23.276832,298.317505,23.462982,70.740365,60.851927,-380.324544,0.020508
0.020000,24.701989,298.346716,24.888438,71.805274,53.245436,-380.324544,0.020455
0.020000,26.146923,298.376145,26.333671,72.718053,45.638945,-380.324544,0.020248
0.020000,27.608596,298.405497,27.795639,73.478702,38.032454,-380.324544,0.019883
0.020000,29.083971,298.434465,29.271298,74.087221,30.425963,-380.324544,0.019354
0.020000,30.570011,298.462733,30.757606,74.543611,22.819473,-380.324544,0.018659
0.020000,32.063677,298.489983,32.251521,74.847870,15.212982,-380.324544,0.017796
0.020000,33.561931,298.515895,33.750000,75.000000,7.606491,-380.324544,0.016763
0.020000,35.061736,298.540159,35.250000,75.000000,0.000000,-380.324544,0.015562
0.020000,36.561570,298.562497,36.750000,75.000000,0.000000,0.000000,0.014193
0.020000,38.061434,298.582654,38.250000,75.000000,0.000000,0.000000,0.012656
0.020000,39.561330,298.600378,39.750000,75.000000,0.000000,0.000000,0.010948
0.020000,41.061254,298.615413,41.250000,75.000000,0.000000,0.000000,0.009071
0.020000,42.561204,298.627504,42.750000,75.000000,0.000000,0.000000,0.007022
0.020000,44.061178,298.636392,44.250000,75.000000,0.000000,0.000000,0.004801
0.020000,45.561169,298.641819,45.750000,75.000000,0.000000,0.000000,0.002406
0.020000,47.061168,298.643524,47.250000,75.000000,0.000000,0.000000,6.283023
0.020000,48.561166,298.641243,48.750000,75.000000,0.000000,0.000000,6.280278
0.020000,50.061151,298.634713,50.250000,75.000000,0.000000,0.000000,6.277356
0.020000,51.561108,298.623668,51.750000,75.000000,0.000000,0.000000,6.274257
0.020000,53.061025,298.607838,53.250000,75.000000,0.000000,0.000000,6.270977
0.020000,54.560880,298.586954,54.750000,75.000000,0.000000,0.000000,6.267517
0.020000,56.060651,298.560742,56.250000,75.000000,0.000000,0.000000,6.263873
0.020000,57.560312,298.528930,57.750000,75.000000,0.000000,0.000000,6.260046
0.020000,59.059835,298.491238,59.250000,75.000000,0.000000,0.000000,6.256033
0.020000,60.559195,298.447388,60.750000,75.000000,0.000000,0.000000,6.251832
0.020000,62.058351,298.397099,62.250000,75.000000,0.000000,0.000000,6.247442
0.020000,63.557266,298.340087,63.750000,75.000000,0.000000,0.000000,6.242861
0.020000,65.055895,298.276064,65.250000,75.000000,0.000000,0.000000,6.238088
0.020000,66.554200,298.204744,66.750000,75.000000,0.000000,0.000000,6.233120
0.020000,68.052122,298.125834,68.250000,75.000000,0.000000,0.000000,6.227956
0.020000,69.549605,298.039043,69.750000,75.000000,0.000000,0.000000,6.222594
0.020000,71.046594,297.944073,71.250000,75.000000,0.000000,0.000000,6.217033
0.020000,72.543022,297.840629,72.750000,75.000000,0.000000,0.000000,6.211269
0.020000,74.038816,297.728411,74.250000,75.000000,0.000000,0.000000,6.205303
0.020000,75.533900,297.607118,75.750000,75.000000,0.000000,0.000000,6.199131
0.020000,77.028197,297.476445,77.250000,75.000000,0.000000,0.000000,6.192753
0.020000,78.521612,297.336090,78.750000,75.000000,0.000000,0.000000,6.186167
0.020000,80.014055,297.185745,80.250000,75.000000,0.000000,0.000000,6.179371
0.020000,81.505427,297.025104,81.750000,75.000000,0.000000,0.000000,6.172364
0.020000,82.995614,296.853859,83.250000,75.000000,0.000000,0.000000,6.165145
0.020000,84.484511,296.671701,84.750000,75.000000,0.000000,0.000000,6.157711
0.020000,85.971989,296.478321,86.250000,75.000000,0.000000,0.000000,6.150063
0.020000,87.457922,296.273411,87.750000,75.000000,0.000000,0.000000,6.142199
0.020000,88.942177,296.056660,89.250000,75.000000,0.000000,0.000000,6.134119
0.020000,90.424602,295.827764,90.750000,75.000000,0.000000,0.000000,6.125822
0.020000,91.905056,295.586414,92.250000,75.000000,0.000000,0.000000,6.117307
0.020000,93.383370,295.332307,93.750000,75.000000,0.000000,0.000000,6.108575
0.020000,94.859381,295.065140,95.250000,75.000000,0.000000,0.000000,6.099625
0.020000,96.332910,294.784614,96.750000,75.000000,0.000000,0.000000,6.090458
0.020000,97.803773,294.490433,98.250000,75.000000,0.000000,0.000000,6.081075
0.020000,99.271779,294.182305,99.750000,75.000000,0.000000,0.000000,6.071476
0.020000,100.736724,293.859944,101.250000,75.000000,0.000000,0.000000,6.061663
0.020000,102.198399,293.523068,102.750000,75.000000,0.000000,0.000000,6.051638
0.020000,103.656586,293.171402,104.250000,75.000000,0.000000,0.000000,6.041402
0.020000,105.111060,292.804678,105.750000,75.000000,0.000000,0.000000,6.030959
0.020000,106.561584,292.422634,107.250000,75.000000,0.000000,0.000000,6.020310
0.020000,108.007917,292.025020,108.750000,75.000000,0.000000,0.000000,6.009459
0.020000,109.449809,291.611592,110.250000,75.000000,0.000000,0.000000,5.998410
0.020000,110.887003,291.182118,111.750000,75.000000,0.000000,0.000000,5.987166
0.020000,112.319235,290.736376,113.250000,75.000000,0.000000,0.000000,5.975734
