dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.250832,204.342911,0.004398,0.439815,21.990741,1099.537037,0.000382
0.020000,3.250369,204.342911,0.004862,0.023182,-20.831628,-2141.118412,0.000342
0.020000,3.249327,204.342911,0.005904,0.052102,1.445980,1113.880355,0.000251
0.020000,3.247478,204.342911,0.007752,0.092426,2.016229,28.512481,0.000090
0.020000,3.314907,204.342905,0.075181,3.371438,163.950596,8096.718354,6.283025
0.020000,3.469118,204.342853,0.229392,7.710560,216.956066,2650.273506,6.282667
0.020000,3.679058,204.342693,0.439332,10.497009,139.322445,-3881.681092,6.282183
0.020000,3.953339,204.342332,0.713614,13.714056,160.852372,1076.496383,6.281557
0.020000,4.300593,204.341630,1.060868,17.362710,182.432679,1079.015334,6.280774
0.020000,4.725192,204.340406,1.485469,21.230078,193.368410,546.786565,6.279834
0.020000,5.227243,204.338449,1.987524,25.102711,193.631663,13.162624,6.278744
0.020000,5.806868,204.335518,2.567156,28.981636,193.946224,15.728064,6.277517
0.020000,6.464212,204.331344,3.224513,32.867846,194.310501,18.213845,6.276164
0.020000,7.199432,204.325640,3.959755,36.762114,194.713424,20.146174,6.274699
0.020000,8.012707,204.318100,4.773066,40.665509,195.169732,22.815381,6.273139
0.020000,8.904231,204.308408,5.664642,44.578834,195.666283,24.827557,6.271501
0.020000,9.874214,204.296243,6.634701,48.502956,196.206088,26.990254,6.269803
0.020000,10.922884,204.281289,7.683478,52.438823,196.793341,29.362641,6.268066
0.020000,12.050484,204.263240,8.811222,56.387221,197.419893,31.327596,6.266312
0.020000,13.257274,204.241807,10.018203,60.349018,198.089851,33.497905,6.264564
0.020000,14.543532,204.216732,11.304705,64.325128,198.805505,35.782680,6.262847
0.020000,15.909549,204.187792,12.671029,68.316176,199.552422,37.345879,6.261187
0.020000,17.355636,204.154813,14.117492,72.323157,200.349056,39.831678,6.259611
0.020000,18.882124,204.117678,15.644431,76.346950,201.189605,42.027479,6.258149
0.020000,20.484999,204.076456,17.247836,80.170255,191.165274,-501.216566,6.256835
0.020000,22.155873,204.031439,18.919317,83.574057,170.190119,-1048.757766,6.255704
0.020000,23.886322,203.983040,20.650442,86.556237,149.108999,-1054.056007,6.254787
0.020000,25.667870,203.931792,22.432728,89.114293,127.902772,-1060.311336,6.254112
0.020000,27.491999,203.878326,24.257639,91.245574,106.564060,-1066.935612,6.253702
0.020000,29.350133,203.823363,26.116587,92.947385,85.090528,-1073.676578,6.253574
0.020000,31.233646,203.767685,28.000923,94.216782,63.469849,-1081.033969,6.253742
0.020000,33.133850,203.712120,29.901939,95.050801,41.700993,-1088.442784,6.254213
0.020000,35.041997,203.657513,31.810867,95.446400,19.779917,-1096.053789,6.254989
0.020000,36.953705,203.604582,33.723307,95.622038,8.781924,-549.899656,6.256071
0.020000,38.868999,203.553919,35.639271,95.798195,8.807858,1.296701,6.257459
0.020000,40.787904,203.506121,37.558772,95.975015,8.840973,1.655745,6.259155
0.020000,42.710446,203.461791,39.481824,96.152638,8.881162,2.009474,6.261159
0.020000,44.636649,203.421539,41.408448,96.331204,8.928292,2.356499,6.263474
0.020000,46.566539,203.385981,43.338665,96.510848,8.982199,2.695318,6.266102
0.020000,48.500136,203.355741,45.272499,96.691702,9.042685,3.024293,6.269044
0.020000,50.437462,203.331450,47.209977,96.873892,9.109517,3.341634,6.272303
0.020000,52.378532,203.313748,49.151128,97.057540,9.182425,3.645381,6.275882
0.020000,54.323359,203.303285,51.095983,97.242762,9.261093,3.933389,6.279782
0.020000,56.271951,203.300719,53.044577,97.429666,9.345159,4.203310,0.000822
0.020000,58.224309,203.306718,54.996944,97.618350,9.434210,4.452576,0.005376
0.020000,60.180427,203.321960,56.953122,97.808905,9.527778,4.678387,0.010261
0.020000,62.140294,203.347134,58.913150,98.001412,9.625332,4.877695,0.015481
0.020000,64.103886,203.382941,60.877069,98.195937,9.726276,5.047196,0.021040
0.020000,66.071172,203.430090,62.844920,98.392557,9.830954,5.233881,0.026940
0.020000,68.042111,203.489306,64.816748,98.591408,9.942588,5.581708,0.033186
0.020000,70.016644,203.561322,66.792594,98.792278,10.043505,5.045878,0.039782
0.020000,71.994700,203.646882,68.772499,98.995288,10.150474,5.348415,0.046730
0.020000,73.976194,203.746744,70.756508,99.200421,10.256632,5.307905,0.054036
0.020000,75.961022,203.861675,72.744661,99.407638,10.360869,5.211840,0.061702
0.020000,77.949066,203.992453,74.737001,99.617041,10.470180,5.465554,0.069732
0.020000,79.940183,204.139868,76.733568,99.828318,10.563815,4.681751,0.078130
0.020000,81.934206,204.304718,78.734394,100.041314,10.649807,4.299606,0.086898
0.020000,83.930949,204.487808,80.739513,100.255970,10.732804,4.149877,0.096039
0.020000,85.930202,204.689954,82.748960,100.472324,10.817697,4.244617,0.105557
0.020000,87.931721,204.911976,84.762756,100.689791,10.873351,2.782733,0.115453
0.020000,89.935235,205.154698,86.780919,100.908169,10.918900,2.277416,0.125729
0.020000,91.940446,205.418950,88.803467,101.127394,10.961238,2.116893,0.136386
0.020000,93.947020,205.705560,90.830406,101.346950,10.977835,0.829874,0.147425
0.020000,95.954584,206.015353,92.861732,101.566316,10.968279,-0.477810,0.158846
0.020000,97.962738,206.349155,94.897440,101.785377,10.953046,-0.761628,0.170647
0.020000,99.971037,206.707779,96.937507,102.003379,10.900083,-2.648181,0.182828
0.020000,101.978998,207.092030,98.981904,102.219818,10.821960,-3.906107,0.195386
0.020000,103.986103,207.502699,101.030591,102.434356,10.726902,-4.752924,0.208316
0.020000,105.991785,207.940559,103.083511,102.646026,10.583493,-7.170455,0.221615
0.020000,107.995442,208.406360,105.140599,102.854401,10.418773,-8.236006,0.235276
0.020000,109.996427,208.900825,107.201773,103.058692,10.214561,-10.210572,0.249293
0.020000,111.994054,209.424648,109.266937,103.258204,9.975603,-11.947925,0.263657
0.020000,113.987593,209.978483,111.335978,103.452048,9.692196,-14.170335,0.278358
0.020000,115.976278,210.562948,113.408771,103.639635,9.379344,-15.642608,0.293385
0.020000,117.959305,211.178613,115.485171,103.820000,9.018245,-18.054947,0.308726
0.020000,119.935830,211.825996,117.565017,103.992293,8.614631,-20.180688,0.324366
0.020000,121.904987,212.505563,119.648137,104.156005,8.185621,-21.450526,0.340292
0.020000,123.865868,213.217718,121.734334,104.309866,7.693049,-24.628594,0.356485
0.020000,125.817549,213.962801,123.823403,104.453432,7.178274,-25.738752,0.372928
0.020000,127.759088,214.741087,125.915125,104.586100,6.633402,-27.243596,0.389601
