dt,x,y,position,velocity,acceleration,jerk,heading
0.02,26.00267461,134.9999998,0,0.07605,10.7725,369.125,6.283007
0.02,26.00419561,134.9999995,0.001521,0.2915,18.155,365.2500001,6.283007
0.02,26.01002561,134.9999986,0.007351,0.6546,25.46,364.6740385,6.283024
0.02,26.02311761,134.999997,0.020443,1.1638,32.75348077,364.776924,6.283064
0.02,26.04639361,134.9999958,0.043719,1.818869615,40.04901925,364.6740393,6.283135
0.02,26.082771,134.9999981,0.080096392,2.619850001,47.34250004,369.0000017,0.00006
0.02,26.135168,135.0000097,0.132493392,3.566700001,54.72250007,363.5000031,0.000218
0.02,26.20650199,135.0000409,0.203827392,4.661150003,61.99250013,372.8750041,0.000432
0.02,26.29972497,135.0001075,0.297050392,5.901000005,69.45000022,372.7500055,0.000708
0.02,26.4177449,135.0002329,0.415070393,7.29000001,76.90500033,371.0000077,0.001055
0.02,26.56354474,135.0004496,0.560870393,8.828100016,84.32500048,380.2500079,0.001477
0.02,26.74010639,135.0008007,0.737432393,10.51460003,91.93000064,380.500009,0.001978
0.02,26.95039769,135.0013422,0.947724394,12.35320004,99.54000082,385.7500081,0.002563
0.02,27.19746039,135.0021441,1.194788394,14.34400005,107.255001,393.5000048,0.003232
0.02,27.4843381,135.0032916,1.481668395,16.48910007,115.1250011,393.500003,0.003985
0.02,27.81411625,135.004886,1.811450397,18.7916001,122.9950011,222.1249907,0.004819
0.02,28.18994205,135.0070445,2.187282399,21.25150012,127.437501,37.24998297,0.005727
0.02,28.61496246,135.0099002,2.612312401,23.80025014,128.1825006,47.12497412,0.006702
0.02,29.09095319,135.0135861,3.088317404,26.36390015,129.1250001,42.87497561,0.007727
0.02,29.61821079,135.018225,3.615595407,28.94640015,129.9824996,58.3749706,0.008782
0.02,30.19711067,135.0239311,4.19452341,31.54605014,131.149999,50.49998249,0.009842
0.02,30.82799421,135.0308061,4.825444413,34.16905012,132.1599987,63.74998842,0.010884
0.02,31.51132693,135.0389298,5.508825415,36.8122501,133.4349984,63.87500397,0.011877
0.02,32.2475116,135.0483554,6.245070417,39.48095007,134.7124985,69.12501757,0.012794
