dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.222230,120.484972,0.001529,0.152941,7.647059,382.352941,6.283094
0.020000,25.222230,120.484972,0.007647,0.458824,15.294118,382.352941,6.283103
0.020000,25.222230,120.484972,0.021412,0.917647,22.941176,382.352941,6.283124
0.020000,25.222230,120.484972,0.045882,1.529412,30.588235,382.352941,6.283160
0.020000,25.243613,120.484973,0.084118,2.294118,38.235294,382.352941,0.000032
0.020000,25.298672,120.484977,0.139176,3.211765,45.882353,382.352941,0.000113
0.020000,25.373613,120.484989,0.214118,4.282353,53.529412,382.352941,0.000222
0.020000,25.471496,120.485018,0.312000,5.505882,61.176471,382.352941,0.000363
0.020000,25.595378,120.485074,0.435882,6.882353,68.823529,382.352941,0.000538
0.020000,25.748319,120.485172,0.588824,8.411765,76.470588,382.352941,0.000750
0.020000,25.933378,120.485334,0.773882,10.094118,84.117647,382.352941,0.000999
0.020000,26.153613,120.485586,0.994118,11.929412,91.764706,382.352941,0.001287
0.020000,26.412083,120.485961,1.252588,13.917647,99.411765,382.352941,0.001611
0.020000,26.711848,120.486498,1.552353,16.058824,107.058824,382.352941,0.001969
0.020000,27.055964,120.487243,1.896471,18.352941,114.705882,382.352941,0.002356
0.020000,27.447493,120.488247,2.288000,20.800000,122.352941,382.352941,0.002766
0.020000,27.889491,120.489564,2.730000,23.400000,130.000000,382.352941,0.003189
0.020000,28.383488,120.491247,3.224000,26.000000,130.000000,0.000000,0.003612
0.020000,28.929484,120.493333,3.770000,28.600000,130.000000,0.000000,0.004020
0.020000,29.527478,120.495852,4.368000,31.200000,130.000000,-0.000000,0.004392
0.020000,30.177472,120.498815,5.018000,33.800000,130.000000,0.000000,0.004711
0.020000,30.879464,120.502214,5.720000,36.400000,130.000000,-0.000000,0.004953
0.020000,31.633454,120.506010,6.474000,39.000000,130.000000,0.000000,0.005096
0.020000,32.439443,120.510134,7.280000,41.600000,130.000000,0.000000,0.005115
0.020000,33.297432,120.514477,8.138000,44.200000,130.000000,0.000000,0.004982
0.020000,34.205892,120.518874,9.046471,46.647059,122.352941,-382.352941,0.004670
0.020000,35.161765,120.523105,10.002353,48.941176,114.705882,-382.352941,0.004151
0.020000,36.161994,120.526899,11.002588,51.082353,107.058824,-382.352941,0.003398
0.020000,37.203518,120.529932,12.044118,53.070588,99.411765,-382.352941,0.002387
0.020000,38.283281,120.531834,13.123882,54.905882,91.764706,-382.352941,0.001094
0.020000,39.398222,120.532187,14.238824,56.588235,84.117647,-382.352941,6.282681
0.020000,40.545280,120.530533,15.385882,58.117647,76.470588,-382.352941,6.280758
0.020000,41.721390,120.526375,16.562000,59.494118,68.823529,-382.352941,6.278492
0.020000,42.923486,120.519188,17.764118,60.717647,61.176471,-382.352941,6.275868
0.020000,44.148497,120.508423,18.989176,61.788235,53.529412,-382.352941,6.272873
0.020000,45.393348,120.493517,20.234118,62.705882,45.882353,-382.352941,6.269496
0.020000,46.654960,120.473905,21.495882,63.470588,38.235294,-382.352941,6.265729
0.020000,47.930246,120.449026,22.771412,64.082353,30.588235,-382.352941,6.261570
0.020000,49.216114,120.418337,24.057647,64.541176,22.941176,-382.352941,6.257016
0.020000,50.509465,120.381322,25.351529,64.847059,15.294118,-382.352941,6.252070
0.020000,51.807195,120.337505,26.650000,65.000000,7.647059,-382.352941,6.246737
0.020000,53.106190,120.286464,27.950000,65.000000,0.000000,-382.352941,6.241027
0.020000,54.404863,120.227766,29.250000,65.000000,0.000000,0.000000,6.234945
0.020000,55.703141,120.160928,30.550000,65.000000,0.000000,0.000000,6.228491
0.020000,57.000947,120.085471,31.850000,65.000000,0.000000,0.000000,6.221664
0.020000,58.298191,120.000914,33.150000,65.000000,0.000000,0.000000,6.214465
0.020000,59.594775,119.906779,34.450000,65.000000,0.000000,0.000000,6.206893
0.020000,60.890590,119.802589,35.750000,65.000000,0.000000,0.000000,6.198951
0.020000,62.185514,119.687870,37.050000,65.000000,0.000000,0.000000,6.190637
0.020000,63.479417,119.562152,38.350000,65.000000,0.000000,0.000000,6.181955
0.020000,64.772154,119.424967,39.650000,65.000000,0.000000,0.000000,6.172907
0.020000,66.063569,119.275855,40.950000,65.000000,0.000000,0.000000,6.163494
0.020000,67.353494,119.114361,42.250000,65.000000,0.000000,0.000000,6.153720
0.020000,68.641747,118.940037,43.550000,65.000000,0.000000,0.000000,6.143589
0.020000,69.928135,118.752443,44.850000,65.000000,0.000000,0.000000,6.133105
0.020000,71.212450,118.551151,46.150000,65.000000,0.000000,0.000000,6.122275
0.020000,72.494472,118.335741,47.450000,65.000000,0.000000,0.000000,6.111103
0.020000,73.773969,118.105809,48.750000,65.000000,0.000000,0.000000,6.099597
0.020000,75.050695,117.860961,50.050000,65.000000,0.000000,0.000000,6.087766
0.020000,76.324393,117.600823,51.350000,65.000000,0.000000,0.000000,6.075617
0.020000,77.594794,117.325033,52.650000,65.000000,0.000000,0.000000,6.063160
0.020000,78.861617,117.033252,53.950000,65.000000,0.000000,0.000000,6.050407
0.020000,80.124571,116.725158,55.250000,65.000000,0.000000,0.000000,6.037369
0.020000,81.383356,116.400450,56.550000,65.000000,0.000000,0.000000,6.024058
0.020000,82.637663,116.058853,57.850000,65.000000,0.000000,0.000000,6.010489
0.020000,83.887174,115.700114,59.150000,65.000000,0.000000,0.000000,5.996675
0.020000,85.131567,115.324006,60.450000,65.000000,0.000000,0.000000,5.982632
0.020000,86.370514,114.930326,61.750000,65.000000,0.000000,0.000000,5.968377
0.020000,87.566716,114.531365,63.050000,65.000000,0.000000,0.000000,5.952649
0.020000,88.790477,114.092841,64.350000,65.000000,0.000000,0.000000,5.925511
0.020000,90.001838,113.621145,65.650000,65.000000,0.000000,0.000000,5.898175
0.020000,91.199821,113.116437,66.950000,65.000000,0.000000,0.000000,5.870720
0.020000,92.383484,112.579001,68.250000,65.000000,0.000000,0.000000,5.843227
0.020000,93.551935,112.009251,69.550000,65.000000,0.000000,0.000000,5.815782
0.020000,94.704346,111.407717,70.850000,65.000000,0.000000,0.000000,5.788467
0.020000,95.839963,110.775047,72.150000,65.000000,0.000000,0.000000,5.761366
0.020000,96.958113,110.111994,73.450000,65.000000,0.000000,0.000000,5.734560
0.020000,98.058215,109.419407,74.750000,65.000000,0.000000,0.000000,5.708127
0.020000,99.139784,108.698219,76.050000,65.000000,0.000000,0.000000,5.682137
0.020000,100.202436,107.949434,77.350000,65.000000,0.000000,0.000000,5.656659
0.020000,101.245886,107.174112,78.650000,65.000000,0.000000,0.000000,5.631751
0.020000,102.269951,106.373357,79.950000,65.000000,0.000000,0.000000,5.607468
0.020000,103.274546,105.548305,81.250000,65.000000,0.000000,0.000000,5.583855
0.020000,104.259680,104.700109,82.550000,65.000000,0.000000,0.000000,5.560950
0.020000,105.225450,103.829927,83.850000,65.000000,0.000000,0.000000,5.538785
0.020000,106.172039,102.938913,85.150000,65.000000,0.000000,0.000000,5.517385
0.020000,107.099700,102.028207,86.450000,65.000000,0.000000,0.000000,5.496767
0.020000,108.008759,101.098930,87.750000,65.000000,0.000000,0.000000,5.476944
0.020000,108.899599,100.152171,89.050000,65.000000,0.000000,0.000000,5.457922
0.020000,109.772658,99.188988,90.350000,65.000000,0.000000,0.000000,5.439704
0.020000,110.628419,98.210402,91.650000,65.000000,0.000000,0.000000,5.422286
0.020000,111.467403,97.217393,92.950000,65.000000,0.000000,0.000000,5.405664
0.020000,112.290163,96.210899,94.250000,65.000000,0.000000,0.000000,5.389829
0.020000,113.097280,95.191816,95.550000,65.000000,0.000000,0.000000,5.374769
0.020000,113.889355,94.160996,96.850000,65.000000,0.000000,0.000000,5.360472
0.020000,114.667003,93.119249,98.150000,65.000000,0.000000,0.000000,5.346924
0.020000,115.430854,92.067341,99.450000,65.000000,0.000000,0.000000,5.334108
0.020000,116.166772,91.028701,100.750000,65.000000,0.000000,0.000000,5.325085
0.020000,116.911296,89.963019,102.050000,65.000000,0.000000,0.000000,5.319398
0.020000,117.650021,88.893307,103.350000,65.000000,0.000000,0.000000,5.314220
0.020000,118.383469,87.819971,104.650000,65.000000,0.000000,0.000000,5.309550
0.020000,119.112170,86.743406,105.950000,65.000000,0.000000,0.000000,5.305389
0.020000,119.836662,85.664003,107.250000,65.000000,0.000000,0.000000,5.301738
0.020000,120.557482,84.582146,108.550000,65.000000,0.000000,0.000000,5.298596
0.020000,121.275177,83.498211,109.850000,65.000000,0.000000,0.000000,5.295964
0.020000,121.990293,82.412574,111.150000,65.000000,0.000000,0.000000,5.293842
0.020000,122.703381,81.325603,112.450000,65.000000,0.000000,0.000000,5.292229
0.020000,123.414992,80.237666,113.750000,65.000000,0.000000,0.000000,5.291127
0.020000,124.125681,79.149125,115.050000,65.000000,0.000000,0.000000,5.290534
0.020000,124.836002,78.060343,116.350000,65.000000,0.000000,0.000000,5.290450
0.020000,125.546509,76.971684,117.650000,65.000000,0.000000,0.000000,5.290877
0.020000,126.257758,75.883509,118.950000,65.000000,0.000000,0.000000,5.291812
0.020000,126.970302,74.796182,120.250000,65.000000,0.000000,0.000000,5.293258
0.020000,127.684694,73.710068,121.550000,65.000000,0.000000,0.000000,5.295213
0.020000,128.401485,72.625535,122.850000,65.000000,0.000000,0.000000,5.297679
0.020000,129.120493,71.544051,124.148685,64.868464,-6.576807,-328.840357,5.300650
0.020000,129.840665,70.468345,125.443209,64.583987,-14.223866,-382.352941,5.304119
0.020000,130.560785,69.401302,126.730515,64.146568,-21.870925,-382.352941,5.308069
0.020000,131.269662,68.366501,128.007542,63.556208,-29.517984,-382.352941,5.321136
0.020000,132.001755,67.336496,129.271234,62.812908,-37.165042,-382.352941,5.339517
0.020000,132.742921,66.333313,130.518529,61.916665,-44.812101,-382.352941,5.357907
0.020000,133.490534,65.359338,131.746371,60.867482,-52.459160,-382.352941,5.376236
0.020000,134.241780,64.416785,132.951699,59.665358,-60.106219,-382.352941,5.394432
0.020000,134.993659,63.507684,134.131456,58.310292,-67.753278,-382.352941,5.412422
0.020000,135.743010,62.633883,135.282582,56.802286,-75.400337,-382.352941,5.430132
0.020000,136.486520,61.797044,136.402018,55.141338,-83.047395,-382.352941,5.447488
0.020000,137.220747,60.998651,137.486706,53.327449,-90.694454,-382.352941,5.464417
0.020000,137.942136,60.240013,138.533586,51.360618,-98.341513,-382.352941,5.480847
0.020000,138.647046,59.522276,139.539601,49.240847,-105.988572,-382.352941,5.496706
0.020000,139.331765,58.846436,140.501691,46.968134,-113.635631,-382.352941,5.511928
0.020000,139.992533,58.213356,141.416797,44.542481,-121.282689,-382.352941,5.526445
0.020000,140.625563,57.623784,142.281861,41.963886,-128.929748,-382.352941,5.540195
0.020000,141.228044,57.077498,143.095138,39.363886,-130.000000,-53.512584,5.553138
0.020000,141.798368,56.573249,143.856416,36.763886,-130.000000,0.000000,5.565261
0.020000,142.335201,56.109698,144.565694,34.163886,-130.000000,-0.000000,5.576559
0.020000,142.837322,55.685570,145.222971,31.563886,-130.000000,0.000000,5.587026
0.020000,143.303621,55.299664,145.828249,28.963886,-130.000000,0.000000,5.596660
0.020000,143.733093,54.950854,146.381527,26.363886,-130.000000,0.000000,5.605459
0.020000,144.124836,54.638100,146.882805,23.763886,-130.000000,-0.000000,5.613424
0.020000,144.478048,54.360448,147.332082,21.163886,-130.000000,0.000000,5.620556
0.020000,144.793063,54.116231,147.730675,18.695422,-123.423193,328.840357,5.626876
0.020000,145.071540,53.902976,148.081429,16.379899,-115.776134,382.352941,5.632432
0.020000,145.315428,53.718212,148.387401,14.217318,-108.129075,382.352941,5.637274
0.020000,145.526777,53.559595,148.651651,12.207677,-100.482016,382.352941,5.641451
