dt,x,y,position,velocity,acceleration,jerk,heading
0.02,25.99732539,105.0000002,0,0.07605,12.0475,391.625,6.283007
0.02,25.99884639,105,0.001521,0.317,19.88,395.2499999,6.283007
0.02,26.00518639,104.9999989,0.007861,0.7146,27.785,395.8259615,6.283024
0.02,26.01947839,104.9999972,0.022153,1.2703,35.70151923,396.2230761,6.283064
0.02,26.04488439,104.9999959,0.047559,1.984330385,43.62598075,395.8259607,6.283135
0.02,26.084571,104.9999982,0.087245608,2.85685,51.54249996,391.4999984,0.00006
0.02,26.141708,105.0000104,0.144382608,3.887699999,59.37249993,397.2499971,0.000218
0.02,26.21946199,105.0000437,0.222136608,5.075149997,67.31749987,387.8749962,0.000432
0.02,26.32096497,105.000115,0.323639608,6.421499995,75.0749998,387.7499948,0.000708
0.02,26.4493949,105.0002496,0.452069608,7.922999991,82.82999969,389.7499927,0.001055
0.02,26.60785472,105.0004823,0.610529607,9.579599985,90.62499955,380.2499924,0.001477
0.02,26.79944635,105.0008594,0.802121607,11.39209998,98.2299994,380.4999913,0.001978
0.02,27.02728761,105.0014408,1.029963607,13.35669996,105.8399992,374.4999921,0.002563
0.02,27.29442023,105.0023008,1.297097606,15.47349995,113.3299991,367.2499952,0.003232
0.02,27.60388778,105.0035298,1.606567605,17.74009993,120.674999,367.2499969,0.003985
0.02,27.95868569,105.0052343,1.961369603,20.15359991,128.0199989,158.3750084,0.004819
0.02,28.36175111,105.0075365,2.364441602,22.71399989,131.1874991,-37.74998407,0.005727
0.02,28.81602095,105.010574,2.818721599,25.33774987,130.4324994,-46.62497548,0.006702
0.02,29.32276088,105.0144817,3.325476597,27.94639986,129.4999999,-43.3749766,0.007727
0.02,29.8816674,105.0193818,3.884404594,30.53639985,128.6325004,-57.87497153,0.008782
0.02,30.4923659,105.0253841,4.495132591,33.10904986,127.4750009,-50.74998262,0.009842
0.02,31.15450777,105.032583,5.157313588,35.65854988,126.4600013,-63.74998817,0.010884
0.02,31.86762855,105.0410457,5.870484586,38.1877499,125.1850015,-63.62500319,0.011877
0.02,32.63132112,105.0508106,6.634239584,40.69144994,123.9125014,-69.62501662,0.012794
0.02,33.44507492,105.0618743,7.448068582,43.16969996,122.5200011,-71.00002638,0.013601
0.02,34.30838113,105.074186,8.311462582,45.62009999,121.1000006,-77.12502345,0.014264
0.02,35.22068396,105.0876381,9.223864581,48.0421,119.5575001,-84.12499703,0.014746
0.02,36.18141774,105.1020583,10.18470658,50.43325,117.8750002,-270.8749309,0.015009
0.02,37.18996909,105.1171998,11.19337158,52.79075,112.4575016,-460.999808,0.015012
0.02,38.24566987,105.1327296,12.24918658,55.03990003,103.2375054,-460.999609,0.01471
0.02,39.34635911,105.1482031,13.34998458,57.10465014,94.01751322,-455.1243223,0.01406
0.02,40.48835543,105.1630635,14.49207759,58.98500041,84.91502677,-446.1239499,0.013019
0.02,41.66797703,105.1766653,15.67177759,60.68330094,75.99254777,-447.7484448,0.011544
0.02,42.88158745,105.1882818,16.88544361,62.2031519,67.03757888,-436.6228721,0.009595
0.02,44.12561913,105.1971153,18.12950665,63.54390348,58.30512143,-437.0730961,0.007137
0.02,45.39648662,105.2023015,19.40038472,64.7100059,49.56365951,-420.46952,0.004134
0.02,46.69068658,105.202925,20.69458484,65.70127909,41.15426911,-424.071455,0.000556
0.02,48.00470304,105.1980274,22.00861042,66.52436448,32.67284001,-408.369729,6.279558
0.02,49.33514149,105.1866283,23.33909771,67.17782128,24.50544543,-400.8689012,6.274748
0.02,50.67856505,105.1677335,24.68265413,67.66793019,16.48806741,-395.4930643,6.269288
0.02,52.03164673,105.1403566,26.03601274,67.99769153,8.578206124,-382.1175429,6.263163
0.02,53.391102,105.1035358,27.39596657,68.16925566,0.935855267,-372.7421321,6.256362
0.02,54.75367032,105.0563496,28.75935168,68.18797276,-6.518987376,-363.4919585,6.248877
0.02,56.11617822,104.9979367,30.12311114,68.05759301,-13.78882655,-350.367286,6.240707
0.02,57.4755071,104.9275136,31.484263,67.78181648,-20.79617227,-169.4916177,6.231856
0.02,58.8285927,104.844392,32.83989933,67.36589304,-24.18600462,3.759830243,6.222333
0.02,60.17245771,104.7479956,34.18721719,66.88217295,-24.11080802,9.384986537,6.212154
0.02,61.50555024,104.6377489,35.52486065,66.39995678,-23.92310828,9.38545352,6.20133
0.02,62.8276785,104.5130149,36.85285978,65.92149462,-23.73539921,15.01032303,6.189863
0.02,64.13867195,104.3731809,38.17128967,65.44678663,-23.43519275,18.76015146,6.177758
0.02,65.43833593,104.2176615,39.48022541,64.97808278,-23.05998972,20.63501698,6.16502
0.02,66.72649644,104.0458972,40.77978706,64.51688299,-22.64728938,31.88347502,6.151657
0.02,68.00298532,103.8573569,42.07012472,64.0639372,-22.00961988,26.25886445,6.137679
0.02,69.26762544,103.65154,43.35140347,63.6237448,-21.4844426,43.13085941,6.123097
0.02,70.52030614,103.4279703,44.62387836,63.19405595,-20.62182541,39.38054255,6.107928
0.02,71.76084944,103.1862105,45.88775948,62.78161944,-19.83421456,52.50225258,6.092186
0.02,72.98918998,102.9258411,47.14339187,62.38493515,-18.7841695,50.62622854,6.075894
0.02,74.20521258,102.6464828,48.39109057,62.00925176,-17.77164493,61.87256369,6.059073
0.02,75.40888731,102.3477754,49.63127561,61.65381886,-16.53419366,63.74543211,6.041751
0.02,76.60015255,102.0293976,50.86435199,61.32313499,-15.25928502,71.24198771,6.023955
0.02,77.77902015,101.6910458,52.09081469,61.01794929,-13.83444526,73.11465053,6.005718
0.02,78.94550386,101.3324488,53.31117367,60.74126038,-12.37215225,78.73645826,5.987074
0.02,80.09966532,100.9533556,54.52599888,60.49381734,-10.79742309,-1404.003095,5.968061
0.02,81.24157254,100.5535448,55.73587523,60.27786887,-38.877485,-1960.555975,5.948718
0.02,82.37133115,100.1328144,56.9414326,59.50031917,-78.08860449,6346.777036,5.929087
0.02,83.47756627,99.69422685,58.13143899,57.93854708,48.84693623,112.5728605,5.908419
0.02,84.54447321,99.24205467,59.29020993,58.91548581,51.09839345,93.83070218,5.885668
0.02,85.61946321,98.7595505,60.46851964,59.93745368,52.97500749,65.71101963,5.86422
0.02,86.70322833,98.24724932,61.66726872,60.99695383,54.28922788,52.58417906,5.844135
0.02,87.79643054,97.70580654,62.88720779,62.08273839,55.34091146,33.83073562,5.825463
0.02,88.89963636,97.13603159,64.12886256,63.18955661,56.01752617,20.69936067,5.808239
0.02,90.01342989,96.53884485,65.39265369,64.30990714,56.43151339,15.06618314,5.792491
0.02,91.13837189,95.91529762,66.67885184,65.43853741,56.73283705,1.933125883,5.778237
0.02,92.27503892,95.2665535,67.98762259,66.57319415,56.77149957,-1.825859957,5.765488
0.02,93.42407463,94.59386263,69.31908647,67.70862414,56.73498237,-1.834668417,5.754252
0.02,94.58613149,93.89858788,70.67325895,68.84332379,56.698289,-5.592937681,5.74453
0.02,95.76193192,93.18216996,72.05012543,69.97728957,56.58643025,-7.475880031,5.736321
0.02,96.95228941,92.44611462,73.44967122,71.10901817,56.43691265,-3.73340027,5.729624
0.02,98.15807585,91.69200849,74.87185158,72.23775642,56.36224464,-3.740425447,5.724436
0.02,99.38022751,90.92151339,76.31660671,73.36500132,56.28743613,0.002922521,5.720753
0.02,100.6197778,90.13634815,77.78390674,74.49075004,56.28749458,-0.003407351,5.718573
0.02,101.8778243,89.33830821,79.27372174,75.61649993,56.28742644,3.740510714,5.717894
0.02,103.1555478,88.52925649,80.78605174,76.74224846,56.36223665,-11881.84449,5.718716
0.02,104.4541786,87.71114459,82.32089671,77.86949319,-181.2746532,-35510.33496,5.721039
0.02,105.7750147,86.88600501,83.87828657,74.24400013,-891.4813524,46564.5293,5.724865
0.02,107.0336123,86.09809601,85.36316657,56.41437308,39.80923358,13.51495012,5.723857
0.02,107.9722837,85.47205397,86.49145403,57.21055775,40.07953258,-167.0956338,5.699073
0.02,108.9091349,84.81514532,87.63566519,58.0121484,36.73761991,-221.0691588,5.675351
0.02,109.8441211,84.12814862,88.79590816,58.7469008,32.31623673,-265.6757812,5.652794
0.02,110.7762132,83.41282789,89.97084617,59.39322554,27.00272111,-299.792607,5.63151
0.02,111.7042489,82.67136196,91.15871068,59.93327996,21.00686897,-348.2879747,5.611584
0.02,112.6269949,81.90628741,92.35737628,60.35341734,14.04110947,-376.5422377,5.593077
0.02,113.5432085,81.12043335,93.56444463,60.63423953,6.510264719,-408.2989553,5.576032
0.02,114.4515311,80.31696931,94.77712942,60.76444482,-1.655714387,-438.4330194,5.560466
0.02,115.3505975,79.49928552,95.99241832,60.73133053,-10.42437478,-462.6934807,5.546381
0.02,116.2389896,78.6709877,97.20704493,60.52284304,-19.67824439,-483.4540423,5.533762
0.02,117.1152188,77.83586599,98.41750179,60.12927815,-29.34732523,-502.2139165,5.522578
0.02,117.9777315,76.99784225,99.62008735,59.54233165,-39.39160357,-513.3478242,5.512785
0.02,118.8249001,76.16093057,100.810934,58.75449958,-49.65856005,-532.2301619,5.504328
0.02,119.6550039,75.32920695,101.986024,57.76132837,-60.30316329,-537.7363353,5.497142
0.02,120.4662464,74.5067509,103.1412505,56.55526511,-71.05788999,-552.9910081,5.491156
0.02,121.2566825,73.69767123,104.2723558,55.13410731,-82.11771015,-556.3695443,5.486289
0.02,122.0242732,72.9060195,105.375038,53.49175311,-93.24510104,-382.6219824,5.482457
0.02,122.7668084,72.13583218,106.4448731,51.62685108,-100.8975407,-196.3735623,5.479568
0.02,123.4819596,71.39105598,107.4774101,49.60890027,-104.8250119,-174.2494836,5.477528
0.02,124.1682477,70.67451865,108.4695881,47.51240003,-108.3100016,-163.1249392,5.47624
0.02,124.8251035,69.98785151,109.4198361,45.3462,-111.5725004,-153.7501125,5.475605
0.02,125.4519646,69.33244605,110.3267601,43.11474999,-114.6475026,-144.3751286,5.47553
0.02,126.0482255,68.70952904,111.1890551,40.82179994,-117.5350052,-138.8750678,5.475928
0.02,126.6132383,68.12018347,112.0054911,38.47109983,-120.3125066,-123.4999936,5.476717
0.02,127.1463242,67.56535941,112.7749131,36.0648497,-122.7825064,-118.3749233,5.47782
0.02,127.6467616,67.04590609,113.4962101,33.60919957,-125.1500049,-106.7498837,5.479163
0.02,128.1138547,66.56252705,114.1683941,31.10619948,-127.2850026,-99.37486851,5.48068
0.02,128.5468867,66.1158487,114.7905181,28.56049942,-129.2725,-89.99988141,5.482308
0.02,128.9451669,65.70639331,115.361728,25.97504943,-131.0724976,112.1250722,5.48399
0.02,129.3080175,65.33461282,115.881229,23.35359947,-128.8299961,320.8750289,5.485673
0.02,129.6347943,65.00088659,116.348301,20.77699955,-122.4124956,352.2499917,5.487309
0.02,129.9259784,64.70443202,116.763841,18.32874964,-115.3674957,357.8749779,5.488862
0.02,130.1832285,64.44328148,117.130416,16.02139973,-108.2099962,372.7499641,5.490306
0.02,130.4083957,64.21530383,117.450844,13.8571998,-100.7549969,374.7499652,5.491626
0.02,130.6033809,64.01835309,117.727988,11.84209986,-93.25999758,385.9999654,5.49281
0.02,130.7701876,63.85021735,117.96483,9.976899913,-85.53999827,395.2499706,5.493854
0.02,130.9108495,63.70869122,118.164368,8.266099948,-77.63499886,395.2499786,5.494755
0.02,131.027481,63.59152265,118.32969,6.713399971,-69.72999929,399.2499849,5.495516
0.02,131.1222646,63.49642297,118.463958,5.318799985,-61.74499959,406.37499,5.496145
0.02,131.1973969,63.42111694,118.570334,4.083899993,-53.61749979,404.9999944,5.49665
0.02,131.255108,63.36331798,118.652012,3.011549997,-45.5174999,408.1249971,5.497041
0.02,131.2976779,63.3207084,118.712243,2.101199999,-37.35499996,408.6249987,5.497332
0.02,131.3273857,63.29098527,118.754267,1.3541,-29.18249999,410.2499996,5.497536
0.02,131.3465332,63.27183303,118.781349,0.77045,-20.9775,412.2499999,5.497668
0.02,131.3574285,63.26093671,118.796758,0.3509,-12.7325,406.625,5.497743
0.02,131.3623909,63.25597418,118.803776,0.09625,-4.6,219.375,5.497777
0.02,131.3637521,63.25461299,118.805701,0.00425,-0.2125,10.625,5.497787
0.02,131.3638122,63.25455289,118.805786,0,0,0,5.497787
0.02,131.3638122,63.25455289,118.805786,0,0,0,5.497787
