dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,300.000000,0.001529,0.152941,7.647059,382.352941,6.283104
0.020000,0.000000,300.000000,0.007647,0.458824,15.294118,382.352941,6.283106
0.020000,0.000000,300.000000,0.021412,0.917647,22.941176,382.352941,6.283112
0.020000,0.000000,300.000000,0.045882,1.529412,30.588235,382.352941,6.283123
0.020000,0.000000,300.000000,0.084118,2.294118,38.235294,382.352941,6.283139
0.020000,0.000000,300.000000,0.139176,3.211765,45.882353,382.352941,6.283163
0.020000,0.021809,300.000000,0.214118,4.282353,53.529412,382.352941,0.000009
0.020000,0.119691,300.000003,0.312000,5.505882,61.176471,382.352941,0.000050
0.020000,0.243574,300.000012,0.435882,6.882353,68.823529,382.352941,0.000100
0.020000,0.396516,300.000032,0.588824,8.411765,76.470588,382.352941,0.000160
0.020000,0.581575,300.000068,0.773882,10.094118,84.117647,382.352941,0.000231
0.020000,0.801809,300.000128,0.994118,11.929412,91.764706,382.352941,0.000311
0.020000,1.060280,300.000220,1.252588,13.917647,99.411765,382.352941,0.000399
0.020000,1.360045,300.000354,1.552353,16.058824,107.058824,382.352941,0.000496
0.020000,1.704163,300.000543,1.896471,18.352941,114.705882,382.352941,0.000597
0.020000,2.095692,300.000797,2.288000,20.800000,122.352941,382.352941,0.000700
0.020000,2.537692,300.001129,2.730000,23.400000,130.000000,382.352941,0.000801
0.020000,3.031692,300.001549,3.224000,26.000000,130.000000,0.000000,0.000895
0.020000,3.577692,300.002061,3.770000,28.600000,130.000000,0.000000,0.000976
0.020000,4.175692,300.002664,4.368000,31.200000,130.000000,-0.000000,0.001036
0.020000,4.825692,300.003350,5.018000,33.800000,130.000000,0.000000,0.001068
0.020000,5.527692,300.004101,5.720000,36.400000,130.000000,-0.000000,0.001064
0.020000,6.281691,300.004888,6.474000,39.000000,130.000000,0.000000,0.001014
0.020000,7.087691,300.005666,7.280000,41.600000,130.000000,0.000000,0.000909
0.020000,7.945691,300.006378,8.138000,44.200000,130.000000,0.000000,0.000739
0.020000,8.854161,300.006942,9.046471,46.647059,122.352941,-382.352941,0.000492
0.020000,9.810044,300.007259,10.002353,48.941176,114.705882,-382.352941,0.000159
0.020000,10.810280,300.007210,11.002588,51.082353,107.058824,-382.352941,6.282915
0.020000,11.851810,300.006657,12.044118,53.070588,99.411765,-382.352941,6.282379
0.020000,12.931574,300.005444,13.123882,54.905882,91.764706,-382.352941,6.281728
0.020000,14.046513,300.003398,14.238824,56.588235,84.117647,-382.352941,6.280954
0.020000,15.193567,300.000330,15.385882,58.117647,76.470588,-382.352941,6.280048
0.020000,16.369679,299.996037,16.562000,59.494118,68.823529,-382.352941,6.279004
0.020000,17.571785,299.990308,17.764118,60.717647,61.176471,-382.352941,6.277815
0.020000,18.796820,299.982921,18.989176,61.788235,53.529412,-382.352941,6.276475
0.020000,20.041728,299.973651,20.234118,62.705882,45.882353,-382.352941,6.274980
0.020000,21.303440,299.962269,21.495882,63.470588,38.235294,-382.352941,6.273326
0.020000,22.578898,299.948551,22.771412,64.082353,30.588235,-382.352941,6.271511
0.020000,23.865031,299.932280,24.057647,64.541176,22.941176,-382.352941,6.269533
0.020000,25.158771,299.913247,25.351529,64.847059,15.294118,-382.352941,6.267392
0.020000,26.457054,299.891263,26.650000,65.000000,7.647059,-382.352941,6.265088
0.020000,27.756814,299.866154,27.950000,65.000000,0.000000,-382.352941,6.262624
0.020000,29.056505,299.837738,29.250000,65.000000,0.000000,0.000000,6.260000
0.020000,30.356114,299.805807,30.550000,65.000000,0.000000,0.000000,6.257213
0.020000,31.655624,299.770145,31.850000,65.000000,0.000000,0.000000,6.254260
0.020000,32.955020,299.730538,33.150000,65.000000,0.000000,0.000000,6.251138
0.020000,34.254282,299.686763,34.450000,65.000000,0.000000,0.000000,6.247845
0.020000,35.553388,299.638596,35.750000,65.000000,0.000000,0.000000,6.244376
0.020000,36.852314,299.585808,37.050000,65.000000,0.000000,0.000000,6.240729
0.020000,38.151034,299.528164,38.350000,65.000000,0.000000,0.000000,6.236899
0.020000,39.449518,299.465427,39.650000,65.000000,0.000000,0.000000,6.232883
0.020000,40.747733,299.397352,40.950000,65.000000,0.000000,0.000000,6.228676
0.020000,42.045644,299.323690,42.250000,65.000000,0.000000,0.000000,6.224275
0.020000,43.343211,299.244187,43.550000,65.000000,0.000000,0.000000,6.219674
0.020000,44.640390,299.158582,44.850000,65.000000,0.000000,0.000000,6.214868
0.020000,45.937133,299.066610,46.150000,65.000000,0.000000,0.000000,6.209854
0.020000,47.233388,298.967999,47.450000,65.000000,0.000000,0.000000,6.204624
0.020000,48.529098,298.862468,48.750000,65.000000,0.000000,0.000000,6.199175
0.020000,49.824199,298.749733,50.050000,65.000000,0.000000,0.000000,6.193500
0.020000,51.118623,298.629501,51.350000,65.000000,0.000000,0.000000,6.187594
0.020000,52.412296,298.501472,52.650000,65.000000,0.000000,0.000000,6.181449
0.020000,53.705149,298.365339,53.950000,65.000000,0.000000,0.000000,6.175060
0.020000,54.997090,298.220787,55.250000,65.000000,0.000000,0.000000,6.168420
0.020000,56.288018,298.067495,56.550000,65.000000,0.000000,0.000000,6.161522
0.020000,57.577828,297.905132,57.850000,65.000000,0.000000,0.000000,6.154359
0.020000,58.866434,297.733357,59.150000,65.000000,0.000000,0.000000,6.146923
