dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001083,286.750000,0.001521,0.152130,7.606491,380.324544,6.283104
0.020000,-0.001048,286.750000,0.001556,0.001758,-7.518574,-756.253227,6.283106
0.020000,-0.000969,286.750000,0.001635,0.003949,0.109525,381.404950,6.283112
0.020000,-0.000829,286.750000,0.001775,0.006995,0.152297,2.138608,6.283123
0.020000,-0.000612,286.750000,0.001993,0.010864,0.193477,2.058991,6.283139
0.020000,-0.000302,286.750000,0.002303,0.015505,0.232050,1.928639,6.283163
0.020000,0.020789,286.750000,0.023393,1.054517,51.950606,2585.927783,0.000009
0.020000,0.118686,286.750003,0.121291,4.894879,192.018054,7003.372403,0.000049
0.020000,0.242574,286.750012,0.245179,6.194396,64.975887,-6352.108339,0.000099
0.020000,0.395500,286.750032,0.398104,7.646274,72.593896,380.900442,0.000159
0.020000,0.580505,286.750068,0.583109,9.250259,80.199257,380.268041,0.000229
0.020000,0.800627,286.750127,0.803232,11.006114,87.792742,379.674257,0.000309
0.020000,1.058898,286.750218,1.061503,12.913550,95.371816,378.953692,0.000397
0.020000,1.358342,286.750352,1.360947,14.972209,102.932917,378.055054,0.000493
0.020000,1.701970,286.750539,1.704575,17.181410,110.460052,376.356749,0.000594
0.020000,2.092788,286.750791,2.095392,19.540869,117.972947,375.644746,0.000697
0.020000,2.533785,286.751122,2.536389,22.049855,125.449301,373.817699,0.000798
0.020000,3.026413,286.751539,3.029018,24.631447,129.079625,181.516211,0.000892
0.020000,3.570591,286.752048,3.573197,27.208922,128.873745,-10.294004,0.000974
0.020000,4.166227,286.752647,4.168833,29.781798,128.643811,-11.496711,0.001035
0.020000,4.813220,286.753329,4.815826,32.349650,128.392602,-12.560418,0.001068
0.020000,5.511460,286.754076,5.514066,34.912032,128.119057,-13.677282,0.001065
0.020000,6.260830,286.754859,6.263437,37.468517,127.824275,-14.739070,0.001018
0.020000,7.061202,286.755637,7.063810,40.018644,127.506326,-15.897458,0.000916
0.020000,7.912441,286.756349,7.915048,42.561940,127.164841,-17.074234,0.000749
0.020000,8.814401,286.756921,8.817009,45.098022,126.804091,-18.037509,0.000506
0.020000,9.766927,286.757252,9.769535,47.626301,126.413954,-19.506837,0.000177
0.020000,10.769853,286.757220,10.772461,50.146289,125.999367,-20.729366,6.282932
0.020000,11.823007,286.756676,11.825615,52.657701,125.570634,-21.436643,6.282389
0.020000,12.924690,286.755440,12.927298,55.084184,121.324138,-212.324817,6.281720
0.020000,14.071700,286.753308,14.074310,57.350583,113.319921,-400.210826,6.280913
0.020000,15.260836,286.750048,15.263451,59.457027,105.322227,-399.884724,6.279956
0.020000,16.488901,286.745409,16.491525,61.403702,97.333770,-399.422850,6.278837
0.020000,17.752713,286.739112,17.755353,63.191412,89.385480,-397.414510,6.277546
0.020000,19.049088,286.730862,19.051753,64.820015,81.430158,-397.766107,6.276072
0.020000,20.374850,286.720345,20.377557,66.290206,73.509517,-396.032031,6.274407
0.020000,21.726835,286.707234,21.729606,67.602428,65.611130,-394.919368,6.272541
0.020000,23.101891,286.691191,23.104756,68.757494,57.753280,-392.892464,6.270466
0.020000,24.496869,286.671871,24.499868,69.755599,49.905266,-392.400720,6.268176
0.020000,25.908633,286.648929,25.911818,70.597517,42.095908,-390.467882,6.265664
0.020000,27.334054,286.622023,27.337492,71.283723,34.310264,-389.282226,6.262925
0.020000,28.770031,286.590819,28.773808,71.815797,26.603701,-385.328145,6.259956
0.020000,30.213453,286.554996,30.217675,72.193337,18.877012,-386.334427,6.256752
0.020000,31.661235,286.514255,31.666030,72.417738,11.220054,-382.847894,6.253314
0.020000,33.110304,286.468320,33.115827,72.489855,3.605873,-380.709057,6.249640
0.020000,34.557605,286.416949,34.564039,72.410606,-3.962473,-378.417328,6.245731
0.020000,36.001561,286.359875,36.009123,72.254177,-7.821456,-192.949119,6.241587
0.020000,37.442060,286.296783,37.451003,72.094005,-8.008610,-9.357696,6.237200
0.020000,38.878980,286.227354,38.889600,71.929849,-8.207782,-9.958603,6.232566
0.020000,40.312191,286.151264,40.324829,71.761461,-8.419392,-10.580516,6.227678
0.020000,41.741550,286.068184,41.756601,71.588584,-8.643867,-11.223738,6.222529
0.020000,43.166905,285.977779,43.184820,71.410951,-8.881632,-11.888284,6.217112
0.020000,44.588096,285.879711,44.609389,71.228489,-9.123120,-12.074374,6.211419
