dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.00224332,311.2499998,0,0.07355,10.861875,364.4375,6.283016
0.02,0.00371432,311.2499996,0.001471,0.2907875,18.150625,364.4375,6.283016
0.02,0.00953007,311.2499986,0.00728675,0.6538,25.439375,360.75,6.283021
0.02,0.02260607,311.2499966,0.02036275,1.1625875,32.654375,368,6.283033
0.02,0.04585782,311.2499936,0.0436145,1.815675,40.014375,358.4599838,6.283054
0.02,0.082171319,311.24999,0.079928,2.6159625,47.18357468,369.0175324,6.283088
0.02,0.134490569,311.2499874,0.13224725,3.559633994,54.56392533,360.3662339,6.283135
0.02,0.205683249,311.2499885,0.20343993,4.6509125,61.77125,367.5000001,0.000015
0.02,0.298701499,311.2499977,0.29645818,5.8863375,69.12125,364.6875001,0.000098
0.02,0.416428246,311.2500217,0.41418493,7.2687625,76.41500001,365.5937502,0.000203
0.02,0.561803488,311.2500697,0.55956018,8.7970625,83.72687501,368.0000002,0.00033
0.02,0.737744718,311.2501545,0.73550143,10.4716,91.08687501,365.7187503,0.000481
0.02,0.947176673,311.2502923,0.94493343,12.2933375,98.40125002,372.7187501,0.000657
0.02,1.193043332,311.2505035,1.19080018,14.2613625,105.855625,367.7500002,0.000858
0.02,1.478270414,311.2508133,1.47602743,16.378475,113.210625,374.125,0.001085
0.02,1.805839621,311.2512511,1.80359693,18.6426875,120.693125,192.1562498,0.001335
0.02,2.178692889,311.2518511,2.17645068,21.05655,124.53625,8.281249679,0.001608
0.02,2.599823127,311.2526518,2.59758168,23.547275,124.701875,13.24999936,0.0019
0.02,3.07076748,311.2536913,3.06852718,26.0413125,124.966875,13.24999935,0.002206
0.02,3.591592074,311.255005,3.58935343,28.54065,125.231875,14.90624936,0.002521
0.02,4.162402775,311.2566251,4.16016643,31.0452875,125.53,-170.6250004,0.002837
0.02,4.78330545,311.2585791,4.78107218,33.5558875,122.1175,-347.6250003,0.003146
0.02,5.45441923,311.2608876,5.45218993,35.9982375,115.165,-352.8437498,0.003439
0.02,6.174379028,311.2635577,6.17215468,38.3015375,108.108125,-351.1874995,0.003708
0.02,6.940403828,311.266577,6.93818543,40.4637,101.084375,-352.4687494,0.003941
0.02,7.749670929,311.2699187,7.74745943,42.4853875,94.03499999,-351.4374995,0.004129
0.02,8.599370961,311.2735403,8.59716718,44.3660875,87.00625,-357.3125001,0.004262
0.02,9.486684389,311.2773833,9.48448893,46.1062125,79.86,-353.0937511,0.004331
0.02,10.40880001,311.2813724,10.40661318,47.7034125,72.79812497,-357.5625026,0.004326
0.02,11.36285968,311.2854186,11.36068143,49.159375,65.64687492,-357.5625047,0.004241
0.02,12.34603905,311.2894174,12.34386893,50.4723125,58.49562483,-361.3750069,0.004067
0.02,13.35547802,311.2932518,13.35331518,51.64222499,51.26812469,-357.3125103,0.003798
0.02,14.38831644,311.2967933,14.38615968,52.66758749,44.12187448,-364.6875126,0.003428
0.02,15.4416636,311.2999053,15.43951143,53.55002498,36.82812423,-365.7187651,0.002953
0.02,16.51266109,311.3024426,16.51051193,54.28658746,29.51374893,-362.2725034,0.002367
