dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0,298,0,0.07355,11.0275,367.75,6.283016
0.02,0.001471,297.9999998,0.001471,0.2941,18.3825,367.75,6.283016
0.02,0.007353,297.9999988,0.007353,0.66175,25.7375,367.375,6.283021
0.02,0.020588,297.9999968,0.020588,1.1765,33.085,368,6.283033
0.02,0.044118,297.9999937,0.044118,1.8382,40.445,367.25,6.283054
0.02,0.080881999,297.9999901,0.080882,2.6471,47.79,368,6.283088
0.02,0.133823999,297.9999874,0.133824,3.6029,55.15,367.5,6.283135
0.02,0.205881999,297.9999885,0.205882,4.7059,62.5,367.5,0.000015
0.02,0.299999999,297.9999977,0.3,5.9559,69.85,368,0.000098
0.02,0.419117996,298.0000219,0.419118,7.3529,77.21,367.25,0.000203
0.02,0.566175988,298.0000705,0.566176,8.8971,84.555,368,0.00033
0.02,0.744117968,298.000156,0.744118,10.5882,91.915,367.375,0.000481
0.02,0.955881922,298.0002952,0.955882,12.4265,99.2625,367.75,0.000657
0.02,1.204411831,298.0005084,1.204412,14.41175,106.6175,367.75,0.000858
0.02,1.492646661,298.0008211,1.492647,16.5441,113.9725,367.5,0.001085
0.02,1.823528366,298.0012629,1.823529,18.82355,121.3225,183.875,0.001335
0.02,2.199998879,298.0018682,2.2,21.25,125,-5.32907E-11,0.001608
0.02,2.624998112,298.0026757,2.625,23.75,125,-9.23706E-12,0.0019
0.02,3.099996956,298.0037236,3.1,26.25,125,6.25278E-11,0.002206
0.02,3.624995288,298.0050471,3.625,28.75,125,-5.32907E-11,0.002521
0.02,4.199992974,298.0066784,4.2,31.25,125,-183.875,0.002837
0.02,4.824989881,298.0086446,4.825,33.75,121.3225,-367.5,0.003146
0.02,5.49998589,298.010966,5.5,36.17645,113.9725,-367.75,0.003439
0.02,6.223509916,298.0136488,6.223529,38.4559,106.6175,-367.75,0.003708
0.02,6.992621943,298.0166799,6.992647,40.58825,99.2625,-367.375,0.003941
0.02,7.804380023,298.0200316,7.804412,42.5735,91.915,-368,0.004129
0.02,8.65584229,298.0236606,8.655882,44.4118,84.555,-367.25,0.004262
0.02,9.544069959,298.0275075,9.544118,46.1029,77.21,-368,0.004331
0.02,10.46611933,298.0314963,10.466176,47.6471,69.85,-367.5,0.004326
0.02,11.41905276,298.0355378,11.419118,49.0441,62.5,-367.5,0.004241
0.02,12.39992665,298.039527,12.4,50.2941,55.15,-368,0.004067
0.02,13.40580139,298.0433473,13.405882,51.3971,47.79,-367.25,0.003798
0.02,14.43373736,298.0468711,14.433824,52.3529,40.445,-368,0.003428
0.02,15.48079079,298.0499631,15.480882,53.1618,33.085,-367.375,0.002953
0.02,16.54402381,298.0524797,16.544118,53.8235,25.7375,-367.75,0.002367
0.02,17.62049231,298.0542753,17.620588,54.33825,18.3825,-367.75,0.001668
0.02,18.70725692,298.0552045,18.707353,54.7059,11.0275,-367.5,0.000855
0.02,19.80137491,298.0551221,19.801471,54.92645,3.6775,-183.875,6.28311
0.02,20.89990322,298.0538903,20.9,55,0,-4.44089E-10,6.282064
0.02,21.99990036,298.0513798,22,55,-8.88178E-12,8.88178E-10,6.280903
0.02,23.0998934,298.0474667,23.1,55,8.88178E-12,-8.88178E-10,6.279628
0.02,24.19987993,298.0420225,24.2,55,-8.88178E-12,8.88178E-10,6.278236
0.02,25.299857,298.0349206,25.3,55,8.88178E-12,-4.44089E-10,6.276729
0.02,26.39982107,298.0260302,26.4,55,0,-4.44089E-10,6.275103
0.02,27.49976797,298.0152214,27.5,55,-8.88178E-12,8.88178E-10,6.273359
0.02,28.59969279,298.0023613,28.6,55,8.88178E-12,-8.88178E-10,6.271494
0.02,29.6995899,297.9873167,29.7,55,-8.88178E-12,8.88178E-10,6.269508
0.02,30.79945282,297.9699514,30.8,55,8.88178E-12,-4.44089E-10,6.267398
