dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.002247,284.750000,0.001471,0.147059,7.352941,367.647059,6.283016
0.020000,-0.002176,284.750000,0.001542,0.003547,-7.175593,-726.426727,6.283021
0.020000,-0.002017,284.750000,0.001701,0.007973,0.221296,369.844466,6.283033
0.020000,-0.001734,284.750000,0.001984,0.014147,0.308727,4.371556,6.283054
0.020000,-0.001293,284.750000,0.002425,0.022037,0.394490,4.288164,6.283088
0.020000,-0.000661,284.750000,0.003056,0.031588,0.477523,4.151649,6.283135
0.020000,0.016505,284.750000,0.020223,0.858331,41.337164,2042.982029,0.000015
0.020000,0.111727,284.750005,0.115445,4.761106,195.138750,7690.079329,0.000098
0.020000,0.232230,284.750024,0.235948,6.025147,63.202055,-6596.834756,0.000203
0.020000,0.380976,284.750063,0.384694,7.437274,70.606346,370.214533,0.000330
0.020000,0.560919,284.750136,0.564637,8.997191,77.995850,369.475221,0.000481
0.020000,0.775018,284.750258,0.778736,10.704911,85.385989,369.506916,0.000657
0.020000,1.026213,284.750449,1.029931,12.559773,92.743113,367.856215,0.000858
0.020000,1.317448,284.750732,1.321167,14.561777,100.100222,367.855453,0.001085
0.020000,1.651647,284.751136,1.655365,16.709922,107.407250,365.351378,0.001335
0.020000,2.031728,284.751696,2.035447,19.004092,114.708475,365.061283,0.001608
0.020000,2.460597,284.752448,2.464316,21.443474,121.969116,363.032037,0.001900
0.020000,2.939658,284.753433,2.943379,23.953114,125.481963,175.642355,0.002206
0.020000,3.468829,284.754685,3.472551,26.458602,125.274423,-10.377033,0.002521
0.020000,4.048011,284.756237,4.051735,28.959198,125.029800,-12.231143,0.002837
0.020000,4.677100,284.758121,4.680827,31.454631,124.771642,-12.907888,0.003146
0.020000,5.355988,284.760359,5.359719,33.944564,124.496647,-13.749745,0.003439
0.020000,6.083071,284.762960,6.086806,36.354383,120.490946,-200.285048,0.003708
0.020000,6.855275,284.765916,6.859015,38.610461,112.803919,-384.351361,0.003941
0.020000,7.669524,284.769206,7.673271,40.712784,105.116120,-384.389931,0.004129
0.020000,8.522748,284.772790,8.526503,42.661603,97.440993,-383.756352,0.004262
0.020000,9.411886,284.776616,9.415649,44.457281,89.783904,-382.854483,0.004331
0.020000,10.333879,284.780612,10.337651,46.100105,82.141198,-382.135280,0.004326
0.020000,11.285681,284.784696,11.289461,47.590519,74.520687,-381.025520,0.004241
0.020000,12.264252,284.788768,12.268041,48.928989,66.923500,-379.859390,0.004067
0.020000,13.266564,284.792718,13.270361,50.115989,59.350012,-378.674380,0.003798
0.020000,14.289597,284.796423,14.293401,51.152010,51.801054,-377.447916,0.003428
0.020000,15.330349,284.799752,15.334158,52.037861,44.292504,-375.427491,0.002953
0.020000,16.385820,284.802568,16.389633,52.773744,36.794169,-374.916744,0.002367
0.020000,17.453033,284.804731,17.456848,53.360742,29.349919,-372.212521,0.001668
0.020000,18.529016,284.806099,18.532832,53.799195,21.922623,-371.364778,0.000855
0.020000,19.610813,284.806530,19.614629,54.089838,14.532169,-369.522696,6.283110
0.020000,20.695481,284.805892,20.699297,54.233436,7.179885,-367.614184,6.282064
0.020000,21.780098,284.804057,21.783915,54.230889,-0.127319,-365.360221,6.280903
0.020000,22.863193,284.800905,22.867015,54.155012,-3.793884,-183.328247,6.279628
0.020000,23.944752,284.796315,23.948584,54.078424,-3.829370,-1.774331,6.278236
0.020000,25.024757,284.790167,25.028607,54.001129,-3.864748,-1.768875,6.276729
0.020000,26.103190,284.782338,26.107068,53.923068,-3.903048,-1.915000,6.275103
0.020000,27.180031,284.772706,27.183952,53.844209,-3.942984,-1.996798,6.273359
0.020000,28.255263,284.761149,28.259247,53.764723,-3.974307,-1.566138,6.271494
0.020000,29.328858,284.747541,29.332927,53.684023,-4.035002,-3.034741,6.269508
0.020000,30.400788,284.731759,30.404973,53.602309,-4.085701,-2.534952,6.267398
0.020000,31.471025,284.713676,31.475363,53.519516,-4.139605,-2.695238,6.265163
0.020000,32.539540,284.693167,32.544075,53.435581,-4.196785,-2.858977,6.262802
0.020000,33.606299,284.670103,33.611084,53.350435,-4.257313,-3.026408,6.260312
0.020000,34.671268,284.644355,34.676364,53.264009,-4.321268,-3.197764,6.257692
0.020000,35.734411,284.615794,35.739890,53.176302,-4.385369,-3.205020,6.254939
0.020000,36.795689,284.584288,36.801636,53.087277,-4.451247,-3.293926,6.252052
0.020000,37.855056,284.549705,37.861567,52.996570,-4.535359,-4.205588,6.249028
0.020000,38.912466,284.511910,38.919653,52.904287,-4.614151,-3.939590,6.245864
0.020000,39.967872,284.470769,39.975860,52.810350,-4.696828,-4.133844,6.242559
