dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.334386,280.503195,0.008547,0.854701,42.735043,2136.752137,0.019109
0.020000,15.334257,280.503193,0.008676,0.006451,-42.412468,-4257.375547,0.019102
0.020000,15.408600,280.504612,0.083032,3.717822,185.568531,11399.049944,0.019085
0.020000,15.536283,280.507047,0.210739,6.385316,133.374692,-2609.691911,0.019056
0.020000,15.715019,280.510450,0.389507,8.938424,127.655416,-285.963831,0.019015
0.020000,15.944788,280.514814,0.619318,11.490515,127.604512,-2.545171,0.018960
0.020000,16.225564,280.520128,0.900143,14.041296,127.539063,-3.272485,0.018890
0.020000,16.557314,280.526381,1.231953,16.590477,127.459073,-3.999483,0.018803
0.020000,16.940002,280.533558,1.614708,19.137768,127.364527,-4.727309,0.018697
0.020000,17.373585,280.541638,2.048366,21.682877,127.255443,-5.454211,0.018569
0.020000,17.858012,280.550598,2.532876,24.225513,127.131799,-6.182177,0.018417
0.020000,18.393230,280.560408,3.068184,26.765385,126.993610,-6.909463,0.018236
0.020000,18.979178,280.571034,3.654228,29.302202,126.840864,-7.637274,0.018025
0.020000,19.615789,280.582432,4.290941,31.835673,126.673559,-8.365264,0.017778
0.020000,20.302992,280.594554,4.978252,34.365507,126.491691,-9.093384,0.017493
0.020000,21.040710,280.607340,5.716080,36.891413,126.295271,-9.821017,0.017164
0.020000,21.828858,280.620722,6.504342,39.413098,126.084257,-10.550678,0.016786
0.020000,22.667348,280.634619,7.342947,41.930271,125.858685,-11.278611,0.016355
0.020000,23.556086,280.648940,8.231800,44.442642,125.618535,-12.007529,0.015864
0.020000,24.494970,280.663578,9.170798,46.949918,125.363791,-12.737188,0.015309
0.020000,25.483895,280.678412,10.159834,49.451807,125.094464,-13.466340,0.014682
0.020000,26.522749,280.693304,11.198795,51.948018,124.810535,-14.196456,0.013978
0.020000,27.611413,280.708098,12.287560,54.438258,124.512015,-14.925992,0.013190
0.020000,28.749765,280.722618,13.426005,56.922236,124.198911,-15.655228,0.012310
0.020000,29.937675,280.736666,14.613998,59.399660,123.871201,-16.385469,0.011330
0.020000,31.175008,280.750021,15.851403,61.870239,123.528913,-17.114418,0.010244
0.020000,32.461622,280.762437,17.138076,64.333680,123.172061,-17.842611,0.009043
0.020000,33.797369,280.773642,18.473870,66.789693,122.800663,-18.569883,0.007719
0.020000,35.182095,280.783331,19.858630,69.237988,122.414759,-19.295222,0.006262
0.020000,36.615639,280.791173,21.292195,71.678276,122.014405,-20.017692,0.004663
0.020000,38.097833,280.796801,22.774401,74.110269,121.599646,-20.737948,0.002914
0.020000,39.628504,280.799813,24.305074,76.533681,121.170606,-21.451980,0.001004
0.020000,41.207469,280.799769,25.884039,78.948229,120.727384,-22.161131,6.282108
0.020000,42.834537,280.796192,27.511112,81.353632,120.270141,-22.862109,6.279845
0.020000,44.509512,280.788560,29.186104,83.749614,119.799079,-23.553129,6.277391
0.020000,46.232187,280.776308,30.908822,86.135902,119.314430,-24.232423,6.274733
0.020000,48.002345,280.758824,32.679067,88.512233,118.816542,-24.894392,6.271861
0.020000,49.819762,280.735448,34.496634,90.878348,118.305747,-25.539757,6.268762
0.020000,51.684201,280.705468,36.361314,93.233999,117.782574,-26.158681,6.265425
0.020000,53.587147,280.668295,38.264624,95.165497,96.574859,-1060.385716,6.261853
0.020000,55.511875,280.623615,40.189870,96.262309,54.840641,-2086.710915,6.258070
0.020000,57.441755,280.571334,42.120457,96.529374,13.353207,-2074.371703,6.254104
0.020000,59.368487,280.511328,44.048123,96.383306,-7.303388,-1032.829768,6.249971
0.020000,60.845509,280.444528,45.526655,73.926599,-1122.835345,-55776.597824,6.224934
0.020000,62.339226,280.336247,47.024292,74.881843,47.762193,58529.876909,6.196230
0.020000,63.789929,280.187522,48.482599,72.915334,-98.325424,-7304.380845,6.165280
0.020000,65.192559,279.997999,49.897975,70.768797,-107.326862,-450.071914,6.131876
0.020000,66.541782,279.767776,51.266699,68.436197,-116.630016,-465.157703,6.095808
0.020000,67.832159,279.497496,52.585079,65.919004,-125.859628,-461.480621,6.056863
0.020000,69.058361,279.188421,53.849633,63.227713,-134.564546,-435.245876,6.014843
0.020000,70.215511,278.842461,55.057393,60.388018,-141.984765,-371.010948,5.969578
0.020000,71.299563,278.462124,56.206229,57.441787,-147.311522,-266.337865,5.920946
0.020000,72.307828,278.050333,57.295344,54.455756,-149.301567,-99.502228,5.868903
0.020000,73.239470,277.610084,58.325769,51.521240,-146.725805,128.788067,5.813506
0.020000,74.095940,277.143923,59.300884,48.755722,-138.275880,422.496263,5.754949
0.020000,74.881191,276.653299,60.226805,46.296067,-122.982749,764.656536,5.693582
0.020000,75.598682,276.140068,61.108961,44.107794,-109.413693,678.452819,5.630190
0.020000,76.251826,275.606639,61.952254,42.164675,-97.155939,612.887683,5.566017
0.020000,76.846038,275.054313,62.763520,40.563296,-80.068924,854.350784,5.502432
0.020000,77.389317,274.481584,63.552931,39.470528,-54.638429,1271.524730,5.440515
0.020000,77.890321,273.884540,64.332333,38.970102,-25.021310,1480.855928,5.380955
0.020000,78.355297,273.259970,65.110979,38.932322,-1.889003,1156.615389,5.324283
0.020000,78.788259,272.606078,65.895218,39.211959,13.981885,793.544379,5.270860
0.020000,79.191504,271.922777,66.688632,39.670693,22.936671,447.739323,5.220891
0.020000,79.566194,271.211655,67.492428,40.189796,25.955149,150.923860,5.174445
0.020000,79.912882,270.475721,68.305934,40.675273,24.273849,-84.064961,5.131483
