dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.000000,176.250000,0.001521,0.152130,7.606491,380.324544,0.000000
0.020000,65.000000,176.250000,0.001521,0.000000,-7.606491,-760.649087,0.000000
0.020000,65.000000,176.250000,0.001521,0.000000,0.000000,380.324544,0.000000
0.020000,65.002338,176.250000,0.003859,0.116875,5.843761,292.188026,0.000000
0.020000,65.040370,176.250000,0.041891,1.901623,89.237375,4169.680742,0.000000
0.020000,65.095137,176.250000,0.096658,2.738337,41.835700,-2370.083779,0.000000
0.020000,65.169680,176.250000,0.171202,3.727181,49.442191,380.324544,0.000000
0.020000,65.267043,176.250000,0.268565,4.868154,57.048682,380.324544,0.000000
0.020000,65.390269,176.250000,0.391790,6.161258,64.655172,380.324544,0.000000
0.020000,65.542398,176.250000,0.543920,7.606491,72.261663,380.324544,0.000000
0.020000,65.726475,176.250000,0.727997,9.203854,79.868154,380.324544,0.000000
0.020000,65.945542,176.250000,0.947064,10.953347,87.474645,380.324544,0.000000
0.020000,66.202642,176.250000,1.204163,12.854970,95.081136,380.324544,0.000000
0.020000,66.500816,176.250000,1.502338,14.908722,102.687627,380.324544,0.000000
0.020000,66.843108,176.250000,1.844630,17.114604,110.294118,380.324544,0.000000
0.020000,67.232561,176.250000,2.234082,19.472617,117.900609,380.324544,0.000000
0.020000,67.672216,176.250000,2.673737,21.982759,125.507099,380.324544,0.000000
0.020000,68.163595,176.250000,3.165116,24.568966,129.310345,190.162272,0.000000
0.020000,68.706699,176.250000,3.708220,27.155172,129.310345,0.000000,0.000000
0.020000,69.301526,176.250000,4.303047,29.741379,129.310345,-0.000000,0.000000
0.020000,69.948078,176.250000,4.949599,32.327586,129.310345,0.000000,0.000000
0.020000,70.646354,176.250000,5.647875,34.913793,129.310345,-0.000000,0.000000
0.020000,71.396354,176.250000,6.397875,37.500000,129.310345,-0.000000,0.000000
0.020000,72.198078,176.250000,7.199599,40.086207,129.310345,0.000000,0.000000
0.020000,73.051526,176.250000,8.053047,42.672414,129.310345,-0.000000,0.000000
0.020000,73.956699,176.250000,8.958220,45.258621,129.310345,0.000000,0.000000
0.020000,74.913595,176.250000,9.915116,47.844828,129.310345,0.000000,0.000000
0.020000,75.922216,176.250000,10.923737,50.431034,129.310345,-0.000000,0.000000
0.020000,76.982561,176.250000,11.984082,53.017241,129.310345,0.000000,0.000000
0.020000,78.093108,176.250000,13.094630,55.527383,125.507099,-190.162272,0.000000
0.020000,79.250816,176.250000,14.252338,57.885396,117.900609,-380.324544,0.000000
0.020000,80.452642,176.250000,15.454163,60.091278,110.294118,-380.324544,0.000000
0.020000,81.695542,176.250000,16.697064,62.145030,102.687627,-380.324544,0.000000
0.020000,82.976475,176.250000,17.977997,64.046653,95.081136,-380.324544,0.000000
0.020000,84.292398,176.250000,19.293920,65.796146,87.474645,-380.324544,0.000000
0.020000,85.640269,176.250000,20.641790,67.393509,79.868154,-380.324544,0.000000
0.020000,87.017043,176.250000,22.018565,68.838742,72.261663,-380.324544,0.000000
0.020000,88.419680,176.250000,23.421202,70.131846,64.655172,-380.324544,0.000000
0.020000,89.845137,176.250000,24.846658,71.272819,57.048682,-380.324544,0.000000
