dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.001348,189.750000,0.001521,0.152130,7.606491,380.324544,0.000102
0.020000,26.001164,189.750000,0.001705,0.009179,-7.147550,-737.702044,0.000088
0.020000,26.000751,189.750000,0.002118,0.020660,0.574047,386.079864,0.000057
0.020000,26.000016,189.750000,0.002853,0.036754,0.804704,11.532851,0.000001
0.020000,26.036373,189.749998,0.039210,1.817867,89.055647,4412.547132,6.283100
0.020000,26.089481,189.749991,0.092319,2.655405,41.876914,-2358.936650,6.282975
0.020000,26.161762,189.749969,0.164599,3.614040,47.931743,302.741466,6.282804
0.020000,26.256160,189.749923,0.258998,4.719914,55.293701,368.097873,6.282580
0.020000,26.375618,189.749833,0.378456,5.972892,62.648927,367.761307,6.282296
0.020000,26.523074,189.749676,0.525911,7.372786,69.994652,367.286249,6.281943
0.020000,26.701461,189.749416,0.704298,8.919364,77.328916,366.713191,6.281513
0.020000,26.913707,189.749007,0.916545,10.612344,84.648997,366.004056,6.280999
0.020000,27.162734,189.748387,1.165573,12.451383,91.951984,365.149346,6.280390
0.020000,27.451455,189.747477,1.454295,14.436092,99.235419,364.171767,6.279676
0.020000,27.782772,189.746177,1.785615,16.565985,106.494678,362.962960,6.278848
0.020000,28.159578,189.744363,2.162425,18.840538,113.727630,361.647589,6.277894
0.020000,28.584753,189.741882,2.587608,21.259121,120.929173,360.077169,6.276802
0.020000,29.059693,189.738557,3.062559,23.747541,124.420979,174.590289,6.275562
0.020000,29.584309,189.734193,3.587193,26.231729,124.209378,-10.580048,6.274168
0.020000,30.158506,189.728570,4.161418,28.711239,123.975534,-11.692211,6.272613
0.020000,30.782178,189.721440,4.785130,31.185621,123.719082,-12.822582,6.270889
0.020000,31.455207,189.712527,5.458219,33.654420,123.439964,-13.955903,6.268988
0.020000,32.177467,189.701521,6.180562,36.117183,123.138128,-15.091837,6.266901
0.020000,32.948819,189.688082,6.952032,38.573453,122.813532,-16.229802,6.264618
0.020000,33.769114,189.671832,7.772487,41.022785,122.466597,-17.346741,6.262128
0.020000,34.638190,189.652357,8.641781,43.464710,122.096229,-18.518408,6.259420
0.020000,35.555874,189.629201,9.559757,45.898785,121.703737,-19.624580,6.256483
0.020000,36.521978,189.601868,10.526248,48.324551,121.288322,-20.770755,6.253303
0.020000,37.536303,189.569813,11.541079,50.741558,120.850333,-21.899435,6.249868
0.020000,38.597181,189.532499,12.602613,53.076699,116.757044,-204.664447,6.246169
0.020000,39.701488,189.489421,13.707761,55.257365,109.033321,-386.186178,6.242202
0.020000,40.846104,189.440067,14.853440,57.283968,101.330151,-385.158457,6.237965
0.020000,42.027912,189.383932,16.036580,59.157003,93.651762,-383.919488,6.233455
0.020000,43.243800,189.320513,17.254121,60.877053,86.002467,-382.464733,6.228670
0.020000,44.490665,189.249326,18.503017,62.444777,78.386201,-380.813318,6.223612
0.020000,45.765411,189.169901,19.780235,63.860903,70.806309,-378.994575,6.218280
0.020000,47.064953,189.081796,21.082759,65.126238,63.266776,-376.976666,6.212676
0.020000,48.386215,188.984600,22.407592,66.241646,55.770378,-374.819879,6.206804
0.020000,49.726138,188.877940,23.751753,67.208050,48.320223,-372.507759,6.200669
0.020000,51.081674,188.761489,25.112282,68.026427,40.918849,-370.068708,6.194276
0.020000,52.449792,188.634970,26.486238,68.697797,33.568502,-367.517324,6.187634
0.020000,53.827480,188.498164,27.870702,69.223218,26.271044,-364.872900,6.180752
