dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.746361,311.247572,0.008547,0.854701,42.735043,2136.752137,0.019144
0.020000,14.771542,311.248052,0.033733,1.259293,20.229615,-1125.271379,0.019009
0.020000,14.852458,311.249578,0.114663,4.046494,139.360034,5956.520920,0.018706
0.020000,14.987265,311.252066,0.249493,6.741495,134.750034,-230.499953,0.018206
0.020000,15.175885,311.255435,0.438143,9.432501,134.550345,-9.984458,0.017515
0.020000,15.418208,311.259574,0.680501,12.117915,134.270698,-13.982372,0.016640
0.020000,15.714092,311.264342,0.976424,14.796136,133.911015,-17.984144,0.015593
0.020000,16.063364,311.269577,1.325735,17.465559,133.471181,-21.991696,0.014387
0.020000,16.465818,311.275095,1.728227,20.124583,132.951164,-26.000849,0.013038
0.020000,16.921215,311.280695,2.183659,22.771599,132.350836,-30.016396,0.011564
0.020000,17.429286,311.286167,2.691759,25.405003,131.670165,-34.033585,0.009985
0.020000,17.989726,311.291293,3.252222,28.023185,130.909103,-38.053060,0.008324
0.020000,18.602200,311.295861,3.864713,30.624538,130.067652,-42.072579,0.006608
0.020000,19.266338,311.299663,4.528862,33.207454,129.145834,-46.090903,0.004863
0.020000,19.981739,311.302510,5.244269,35.770328,128.143706,-50.106394,0.003119
0.020000,20.747968,311.304235,6.010500,38.311555,127.061344,-54.118097,0.001410
0.020000,21.564559,311.304704,6.827090,40.829532,125.898850,-58.124670,6.282957
0.020000,22.431012,311.303827,7.693544,43.322659,124.656319,-62.126595,6.281425
0.020000,23.346795,311.301562,8.609330,45.789335,123.333830,-66.124403,6.280040
0.020000,24.311348,311.297929,9.573890,48.227964,121.931439,-70.119569,6.278844
0.020000,25.324075,311.293020,10.586629,50.636947,120.449146,-74.114631,6.277883
0.020000,26.384352,311.287008,11.646922,53.014685,118.886899,-78.112371,6.277202
0.020000,27.491522,311.280156,12.754114,55.359577,117.244581,-82.115905,6.276853
0.020000,28.644899,311.272833,13.907514,57.670017,115.522028,-86.127654,6.276887
