dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.000000,298.000000,0.008547,0.854701,42.735043,2136.752137,0.019109
0.020000,15.000000,298.000000,0.042735,2.564103,85.470085,2136.752137,0.019104
0.020000,15.062246,298.001189,0.119658,5.128205,128.205128,2136.752137,0.019090
0.020000,15.190427,298.003635,0.247863,7.692308,128.205128,0.000000,0.019068
0.020000,15.369882,298.007054,0.427350,10.256410,128.205128,0.000000,0.019037
0.020000,15.600610,298.011442,0.658120,12.820513,128.205128,0.000000,0.018994
0.020000,15.882610,298.016792,0.940171,15.384615,128.205128,-0.000000,0.018941
0.020000,16.215884,298.023094,1.273504,17.948718,128.205128,0.000000,0.018875
0.020000,16.600431,298.030338,1.658120,20.512821,128.205128,0.000000,0.018796
0.020000,17.036252,298.038511,2.094017,23.076923,128.205128,-0.000000,0.018702
0.020000,17.523347,298.047594,2.581197,25.641026,128.205128,0.000000,0.018590
0.020000,18.061716,298.057569,3.119658,28.205128,128.205128,-0.000000,0.018460
0.020000,18.651360,298.068411,3.709402,30.769231,128.205128,0.000000,0.018308
0.020000,19.292279,298.080091,4.350427,33.333333,128.205128,-0.000000,0.018134
0.020000,19.984474,298.092576,5.042735,35.897436,128.205128,0.000000,0.017933
0.020000,20.727946,298.105825,5.786325,38.461538,128.205128,-0.000000,0.017704
0.020000,21.522695,298.119794,6.581197,41.025641,128.205128,0.000000,0.017442
0.020000,22.368722,298.134428,7.427350,43.589744,128.205128,-0.000000,0.017146
0.020000,23.266028,298.149667,8.324786,46.153846,128.205128,0.000000,0.016812
0.020000,24.214615,298.165440,9.273504,48.717949,128.205128,0.000000,0.016436
0.020000,25.214484,298.181667,10.273504,51.282051,128.205128,0.000000,0.016015
0.020000,26.265635,298.198258,11.324786,53.846154,128.205128,-0.000000,0.015544
0.020000,27.368070,298.215109,12.427350,56.410256,128.205128,0.000000,0.015019
0.020000,28.521791,298.232105,13.581197,58.974359,128.205128,0.000000,0.014436
0.020000,29.726799,298.249116,14.786325,61.538462,128.205128,-0.000000,0.013790
0.020000,30.983096,298.265998,16.042735,64.102564,128.205128,0.000000,0.013077
0.020000,32.290683,298.282590,17.350427,66.666667,128.205128,-0.000000,0.012291
0.020000,33.649562,298.298712,18.709402,69.230769,128.205128,0.000000,0.011428
0.020000,35.059733,298.314165,20.119658,71.794872,128.205128,-0.000000,0.010481
0.020000,36.521199,298.328733,21.581197,74.358974,128.205128,0.000000,0.009445
0.020000,38.033960,298.342174,23.094017,76.923077,128.205128,-0.000000,0.008315
0.020000,39.598016,298.354224,24.658120,79.487179,128.205128,0.000000,0.007083
0.020000,41.213367,298.364595,26.273504,82.051282,128.205128,0.000000,0.005745
0.020000,42.880013,298.372971,27.940171,84.615385,128.205128,-0.000000,0.004294
0.020000,44.597950,298.379008,29.658120,87.179487,128.205128,0.000000,0.002722
0.020000,46.367178,298.382334,31.427350,89.743590,128.205128,0.000000,0.001024
0.020000,48.187690,298.382543,33.247863,92.307692,128.205128,-0.000000,6.282377
0.020000,50.059482,298.379196,35.119658,94.871795,128.205128,0.000000,6.280403
0.020000,51.982544,298.371821,37.042735,97.435897,128.205128,-0.000000,6.278281
0.020000,53.948320,298.359966,39.008547,99.145299,85.470085,-2136.752137,6.276012
0.020000,55.939703,298.343309,41.000000,100.000000,42.735043,-2136.752137,6.273612
0.020000,57.939585,298.321668,43.000000,100.000000,0.000000,-2136.752137,6.271099
0.020000,59.939406,298.294896,45.000000,100.000000,0.000000,0.000000,6.268482
0.020000,61.939147,298.262788,47.000000,100.000000,0.000000,0.000000,6.265762
0.020000,63.938792,298.225136,49.000000,100.000000,0.000000,0.000000,6.262938
0.020000,65.938321,298.181736,51.000000,100.000000,0.000000,0.000000,6.260011
0.020000,67.937711,298.132381,53.000000,100.000000,0.000000,0.000000,6.256982
0.020000,69.936939,298.076866,55.000000,100.000000,0.000000,0.000000,6.253850
0.020000,71.935981,298.014986,57.000000,100.000000,0.000000,0.000000,6.250615
0.020000,73.745136,297.950063,59.000000,100.000000,0.000000,0.000000,6.242777
0.020000,75.743033,297.858603,61.000000,100.000000,0.000000,0.000000,6.232047
0.020000,77.739824,297.745378,63.000000,100.000000,0.000000,0.000000,6.220981
0.020000,79.735207,297.609718,65.000000,100.000000,0.000000,0.000000,6.209565
0.020000,81.728882,297.450929,67.000000,100.000000,0.000000,0.000000,6.197787
0.020000,83.720512,297.268296,69.000000,100.000000,0.000000,0.000000,6.185630
0.020000,85.709726,297.061077,71.000000,100.000000,0.000000,0.000000,6.173080
0.020000,87.696145,296.828507,73.000000,100.000000,0.000000,0.000000,6.160122
0.020000,89.679332,296.569799,75.000000,100.000000,0.000000,0.000000,6.146740
0.020000,91.658807,296.284145,77.000000,100.000000,0.000000,0.000000,6.132918
