dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.334393,280.503195,0.008547,0.854701,42.735043,2136.752137,0.019109
0.020000,15.334292,280.503193,0.008648,0.005053,-42.482386,-4260.871429,0.019104
0.020000,15.396308,280.504378,0.070676,3.101381,154.816407,9864.939644,0.019090
0.020000,15.524102,280.506816,0.198493,6.390848,164.473321,482.845676,0.019068
0.020000,15.703001,280.510225,0.377424,8.946561,127.785656,-1834.383227,0.019037
0.020000,15.932992,280.514599,0.607457,11.501648,127.754361,-1.564742,0.018994
0.020000,16.214060,280.519931,0.888575,14.055930,127.714123,-2.011896,0.018941
0.020000,16.546185,280.526212,1.220760,16.609229,127.664942,-2.459075,0.018875
0.020000,16.929345,280.533430,1.603987,19.161366,127.606820,-2.906107,0.018796
0.020000,17.363512,280.541571,2.038231,21.712161,127.539755,-3.353222,0.018702
0.020000,17.848656,280.550618,2.523459,24.261436,127.463734,-3.801077,0.018590
0.020000,18.384744,280.560551,3.059639,26.809011,127.378790,-4.247176,0.018460
0.020000,18.971739,280.571344,3.646734,29.354709,127.284875,-4.695734,0.018308
0.020000,19.609600,280.582968,4.284701,31.898349,127.182025,-5.142505,0.018134
0.020000,20.298283,280.595389,4.973496,34.439754,127.070226,-5.589968,0.017933
0.020000,21.037741,280.608568,5.713071,36.978743,126.949474,-6.037594,0.017704
0.020000,21.827922,280.622456,6.503373,39.515139,126.819767,-6.485342,0.017442
0.020000,22.668771,280.637001,7.344349,42.048761,126.681103,-6.933224,0.017146
0.020000,23.560231,280.652140,8.235937,44.579430,126.533478,-7.381251,0.016812
0.020000,24.502240,280.667804,9.178077,47.106969,126.376913,-7.828217,0.016436
0.020000,25.494733,280.683911,10.170700,49.631195,126.211345,-8.278431,0.016015
0.020000,26.537642,280.700372,11.213739,52.151933,126.036857,-8.724375,0.015544
0.020000,27.630894,280.717082,12.307119,54.669000,125.853361,-9.174835,0.015019
0.020000,28.774415,280.733928,13.450763,57.182218,125.660911,-9.622462,0.014436
0.020000,29.968124,280.750780,14.644592,59.691408,125.459489,-10.071137,0.013790
0.020000,31.211939,280.767495,15.888519,62.196390,125.249090,-10.519914,0.013077
0.020000,32.505775,280.783912,17.182459,64.696984,125.029717,-10.968664,0.012291
0.020000,33.849541,280.799854,18.526319,67.193011,124.801374,-11.417151,0.011428
0.020000,35.243143,280.815127,19.920005,69.684293,124.564082,-11.864615,0.010481
0.020000,36.686484,280.829514,21.363418,72.170649,124.317793,-12.314428,0.009445
0.020000,38.179463,280.842779,22.856456,74.651901,124.062610,-12.759146,0.008315
0.020000,39.721975,280.854663,24.399014,77.127870,123.798455,-13.207784,0.007083
0.020000,41.313910,280.864884,25.990981,79.598379,123.525419,-13.651769,0.005745
0.020000,42.955154,280.873132,27.632246,82.063249,123.243510,-14.095461,0.004294
0.020000,44.645589,280.879073,29.322692,84.522304,122.952769,-14.537049,0.002722
0.020000,46.385094,280.882343,31.062200,86.975369,122.653251,-14.975884,0.001024
0.020000,48.173539,280.882548,32.850645,89.422270,122.345027,-15.411200,6.282377
0.020000,50.010793,280.879264,34.687902,91.862833,122.028183,-15.842202,6.280403
0.020000,51.896717,280.872031,36.573839,94.296890,121.702816,-16.268350,6.278281
0.020000,53.822797,280.860416,38.499954,96.305742,100.442610,-1063.010301,6.276012
0.020000,55.772181,280.844111,40.449407,97.472640,58.344907,-2104.885179,6.273612
0.020000,57.728079,280.822946,42.405419,97.800611,16.398562,-2097.317228,6.271099
0.020000,59.682106,280.796788,44.359622,97.710118,-4.524662,-1046.161195,6.268482
0.020000,61.634249,280.765444,46.312016,97.619703,-4.520739,0.196144,6.265762
0.020000,63.584491,280.728723,48.262603,97.529381,-4.516111,0.231404,6.262938
0.020000,65.532815,280.686435,50.211387,97.439166,-4.510739,0.268593,6.260011
0.020000,67.479204,280.638388,52.158368,97.349075,-4.504571,0.308399,6.256982
0.020000,69.423637,280.584395,54.103551,97.259124,-4.497536,0.351739,6.253850
0.020000,71.366093,280.524268,56.046937,97.169333,-4.489569,0.398356,6.250615
0.020000,73.038181,280.464348,57.720099,83.658066,-675.563336,-33553.688330,6.242777
0.020000,74.848498,280.381481,59.532312,90.610657,347.629553,51159.644438,6.232047
0.020000,76.651946,280.279224,61.338656,90.317229,-14.671397,-18115.047493,6.220981
0.020000,78.448023,280.157120,63.138879,90.011139,-15.304520,-31.656134,6.209565
0.020000,80.236222,280.014704,64.932740,89.693036,-15.905123,-30.030170,6.197787
0.020000,82.016000,279.851504,66.719984,89.362225,-16.540554,-31.771554,6.185630
0.020000,83.786779,279.667047,68.500345,89.018035,-17.209511,-33.447830,6.173080
0.020000,85.547974,279.460854,70.273569,88.661193,-17.842122,-31.630572,6.160122
0.020000,87.298945,279.232448,72.039375,88.290296,-18.544817,-35.134730,6.146740
0.020000,89.039018,278.981350,73.797471,87.904798,-19.274910,-36.504669,6.132918
0.020000,90.767495,278.707086,75.547572,87.505082,-19.985795,-35.544227,6.118640
0.020000,92.483675,278.409178,77.289417,87.092250,-20.641609,-32.790723,6.103888
0.020000,94.186775,278.087164,79.022692,86.663725,-21.426255,-39.232287,6.088648
0.020000,95.876006,277.740586,80.747111,86.220929,-22.139772,-35.675866,6.072902
0.020000,97.550558,277.368995,82.462396,85.764249,-22.834013,-34.712070,6.056634
0.020000,99.209596,276.971955,84.168282,85.294300,-23.497469,-33.172785,6.039828
0.020000,100.852218,276.549055,85.864469,84.809381,-24.245916,-37.422337,6.022469
0.020000,102.477572,276.099884,87.550746,84.313847,-24.776735,-26.540937,6.004542
0.020000,104.084718,275.624073,89.226847,83.805033,-25.440675,-33.197023,5.986035
0.020000,105.672743,275.121262,90.892573,83.286314,-25.935961,-24.764308,5.966936
0.020000,107.240722,274.591119,92.547750,82.758840,-26.373706,-21.887248,5.947233
0.020000,108.787722,274.033341,94.192232,82.224128,-26.735577,-18.093534,5.926919
0.020000,110.312808,273.447654,95.825914,81.684095,-27.001665,-13.304419,5.905989
0.020000,111.815057,272.833817,97.448736,81.141080,-27.150778,-7.455622,5.884438
0.020000,113.293602,272.191602,99.060733,80.599871,-27.060419,4.517914,5.862268
0.020000,114.747544,271.520836,100.661943,80.060474,-26.969849,4.528502,5.839482
0.020000,116.176065,270.821355,102.252523,79.529027,-26.572348,19.875075,5.816089
0.020000,117.578381,270.093025,103.832699,79.008781,-26.012297,28.002534,5.792101
0.020000,118.953750,269.335741,105.402769,78.503485,-25.264827,37.373498,5.767536
0.020000,120.301497,268.549416,106.963131,78.018122,-24.268118,49.835444,5.742416
0.020000,121.621013,267.733978,108.514279,77.557416,-23.035294,61.641214,5.716770
0.020000,122.911762,266.889365,110.056811,77.126562,-21.542715,74.628956,5.690631
0.020000,124.173265,266.015534,111.591402,76.729562,-19.849997,84.635902,5.664039
0.020000,125.405125,265.112443,113.118836,76.371687,-17.893775,97.811120,5.637038
0.020000,126.607025,264.180046,114.639995,76.057986,-15.685052,110.436123,5.609679
0.020000,127.778696,263.218314,116.155826,75.791544,-13.322084,118.148430,5.582015
0.020000,128.919951,262.227204,117.667369,75.577140,-10.720180,130.095196,5.554106
0.020000,130.030646,261.206691,119.175709,75.417000,-8.007010,135.658484,5.526014
0.020000,131.110691,260.156747,120.681989,75.313993,-5.150376,142.831685,5.497804
0.020000,132.160035,259.077362,122.187378,75.269431,-2.228082,146.114705,5.469544
0.020000,133.178659,257.968541,123.693060,75.284099,0.733378,148.073027,5.441300
0.020000,134.166566,256.830321,125.200211,75.357577,3.673931,147.027616,5.413140
0.020000,135.123781,255.662767,126.709994,75.489122,6.577241,145.165501,5.385130
0.020000,136.050334,254.465996,128.223520,75.676300,9.358878,139.081861,5.357335
0.020000,136.946269,253.240167,129.741859,75.916994,12.034726,133.792385,5.329814
0.020000,137.811626,251.985511,131.266000,76.207020,14.501292,123.328308,5.302625
0.020000,138.646462,250.702310,132.796868,76.543388,16.818393,115.855078,5.275820
0.020000,139.450830,249.390926,134.335288,76.921021,18.881664,103.163535,5.249446
0.020000,140.224792,248.051794,135.881991,77.335142,20.706059,91.219763,5.223546
0.020000,140.968424,246.685412,137.437622,77.781576,22.321702,80.782142,5.198156
0.020000,141.681816,245.292353,139.002724,78.255068,23.674590,67.644376,5.173307
0.020000,142.365073,243.873254,140.577742,78.750898,24.791515,55.846285,5.149025
0.020000,143.018318,242.428826,142.163018,79.263837,25.646916,42.770004,5.125329
0.020000,143.641707,240.959818,143.758824,79.790301,26.323194,33.813933,5.102234
0.020000,144.235422,239.467025,145.365351,80.326330,26.801463,23.913433,5.079752
0.020000,144.799663,237.951308,146.982684,80.866643,27.015671,10.710390,5.057887
0.020000,145.334672,236.413530,148.610872,81.409428,27.139231,6.178039,5.036643
0.020000,145.840312,234.855887,150.248530,81.882877,23.672442,-173.339449,5.016034
0.020000,146.314585,233.287452,151.887104,81.928680,2.290184,-1069.112938,4.996156
0.020000,146.754598,231.723201,153.512063,81.247993,-34.034389,-1816.228629,4.977153
0.020000,147.158716,230.177366,155.109848,79.889250,-67.937141,-1695.137590,4.959136
0.020000,147.527730,228.657520,156.673851,78.200118,-84.456588,-825.972373,4.942118
0.020000,147.863930,227.165621,158.203162,76.465550,-86.728382,-113.589703,4.926048
0.020000,148.169513,225.703469,159.696905,74.687170,-88.919020,-109.531888,4.910875
0.020000,148.446584,224.272722,161.154233,72.866398,-91.038594,-105.978680,4.896553
0.020000,148.697156,222.874858,162.574377,71.007208,-92.959527,-96.046691,4.883036
0.020000,148.923148,221.511242,163.956593,69.110792,-94.820804,-93.063808,4.870281
0.020000,149.126375,220.183164,165.300130,67.176865,-96.696324,-93.776021,4.858247
0.020000,149.308576,218.891712,166.604373,65.212108,-98.237859,-77.076744,4.846898
0.020000,149.471385,217.637951,167.868660,63.214369,-99.886942,-82.454181,4.836196
0.020000,149.616359,216.422783,169.092445,61.189269,-101.255017,-68.403731,4.826110
0.020000,149.744963,215.247071,170.275170,59.136208,-102.653058,-69.902042,4.816608
0.020000,149.858581,214.111568,171.416343,57.058669,-103.876929,-61.193552,4.807662
0.020000,149.958517,213.016982,172.515482,54.956953,-105.085792,-60.443157,4.799244
0.020000,150.045997,211.963950,173.572141,52.832958,-106.199736,-55.697175,4.791330
0.020000,150.122176,210.952999,174.585958,50.690853,-107.105285,-45.277483,4.783897
0.020000,150.188132,209.984686,175.556515,48.527829,-108.151201,-52.295781,4.776923
0.020000,150.244880,209.059449,176.483490,46.348772,-108.952815,-40.080691,4.770389
0.020000,150.293366,208.177721,177.366551,44.153022,-109.787517,-41.735114,4.764276
0.020000,150.334475,207.339861,178.205419,41.943393,-110.481451,-34.696708,4.758569
0.020000,150.369031,206.546210,178.999822,39.720151,-111.162093,-34.032080,4.753250
0.020000,150.397799,205.797076,179.749507,37.484294,-111.792847,-31.537696,4.748306
