dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,117.499991,255.017925,0.008547,0.854701,42.735043,2136.752137,1.571821
0.020000,117.499999,255.005290,0.021182,0.631739,-11.148105,-2694.157398,1.571099
0.020000,117.500026,255.039427,0.055318,1.706830,53.754540,3245.132257,1.569471
0.020000,117.500242,255.119948,0.135840,4.026099,115.963474,3110.446694,1.566746
0.020000,117.500912,255.232219,0.248113,5.613639,79.376975,-1829.324943,1.562905
0.020000,117.502402,255.375776,0.391678,7.178244,78.230257,-57.335899,1.557922
0.020000,117.505180,255.550012,0.565936,8.712910,76.733317,-74.846983,1.551762
0.020000,117.509817,255.754167,0.770144,10.210373,74.873127,-93.009512,1.544384
0.020000,117.516981,255.987318,1.003405,11.663063,72.634522,-111.930258,1.535735
0.020000,117.527435,256.248371,1.264666,13.063078,70.000765,-131.687850,1.525756
0.020000,117.542031,256.536044,1.552710,14.402168,66.954477,-152.314417,1.514377
0.020000,117.561704,256.848861,1.866145,15.671750,63.479107,-173.768478,1.501519
0.020000,117.587458,257.185136,2.203404,16.862974,59.561182,-195.896260,1.487091
0.020000,117.620359,257.542963,2.562741,17.966846,55.193618,-218.378205,1.470995
0.020000,117.661514,257.920214,2.942230,18.974455,50.380469,-240.657426,1.453120
0.020000,117.712052,258.314535,3.339777,19.877326,45.143519,-261.847501,1.433346
0.020000,117.773105,258.723367,3.753142,20.668254,39.546425,-279.854698,1.411546
0.020000,117.845781,259.143961,4.179969,21.341332,33.653914,-294.625545,1.387586
0.020000,117.931139,259.573441,4.617849,21.894002,27.633465,-301.022452,1.361326
0.020000,118.030178,260.008864,5.064393,22.327240,21.661920,-298.577251,1.332631
0.020000,118.143824,260.447334,5.517351,22.647901,16.033029,-281.444586,1.301373
0.020000,118.272953,260.886153,5.974776,22.871213,11.165591,-243.371876,1.267439
0.020000,118.418439,261.322996,6.435209,23.021642,7.521456,-182.206754,1.230747
0.020000,118.581262,261.756127,6.897932,23.136175,5.726656,-89.739984,1.191256
0.020000,118.762663,262.184620,7.363241,23.265463,6.464427,36.888525,1.148983
0.020000,118.964387,262.608565,7.832732,23.474532,10.453439,199.450614,1.104019
0.020000,119.188960,263.029196,8.309558,23.841327,18.339760,394.316064,1.056543
0.020000,119.440009,263.448900,8.798616,24.452879,30.577576,611.890795,1.006837
0.020000,119.722543,263.871059,9.306596,25.399001,47.306116,836.426970,0.955281
0.020000,120.043117,264.299696,9.841851,26.762730,68.186451,1044.016792,0.902354
0.020000,120.409815,264.738963,10.414060,28.610462,92.386572,1210.006020,0.848609
0.020000,120.831993,265.192540,11.033710,30.982489,118.601373,1310.740075,0.794645
0.020000,121.319784,265.663065,11.711451,33.887071,145.229116,1331.387136,0.741070
0.020000,121.883446,266.151713,12.457435,37.299189,170.605894,1268.838901,0.688464
0.020000,122.532657,266.658008,13.280727,41.164586,193.269823,1133.196460,0.637346
0.020000,123.275890,267.179876,14.188880,45.407649,212.153158,944.166749,0.588147
0.020000,124.119973,267.713918,15.187718,49.941899,226.712489,727.966546,0.541199
0.020000,125.069856,268.255803,16.281298,54.679008,236.855486,507.149851,0.496735
0.020000,126.128610,268.800699,17.472042,59.537223,242.910729,302.762160,0.454892
0.020000,127.292351,269.341365,18.755245,64.160158,231.146725,-588.200196,0.415891
0.020000,128.548884,269.868934,20.118039,68.139679,198.976049,-1608.533827,0.379972
0.020000,129.882634,270.375881,21.544883,71.342207,160.126429,-1942.480993,0.347224
0.020000,131.281610,270.858253,23.024686,73.990137,132.396474,-1386.497738,0.317501
0.020000,132.739376,271.315148,24.552375,76.384462,119.716269,-634.010265,0.290514
0.020000,133.750867,271.595378,25.601967,52.479617,-1195.242230,-65747.924968,0.239806
0.020000,134.722075,271.802913,26.595101,49.656690,-141.146352,52704.793902,0.182279
0.020000,135.764503,271.965434,27.650122,52.751029,154.716937,14793.164450,0.128288
0.020000,136.887962,272.081275,28.779537,56.470769,185.986977,1563.502009,0.078547
0.020000,138.098500,272.148372,29.991934,60.619824,207.452760,1073.289146,0.033546
0.020000,139.398759,272.165152,31.292301,65.018360,219.926810,623.702508,6.276758
0.020000,140.788746,272.131144,32.682704,69.520156,225.089786,258.148821,6.241928
0.020000,142.266763,272.047284,34.163098,74.019682,224.976317,-5.673477,6.212239
0.020000,143.830263,271.915969,35.732103,78.450247,221.528227,-172.404481,6.187613
0.020000,145.476561,271.740965,37.387677,82.778710,216.423170,-255.252851,6.167933
0.020000,147.202505,271.527361,39.126788,86.955583,208.843653,-378.975870,6.153080
0.020000,148.997606,271.282476,40.938515,90.586348,181.538221,-1365.271578,6.142971
0.020000,150.843481,271.016049,42.803518,93.250157,133.190492,-2417.386468,6.137479
0.020000,152.721008,270.738781,44.701408,94.894480,82.216136,-2548.717810,6.136362
0.020000,154.618317,270.460418,46.619029,95.881037,49.327863,-1644.413644,6.139303
0.020000,156.531189,270.189228,48.551028,96.599968,35.946514,-669.067435,6.145997
0.020000,158.455775,269.932954,50.492602,97.078680,23.935644,-600.543484,6.156168
0.020000,160.388352,269.698794,52.439314,97.335589,12.845408,-554.511837,6.169563
0.020000,162.325102,269.493367,54.386928,97.380717,2.256424,-529.449191,6.185941
0.020000,164.261915,269.322666,56.331248,97.216007,-8.235499,-524.596128,6.205061
0.020000,166.194235,269.191993,58.267982,96.836693,-18.965696,-536.509883,6.226679
0.020000,168.116960,269.105858,60.192635,96.232668,-30.201283,-561.779318,6.250537
0.020000,170.024377,269.067877,62.100430,95.389730,-42.146864,-597.279068,6.276362
0.020000,171.910183,269.080647,63.986279,94.292478,-54.862624,-635.787976,0.020680
0.020000,173.767563,269.145636,65.844795,92.925800,-68.333873,-673.562447,0.049551
0.020000,175.589329,269.263097,67.670344,91.277451,-82.417459,-704.179331,0.079469
0.020000,177.368128,269.432021,69.457146,89.340095,-96.867792,-722.516656,0.110103
0.020000,179.096671,269.650141,71.199397,87.112530,-111.378284,-725.524569,0.141122
0.020000,180.767995,269.914013,72.891423,84.601302,-125.561382,-709.154920,0.172202
0.020000,182.375692,270.219137,74.527819,81.819787,-139.075741,-675.717962,0.203032
0.020000,183.914114,270.560147,76.103582,78.788182,-151.580249,-625.225406,0.233329
0.020000,185.378529,270.931030,77.614233,75.532534,-162.782397,-560.107375,0.262834
0.020000,186.765193,271.325356,79.055875,72.082082,-172.522618,-487.011045,0.291326
0.020000,188.071373,271.736509,80.425237,68.468101,-180.699046,-408.821420,0.318618
0.020000,189.295298,272.157895,81.719671,64.721707,-187.319706,-331.032985,0.344559
0.020000,190.436079,272.583113,82.937123,60.872625,-192.454073,-256.718344,0.369030
0.020000,191.493603,273.006102,84.076103,56.948996,-196.181465,-186.369631,0.391948
0.020000,192.468360,273.421215,85.135570,52.973356,-198.782013,-130.027357,0.413252
0.020000,193.361355,273.823310,86.114918,48.967366,-200.299488,-75.873773,0.432908
0.020000,194.173913,274.207742,87.013827,44.945459,-201.095353,-39.793258,0.450897
0.020000,194.907622,274.570402,87.832272,40.922233,-201.161324,-3.298517,0.467219
0.020000,195.564184,274.907684,88.570399,36.906383,-200.792454,18.443481,0.481882
0.020000,196.145317,275.216457,89.228469,32.903506,-200.143891,32.428153,0.494900
0.020000,196.652748,275.494065,89.806875,28.920269,-199.161832,49.102950,0.506296
0.020000,197.088037,275.738231,90.305967,24.954625,-198.282209,43.981161,0.516091
0.020000,197.452659,275.947098,90.726175,21.010385,-197.211972,53.511813,0.524308
0.020000,197.747878,276.119137,91.067865,17.084495,-196.294499,45.873663,0.530968
0.020000,197.974748,276.253142,91.331355,13.174531,-195.498212,39.814361,0.536091
0.020000,198.134121,276.348219,91.516934,9.278940,-194.779562,35.932510,0.539692
0.020000,198.227809,276.404473,91.626213,5.463941,-190.749961,201.480059,0.541810
0.020000,198.268454,276.428963,91.673666,2.372652,-154.564415,1809.277265,0.542728
0.020000,198.278309,276.434909,91.685176,0.575481,-89.858583,3235.291591,0.542951
0.020000,198.278309,276.434909,91.685176,0.000000,-28.774038,3054.227274,0.542951
