dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,83.018364,259.227768,0.008467,0.846722,42.336113,2116.805656,1.326796
0.020000,83.022251,259.243351,0.024528,0.803032,-2.184504,-2226.030850,1.325878
0.020000,83.049084,259.350234,0.134727,5.509976,235.347205,11876.585421,1.323809
0.020000,83.095270,259.532084,0.322351,9.381170,193.559700,-2089.375250,1.320345
0.020000,83.161131,259.786942,0.585581,13.161513,189.017112,-227.129352,1.315464
0.020000,83.247889,260.115062,0.924978,16.969845,190.416604,69.974595,1.309133
0.020000,83.357146,260.516753,1.341262,20.814219,192.218728,90.106186,1.301312
0.020000,83.490908,260.992368,1.835329,24.703336,194.455831,111.855163,1.291950
0.020000,83.651604,261.542251,2.408211,28.644087,197.037558,129.086330,1.280986
0.020000,83.842125,262.166737,3.061113,32.645130,200.052129,150.728568,1.268353
0.020000,84.065854,262.866096,3.795386,36.713651,203.426086,168.697840,1.253973
0.020000,84.326703,263.640477,4.612521,40.856742,207.154554,186.423401,1.237761
0.020000,84.629141,264.489830,5.514114,45.079614,211.143593,199.451940,1.219626
0.020000,84.978224,265.413819,6.501846,49.386608,215.349682,210.304461,1.199471
0.020000,85.379610,266.411703,7.577430,53.779231,219.631135,214.072629,1.177199
0.020000,85.839553,267.482189,8.742544,58.255672,223.822076,209.547079,1.152714
0.020000,86.364872,268.623270,9.998739,62.809743,227.703544,194.073400,1.125926
0.020000,86.962873,269.832023,11.347326,67.429371,230.981387,163.892129,1.096762
0.020000,87.641213,271.104396,12.789227,72.095063,233.284616,115.161440,1.065167
0.020000,88.407701,272.434997,14.324806,76.778945,234.194079,45.473141,1.031122
0.020000,89.270011,273.816892,15.953675,81.443428,233.224180,-48.494940,0.994648
0.020000,90.235315,275.241462,17.674491,86.040835,229.870355,-167.691232,0.955822
0.020000,91.309835,276.698349,19.484772,90.514018,223.659117,-310.561888,0.914786
0.020000,92.498370,278.175556,21.380756,94.799199,214.259084,-470.001664,0.871754
0.020000,93.803816,279.659695,23.357333,98.828854,201.482741,-638.817160,0.827019
0.020000,95.226779,281.136445,25.408092,102.537964,185.455505,-801.361769,0.780947
0.020000,96.765339,282.591171,27.525495,105.870160,166.609804,-942.285082,0.733969
0.020000,98.415037,284.009659,29.701182,108.784324,145.708197,-1045.080362,0.686563
0.020000,100.169107,285.378861,31.926373,111.259564,123.761995,-1097.310063,0.639231
0.020000,102.018941,286.687561,34.192335,113.298095,101.926528,-1091.773360,0.592473
0.020000,103.954711,287.926862,36.490828,114.924632,81.326840,-1029.984429,0.546759
0.020000,105.966054,289.090428,38.814486,116.182913,62.914099,-920.637048,0.502510
0.020000,108.042731,290.174494,41.157088,117.130107,47.359693,-777.720277,0.460083
0.020000,110.175153,291.177667,43.513691,117.830170,35.003110,-617.829158,0.419760
0.020000,112.354757,292.100586,45.880642,118.347549,25.868969,-456.707068,0.381750
0.020000,114.574207,292.945519,48.255483,118.742040,19.724536,-307.221628,0.346193
0.020000,116.827450,293.715954,50.636801,119.065867,16.191349,-176.659332,0.313169
0.020000,119.109649,294.416225,53.024019,119.360947,14.754025,-71.866240,0.282713
0.020000,121.406887,295.048563,55.406697,119.133868,-11.353968,-1305.399632,0.254936
0.020000,123.648486,295.603079,57.715864,115.458359,-183.775429,-8621.073056,0.230550
0.020000,125.832276,296.094042,59.954164,111.914988,-177.168551,330.343896,0.212236
0.020000,127.933419,296.530181,62.100095,107.296559,-230.921446,-2687.644734,0.197589
0.020000,129.935568,296.919002,64.139649,101.977699,-265.942987,-1751.077076,0.186521
0.020000,131.833527,297.269148,66.069636,96.499340,-273.917973,-398.749272,0.178812
0.020000,133.630399,297.589216,67.894792,91.257811,-262.076463,592.075490,0.174190
0.020000,135.329450,297.886255,69.619612,86.241023,-250.839388,561.853744,0.172399
0.020000,136.933988,298.165960,71.248347,81.436724,-240.214948,531.222007,0.173195
0.020000,138.447305,298.432855,72.785020,76.833630,-230.154680,503.013423,0.176349
0.020000,139.872654,298.690457,74.233459,72.421992,-220.581925,478.637746,0.181641
0.020000,141.213241,298.941422,75.597335,68.193794,-211.409902,458.601138,0.188863
0.020000,142.472238,299.187674,76.880189,64.142691,-202.555136,442.738313,0.197811
0.020000,143.652795,299.430522,78.085465,60.263786,-193.945265,430.493517,0.208289
0.020000,144.758053,299.670760,79.216530,56.553266,-185.525969,420.964827,0.220105
0.020000,145.791152,299.908765,80.276691,53.008041,-177.261258,413.235540,0.233069
0.020000,146.755239,300.144574,81.269197,49.625308,-169.136663,406.229736,0.246997
0.020000,147.653457,300.377959,82.197240,46.402158,-161.157513,398.957528,0.261704
0.020000,148.488940,300.608491,83.063945,43.335236,-153.346111,390.570083,0.277014
0.020000,149.264793,300.835597,83.872354,40.420451,-145.739251,380.343027,0.292752
0.020000,149.984072,301.058601,84.625410,37.652778,-138.383604,367.782333,0.308750
0.020000,150.649757,301.276766,85.325933,35.026159,-131.330984,352.630985,0.324847
0.020000,151.264730,301.489321,85.976603,32.533500,-124.632932,334.902586,0.340889
0.020000,151.831747,301.695484,86.579937,30.166709,-118.339537,314.669791,0.356734
0.020000,152.353419,301.894481,87.138275,27.916902,-112.490394,292.457144,0.372246
0.020000,152.832192,302.085551,87.653766,25.774574,-107.116386,268.700393,0.387304
0.020000,153.270334,302.267960,88.128363,23.729806,-102.238396,243.899513,0.401796
0.020000,153.669927,302.441003,88.563814,21.772582,-97.861221,218.858756,0.415622
0.020000,154.032862,302.604004,88.961672,19.892910,-93.983564,193.882809,0.428692
0.020000,154.360841,302.756325,89.323297,18.081211,-90.584985,169.928947,0.440931
0.020000,154.655380,302.897363,89.649862,16.328263,-87.647364,146.881084,0.452269
0.020000,154.917817,303.026552,89.942373,14.625577,-85.134295,125.653439,0.462651
0.020000,155.149319,303.143369,90.201678,12.965248,-83.016466,105.891457,0.472027
0.020000,155.350892,303.247334,90.428483,11.340256,-81.249604,88.343092,0.480357
0.020000,155.523394,303.338014,90.623368,9.744227,-79.801445,72.407929,0.487608
0.020000,155.667544,303.415027,90.786800,8.171606,-78.631075,58.518503,0.493754
0.020000,155.783928,303.478044,90.919150,6.617487,-77.705929,46.257338,0.498772
0.020000,155.873012,303.526793,91.020699,5.077465,-77.001088,35.242026,0.502648
0.020000,155.935146,303.561061,91.091657,3.547912,-76.477672,26.170792,0.505368
0.020000,155.971310,303.581107,91.133005,2.067383,-74.026441,122.561548,0.506958
0.020000,155.986790,303.589712,91.150716,0.885567,-59.090789,746.782592,0.507640
