dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,100.000000,255.000000,0.008467,0.846722,42.336113,2116.805656,1.326796
0.020000,100.000000,255.000000,0.042336,2.540167,84.672226,2116.805656,1.325878
0.020000,100.018017,255.071761,0.118541,5.080334,127.008339,2116.805656,1.323809
0.020000,100.049281,255.194862,0.245549,7.620500,127.008339,0.000000,1.320345
0.020000,100.093770,255.367017,0.423361,10.160667,127.008339,0.000000,1.315464
0.020000,100.152209,255.588036,0.651976,12.700834,127.008339,-0.000000,1.309133
0.020000,100.225543,255.857656,0.931394,15.241001,127.008339,0.000000,1.301312
0.020000,100.314946,256.175547,1.261616,17.781168,127.008339,0.000000,1.291950
0.020000,100.421822,256.541273,1.642641,20.321334,127.008339,-0.000000,1.280986
0.020000,100.547829,256.954305,2.074470,22.861501,127.008339,0.000000,1.268353
0.020000,100.694879,257.413984,2.557101,25.401668,127.008339,0.000000,1.253973
0.020000,100.865158,257.919506,3.090536,27.941835,127.008339,0.000000,1.237761
0.020000,101.061130,258.469887,3.674775,30.482001,127.008339,-0.000000,1.219626
0.020000,101.285554,259.063939,4.309816,33.022168,127.008339,0.000000,1.199471
0.020000,101.541482,259.700229,4.995661,35.562335,127.008339,0.000000,1.177199
0.020000,101.832264,260.377037,5.732310,38.102502,127.008339,-0.000000,1.152714
0.020000,102.161539,261.092313,6.519761,40.642669,127.008339,0.000000,1.125926
0.020000,102.533216,261.843631,7.358016,43.182835,127.008339,0.000000,1.096762
0.020000,102.951438,262.628136,8.247075,45.723002,127.008339,-0.000000,1.065167
0.020000,103.420533,263.442508,9.186937,48.263169,127.008339,0.000000,1.031122
0.020000,103.944940,264.282928,10.177602,50.803336,127.008339,-0.000000,0.994648
0.020000,104.529111,265.145056,11.219070,53.343503,127.008339,0.000000,0.955822
0.020000,105.177393,266.024043,12.311342,55.883669,127.008339,-0.000000,0.914786
0.020000,105.893898,266.914570,13.454417,58.423836,127.008339,0.000000,0.871754
0.020000,106.682350,267.810924,14.648295,60.964003,127.008339,0.000000,0.827019
0.020000,107.545944,268.707118,15.892977,63.504170,127.008339,-0.000000,0.780947
0.020000,108.487224,269.597041,17.188462,66.044336,127.008339,0.000000,0.733969
0.020000,109.507986,270.474650,18.534750,68.584503,127.008339,0.000000,0.686563
0.020000,110.609235,271.334156,19.931842,71.124670,127.008339,-0.000000,0.639231
0.020000,111.791188,272.170220,21.379737,73.664837,127.008339,0.000000,0.592473
0.020000,113.053334,272.978114,22.878436,76.205004,127.008339,0.000000,0.546759
0.020000,114.394530,273.753844,24.427937,78.745170,127.008339,0.000000,0.502510
0.020000,115.813131,274.494224,26.028242,81.285337,127.008339,0.000000,0.460083
0.020000,117.307131,275.196901,27.679351,83.825504,127.008339,-0.000000,0.419760
0.020000,118.874295,275.860339,29.381263,86.365671,127.008339,0.000000,0.381750
0.020000,120.512287,276.483769,31.133978,88.905838,127.008339,-0.000000,0.346193
0.020000,122.218771,277.067120,32.937496,91.446004,127.008339,0.000000,0.313169
0.020000,123.991482,277.610937,34.791818,93.986171,127.008339,0.000000,0.282713
0.020000,125.820098,278.114173,36.688476,95.679616,84.672226,-2116.805656,0.254936
0.020000,127.647465,278.566114,38.609128,96.385653,35.301880,-2468.517325,0.230550
0.020000,129.518590,278.986702,40.526967,95.398246,-49.370346,-4233.611312,0.212236
0.020000,131.368772,279.370684,42.416591,93.564117,-91.706460,-2116.805656,0.197589
