dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,116.981636,250.772232,0.008467,0.846722,42.336113,2116.805656,1.326796
0.020000,116.977749,250.756649,0.024528,0.803032,-2.184504,-2226.030850,1.325878
0.020000,116.986949,250.793288,0.062305,1.888839,54.290357,2823.743064,1.323809
0.020000,117.003293,250.857639,0.128699,3.319701,71.543088,862.636515,1.320345
0.020000,117.026409,250.947093,0.221091,4.619629,64.996372,-327.335782,1.315464
0.020000,117.056529,251.061009,0.338922,5.891527,63.594916,-70.072827,1.309133
0.020000,117.093940,251.198558,0.481467,7.127284,61.787878,-90.351859,1.301312
0.020000,117.138983,251.358725,0.647847,8.318996,59.585572,-110.115319,1.291950
0.020000,117.192041,251.540296,0.837012,9.458229,56.961682,-131.194479,1.280986
0.020000,117.253533,251.741874,1.047760,10.537407,53.958865,-150.140892,1.268353
0.020000,117.323904,251.961872,1.278740,11.548972,50.578266,-169.029915,1.253973
0.020000,117.403613,252.198534,1.528464,12.486239,46.863340,-185.746320,1.237761
0.020000,117.493120,252.449944,1.795332,13.343376,42.856843,-200.324836,1.219626
0.020000,117.592884,252.714059,2.077661,14.116461,38.654274,-210.128445,1.199471
0.020000,117.703354,252.988755,2.373738,14.803853,34.369585,-214.234447,1.177199
0.020000,117.824975,253.271884,2.681884,15.407280,30.171366,-209.910967,1.152714
0.020000,117.958206,253.561356,3.000544,15.933016,26.286802,-194.228200,1.125926
0.020000,118.103559,253.855238,3.328407,16.393156,23.007000,-163.990117,1.096762
0.020000,118.261664,254.151875,3.664548,16.807018,20.693082,-115.695888,1.065167
0.020000,118.433366,254.450019,4.008599,17.202596,19.778921,-45.708060,1.031122
0.020000,118.619869,254.748964,4.360950,17.617531,20.746746,48.391250,0.994648
0.020000,118.822906,255.048650,4.722940,18.099481,24.097475,167.536474,0.955822
0.020000,119.044952,255.349736,5.097048,18.705393,30.295620,309.907251,0.914786
0.020000,119.289427,255.653584,5.487037,19.499454,39.703055,470.371730,0.871754
0.020000,119.560884,255.962154,5.898016,20.548991,52.476836,638.689062,0.827019
0.020000,119.865109,256.277791,6.336400,21.919158,68.508345,801.575454,0.780947
0.020000,120.209109,256.602911,6.809727,23.666373,87.360748,942.620135,0.733969
0.020000,120.600935,256.939640,7.326365,25.831875,108.275107,1045.717967,0.686563
0.020000,121.049362,257.289451,7.895095,28.436525,130.232483,1097.868772,0.639231
0.020000,121.563435,257.652879,8.524659,31.478180,152.082765,1092.514114,0.592473
0.020000,122.151957,258.029367,9.223301,34.932133,172.697644,1030.743967,0.546759
0.020000,122.823005,258.417261,9.998393,38.754594,191.123047,921.270123,0.502510
0.020000,123.583531,258.813953,10.856161,42.888379,206.689248,778.310082,0.460083
0.020000,124.439109,259.216134,11.801551,47.269496,219.055844,618.329777,0.419760
0.020000,125.393834,259.620092,12.838219,51.833423,228.196346,457.025133,0.381750
0.020000,126.450368,260.022020,13.968622,56.520135,234.335614,306.963353,0.346193
0.020000,127.610091,260.418287,15.194178,61.277785,237.882511,177.344854,0.313169
0.020000,128.873315,260.805649,16.515459,66.064054,239.313430,71.545966,0.282713
0.020000,130.233310,261.179783,17.925977,70.525901,223.092354,-811.053818,0.254936
0.020000,131.646445,261.529150,19.381658,72.784079,112.908919,-5509.171736,0.230550
0.020000,133.204905,261.879362,20.978983,79.866226,354.107362,12059.922177,0.212236
0.020000,134.804125,262.211186,22.612265,81.664121,89.894719,-13210.632165,0.197589
0.020000,136.426030,262.526068,24.264454,82.609420,47.264976,-2131.487158,0.186521
0.020000,138.058650,262.827199,25.924613,83.007952,19.926589,-1366.919347,0.178812
0.020000,139.696268,263.118863,27.588001,83.169435,8.074153,-592.621817,0.174190
0.020000,141.333558,263.405091,29.250122,83.106024,-3.170543,-562.234777,0.172399
0.020000,142.965546,263.689587,30.906722,82.830007,-13.800851,-531.515381,0.173195
0.020000,144.587564,263.975676,32.553776,82.352706,-23.865035,-503.209239,0.176349
0.020000,146.195191,264.266258,34.187454,81.683897,-33.440482,-478.772336,0.181641
0.020000,147.784210,264.563779,35.804086,80.831617,-42.614015,-458.676628,0.188863
0.020000,149.350563,264.870206,37.400131,79.802225,-51.469586,-442.778587,0.197811
0.020000,150.890323,265.187008,38.972144,78.600647,-60.078891,-430.465211,0.208289
0.020000,152.399678,265.515152,40.516757,77.230685,-68.498086,-420.959750,0.220105
0.020000,153.874927,265.855093,42.030666,75.695451,-76.761716,-413.181534,0.233069
0.020000,155.312488,266.206785,43.510622,73.997755,-84.884818,-406.155065,0.246997
0.020000,156.708911,266.569694,44.953432,72.140499,-92.862760,-398.897136,0.261704
0.020000,158.060909,266.942820,46.355973,70.127047,-100.672612,-390.492576,0.277014
0.020000,159.365381,267.324732,47.715202,67.961489,-108.277885,-380.263654,0.292752
0.020000,160.619449,267.713605,49.028179,65.648844,-115.632260,-367.718764,0.308750
0.020000,161.820479,268.107277,50.292082,63.195162,-122.684112,-352.592604,0.324847
0.020000,162.966114,268.503299,51.504234,60.607566,-129.379808,-334.784800,0.340889
0.020000,164.054283,268.898996,52.662116,57.894089,-135.673843,-314.701762,0.356734
0.020000,165.083223,269.291534,53.763388,55.063639,-141.522522,-292.433932,0.372246
0.020000,166.051468,269.677978,54.805903,52.125747,-146.894570,-268.602394,0.387304
0.020000,166.957850,270.055355,55.787709,49.090269,-151.773911,-243.967051,0.401796
0.020000,167.801481,270.420709,56.707054,45.967292,-156.148831,-218.746006,0.415622
0.020000,168.581728,270.771152,57.562388,42.766670,-160.031135,-194.115202,0.428692
0.020000,169.298189,271.103906,58.352351,39.498169,-163.425028,-169.694644,0.440931
0.020000,169.950656,271.416344,59.075768,36.170824,-166.367272,-147.112180,0.452269
0.020000,170.539086,271.706016,59.731634,32.793297,-168.876308,-125.451796,0.462651
0.020000,171.063560,271.970674,60.319099,29.373285,-171.000620,-106.215639,0.472027
0.020000,171.524252,272.208287,60.837460,25.918025,-172.762997,-88.118855,0.480357
0.020000,171.921397,272.417058,61.286135,22.433733,-174.214591,-72.579702,0.487608
0.020000,172.255258,272.595427,61.664656,18.926078,-175.382781,-58.409489,0.493754
0.020000,172.526103,272.742078,61.972656,15.399976,-176.305062,-46.114024,0.498772
0.020000,172.734176,272.855941,62.209845,11.859494,-177.024137,-35.953782,0.502648
0.020000,172.879689,272.936194,62.376022,8.308806,-177.534398,-25.513027,0.505368
0.020000,172.964522,272.983220,62.473017,4.849760,-172.952270,229.106373,0.506958
0.020000,173.000869,273.003422,62.514601,2.079229,-138.526541,1721.286456,0.507640
0.020000,173.009524,273.008238,62.524506,0.495243,-79.199315,2966.361334,0.507803
0.020000,173.009524,273.008238,62.524506,0.000000,-24.762159,2721.857788,0.507803
