dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.995738,216.249999,0.008547,0.854701,42.735043,2136.752137,0.000322
0.020000,64.998455,216.250000,0.011264,0.135870,-35.941532,-3933.828741,0.000117
0.020000,65.062050,216.249989,0.074860,3.179768,152.194896,9406.821385,6.282841
0.020000,65.200441,216.249888,0.213250,6.919523,186.987751,1739.642747,6.282072
0.020000,65.394181,216.249568,0.406991,9.687046,138.376161,-2430.579462,6.280996
0.020000,65.643265,216.248851,0.656076,12.454247,138.360054,-0.805382,6.279614
0.020000,65.947683,216.247507,0.960496,15.221013,138.338259,-1.089742,6.277926
0.020000,66.307422,216.245256,1.320243,17.987326,138.315675,-1.129187,6.275932
0.020000,66.722467,216.241769,1.735303,20.752981,138.282723,-1.647601,6.273634
0.020000,67.192798,216.236665,2.205661,23.517926,138.247280,-1.772132,6.271034
0.020000,67.718390,216.229514,2.731301,26.282021,138.204729,-2.127577,6.268131
0.020000,68.299211,216.219839,3.312204,29.045114,138.154675,-2.502676,6.264928
0.020000,68.935226,216.207111,3.948346,31.807091,138.098839,-2.791828,6.261426
0.020000,69.626388,216.190756,4.639701,34.567769,138.033876,-3.248118,6.257627
0.020000,70.372644,216.170150,5.386241,37.327013,137.962238,-3.581929,6.253534
0.020000,71.173929,216.144625,6.187933,40.084595,137.879076,-4.158109,6.249149
0.020000,72.030169,216.113466,7.044740,42.840345,137.787524,-4.577566,6.244475
0.020000,72.941277,216.075915,7.956621,45.594064,137.685938,-5.079324,6.239514
0.020000,73.907151,216.031168,8.923532,48.345519,137.572756,-5.659094,6.234271
0.020000,74.927676,215.978383,9.945421,51.094445,137.446284,-6.323594,6.228748
0.020000,76.002719,215.916675,11.022233,53.840615,137.308482,-6.890092,6.222951
0.020000,77.132130,215.845122,12.153908,56.583769,137.157707,-7.538773,6.216884
0.020000,78.315740,215.762763,13.340380,59.323599,136.991492,-8.310744,6.210551
0.020000,79.553360,215.668605,14.581577,62.059817,136.810904,-9.029402,6.203958
0.020000,80.844778,215.561621,15.877418,64.792093,136.613820,-9.854199,6.197112
0.020000,82.189760,215.440754,17.227821,67.520132,136.401935,-10.594267,6.190018
0.020000,83.588050,215.304920,18.632692,70.243573,136.172089,-11.492257,6.182683
0.020000,85.039363,215.153011,20.091934,72.962101,135.926372,-12.285848,6.175115
0.020000,86.543392,214.983896,21.605441,75.675332,135.661571,-13.240080,6.167323
0.020000,88.099801,214.796426,23.173100,78.382924,135.379590,-14.099023,6.159313
0.020000,89.708227,214.589438,24.794790,81.084505,135.079067,-15.026189,6.151096
0.020000,91.368280,214.361757,26.470384,83.779706,134.760007,-15.952992,6.142682
0.020000,93.079542,214.112198,28.199747,86.468179,134.423688,-16.815939,6.134079
0.020000,94.841568,213.839576,29.982738,89.149543,134.068163,-17.776233,6.125299
0.020000,96.653883,213.542703,31.819207,91.823452,133.695462,-18.635048,6.116354
0.020000,98.515986,213.220394,33.708998,94.489558,133.305294,-19.508438,6.107255
0.020000,100.427350,212.871476,35.651949,97.147526,132.898435,-20.342946,6.098013
0.020000,102.387422,212.494785,37.647890,99.797033,132.475319,-21.155809,6.088643
0.020000,104.395625,212.089174,39.696645,102.437786,132.037638,-21.884019,6.079158
0.020000,106.442473,211.655443,41.788943,104.614864,108.853922,-1159.185812,6.069611
0.020000,108.509711,211.196762,43.906456,105.875666,63.040088,-2290.691676,6.060096
0.020000,110.579302,210.716983,46.030932,106.223780,17.405725,-2281.718186,6.050701
0.020000,112.642244,210.218455,48.153255,106.116176,-5.380224,-1139.297454,6.041469
0.020000,114.698433,209.701599,50.273409,106.007693,-5.424145,-2.196053,6.032400
0.020000,116.747780,209.166839,52.391378,105.898437,-5.462791,-1.932273,6.023496
0.020000,118.790209,208.614595,54.507150,105.788611,-5.491318,-1.426337,6.014758
0.020000,120.825658,208.045290,56.620716,105.678297,-5.515671,-1.217685,6.006187
0.020000,122.854077,207.459342,58.732070,105.567698,-5.529960,-0.714410,5.997782
0.020000,124.875425,206.857170,60.841207,105.456876,-5.541124,-0.558236,5.989545
0.020000,126.889676,206.239186,62.948127,105.345997,-5.543910,-0.139271,5.981475
0.020000,128.896814,205.605804,65.052831,105.235165,-5.541600,0.115478,5.973573
0.020000,131.177444,204.841407,67.458153,120.266113,751.547386,37854.449290,5.939258
0.020000,133.589349,203.916266,70.041401,129.162411,444.814911,-15336.623746,5.895224
0.020000,135.898642,202.918696,72.556949,125.777409,-169.250096,-30703.250351,5.856302
0.020000,138.106969,201.868078,75.002456,122.275348,-175.103071,-292.648748,5.822671
0.020000,140.215333,200.783772,77.373304,118.542373,-186.648759,-577.284374,5.794421
0.020000,142.218632,199.687959,79.656725,114.171070,-218.565161,-1595.820135,5.771617
0.020000,144.109526,198.603685,81.836433,108.985417,-259.282618,-2035.872841,5.754198
0.020000,145.886021,197.549669,83.902078,103.282230,-285.159368,-1293.837476,5.741907
0.020000,147.554452,196.537288,85.853635,97.577855,-285.218726,-2.967919,5.734358
0.020000,149.124761,195.572871,87.696451,92.140808,-271.852357,668.318456,5.731145
0.020000,150.605432,194.661023,89.435374,86.946140,-259.733391,605.948296,5.731903
0.020000,152.003606,193.804956,91.074808,81.971680,-248.723015,550.518814,5.736299
0.020000,153.325253,193.006734,92.618799,77.199544,-238.606828,505.809359,5.744028
