dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.000000,203.000000,0.001471,0.147059,7.352941,367.647059,0.000364
0.020000,65.000000,203.000000,0.007353,0.441176,14.705882,367.647059,0.000329
0.020000,65.000000,203.000000,0.020588,0.882353,22.058824,367.647059,0.000249
0.020000,65.000000,203.000000,0.044118,1.470588,29.411765,367.647059,0.000108
0.020000,65.018707,202.999999,0.080882,2.205882,36.764706,367.647059,6.283073
0.020000,65.071648,202.999985,0.133824,3.088235,44.117647,367.647059,6.282756
0.020000,65.143707,202.999938,0.205882,4.117647,51.470588,367.647059,6.282324
0.020000,65.237824,202.999830,0.300000,5.294118,58.823529,367.647059,6.281759
0.020000,65.356942,202.999618,0.419118,6.617647,66.176471,367.647059,6.281045
0.020000,65.504000,202.999239,0.566176,8.088235,73.529412,367.647059,6.280164
0.020000,65.681940,202.998606,0.744118,9.705882,80.882353,367.647059,6.279099
0.020000,65.893703,202.997607,0.955882,11.470588,88.235294,367.647059,6.277832
0.020000,66.142227,202.996091,1.204412,13.382353,95.588235,367.647059,6.276345
0.020000,66.430454,202.993872,1.492647,15.441176,102.941176,367.647059,6.274623
0.020000,66.761321,202.990711,1.823529,17.647059,110.294118,367.647059,6.272647
0.020000,67.137766,202.986321,2.200000,20.000000,117.647059,367.647059,6.270402
0.020000,67.562724,202.980351,2.625000,22.500000,125.000000,367.647059,6.267870
0.020000,68.037657,202.972405,3.100000,25.000000,125.000000,0.000000,6.265045
0.020000,68.562555,202.962063,3.625000,27.500000,125.000000,-0.000000,6.261927
0.020000,69.137403,202.948860,4.200000,30.000000,125.000000,0.000000,6.258518
0.020000,69.762183,202.932289,4.825000,32.500000,125.000000,-0.000000,6.254821
0.020000,70.436872,202.911801,5.500000,35.000000,125.000000,0.000000,6.250836
0.020000,71.159971,202.886859,6.223529,37.352941,117.647059,-367.647059,6.246577
0.020000,71.928507,202.856973,6.992647,39.558824,110.294118,-367.647059,6.242061
0.020000,72.739502,202.821671,7.804412,41.617647,102.941176,-367.647059,6.237309
0.020000,73.589977,202.780508,8.655882,43.529412,95.588235,-367.647059,6.232341
0.020000,74.476944,202.733074,9.544118,45.294118,88.235294,-367.647059,6.227177
0.020000,75.397414,202.678999,10.466176,46.911765,80.882353,-367.647059,6.221837
0.020000,76.348397,202.617959,11.419118,48.382353,73.529412,-367.647059,6.216340
0.020000,77.326899,202.549683,12.400000,49.705882,66.176471,-367.647059,6.210707
0.020000,78.329926,202.473956,13.405882,50.882353,58.823529,-367.647059,6.204957
0.020000,79.354482,202.390626,14.433824,51.911765,51.470588,-367.647059,6.199110
0.020000,80.397576,202.299604,15.480882,52.794118,44.117647,-367.647059,6.193184
0.020000,81.456215,202.200870,16.544118,53.529412,36.764706,-367.647059,6.187199
0.020000,82.527413,202.094472,17.620588,54.117647,29.411765,-367.647059,6.181174
0.020000,83.608186,201.980531,18.707353,54.558824,22.058824,-367.647059,6.175127
0.020000,84.695558,201.859238,19.801471,54.852941,14.705882,-367.647059,6.169075
0.020000,85.786559,201.730860,20.900000,55.000000,7.352941,-367.647059,6.163038
0.020000,86.878226,201.595732,22.000000,55.000000,0.000000,-367.647059,6.157031
0.020000,87.969064,201.454072,23.100000,55.000000,0.000000,0.000000,6.151064
0.020000,89.059041,201.305927,24.200000,55.000000,0.000000,0.000000,6.145138
0.020000,90.148124,201.151347,25.300000,55.000000,0.000000,0.000000,6.139252
0.020000,91.236282,200.990384,26.400000,55.000000,0.000000,0.000000,6.133409
0.020000,92.323484,200.823088,27.500000,55.000000,0.000000,0.000000,6.127608
0.020000,93.409701,200.649512,28.600000,55.000000,0.000000,0.000000,6.121851
