dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.004262,189.750001,0.008547,0.854701,42.735043,2136.752137,0.000322
0.020000,65.001545,189.750000,0.011264,0.135870,-35.941532,-3933.828741,0.000117
0.020000,65.052914,189.749991,0.062634,2.568465,121.629755,7878.564366,6.282841
0.020000,65.170934,189.749905,0.180653,5.900978,166.625639,2249.794205,6.282072
0.020000,65.336167,189.749632,0.345887,8.261689,118.035552,-2429.504388,6.280996
0.020000,65.548621,189.749020,0.558341,10.622699,118.050472,0.746002,6.279614
0.020000,65.808300,189.747873,0.818023,12.984087,118.069399,0.946381,6.277926
0.020000,66.115214,189.745953,1.124943,15.346027,118.097012,1.380644,6.275932
0.020000,66.469373,189.742977,1.479114,17.708542,118.125744,1.436586,6.273634
0.020000,66.870785,189.738621,1.880550,20.071802,118.163024,1.863993,6.271034
0.020000,67.319462,189.732517,2.329269,22.435917,118.205721,2.134847,6.268131
0.020000,67.815413,189.724256,2.825289,24.801005,118.254403,2.434110,6.264928
0.020000,68.358649,189.713384,3.368633,27.167235,118.311533,2.856501,6.261426
0.020000,68.949179,189.699410,3.959328,29.534742,118.375335,3.190127,6.257627
0.020000,69.587010,189.681798,4.597403,31.903723,118.449059,3.686182,6.253534
0.020000,70.272149,189.659973,5.282889,34.274319,118.529786,4.036357,6.249149
0.020000,71.004599,189.633319,6.015824,36.646748,118.621478,4.584614,6.244475
0.020000,71.784362,189.601181,6.796249,39.021230,118.724062,5.129155,6.239514
0.020000,72.611434,189.562864,7.624208,41.397981,118.837568,5.675337,6.234271
0.020000,73.485810,189.517638,8.499753,43.777220,118.961936,6.218378,6.228748
0.020000,74.407477,189.464734,9.422937,46.159225,119.100239,6.915148,6.222951
0.020000,75.376420,189.403346,10.393823,48.544274,119.252458,7.610961,6.216884
0.020000,76.392615,189.332637,11.412475,50.932630,119.417838,8.268984,6.210551
0.020000,77.456034,189.251731,12.478967,53.324603,119.598604,9.038319,6.203958
0.020000,78.566639,189.159725,13.593377,55.720486,119.794179,9.778769,6.197112
0.020000,79.724386,189.055684,14.755790,58.120630,120.007178,10.649941,6.190018
0.020000,80.929222,188.938642,15.966296,60.525348,120.235932,11.437703,6.182683
0.020000,82.181083,188.807609,17.224997,62.935011,120.483155,12.361143,6.175115
0.020000,83.479897,188.661567,18.531996,65.349948,120.746840,13.184245,6.167323
0.020000,84.825581,188.499478,19.887406,67.770533,121.029215,14.118763,6.159313
0.020000,86.218040,188.320282,21.291349,70.197122,121.329493,15.013888,6.151096
0.020000,87.657169,188.122899,22.743950,72.630079,121.647851,15.917919,6.142682
0.020000,89.142850,187.906236,24.245346,75.069786,121.985339,16.874355,6.134079
0.020000,90.674951,187.669186,25.795678,77.516585,122.339958,17.730991,6.125299
