dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.022268,216.249981,0.008547,0.854701,42.735043,2136.752137,6.281505
0.020000,65.018949,216.249986,0.011866,0.165971,-34.436514,-3858.577817,6.281755
0.020000,65.011484,216.249995,0.019331,0.373242,10.363586,2240.004956,6.282319
0.020000,65.008816,216.250000,0.021999,0.133383,-11.992970,-1117.827778,0.000071
0.020000,65.170928,216.250118,0.184111,8.105585,398.610082,20530.152622,0.001383
0.020000,65.379392,216.250582,0.392576,10.423258,115.883663,-14136.320948,0.003066
0.020000,65.634238,216.251625,0.647423,12.742373,115.955746,3.604144,0.005119
0.020000,65.935507,216.253532,0.948699,15.063786,116.070677,5.746518,0.007539
0.020000,66.283228,216.256638,1.296433,17.386703,116.145828,3.757578,0.010322
0.020000,66.677457,216.261327,1.690690,19.712872,116.308479,8.132527,0.013465
0.020000,67.118237,216.268034,2.131521,22.041533,116.433047,6.228401,0.016963
0.020000,67.605624,216.277242,2.618996,24.373722,116.609451,8.820190,0.020811
0.020000,68.139681,216.289478,3.153192,26.709835,116.805618,9.808368,0.025003
0.020000,68.720463,216.305321,3.734190,29.049908,117.003651,9.901641,0.029533
0.020000,69.348039,216.325389,4.362087,31.394826,117.245926,12.113761,0.034395
0.020000,70.022477,216.350348,5.036987,33.745008,117.509090,13.158184,0.039579
0.020000,70.743846,216.380904,5.759002,36.100761,117.787648,13.927930,0.045077
0.020000,71.512216,216.417801,6.528258,38.462784,118.101142,15.674701,0.050881
0.020000,72.327658,216.461825,7.344888,40.831495,118.435563,16.721057,0.056979
0.020000,73.190247,216.513795,8.209041,43.207658,118.808130,18.628343,0.063361
0.020000,74.100053,216.574564,9.120874,45.591666,119.200430,19.614989,0.070015
0.020000,75.057144,216.645018,10.080555,47.984011,119.617230,20.839983,0.076928
0.020000,76.061589,216.726067,11.088264,50.385467,120.072790,22.778010,0.084087
0.020000,77.113452,216.818650,12.144194,52.796521,120.552733,23.997169,0.091477
0.020000,78.212799,216.923724,13.248551,55.217829,121.065379,25.632294,0.099082
0.020000,79.359687,217.042268,14.401549,57.649918,121.604473,26.954706,0.106886
0.020000,80.554173,217.175273,15.603417,60.093397,122.173953,28.473988,0.114873
0.020000,81.796308,217.323740,16.854394,62.548838,122.772038,29.904237,0.123023
0.020000,83.086140,217.488679,18.154729,65.016762,123.396202,31.208224,0.131319
0.020000,84.423713,217.671099,19.504684,67.497726,124.048177,32.598757,0.139740
0.020000,85.809064,217.872009,20.904527,69.992171,124.722270,33.704615,0.148266
0.020000,87.242231,218.092409,22.354542,72.500758,125.429316,35.352307,0.156876
0.020000,88.723243,218.333287,23.855015,75.023656,126.144939,35.781134,0.165548
0.020000,90.252131,218.595614,25.406245,77.561481,126.891224,37.314281,0.174260
0.020000,91.828920,218.880338,27.008534,80.114465,127.649188,37.898190,0.182989
0.020000,93.453636,219.188381,28.662195,82.683047,128.429132,38.997212,0.191710
0.020000,95.126308,219.520630,30.367546,85.267525,129.223912,39.739012,0.200401
0.020000,96.846963,219.877935,32.124907,87.868077,130.027562,40.182460,0.209038
0.020000,98.615631,220.261101,33.934604,90.484842,130.838272,40.535522,0.217594
0.020000,100.424485,220.669076,35.788895,92.714551,111.485458,-967.640722,0.226010
0.020000,102.257820,221.098598,37.671874,94.148940,71.719413,-1988.302245,0.234197
0.020000,104.099906,221.545809,39.567468,94.779694,31.537713,-2009.084965,0.242076
0.020000,105.942878,222.008307,41.467587,95.005953,11.312947,-1011.238330,0.249614
0.020000,107.786749,222.485499,43.372206,95.230939,11.249310,-3.181828,0.256812
0.020000,109.631534,222.976789,45.281288,95.454116,11.158849,-4.523054,0.263673
0.020000,111.477272,223.481588,47.194812,95.676190,11.103689,-2.758003,0.270200
0.020000,113.324006,223.999304,49.112742,95.896483,11.014655,-4.451731,0.276394
0.020000,115.171785,224.529349,51.035041,96.114992,10.925476,-4.458929,0.282257
0.020000,117.020681,225.071139,52.961684,96.332126,10.856679,-3.439825,0.287794
0.020000,118.870764,225.624088,54.892632,96.547413,10.764369,-4.615507,0.293005
0.020000,120.722117,226.187617,56.827851,96.760935,10.676092,-4.413851,0.297894
0.020000,122.574837,226.761149,58.767312,96.973072,10.606827,-3.463281,0.302463
0.020000,124.429026,227.344107,60.710983,97.183542,10.523498,-4.166407,0.306714
0.020000,126.284790,227.935919,62.658828,97.392249,10.435385,-4.405696,0.310650
0.020000,128.142253,228.536016,64.610823,97.599769,10.375977,-2.970393,0.314273
