dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.977732,189.750019,0.008547,0.854701,42.735043,2136.752137,6.281505
0.020000,64.981051,189.750014,0.011866,0.165971,-34.436514,-3858.577817,6.281755
0.020000,64.988516,189.750005,0.019331,0.373242,10.363586,2240.004956,6.282319
0.020000,65.010708,189.750000,0.041523,1.109587,36.817258,1322.683638,0.000071
0.020000,65.207576,189.750144,0.238391,9.843418,436.691525,19993.713315,0.001383
0.020000,65.460649,189.750707,0.491465,12.653689,140.513529,-14808.899775,0.003066
0.020000,65.769896,189.751972,0.800714,15.462434,140.437286,-3.812132,0.005119
0.020000,66.135287,189.754285,1.166112,18.269920,140.374298,-3.149412,0.007539
0.020000,66.556757,189.758050,1.587600,21.074380,140.222994,-7.565227,0.010322
0.020000,67.034266,189.763730,2.065142,23.877103,140.136162,-4.341566,0.013465
0.020000,67.567730,189.771847,2.598668,26.676300,139.959837,-8.816245,0.016963
0.020000,68.157071,189.782980,3.188114,29.472322,139.801106,-7.936549,0.020811
0.020000,68.802196,189.797761,3.833408,32.264704,139.619079,-9.101392,0.025003
0.020000,69.502985,189.816877,4.534459,35.052506,139.390090,-11.449408,0.029533
0.020000,70.259314,189.841062,5.291174,37.835770,139.163203,-11.344382,0.034395
0.020000,71.071037,189.871101,6.103453,40.613930,138.908041,-12.758081,0.039579
0.020000,71.937985,189.907822,6.971178,43.386249,138.615940,-14.605044,0.045077
0.020000,72.859971,189.952096,7.894226,46.152418,138.308417,-15.376149,0.050881
0.020000,73.836783,190.004831,8.872461,48.911753,137.966757,-17.083009,0.056979
0.020000,74.868192,190.066971,9.905740,51.663951,137.609913,-17.842211,0.063361
0.020000,75.953938,190.139491,10.993905,54.408238,137.214368,-19.777251,0.070015
0.020000,77.093733,190.223392,12.136783,57.143933,136.784731,-21.481851,0.076928
0.020000,78.287267,190.319697,13.334197,59.870676,136.337157,-22.378687,0.084087
0.020000,79.534202,190.429448,14.585952,62.587757,135.854035,-24.156105,0.091477
0.020000,80.834171,190.553696,15.891845,65.294661,135.345208,-25.441349,0.099082
0.020000,82.186779,190.693500,17.251660,67.990734,134.803647,-27.078061,0.106886
0.020000,83.591606,190.849924,18.665169,70.675431,134.234868,-28.438950,0.114873
0.020000,85.048203,191.024022,20.132132,73.348193,133.638083,-29.839215,0.123023
0.020000,86.556093,191.216842,21.652301,76.008436,133.012139,-31.297214,0.131319
0.020000,88.114778,191.429414,23.225414,78.655663,132.361342,-32.539850,0.139740
0.020000,89.723732,191.662748,24.851200,81.289298,131.681781,-33.978051,0.148266
0.020000,91.382416,191.917825,26.529382,83.909082,130.989170,-34.630571,0.156876
0.020000,93.090260,192.195591,28.259667,86.514257,130.258758,-36.520568,0.165548
0.020000,94.846687,192.496954,30.041760,89.104656,129.519977,-36.939057,0.174260
0.020000,96.651101,192.822776,31.875355,91.679756,128.754983,-38.249733,0.182989
0.020000,98.502900,193.173867,33.760142,94.239354,127.979879,-38.755197,0.191710
0.020000,100.401472,193.550982,35.695806,96.783169,127.190763,-39.455782,0.200401
0.020000,102.346204,193.954811,37.682023,99.310873,126.385205,-40.277923,0.209038
0.020000,104.336479,194.385980,39.718467,101.822182,125.565468,-40.986853,0.217594
0.020000,106.362898,194.843019,41.795787,103.865984,102.190104,-1168.768186,0.226010
0.020000,108.407457,195.322020,43.895707,104.996010,56.501294,-2284.440466,0.234197
0.020000,110.452448,195.818485,46.000099,105.219606,11.179811,-2266.074153,0.242076
