dt,x,y,position,velocity,acceleration,jerk,heading
0.02,65.00820961,217.9999978,0,0.07645,8.360000004,344.750002,6.282638
0.02,65.00973861,217.9999969,0.001529,0.24365,15.25500004,301.0490474,6.282638
0.02,65.01461161,217.9999947,0.006402,0.548750001,21.27598099,308.7769503,6.282721
0.02,65.02558661,217.9999919,0.017377,0.974269621,27.45152,302.674103,6.282907
0.02,65.045072,217.9999938,0.036862392,1.523300021,33.50500206,305.8751319,0.000054
0.02,65.07553799,218.0000132,0.067328393,2.193400062,39.62250469,308.8752377,0.000572
0.02,65.11940595,218.0000752,0.111196394,2.985850156,45.80000945,301.8754114,0.001318
0.02,65.17912277,218.0002223,0.170913397,3.901850345,51.83751768,313.1256315,0.002333
0.02,65.25715921,218.0005207,0.248950404,4.938600698,58.1000303,307.0009635,0.003656
0.02,65.35592971,218.0010682,0.347722418,6.100601304,64.24004957,309.62639,0.00533
0.02,65.47793816,218.002002,0.469734444,7.385402296,70.43257737,316.3768924,0.007392
0.02,65.62563852,218.0035081,0.61744249,8.794053843,76.76011522,315.1275664,0.009882
0.02,65.80150425,218.0058317,0.793323567,10.32925615,83.06266655,316.6283666,0.012839
0.02,66.00806046,218.0092882,0.99990869,11.99050948,89.39523388,326.0041933,0.016298
0.02,66.2478188,218.0142746,1.239718879,13.77841416,95.91531775,328.1302125,0.020295
0.02,66.52329796,218.0212825,1.515287163,15.69672051,102.477922,176.1304487,0.024865
0.02,66.83708466,218.0309117,1.829221573,17.74627895,106.000531,33.75474858,0.030038
0.02,67.19177313,218.0438831,2.184147152,19.86628957,106.6756259,33.75474603,0.035843
0.02,67.58873042,218.0609915,2.581472943,21.99980209,107.3507209,43.12926941,0.042288
0.02,68.02817203,218.0830728,3.021468985,24.14681651,108.2133063,43.12895922,0.049355
0.02,68.51029797,218.1110384,3.504405315,26.31108263,109.0758854,52.50307435,0.057026
0.02,69.03536529,218.1458743,4.030626968,28.49260034,110.1259469,60.00202838,0.065278
0.02,69.60361066,218.1886354,4.600478975,30.69511928,111.3259875,61.87614061,0.074088
0.02,70.21532296,218.2404446,5.21438136,32.92163903,112.5635103,-82.37785244,0.083428
0.02,70.87082611,218.3024877,5.872814141,35.17290923,110.9159533,-243.7564227,0.093266
0.02,71.57043208,218.3760058,6.576272325,37.3912283,106.0408248,-239.7583285,0.103569
0.02,72.31328019,218.4621351,7.324096891,39.5120448,101.2456582,-239.7596304,0.114279
0.02,73.09720875,218.561818,8.114337787,41.53695796,96.45046562,-243.8852272,0.125322
0.02,73.92007588,218.6759112,8.945076947,43.46596727,91.57276108,-248.8852432,0.136622
0.02,74.77973216,218.8051675,9.814396292,45.29742249,86.59505621,-245.8856088,0.148103
0.02,75.67399305,218.9502194,10.72034474,47.02932362,81.67734404,-260.1341052,0.159691
0.02,76.60063739,219.1115674,11.66093121,48.6628705,76.47466193,-258.7586438,0.171315
0.02,77.55747722,219.2895773,12.63418862,50.19236374,71.29948906,-275.6315274,0.182902
0.02,78.54222673,219.4844562,13.6380359,51.61835352,65.78685851,-275.1305618,0.194387
0.02,79.55263221,219.6962639,14.67040297,52.93409069,60.28424727,-287.1287204,0.205704
0.02,80.58633315,219.9248893,15.72908478,54.13977564,54.54167287,-301.3767515,0.216796
0.02,81.6410046,220.1700714,16.8118803,55.23060909,48.51413784,-303.875716,0.227606
0.02,82.71426328,220.4313832,17.91649248,56.20089185,42.43662352,-318.4990744,0.238083
0.02,83.80365311,220.7082332,19.04051031,57.04962432,36.06664203,-329.7479162,0.248184
0.02,84.90674043,220.9998874,20.1815028,57.77095716,29.4716837,-335.6222344,0.257867
0.02,86.0210206,221.3054576,21.33692194,58.36039083,22.75923902,-176.1208608,0.267098
0.02,87.14394475,221.6239155,22.50412976,58.81557561,19.2368218,-1.870531994,0.275849
0.02,88.2729616,221.954112,23.68044127,59.20031205,19.19941116,-3.745844659,0.284095
