dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.973579,189.750026,0.008547,0.854701,42.735043,2136.752137,6.281191
0.020000,64.979216,189.750016,0.014184,0.281865,-28.641811,-3568.842690,6.281617
0.020000,64.991906,189.750002,0.026875,0.634513,17.632437,2313.712412,6.282574
0.020000,65.092292,189.750046,0.127261,5.019300,219.239330,10080.344630,0.000988
0.020000,65.301504,189.750487,0.336473,10.460615,272.065776,2641.322308,0.003231
0.020000,65.570606,189.751746,0.605578,13.455245,149.731496,-6116.714012,0.006126
0.020000,65.899775,189.754347,0.934757,16.458950,150.185210,22.685698,0.009681
0.020000,66.289058,189.758937,1.324067,19.465498,150.327439,7.111472,0.013906
0.020000,66.738594,189.766291,1.773663,22.479827,150.716440,19.450023,0.018812
0.020000,67.248601,189.777313,2.283789,25.506281,151.322700,30.313028,0.024412
0.020000,67.819170,189.793044,2.854575,28.539289,151.650411,16.385554,0.030723
0.020000,68.450481,189.814666,3.486256,31.584051,152.238067,29.382778,0.037759
0.020000,69.142715,189.843510,4.179091,34.641762,152.885556,32.374480,0.045539
0.020000,69.896009,189.881059,4.933320,37.711439,153.483873,29.915812,0.054083
0.020000,70.710516,189.928958,5.749235,40.795749,154.215471,36.579937,0.063412
0.020000,71.586319,189.989019,6.627094,43.892962,154.860671,32.259986,0.073547
0.020000,72.523521,190.063230,7.567230,47.006793,155.691567,41.544797,0.084511
0.020000,73.522150,190.153761,8.569954,50.136209,156.470789,38.961108,0.096327
0.020000,74.582113,190.262962,9.635527,53.278671,157.123095,32.615300,0.109018
0.020000,75.703324,190.393382,10.764298,56.438511,157.992011,43.445768,0.122607
0.020000,76.885522,190.547757,11.956533,59.611749,158.661881,33.493547,0.137116
0.020000,78.128344,190.729021,13.212504,62.798567,159.340881,33.949972,0.152565
0.020000,79.431251,190.940291,14.532429,65.996249,159.884141,27.163011,0.168971
0.020000,80.793563,191.184879,15.916523,69.204690,160.422038,26.894827,0.186350
0.020000,82.214334,191.466256,17.364888,72.418283,160.679644,12.880309,0.204709
0.020000,83.692387,191.788047,18.877566,75.633856,160.778657,4.950665,0.224053
0.020000,85.226320,192.154014,20.454551,78.849268,160.770590,-0.403356,0.244378
0.020000,86.814347,192.567998,22.095652,82.055048,160.289000,-24.079499,0.265674
0.020000,88.454396,193.033901,23.800593,85.247080,159.601583,-34.370855,0.287917
0.020000,90.144020,193.555619,25.568931,88.416897,158.490870,-55.535651,0.311075
0.020000,91.880419,194.136997,27.400074,91.557119,157.011070,-73.989979,0.335102
0.020000,93.660382,194.781741,29.293209,94.656762,154.982183,-101.444357,0.359938
0.020000,95.480365,195.493374,31.247374,97.708224,152.573098,-120.454275,0.385511
0.020000,97.336459,196.275132,33.261383,100.700453,149.611419,-148.083934,0.411730
0.020000,99.224459,197.129911,35.333867,103.624208,146.187763,-171.182812,0.438492
0.020000,101.139908,198.060180,37.463266,106.469983,142.288787,-194.948790,0.465680
0.020000,103.078165,199.067924,39.647847,109.229008,137.951216,-216.878555,0.493162
0.020000,105.034517,200.154603,41.885744,111.894856,133.292431,-232.939266,0.520798
0.020000,107.004238,201.321097,44.174960,114.460811,128.297732,-249.734914,0.548436
0.020000,108.974262,202.562212,46.503341,116.419063,97.912621,-1519.255551,0.575806
0.020000,110.924262,203.865714,48.848894,117.277646,42.929130,-2749.174586,0.602536
0.020000,112.835892,205.217487,51.190180,117.064276,-10.668492,-2679.881054,0.628298
0.020000,114.700714,206.607933,53.516314,116.306715,-37.878041,-1360.477482,0.652916
0.020000,116.519195,208.033063,55.826697,115.519147,-39.378423,-75.019100,0.676346
0.020000,118.292177,209.489048,58.120898,114.710078,-40.453462,-53.751926,0.698553
0.020000,120.020826,210.972249,60.398641,113.887105,-41.148637,-34.758762,0.719518
0.020000,121.706571,212.479231,62.659776,113.056756,-41.517471,-18.441716,0.739229
0.020000,123.351063,214.006786,64.904275,112.224969,-41.589326,-3.592728,0.757684
0.020000,124.956119,215.551922,67.132200,111.396263,-41.435289,7.701847,0.774888
0.020000,126.523676,217.111862,69.343681,110.574045,-41.110903,16.219275,0.790851
0.020000,128.055764,218.684037,71.538910,109.761424,-40.631061,23.992122,0.805587
0.020000,129.554467,220.266074,73.718119,108.960456,-40.048392,29.133451,0.819113
0.020000,131.021890,221.855767,75.881554,108.171765,-39.434566,30.691309,0.831449
0.020000,132.460158,223.451083,78.029494,107.397008,-38.737835,34.836528,0.842615
0.020000,133.871371,225.050120,80.162202,106.635387,-38.081080,32.837770,0.852631
0.020000,135.257617,226.651113,82.279950,105.887399,-37.399398,34.084094,0.861518
0.020000,136.620938,228.252395,84.382983,105.151646,-36.787612,30.589273,0.869295
0.020000,137.963343,229.852402,86.471541,104.427901,-36.187249,30.018150,0.875979
0.020000,139.286787,231.449639,88.545828,103.714371,-35.676507,25.537118,0.881586
0.020000,140.593175,233.042679,90.606030,103.010082,-35.214441,23.103302,0.886129
0.020000,141.884361,234.630146,92.652297,102.313368,-34.835715,18.936287,0.889621
0.020000,143.162139,236.210695,94.684747,101.622483,-34.544273,14.572111,0.892070
0.020000,144.428250,237.783014,96.703466,100.935934,-34.327409,10.843198,0.893483
0.020000,145.684379,239.345803,98.708502,100.251797,-34.206862,6.027368,0.893863
0.020000,146.932154,240.897769,100.699868,99.568328,-34.173484,1.668886,0.893211
0.020000,148.173148,242.437616,102.677542,98.883693,-34.231749,-2.913262,0.891526
0.020000,149.408877,243.964037,104.641464,98.196111,-34.379078,-7.366452,0.888803
0.020000,150.640806,245.475710,106.591542,97.503888,-34.611126,-11.602394,0.885036
0.020000,151.870339,246.971285,108.527645,96.805150,-34.936928,-16.290091,0.880213
0.020000,153.098167,248.448595,110.448584,96.046954,-37.909769,-148.642055,0.874328
0.020000,154.319665,249.899289,112.345046,94.823107,-61.192372,-1164.130120,0.867403
0.020000,155.525508,251.310047,114.200928,92.794085,-101.451116,-2012.937221,0.859513
0.020000,156.706839,252.669065,116.001615,90.034349,-137.986787,-1826.783557,0.850765
0.020000,157.859816,253.971250,117.740879,86.963218,-153.556566,-778.488964,0.841251
