dt,x,y,position,velocity,acceleration,jerk,heading
0.02,2.000005196,285,0,0.0535,8.0225,267.375,3.141593
0.02,1.998935196,285,0.00107,0.21395,13.37,133.875,3.141593
0.02,1.994656196,285,0.005349,0.48135,16.0475,-0.125,3.141593
0.02,1.985029196,285,0.014976,0.8023,16.045,-1.06581E-12,3.141593
0.02,1.968983196,285,0.031022,1.1232,16.045,0.125,3.141593
0.02,1.946519196,285,0.053486,1.4441,16.0475,-0.125,3.141593
0.02,1.917637196,285,0.082368,1.76505,16.045,-5.77316E-11,3.141593
0.02,1.882336196,285,0.117669,2.08595,16.045,6.0929E-11,3.141593
0.02,1.840617196,284.9999999,0.159388,2.40685,16.045,0.125,3.141593
0.02,1.792480196,284.9999999,0.207525,2.72775,16.0475,-0.125,3.141593
0.02,1.737925196,284.9999999,0.26208,3.0487,16.045,0.125,3.141593
0.02,1.676951196,284.9999999,0.323054,3.3696,16.0475,-0.25,3.141593
0.02,1.609559196,284.9999999,0.390446,3.69055,16.0425,0.25,3.141593
0.02,1.535748196,284.9999998,0.464257,4.0114,16.0475,-0.125,3.141593
0.02,1.455520196,284.9999998,0.544485,4.33235,16.045,0.125,3.141593
0.02,1.368873196,284.9999998,0.631132,4.65325,16.0475,-133.875,3.141593
0.02,1.275808196,284.9999997,0.724197,4.9742,13.37,-354.5,3.141593
0.02,1.176324196,284.9999997,0.823681,5.2416,6.28,-488.25,3.141593
0.02,1.071492196,284.9999997,0.928513,5.3672,-3.485,-401.125,3.141593
0.02,0.964148196,284.9999996,1.035857,5.2975,-11.5075,-180.5,3.141593
0.02,0.858198196,284.9999996,1.141807,5.06735,-15.1175,-46.25,3.141593
0.02,0.756851196,284.9999996,1.243154,4.765,-16.0425,-0.25,3.141593
0.02,0.661551196,284.9999995,1.338454,4.44415,-16.0475,5.56E-11,3.141593
0.02,0.572668196,284.9999995,1.427337,4.1232,-16.0475,0.25,3.141593
0.02,0.490204196,284.9999995,1.509801,3.80225,-16.0425,-0.25,3.141593
0.02,0.414159196,284.9999995,1.585846,3.4814,-16.0475,0.125,3.141593
0.02,0.344531196,284.9999994,1.655474,3.16045,-16.045,0,3.141593
0.02,0.281322196,284.9999994,1.718683,2.83955,-16.045,-0.125,3.141593
0.02,0.224531196,284.9999994,1.775474,2.51865,-16.0475,0.125,3.141593
0.02,0.174158196,284.9999994,1.825847,2.1977,-16.045,0,3.141593
0.02,0.130204196,284.9999994,1.869801,1.8768,-16.045,-0.125,3.141593
0.02,0.092668196,284.9999993,1.907337,1.5559,-16.0475,0.125,3.141593
0.02,0.061550196,284.9999993,1.938455,1.23495,-16.045,0,3.141593
0.02,0.036851196,284.9999993,1.963154,0.91405,-16.045,87.125,3.141593
0.02,0.018570196,284.9999993,1.981435,0.59315,-14.3025,220.75,3.141593
0.02,0.006707196,284.9999993,1.993298,0.3071,-9.8875,267.625,3.141593
0.02,0.000565196,284.9999993,1.99944,0.10935,-4.535,180.125,3.141593
0.02,-0.001621804,284.9999993,2.001627,0.01865,-0.9325,46.625,3.141593
0.02,-0.001994804,284.9999993,2.002,0,0,0,3.141593
0.02,-0.001994804,284.9999993,2.002,0,0,0,3.141593
