dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000000,313.250000,0.001147,0.114706,5.735294,286.764706,3.141593
0.020000,2.997265,313.250000,0.003882,0.136765,1.102941,-231.617647,3.141593
0.020000,2.986941,313.250000,0.014206,0.516176,18.970588,893.382353,3.141593
0.020000,2.968588,313.250000,0.032559,0.917647,20.073529,55.147059,3.141593
0.020000,2.941059,313.250000,0.060088,1.376471,22.941176,143.382353,3.141593
0.020000,2.904353,313.250000,0.096794,1.835294,22.941176,0.000000,3.141593
0.020000,2.858471,313.250000,0.142676,2.294118,22.941176,-0.000000,3.141593
0.020000,2.803412,313.250000,0.197735,2.752941,22.941176,0.000000,3.141593
0.020000,2.739176,313.250000,0.261971,3.211765,22.941176,-0.000000,3.141593
0.020000,2.665765,313.250000,0.335382,3.670588,22.941176,0.000000,3.141593
0.020000,2.583176,313.250000,0.417971,4.129412,22.941176,-0.000000,3.141593
0.020000,2.491412,313.250000,0.509735,4.588235,22.941176,0.000000,3.141593
0.020000,2.390471,313.250000,0.610676,5.047059,22.941176,-0.000000,3.141593
0.020000,2.280353,313.250000,0.720794,5.505882,22.941176,0.000000,3.141593
0.020000,2.161059,313.250000,0.840088,5.964706,22.941176,0.000000,3.141593
0.020000,2.032588,313.250000,0.968559,6.423529,22.941176,-0.000000,3.141593
0.020000,1.894941,313.250000,1.106206,6.882353,22.941176,0.000000,3.141593
0.020000,1.749265,313.250000,1.251882,7.283824,20.073529,-143.382353,3.141593
0.020000,1.597853,313.250000,1.403294,7.570588,14.338235,-286.764706,3.141593
0.020000,1.443860,313.250000,1.557287,7.699632,6.452206,-394.301471,3.141593
0.020000,1.291588,313.250000,1.709559,7.613603,-4.301471,-537.683824,3.141593
0.020000,1.144478,313.250000,1.856669,7.355515,-12.904412,-430.147059,3.141593
0.020000,1.004824,313.250000,1.996324,6.982721,-18.639706,-286.764706,3.141593
0.020000,0.874059,313.250000,2.127088,6.538235,-22.224265,-179.227941,3.141593
0.020000,0.752471,313.250000,2.248676,6.079412,-22.941176,-35.845588,3.141593
0.020000,0.640059,313.250000,2.361088,5.620588,-22.941176,0.000000,3.141593
0.020000,0.536824,313.250000,2.464324,5.161765,-22.941176,-0.000000,3.141593
0.020000,0.442765,313.250000,2.558382,4.702941,-22.941176,-0.000000,3.141593
0.020000,0.357882,313.250000,2.643265,4.244118,-22.941176,0.000000,3.141593
0.020000,0.282176,313.250000,2.718971,3.785294,-22.941176,-0.000000,3.141593
0.020000,0.215647,313.250000,2.785500,3.326471,-22.941176,0.000000,3.141593
0.020000,0.158294,313.250000,2.842853,2.867647,-22.941176,0.000000,3.141593
0.020000,0.110118,313.250000,2.891029,2.408824,-22.941176,-0.000000,3.141593
0.020000,0.071118,313.250000,2.930029,1.950000,-22.941176,0.000000,3.141593
0.020000,0.041294,313.250000,2.959853,1.491176,-22.941176,-0.000000,3.141593
0.020000,0.020647,313.250000,2.980500,1.032353,-22.941176,0.000000,3.141593
0.020000,0.008316,313.250000,2.992831,0.616544,-20.790441,107.536765,3.141593
0.020000,0.002294,313.250000,2.998853,0.301103,-15.772059,250.919118,3.141593
0.020000,0.000287,313.250000,3.000860,0.100368,-10.036765,286.764706,3.141593
0.020000,0.000000,313.250000,3.001147,0.014338,-4.301471,286.764706,3.141593
0.020000,0.000000,313.250000,3.001147,0.000000,-0.716912,179.227941,3.141593
