dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.763572,216.249999,0.001521,0.152130,7.606491,380.324544,6.282782
0.020000,25.763434,216.249999,0.001659,0.006902,-7.261406,-743.394847,6.282792
0.020000,25.763124,216.249999,0.001970,0.015528,0.431293,384.634967,6.282816
0.020000,25.762572,216.249999,0.002522,0.027600,0.603635,8.617092,6.282857
0.020000,25.761709,216.250000,0.003384,0.043114,0.775708,8.603631,6.282922
0.020000,25.760468,216.250000,0.004625,0.062061,0.947339,8.581586,6.283016
0.020000,25.758780,216.250000,0.006314,0.084428,1.118316,8.548809,6.283143
0.020000,25.829456,216.250004,0.076991,3.533841,172.470686,8567.618513,0.000124
0.020000,25.949894,216.250032,0.197429,6.021905,124.403172,-2403.375718,0.000335
0.020000,26.098588,216.250101,0.346122,7.434672,70.638355,-2688.240835,0.000594
0.020000,26.278512,216.250236,0.526046,8.996205,78.076682,371.916352,0.000908
0.020000,26.492645,216.250471,0.740179,10.706637,85.521590,372.245413,0.001280
0.020000,26.743964,216.250847,0.991499,12.566005,92.968380,372.339479,0.001716
0.020000,27.035451,216.251421,1.282986,14.574351,100.417296,372.445812,0.002221
0.020000,27.370084,216.252261,1.617621,16.731723,107.868626,372.566495,0.002799
0.020000,27.750849,216.253451,1.998388,19.038353,115.331478,373.142606,0.003454
0.020000,28.180729,216.255095,2.428271,21.494157,122.790195,372.935856,0.004192
0.020000,28.661224,216.257306,2.908771,24.024983,126.541321,187.556318,0.005013
0.020000,29.192346,216.260209,3.439901,26.556500,126.575838,1.725839,0.005917
0.020000,29.774111,216.263938,4.021677,29.088827,126.616367,2.026421,0.006902
0.020000,30.406532,216.268640,4.654116,31.621958,126.656547,2.009026,0.007967
0.020000,31.089629,216.274473,5.337238,34.156078,126.706015,2.473380,0.009110
0.020000,31.823418,216.281607,6.071062,36.691188,126.755474,2.472986,0.010331
0.020000,32.607918,216.290221,6.855609,39.227379,126.809574,2.704983,0.011628
0.020000,33.443149,216.300506,7.690903,41.764688,126.865437,2.793161,0.012998
0.020000,34.329131,216.312662,8.576969,44.303291,126.930144,3.235351,0.014440
0.020000,35.265887,216.326899,9.513833,46.843192,126.995042,3.244870,0.015952
0.020000,36.253439,216.343435,10.501523,49.384506,127.065687,3.532265,0.017531
0.020000,37.291809,216.362496,11.540068,51.927272,127.138302,3.630727,0.019176
0.020000,38.379532,216.384287,12.628010,54.397068,123.489835,-182.423339,0.020883
0.020000,39.513651,216.408975,13.762397,56.719367,116.114947,-368.744385,0.022643
0.020000,40.691207,216.436709,14.940279,58.894119,108.737583,-368.868230,0.024450
0.020000,41.909239,216.467623,16.158704,60.921227,101.355404,-369.108905,0.026297
0.020000,43.164785,216.501832,17.414716,62.800591,93.968214,-369.359530,0.028178
0.020000,44.454881,216.539428,18.705359,64.532182,86.579515,-369.434957,0.030086
0.020000,45.776559,216.580482,20.027675,66.115781,79.179969,-369.977260,0.032014
0.020000,47.126851,216.625041,21.378702,67.551344,71.778159,-370.090533,0.033957
0.020000,48.502785,216.673130,22.755476,68.838735,64.369519,-370.431998,0.035909
0.020000,49.901389,216.724747,24.155032,69.977777,56.952115,-370.870175,0.037864
0.020000,51.319685,216.779865,25.574399,70.968347,49.528514,-371.180088,0.039816
0.020000,52.754696,216.838433,27.010605,71.810299,42.097615,-371.544932,0.041760
0.020000,54.203442,216.900373,28.460674,72.503450,34.657524,-372.004524,0.043692
0.020000,55.662939,216.965585,29.921627,73.047644,27.209688,-372.391820,0.045605
0.020000,57.130202,217.033941,31.390481,73.442713,19.753477,-372.810539,0.047497
0.020000,58.602244,217.105291,32.864251,73.688508,12.289725,-373.187593,0.049361
0.020000,60.076075,217.179459,34.339947,73.784811,4.815160,-373.728273,0.051196
0.020000,61.550199,217.256330,35.816074,73.806335,1.076201,-186.947972,0.052997
0.020000,63.024613,217.335855,37.292632,73.827892,1.077841,0.082014,0.054767
0.020000,64.499317,217.417989,38.769621,73.849451,1.077969,0.006419,0.056503
0.020000,65.974308,217.502685,40.247042,73.871026,1.078756,0.039327,0.058207
0.020000,67.449585,217.589895,41.724894,73.892624,1.079896,0.057034,0.059879
0.020000,68.925147,217.679574,43.203179,73.914227,1.080115,0.010945,0.061518
0.020000,70.400992,217.771673,44.681895,73.935841,1.080715,0.029997,0.063124
0.020000,71.877122,217.866146,46.161045,73.957470,1.081434,0.035951,0.064698
